Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Improving Quantum Efficiency and Thermal Stability in Blue-Emitting Ba2-xSrxSiO4:Ce3+ Phosphor via Solid Solution","20183105630825","","Ji, Xiaoyu (1, 2); Zhang, Jilin (1, 2); Li, Ying (1, 2); Liao, Shuzhen (3); Zhang, Xinguo (4); Yang, Zhiyu (5); Wang, Zhengliang (5); Qiu, Zhongxian (1, 2); Zhou, Wenli (1, 2); Yu, Liping (1, 2); Lian, Shixun (1, 2) ","(1) Key Laboratory of Chemical Biology and Traditional Chinese Medicine Research, Ministry of Education of China, Hunan Normal University, Changsha; 410081, China (2) Key Laboratory of Sustainable Resources Processing, Advanced Materials of Hunan Province College, Hunan Normal University, Changsha; 410081, China (3) School of Chemistry and Chemical Engineering, Hunan Institute of Engineering, Xiangtan; 411104, China (4) Guangdong Provincial Key Laboratory of New Drug Screening, School of Pharmaceutical Sciences, Southern Medical University, Guangzhou; 510515, China (5) Key Laboratory of Comprehensive Utilization of Mineral Resource in Ethnic Regions, School of Chemistry and Environment, Yunnan Minzu University, Kunming; 650500, China ","Zhang, Jilin(chemzhangjl@hunnu.edu.cn) ","Chemistry of Materials","Chem. Mater.","","American Chemical Society","30","15","5137-5147","August 14, 2018","","","","2018","English","08974756","15205002","","10.1021/acs.chemmater.8b01652","","","","","","CMATEX","Journal article (JA)","Ba1.8-xSrxSiO4:0.1Ce3+,0.1Na+ (x = 0-1.8) phosphors were prepared by a high-temperature solid-state reaction. The emission peaks of Ba1.8-xSrxSiO4:0.1Ce3+,0.1Na+ shift from 391 to 411 nm with increasing Sr2+ content under excitation by a UV light at around 360 nm. Ba0.4Sr1.4SiO4:0.1Ce3+,0.1Na+ phosphor exhibits the best performance of luminescence, whose absolute quantum efficiency is 97.2%, and the emission intensity at 150 °C remains 90% of that at room temperature. The effect of replacing Ba2+ by Sr2+ on the red shift of the emission band and the increase of quantum efficiency (QE) and thermal stability (TS) was investigated in detail based on the Rietveld refinements, Raman spectra, thermoluminescence, and decay curves, etc. The performance of UV chip-based pc-LEDs indicates that Ba0.4Sr1.4SiO4:0.1Ce3+,0.1Na+ can be a promising blue phosphor for white-emitting pc-LEDs. © 2018 American Chemical Society.","65","Quantum efficiency","Barium alloys - Cerium alloys - Efficiency - High temperature applications - Light emission - Light emitting diodes - Phosphors - Rietveld refinement - Silicon alloys - Solid state reactions - Strontium alloys - Thermodynamic stability","Blue phosphors - Blue-emitting - Chip based - Decay curves - Emission bands - Emission intensity - Emission peaks - High temperature solid-state reaction",,"Number: -, Acronym: -, Sponsor: Guangdong Provincial Key Laboratory of New and Renewable Energy; Number: -, Acronym: -, Sponsor: Hunan Normal University; Number: -, Acronym: -, Sponsor: Ministry of Education of the People's Republic of China; Number: 2016YFB0302403, Acronym: -, Sponsor: National Basic Research Program of China (973 Program); Number: 21471055, Acronym: -, Sponsor: National Natural Science Foundation of China; ","†Key Laboratory of Chemical Biology and Traditional Chinese Medicine Research (Ministry of Education of China) and ‡Key Laboratory of Sustainable Resources Processing and Advanced Materials of Hunan Province College, Hunan Normal University, Changsha 410081, China §School of Chemistry and Chemical Engineering, Hunan Institute of Engineering, Xiangtan 411104, China ∥Guangdong Provincial Key Laboratory of New Drug Screening, School of Pharmaceutical Sciences, Southern Medical University, Guangzhou 510515, China ⊥Key Laboratory of Comprehensive Utilization of Mineral Resource in Ethnic Regions, School of Chemistry & Environment, Yunnan Minzu University, Kunming 650500, ChinaThis work is financially supported by the National Natural Science Foundation of China (Grants 21505038, 51402105, 21601081, 21471055), National Key Research and Development Program (Grant 2016YFB0302403). We thank Dr. Xuhui Xu and Mr. Xiaotong Fan (College of Materials Science and Engineering, Kunming University of Science and Technology, China) for their help with TL measurements.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Weighted pseudo-almost automorphic solutions of high-order Hopfield neural networks with neutral distributed delays","20163502748194","","Zhao, Lili (1); Li, Yongkun (1); Li, Bing (1) ","(1) Department of Mathematics, Yunnan University, Kunming; Yunnan; 650091, China ","Li, Yongkun(yklie@ynu.edu.cn) ","Neural Computing and Applications","Neural Comput. Appl.","","Springer London","29","7","513-527","April 1, 2018","","","","2018","English","09410643","","","10.1007/s00521-016-2553-8","","","","","","","Journal article (JA)","In this paper, a class of high-order Hopfield neural networks with neutral distributed delays is considered. Some sufficient conditions are obtained for the existence, uniqueness and global exponential stability of weighted pseudo-almost automorphic solutions for this class of networks by employing the Banach fixed-point theorem and differential inequality techniques. The results of this paper are completely new. An example is given to show the effectiveness of the proposed method and results. © 2016, The Natural Computing Applications Forum.","33","Hopfield neural networks","Fixed point arithmetic - Functional analysis - Topology","Distributed delays - Fixed point theorems - Global exponential stability - High-order Hopfield neural networks - Pseudo-almost-automorphic solutions","921 Mathematics","Number: 11361072, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work is supported by the National Natural Sciences Foundation of People’s Republic of China under Grant 11361072.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Sparse Coding and Compressive Sensing for Overlapping Neural Spike Sorting","20182505346372","","Wu, Haifeng (1); Yang, Kai (1); Zeng, Yu (1) ","(1) Department of Electrical and Information Engineering, Yunnan Minzu University, Kunming; 650500, China ","Wu, Haifeng(whf5469@gmail.com) ","IEEE Transactions on Neural Systems and Rehabilitation Engineering","IEEE Trans. Neural Syst. Rehabil. Eng.","","Institute of Electrical and Electronics Engineers Inc.","26","8","1516-1525","August 2018","","","","2018","English","15344320","","","10.1109/TNSRE.2018.2848463","8387789","","","","","ITNSB3","Journal article (JA)","Spike sorting is one of the key techniques to understand brain activity. With the development of modern electrophysiology technology, some recent multi-electrode technologies have been able to record the activity of thousands of neuronal spikes simultaneously. In this scenario, however, the recorded activity may be the overlap of multi-neuron spikes, which will degrade the sorting performance of existing cluster-based algorithms. In this paper, we introduce methods for overlapping spike sorting. The introduced methods start from a convolution model, where a sparse vector could be obtained via sparse coding or compressive sensing. Then, we use a maximum a posteriori estimate to optimize the sparse vector, which makes the overlapped spike sorting completed successfully. The advantage of the introduced method is that it performs better than traditional methods when the waveforms of the spikes are similar. In experiments, some synthetic and real spike data are used to testify the methods. The experiment results show that the introduced methods' average sorting detection, defined as the ratio of successfully sorted spikes to the total spikes is nearly 4% higher than the traditional methods, under the condition of the experimental data with similar waveforms. © 2018 IEEE.","35","Sorting","Brain - Codes (symbols) - Compressed sensing - Electrophysiology - Neural networks","Brain activity - Compressive sensing - Convolution model - Maximum a posteriori - Multi-electrode - overlapping spike - Sparse coding - Spike-sorting",,"Number: 2014HB019, Acronym: -, Sponsor: -; Number: 2018FA036, Acronym: -, Sponsor: Applied Basic Research Foundation of Yunnan Province; Number: 61762093, Acronym: -, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: -, Sponsor: Guangdong Innovative and Entrepreneurial Research Team Program; ","Manuscript received April 26, 2017; revised April 19, 2018 and June 12, 2018; accepted June 13, 2018. Date of publication June 18, 2018; date of current version August 7, 2018. This work was supported in part by the National Natural Science Foundation of China under Grant 61762093, in part by the 17th batches of Young and Middle-aged Leaders in Academic and Technical Reserved Talents Project of Yunnan Province under Grant 2014HB019, in part by the Key Applied and Basic Research Foundation of Yunnan Province under Grant 2018FA036, and in part by the Program for Innovative Research Team (in Science and Technology) in University of Yunnan Province. (Corresponding author: Haifeng Wu.) The authors are with the Department of Electrical and Information Engineering, Yunnan Minzu University, Kunming 650500, China (e-mail: whf5469@gmail.com; 250145249@qq.com; yv.zeng@gmail.com). Digital Object Identifier 10.1109/TNSRE.2018.2848463",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study on Structure of Drum Type Transmission Tower Based on Modal Analysis","20184906205255","","Hao, Ruinan (1, 2); Shen, Yuan (3); Zhou, Xin (1, 2) ","(1) Yunnan Power Grid Company Graduate Workstation, Kunming; 650217, China (2) School of Energy, Power and Mechanical Engineering, North China Electric Power University, Beijing; 102206, China (3) Yunnan Electric Power Research Institute, Kunming; 650217, China ","","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","439","5","","November 9, 2018","2018 International Conference on Advanced Electronic Materials, Computers and Materials Engineering, AEMCME 2018 - Conference 5","","5 of 5","2018","English","17578981","1757899X","","10.1088/1757-899X/439/5/052017","052017","2018 International Conference on Advanced Electronic Materials, Computers and Materials Engineering, AEMCME 2018","September 14, 2018 - September 16, 2018","Singapore, Singapore","142322","","Conference article (CA)","Based on the theory of dynamics, this paper takes a certain drum-type transmission tower as the research object, performs parametric modelling based on the actual size, and performs modal analysis on the tower structure through the finite element method. The frequency and mode of the first 20 steps of the transmission tower were extracted. The results of modal analysis show the dynamic characteristics and structural characteristics of the drum-type transmission tower, providing a theoretical basis and foundation for studying the earthquake resistance, wind resistance and other environmental incentives of the transmission tower structure. © Published under licence by IOP Publishing Ltd.","5","Modal analysis","Earthquake engineering - Towers","Dynamic characteristics - Parametric modelling - Research object - Structural characteristics - Theory of dynamics - Tower structures - Transmission tower - Wind resistance","402.4 Towers - 921 Mathematics",,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Multiband nonthermal radiative properties of pulsar wind nebulae","20180504699101","","Zhu, Bo-Tao (1); Zhang, Li (1); Fang, Jun (1) ","(1) Department of Astronomy Key Laboratory of Astroparticle Physics of Yunnan Province, Yunnan University, Kunming; 650091, China ","","Astronomy and Astrophysics","Astron. Astrophys.","","EDP Sciences","609","","","January 1, 2018","","","","2018","English","00046361","14320746","","10.1051/0004-6361/201629108","A110","","","","","AAEJAF","Journal article (JA)","Aims. The nonthermal radiative properties of 18 pulsar wind nebulae (PWNe) are studied in the 1D leptonic model. Methods. The dynamical and radiative evolution of a PWN in a nonradiative supernova remnant are self-consistently investigated in this model. The leptons (electrons/positrons) are injected with a broken power-law form, and nonthermal emission from a PWN is mainly produced by time-dependent relativistic leptons through synchrotron radiation and inverse Compton process. Results. Observed spectral energy distributions (SEDs) of all 18 PWNe are reproduced well, where the indexes of low-energy electron components lie in the range of 1.0-1.8 and those of high-energy electron components in the range of 2.1-3.1. Our results show that FX=Fy> 10 for young PWNe; 1 X=Fy≤ 10 for evolved PWNe, except for G292.0+1.8; and FX=Fy≤ 1 for mature/old PWNe, except for CTA 1. Moreover, most PWNe are particle-dominated. Statistical analysis for the sample of 14 PWNe further indicate that (1) not all pulsar parameters have correlations with electron injection parameters, but electron maximum energy and PWN magnetic field correlate with the magnetic field at the light cylinder, the potential difference at the polar cap, and the spindown power; (2) the spin-down power positively correlates with radio, X-ray, bolometric, and synchrotron luminosities, but does not correlate with gamma-ray luminosity; (3) the spin-down power positively correlates with radio, X-ray, and -band surface brightness; and (4) the PWN radius and the PWN age negatively correlate with X-ray luminosity, the ratio of X-ray to gamma-ray luminosities, and the synchrotron luminosity. © ESO 2018.","173","Gamma rays","Electrons - Galaxies - Heat radiation - Luminance - Magnetic fields - Pulsars - Synchrotron radiation - Synchrotrons - X rays","Acceleration of particles - High-energy electron - Injection parameters - Low energy electrons - Pulsars: general - Radiation mechanisms: non thermal - Spectral energy distribution - Stars: winds , outflows","641.2 Heat Transfer - 657.2 Extraterrestrial Physics and Stellar Phenomena - 701.2 Magnetism: Basic Concepts and Phenomena - 932.1 High Energy Physics - 932.1.1 Particle Accelerators","Number: 11173020, Acronym: -, Sponsor: -; Number: 11433004, Acronym: -, Sponsor: -; Number: 11563009, Acronym: -, Sponsor: -; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: RFDP 20115301110005, Acronym: MOE, Sponsor: Ministry of Education of the People's Republic of China; ","Acknowledgements. We would like to thank the anonymous referee for the very constructive comments. This work is partially supported by the National Natural Science Foundation of China (NSFC 11433004, 11173020, 11563009), the Doctoral Fund of the Ministry of Education of China (RFDP 20115301110005), and the Research Innovation Fund for Graduate Students of Yunnan University.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Temperature Field Monitoring of Mass Concrete of I-Shaped Bearing Platform","20184906171726","","Shi, Jing-Xian (1); Luo, Jia (1); Jiang, Zhuo-Yin (1) ","(1) Oxbridge College, Kunming University of Science and Technology, KunMing, Yunnan; 650106, China ","","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","423","1","","November 6, 2018","2018 4th International Conference on Applied Materials and Manufacturing Technology, ICAMMT 2018","","1 of 1","2018","English","17578981","1757899X","","10.1088/1757-899X/423/1/012123","012123","2018 4th International Conference on Applied Materials and Manufacturing Technology, ICAMMT 2018","May 25, 2018 - May 27, 2018","Nanchang, China","142231","","Conference article (CA)","According to the monitoring project of the arch bridge of Ma Zhang Dam, with the mass concrete of its I-shaped bearing platform as the analysis object, the temperature sensor is set up in the construction process, and the temperature field changes in the bearing platform are monitored in real time, and the internal change law of the mass concrete temperature field is measured. The results show that the highest temperature of 1# with 2.5m high I-shaped platform appears at 27h after full warehouse, which is 70.4°C; the highest temperature of 2# appeared at 17h after full storage, which was 65.5 °C, exceeding the limit of 5°C. Therefore, the cooling cycle water pipe is set up in the construction process, the cooling measures are taken in time, and the cracks are not appeared in the platform, which provides a certain basis for the construction of the mass concrete in the future. © 2018 Institute of Physics Publishing. All rights reserved.","9","Concretes","Arch bridges - Construction - Manufacture - Temperature - Water pipelines","Bearing platform - Construction process - Cooling cycle - Highest temperature - Internal changes - Mass concrete - Temperature field change - Water pipes","401.1 Bridges - 405 Construction Equipment and Methods; Surveying - 412 Concrete - 446.1 Water Supply Systems - 537.1 Heat Treatment Processes - 641.1 Thermodynamics",,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Multi-Parameter One-Sided Monitoring Tests","20182305289717","","Zhu, Guangyu (1); Chen, Jiahua (2) ","(1) Department of Statistics, University of British Columbia, Vancouver, Canada (2) Research Institute of Big Data, University of Yunnan, Kunming; Yunnan Province, China ","Chen, Jiahua(jhchen@stat.ubc.ca) ","Technometrics","Technometrics","","American Statistical Association","60","3","398-407","July 3, 2018","","","","2018","English","00401706","15372723","","10.1080/00401706.2017.1371081","","","","","","TCMTA2","Journal article (JA)","Multi-parameter one-sided hypothesis test problems arise naturally in many applications. We are particularly interested in effective tests for monitoring multiple quality indices in forestry products. Our search reveals that there are many effective statistical methods in the literature for normal data, and that they can easily be used to test hypotheses regarding parameter values permitting asymptotically normal estimators. We find that the classical likelihood ratio test is unsatisfactory, because to control the size, it must cope with the least favorable distributions at the cost of power. In this article, we find a novel way to slightly ease the size control, obtaining a much more powerful test. Simulation confirms that the new test retains good control of the Type I error and is markedly more powerful than the likelihood ratio test as well as many competitors based on normal data. The new method performs well in the context of monitoring multiple quality indices. © 2018, © 2018 American Statistical Association and the American Society for Quality.","23","Statistical tests","Random processes","Bootstrap - Composite likelihood - Density ratio models - Empirical likelihood - Multiple samples - Random effects",,"Number: RGPIN-2014-03743, Acronym: -, Sponsor: Natural Sciences and Engineering Research Council of Canada; Number: -, Acronym: -, Sponsor: Research and Development; Number: 11690011, Acronym: -, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: -, Sponsor: FPInnovations; ","The authors gratefully acknowledge funding from National Natural Science Foundation of China Grant No. 11690011 and NSERC Grant RGPIN-2014-03743, and a Collaborative Research and Development Grant from NSERC and FPInnovations. The authors are also indebted to the Forest Products Stochastic Modelling Group centered at the University of British Columbia (UBC): members of this group from FPInnovations in Vancouver, Simon Fraser University, and UBC provided stimulating discussions of the long-term monitoring program to which this article contributes.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Effects of Excitation Current on Levitation Force of Electromagnetic Levitation of Silicon-Iron Droplets","20184906171737","","Yan, P. (1, 2); Zhang, G.F. (1, 2); Shi, B.H. (1, 2); Zheng, W. (1, 2); Jiang, Q. (1, 2); Gao, L. (1, 2); Shi, Z. (1, 2); Yang, Y.D. (1, 3) ","(1) Faculty of Metallurgical and Energy Engineering, Kunming University of Science and Technology, Kunming, Yunnan; 650093, China (2) Key Laboratory of Complex Iron Resources for Clean Metallurgy, Education Department of Yunnan Province, Kunming, Yunnan; 650093, China (3) Department of Materials Science and Engineering, University of Toronto, Toronto; ON; M5S3E4, Canada ","Zhang, G.F.(zgf@kmust.edu.cn) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","423","1","","November 6, 2018","2018 4th International Conference on Applied Materials and Manufacturing Technology, ICAMMT 2018","","1 of 1","2018","English","17578981","1757899X","","10.1088/1757-899X/423/1/012134","012134","2018 4th International Conference on Applied Materials and Manufacturing Technology, ICAMMT 2018","May 25, 2018 - May 27, 2018","Nanchang, China","142231","","Conference article (CA)","In this paper, the relationship between the extraction current and the magnetic field had been discussed when the droplet was in the condition of vacuum electromagnetic levitation. The conclusion which the magnetic field was asymmetric could be simulated by finite element analysis in ANSYS software. Meanwhile, the shape of Silicon-Iron droplet was inferred as 'up-wide and down-narrow' basing the magnetic field simulation results. © 2018 Institute of Physics Publishing. All rights reserved.","11","Magnetic levitation","Drops - Electric excitation - Electromagnetic propulsion - Iron - Levitation melting - Manufacture - Silicon","ANSYS software - Electromagnetic levitation - Excitation currents - Levitation force - Magnetic field simulation","537.1 Heat Treatment Processes - 545.1 Iron - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 701.1 Electricity: Basic Concepts and Phenomena - 701.2 Magnetism: Basic Concepts and Phenomena","Number: 2016CYH07, Acronym: -, Sponsor: Basic Research Program of Jiangsu Education Department; Number: -, Acronym: -, Sponsor: Analysis and Testing Foundation of Kunming University of Science and Technology; Number: 51664036, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Financial support for this study was supplied by the National Natural Science Foundation of China (Project No. 51664036), the Applied Basic Research Program of Education Department of Yunnan Province (No. 2016CYH07), and the Analysis and Testing Foundation of Kunming University of Science and Technology.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Feature fusion of ICP-AES, UV-Vis and FT-MIR for origin traceability of Boletus edulis mushrooms in combination with chemometrics","20180404680965","","Qi, Luming (1, 2); Liu, Honggao (3); Li, Jieqing (3); Li, Tao (4); Wang, Yuanzhong (1) ","(1) Institute of Medicinal Plants, Yunnan Academy of Agricultural Sciences, Kunming; 650200, China (2) State Key Laboratory Breeding Base of Systematic Research, Development and Utilization of Chinese Medicine Resources, Chengdu University of Traditional Chinese Medicine, Chengdu; 611137, China (3) College of Agronomy and Biotechnology, Yunnan Agricultural University, Kunming; 650201, China (4) College of Resources and Environment, Yuxi Normal University, Yuxi; 653100, China ","Li, Tao(ltyx_1976@126.com) ","Sensors (Switzerland)","Sensors","","MDPI AG, Postfach, Basel, CH-4005, Switzerland","18","1","","January 15, 2018","","","","2018","English","14248220","","","10.3390/s18010241","241","","","","","","Journal article (JA)","Origin traceability is an important step to control the nutritional and pharmacological quality of food products. Boletus edulis mushroom is a well-known food resource in the world. Its nutritional and medicinal properties are drastically varied depending on geographical origins. In this study, three sensor systems (inductively coupled plasma atomic emission spectrophotometer (ICP-AES), ultraviolet-visible (UV-Vis) and Fourier transform mid-infrared spectroscopy (FT-MIR)) were applied for the origin traceability of 192 mushroom samples (caps and stipes) in combination with chemometrics. The difference between cap and stipe was clearly illustrated based on a single sensor technique, respectively. Feature variables from three instruments were used for origin traceability. Two supervised classification methods, partial least square discriminant analysis (FLS-DA) and grid search support vector machine (GS-SVM), were applied to develop mathematical models. Two steps (internal cross-validation and external prediction for unknown samples) were used to evaluate the performance of a classification model. The result is satisfactory with high accuracies ranging from 90.625% to 100%. These models also have an excellent generalization ability with the optimal parameters. Based on the combination of three sensory systems, our study provides a multi-sensory and comprehensive origin traceability of B. edulis mushrooms. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.","55","Quality control","Atomic emission spectroscopy - Discriminant analysis - Food products - Fungi - Inductively coupled plasma - Infrared spectroscopy - Least squares approximations - Support vector machines","Boletus edulis - FT-MIR - ICP-AES - Origin traceability - UV-Vis","723 Computer Software, Data Handling and Applications - 822.3 Food Products - 913.3 Quality Assurance and Control - 921.6 Numerical Methods - 922 Statistical Methods - 932.3 Plasma Physics","Number: 2016ZZX106, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: 31660591, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 21667031, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Acknowledgments: This study was supported by the National Natural Science Foundation of China (21667031, 31660591), Science Foundation of the Yunnan Province Department of Education (2016ZZX106) and University Key Laboratory of Development and Utilization of Edible Mushroom Resources in Yunnan Province.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Design and synthesis of novel monoterpenoid indole alkaloid-like analogues and their antitumour activities: In vitro","20181805117224","","Fang, Jiaqi (1, 2); Huang, Tao (1, 2, 3); Xia, Mengyuan (3); Deng, Lulu (1, 2); Hao, Xiaojiang (1, 2); Wang, Yuehu (3); Mu, Shuzhen (1) ","(1) State Key Laboratory of Functions and Applications of Medicinal Plants, Guizhou Medical University, 3491 Baijin Road, Guiyang; 550014, China (2) Key Laboratory of Chemistry for Natural Products of Guizhou Province, Chinese Academy of Sciences, 3491 Baijin Road, Guiyang; 550014, China (3) Kunming Institute of Botany, Chinese Academy of Sciences, Kunming Yunnan; 650201, China ","Mu, Shuzhen(muzi0558@126.com) ","Organic and Biomolecular Chemistry","Org. Biomol. Chem.","","Royal Society of Chemistry","16","16","3026-3037","2018","","","","2018","English","14770520","","","10.1039/c8ob00677f","","","","","","OBCRAK","Journal article (JA)","A biomimetic synthetic strategy and combinatorial chemistry were used to synthesize 34 novel monoterpenoid indole alkaloid (MIA) analogues, and their cytotoxic activities against five cancer cell lines (SW-480, A-549, HL-60, SMMC-7721, and MCF-7) were determined using the 3-(4,5-dimethylthiazol-2-yl)-5-(3-carboxymethoxyphenyl)-2-(4-sulfophenyl)-2H-tetrazolium (MTS) assay. Fourteen of these analogues (7, 16-18, and 23-32) showed significantly greater inhibition of tumour cell proliferation than cisplatin. Compounds 17 and 18 showed the highest cytotoxic activity against the HL-60 cell line with IC50values of 0.90 μM and 0.43 μM, respectively. Compound 18 slightly induced apoptosis and arrested the cell cycle in SW-480, A-549, HL-60, SMMC-7721, and MCF-7 cells. Analysis of the primary structure-activity relationships reveals that the introduction of different substituent groups at the C-3, C-5, and C-6 positions of the indole moiety and the C-10 position of the genipin moiety might have an effect on the antitumour activity of the resulting compounds. © 2018 The Royal Society of Chemistry.","34","Polycyclic aromatic hydrocarbons","Alkaloids - Biochips - Biomimetics - Cell culture - Cell death - Cell proliferation - Cytotoxicity - Metabolites","Antitumour activity - Cancer cell lines - Combinatorial chemistry - Cytotoxic activities - Induced apoptosis - Monoterpenoid indole alkaloids - Primary structures - Synthetic strategies","461 Bioengineering and Biology - 461.9 Biology - 804 Chemical Products Generally - 804.1 Organic Compounds","Number: 31760097, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The authors gratefully acknowledge the financial support of the National Natural Science Foundation of China (No. 81460530 and 31760097).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
