Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"A Community Detection Approach on Data Latent Relationship","20194207533457","","Feng, Ma (1) ","(1) School of Computer and Information, Yunnan University of Finance and Economics, Kunming; 650221, China ","Feng, Ma(375090618@qq.com) ","Proceedings of the 31st Chinese Control and Decision Conference, CCDC 2019","Proc. Chin. Control Decis. Conf., CCDC","Institute of Electrical and Electronics Engineers Inc.","","","4389-4394","June 2019","Proceedings of the 31st Chinese Control and Decision Conference, CCDC 2019","1 of 1","2019","English","","","9781728101057","10.1109/CCDC.2019.8832912","8832912","31st Chinese Control and Decision Conference, CCDC 2019","June 3, 2019 - June 5, 2019","Nanchang, China","151942","","Conference article (CA)","One of the most important steps in community detection is detecting clusters. In many applications, they pay more attentions in the direct relationship in data. However, with the development of the Internet and complex network, the data set is growing bigger and bigger, and the latent relationship in data sets is becoming more and more important. Taking all of these into consideration, a community detection approach on data latent relationship is proposed in this paper. The frequent item-sets and item-association Markov network are introduced to present the data latent relationship, and it also can processed in distributed stations. The validity of this method is discussed in theory and illustrated by experiment. © 2019 IEEE.","19",,,,,"Number: 61461051, Acronym: -, Sponsor: -; ","This work is supported by National Nature Science Foundation under Grant 61461051.and YUNFE Project Grant YC2015D16.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Silver iodide promoted structural characterization and infrared properties in GeS2–Ga2S3–La2S3 glasses","20194207532547","","Liu, Xueyun (1); Jiao, Qing (1); Zhang, Yeting (1); Zheng, Jun (1); Sun, Xing (2); Yin, Guoliang (2) ","(1) Key Laboratory of Photoelectric Detection Materials and Devices of Zhejiang Province, Ningbo University, Ningbo; 315211, China (2) Yunnan KIRO-CH Photonics Co., Ltd, No. 5 Hongwai Road, Economic and Technological Development Zone, Kunming, China ","Jiao, Qing(jiaoqing@nbu.edu.cn) ","Infrared Physics and Technology","Infrared Phys Technol","Elsevier B.V.","102","","","November 2019","","","2019","English","13504495","","","10.1016/j.infrared.2019.103064","103064","","","","","IPTEEY","Journal article (JA)","A chalcogenide glass system of (80–x)GeS2–17Ga2S3–3La2S3–xAgI (x = 0, 1, 5, 10, 15, 20 mol%) was prepared using the traditional melt-quenching technique. The effects of AgI introduction on the physical, thermal, structural, and infrared properties were studied. Results showed that with the increase in AgI content, density and microhardness also increased, which indicated that the mechanical capacity was improved. A slight redshift was observed at the visible absorbing cut-off edge. Raman spectra analysis indicated that AgI destroyed the [S3Ge–GeS3] structure and resulted in [GeS4−nIn] structure formation, thus decreasing the network connectivity and glass transition temperature. Nevertheless, the remarkable thermal stability of the glasses was likely maintained as demonstrated by differential scanning calorimetry analysis. © 2019 Elsevier B.V.","41","Sulfur compounds","Chalcogenides - Differential scanning calorimetry - Germanium compounds - Glass - Glass transition - Iodine compounds - Silver halides - Thermodynamic stability","Chalcogenide glass - Infrared properties - Melt quenching techniques - Microstructure changes - Network connectivity - Silver iodide - Structural characterization - Structure formations","641.1 Thermodynamics - 802.3 Chemical Operations - 804 Chemical Products Generally - 804.2 Inorganic Compounds - 812.3 Glass - 944.6 Temperature Measurements","Number: -, Acronym: SKLLMD, Sponsor: State Key Laboratory of Luminescent Materials and Devices; Number: 2016YFB0303803, Acronym: -, Sponsor: National Basic Research Program of China (973 Program); Number: 2018-skllmd-11, Acronym: SCUT, Sponsor: South China University of Technology; Number: -, Acronym: -, Sponsor: Ningbo University; Number: -, Acronym: SKLLMD, Sponsor: State Key Laboratory of Luminescent Materials and Devices; Number: 61605093, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 2018A610140, Acronym: -, Sponsor: Natural Science Foundation of Ningbo; Number: XYL18015, Acronym: -, Sponsor: -; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by the Natural National Science Foundation of China (NSFC) (Grant no. 61605093 and 51702172 ), Natural Science Foundation of Ningbo City (No. 2018A610140 , 2018A610042 ), National Key Research and Development Program of China (No. 2016YFB0303803 ), Open Fund of the State Key Laboratory of Luminescent Materials and Devices (South China University of Technology, No. 2018-skllmd-11), Science Research Fund Project of Ningbo University (No. XYL18015 ), and sponsored by K. C. Wong Magna Fund in Ningbo University.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A polling access control with exhaustive service in wireless body area networks for mobile healthcare using the sleeping schema","20193107261177","","He, Min (1); Guan, Zheng (1); Wu, Zhangyong (1); Lü, Liang (1); Zhou, Zhaoxu (2); Anisetti, Marco (3); Damiani, Ernesto (4) ","(1) School of Information Science and Engineering, Yunnan University, Kunming; 650091, China (2) Information Technology Development Center of Yunnan Province, Kunming; 650091, China (3) Dipartimento di Informatica (DI), Università degli Studi di Milano, Via Bramante 65, Crema (CR); 26013, Italy (4) Department of Electrical and Computer Engineering, Khalifa University, PO Box 127788, Abu Dhabi, United Arab Emirates ","Guan, Zheng(gz_627@sina.com) ","Journal of Ambient Intelligence and Humanized Computing","J. Ambient Intell. Humanized Comput.","Springer Verlag","10","10","3761-3774","October 1, 2019","","","2019","English","18685137","18685145","","10.1007/s12652-019-01410-2","","","","","","","Journal article (JA)","Wireless body area networks (WBANs) play an important role in human health monitoring for mobile healthcare. The improvement of service performance and low-power consumption are the two challenges for these medical WBANs, because those energy-limited wireless medical sensors must transmit the monitoring data to the personal server (PS) via intra-WBAN in time. Further, precise mathematical modeling combining with the sleeping state to measure this improvement theoretically is still lack. Therefore, a polling control with exhaustive service using the sleeping schema is proposed to address the problems in WBANs communication for smart health. Based on the managed access phase (MAP) specified in the IEEE 802.15.6 standard, it has been attempting to improve the energy efficiency through a self-managing sleeping schema for both the sensor nodes and the PS according to the load in intra-WBANs, in which the node will soon turn to sleep upon completion of transmitting all its current data packets. Additionally, by employing the embedded Markov chain and probability generating function, the proposed model is established, and the performance characteristics—the mean cyclic period and queue length at the polling moment—were accurately obtained to justify the service performance can be guaranteed. In addition, the expressions of the quantitative relationship among sleeping time, performance characteristics and network parameters were derived in closed form, which can easily evaluate the energy efficiency. Simulations were carried out to justify this model. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.","35","Wireless local area networks (WLAN)","Access control - Energy efficiency - Green computing - Health care - IEEE Standards - Markov processes - mHealth - Sensor nodes - Sleep research","Embedded Markov chain - Exhaustive service - Low-power consumption - Performance characteristics - Polling control - Probability generating functions - Service performance - Wireless body area network","461.4 Ergonomics and Human Factors Engineering - 461.7 Health Care - 525.2 Energy Conservation - 722 Computer Systems and Equipment - 723 Computer Software, Data Handling and Applications - 922.1 Probability Theory","Number: 61761045, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was financially supported by the National Natural Science Foundation of China (No.61463049, No.61761045). Springer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Environmental legacy and catchment erosion modulate sediment records of trace metals in alpine lakes of southwest China","20193507362975","","Wang, Lei (1); Chen, Guangjie (1); Liu, Yuanyuan (1); Li, Rui (1); Kong, Lingyang (1); Huang, Linpei (1); Wang, Jiaoyuan (1); Kimpe, Linda E. (2); Blais, Jules M. (2) ","(1) Yunnan Key Laboratory of Plateau Geographical Processes and Environmental Changes, School of Tourism and Geography, Yunnan Normal University, Kunming; Yunnan; 650500, China (2) Department of Biology, University of Ottawa, Ottawa; Ontario; K1N6N5, Canada ","Chen, Guangjie(guangjiechen@gmail.com) ","Environmental Pollution","Environ. Pollut.","Elsevier Ltd","254","","","November 2019","","","2019","English","02697491","18736424","","10.1016/j.envpol.2019.113090","113090","","","","","ENPOEK","Journal article (JA)","Sediment records are widely used to infer impact of atmospheric metal deposition in alpine lakes, however, the legacy effect and catchment erosion of historical pollutants could potentially affect metal influx into lakes. Here, we collect data (including six trace metals and three lithogenic elements) from well-dated sediment cores of seven alpine lakes in southeast Tibet, which is adjacent to southwest China. This area has a documented history of preindustrial pollution. Metals such as cadmium (Cd), zinc (Zn) and arsenic (As) are found at relatively low concentrations until a clear increase is observed after 1950s across lakes. This result is consistent with accelerating atmospheric metal deposition due to socio-economic development in the region. We observe no synchronous trend across lakes in the changes of lead (Pb), copper (Cu) and silver (Ag), which show no significant increase after ∼1950 over the last two centuries in most of the study lakes. The historical trends of 206Pb/207Pb ratio reflect an important source of anthropogenic Pb associated with preindustrial mining and smelting in this study region, suggesting a substantial impact of legacy contamination from ancient mines. Furthermore, the temporal variations in these six anthropogenic metals are largely accounted for by terrigenous elements (e.g. aluminum (Al) and titanium (Ti)) in most of the study lakes, and to a lesser degree by sediment grain sizes and organic matter content, suggesting a significant role of catchment erosion in modulating sediment metal signals. In all, this study highlights the legacy effect of historical pollutants may have enhanced the forcing of catchment erosion in modulating the sediment signals of anthropogenic deposition in southeast Tibet. © 2019 Elsevier Ltd","54","Lake pollution","Catchments - Deposition - Economics - Erosion - Lakes - Lead smelting - Metals - Meteorological problems - Runoff - Sediments - Trace elements","Anthropogenic deposition - Atmospheric depositions - Atmospheric metal deposition - Catchment erosion - Lake sediments - Socio-economic development - Southeast Tibet - Trace metal","442.1 Flood Control - 443.1 Atmospheric Properties - 453 Water Pollution - 483 Soil Mechanics and Foundations - 533.2 Metal Refining - 802.3 Chemical Operations - 971 Social Sciences","Number: 2017YFA0605202, Acronym: -, Sponsor: National Basic Research Program of China (973 Program); Number: 41771239, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 213034A, Acronym: MOE, Sponsor: Ministry of Education of the People's Republic of China; ","This work is primarily supported by grants of the National Key Research and Development Program of China ( 2017YFA0605202 ), the National Natural Science Foundation of China ( U1133601 , 41771239 ) and the Ministry of Education of China ( 213034A ).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on Hedging Ratio of Power Futures Based on 0LS Model","20193307319194","","Yang, Jie (1); Xu, Tianqi (1); Li, Yan (1); Ying, Feixiang (1); Zhang, Hongtao (1) ","(1) School of Electrical and Information Engineering, Yunnan Minzu University, Kunming, YUNNAN; 650500, China ","Xu, Tianqi(xu.tianqi@gmail.com) ","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Institute of Physics Publishing","295","4","","July 26, 2019","2019 5th International Conference on Energy Materials and Environment Engineering - Water Conservancy and Civil Engineering","4 of 5","2019","English","17551307","17551315","","10.1088/1755-1315/295/4/042127","042127","2019 5th International Conference on Energy Materials and Environment Engineering, ICEMEE 2019","April 12, 2019 - April 14, 2019","Kuala Lumpur, Malaysia","150130","","Conference article (CA)","With the further development of power market reform, the demand for energy trading entities to avoid the risk of electricity price is becoming more and more prominent. This paper uses the method of minimizing the variance of the portfolio return rate combined with the electricity futures price data from the European Energy Exchange to estimate the optimal hedging ratio and perform the residual test. Finally, the decision of power producers to use the power futures hedging strategy to avoid the risk of spot price fluctuations will be discussed. © 2019 IOP Publishing Ltd. All rights reserved.","7","Financial markets","Commerce - Investments - Power markets - Water management","Electricity futures - Electricity prices - Energy trading - European energy exchanges - Hedging strategies - Power market reform - Power producer - Residual test",,"Number: 61761049, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This research is supported by the National Natural Science Foundation of China (Research on Key Technologies of Multi-layer Multi-source Convergence in Smart Grid Wireless HART Network. Grant: 61761049), and also supported by National Natural Science Foundation of China (Research on Key Technologies of Li Wei-Industry Strict Real-Time Wireless Sensors in Yunnan Smart Grid. Grant: 61461055).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Conservative linearly-implicit difference scheme for a class of modified Zakharov systems with high-order space fractional quantum correction","20193207284122","","Xiao, Aiguo (1); Wang, Chenxi (1); Wang, Junjie (1, 2) ","(1) School of Mathematics and Computational Science, Xiangtan University, Xiangtan; Hunan; 411105, China (2) School of Mathematics and Statistics, Puer University, Yunnan; 665000, China ","Xiao, Aiguo(xag@xtu.edu.cn) ","Applied Numerical Mathematics","Appl Numer Math","Elsevier B.V.","146","","379-399","December 2019","","","2019","English","01689274","","","10.1016/j.apnum.2019.07.019","","","","","","ANMAEL","Journal article (JA)","In this paper, numerical methods for the modified Zakharov system with high-order fractional Laplacian and a quantum correction (FMZS) are considered. A conservative linearly-implicit difference scheme for the FMZS is proposed. This scheme is shown to conserve the mass and energy in the discrete level. On the basis of some priori estimates and Sobolev norm inequalities, it is proven that the difference scheme is stable and convergent of order O(τ2+h2) in the maximum norm. Numerical examples are given to demonstrate the theoretical results. In particular, some complex dynamical behaviors including pattern dynamics are observed and analyzed in the numerical results. © 2019 IMACS","50","Numerical methods","Convergence of numerical methods - Laplace transforms","Convergence - Fractional Laplacian - Implicit difference schemes - Pattern dynamics - Zakharov system","921.3 Mathematical Transformations - 921.6 Numerical Methods","Number: 11671343, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This research is supported by the National Natural Science Foundation of China (Grant No. 11671343).&#9734; This research is supported by the National Natural Science Foundation of China (Grant No. 11671343).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Numerical Investigation of Bubble Dynamics during Biomass Gasification in a Bubbling Fluidized Bed","20193307308271","","Yang, Shiliang (1, 2); Wang, Hua (1); Wei, Yonggang (1); Hu, Jianhang (1); Chew, Jia Wei (2, 3) ","(1) State Key Laboratory of Complex Nonferrous Metal Resources Clean Utilization, Kunming University of Science and Technology, Kunming, Yunnan; 650093, China (2) School of Chemical and Biomedical Engineering, Nanyang Technological University, Singapore; 637459, Singapore (3) Singapore Membrane Technology Center, Nanyang Environment and Water Research Institute, Nanyang Technological University, Singapore; 637141, Singapore ","Wang, Hua(wanghuaheat@hotmail.com) ","ACS Sustainable Chemistry and Engineering","ACS Sustainable Chem. Eng.","American Chemical Society","7","14","12288-12303","June 24, 2019","","","2019","English","","21680485","","10.1021/acssuschemeng.9b01628","","","","","","","Journal article (JA)","Bubbles play a significant role in the performance of the bubbling fluidized bed. By incorporating the CFD-DEM coupling model with heat transfer and chemical reactions, biomass gasification in the three-dimensional bubbling fluidized bed is numerically simulated to explore the bubble dynamics and the relationship between bubble phase and the resulting chemical reactions. After validating the numerical results, the spatial distribution, effect of operating parameters on the bubble characteristics, and the relationship between voidage and gas species concentration are discussed. Small bubbles at the bed bottom are elongated laterally. As the bubbles rise, they coalesce and enlarge, and the bubble rise velocity increases as the bubbles become more elongated axially. The reaction rates of the water-gas shift reaction and methane steam reaction are larger in the bubble phase, compared to oxidation reactions of H2, CH4, and CO. The mass concentrations of CH4, CO, CO2, and H2O in the bubble phase are higher than in the emulsion phase. © 2019 American Chemical Society.","50","Fluidized beds","Biomass - Bubble formation - Bubbles (in fluids) - Chemical shift - Computer simulation - Emulsification - Finite difference method - Gasification - Heat transfer - Numerical methods - Reaction rates - Water gas shift","Biomass Gasification - Bubble characteristics - Bubble dynamics - Bubble rise velocity - Bubbling fluidized bed - Numerical investigations - Operating parameters - Water gas shift (WGS) reaction","631.1.2 Gas Dynamics - 641.2 Heat Transfer - 723.5 Computer Applications - 802.2 Chemical Reactions - 802.3 Chemical Operations - 921.6 Numerical Methods - 931.3 Atomic and Molecular Physics",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Synthesis of Porous NiMo Sulfide Microspheres for High-Performance Dye-Sensitized Solar Cells and Supercapacitor","20191606792599","","Yang, Wen (1); Xia, Bin (2); Lu, Jiacheng (3); Yang, Peizhi (1); Chen, Xiaobo (2) ","(1) Key Lab. of Education Ministry for Advance Technique and Preparation of Renewable Energy Materials, Yunnan Normal University, Kunming; 650500, China (2) School of New Energy and Electronic Engineering, Yancheng Teachers University, Yancheng; 224051, China (3) Institute of Applied Chemistry and Environmental Engineering, Yancheng Teachers University, Yancheng; 224051, China ","Chen, Xiaobo(pzhyang@hotmail.com) ","Nano","Nano","World Scientific Publishing Co. Pte Ltd","14","4","","April 1, 2019","","","2019","English","17932920","","","10.1142/S1793292019500486","1950048","","","","","","Journal article (JA)","Novel hierarchical porous NiMoS4 microspheres with high electrochemical performance was successfully prepared using a facile one-step hydrothermal method. The dual application of porous NiMoS4 microspheres in energy harvesting and storage (i.e., dye-sensitized solar cells (DSSCs) and supercapacitors (SCs), respectively) is explored. In contrast to NiS2 nanosheets, MoS2 nanosheets and Pt counter electrodes (CEs), the NiMoS4 microspheres CE demonstrated the lowest charge transfer resistance and highest electrocatalytic activity for the I3-/I- redox couple reaction. The NiMoS4-based DSSC showed a higher power conversion efficiency (8.9%) even than that of Pt-based DSSC (8.7%) under simulated standard global AM 1.5G sunlight (100mWcm-2). As an electroactive material for SCs, the assembled NiMoS4//AC asymmetric supercapacitor showed excellent specific capacitance (118.7Fg-1 at 1Ag-1), high energy density of 42.2Whkg-1 (with a power density of 799.2Wkg-1), and superior cycling durability with a specific capacitance retention of 79.5% after 9000 cycles at 3Ag-1. © 2019 World Scientific Publishing Company.","54","Dye-sensitized solar cells","Binary alloys - Capacitance - Charge transfer - Energy harvesting - Layered semiconductors - Microspheres - Molybdenum compounds - Nanosheets - Nanostructured materials - Nickel compounds - Solar cells - Sulfur compounds - Supercapacitor","Asymmetric supercapacitor - Charge transfer resistance - Electroactive material - Electrocatalytic activity - Electrochemical performance - High energy densities - Power conversion efficiencies - Specific capacitance",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study on Feature Selection of Near Infrared Spectra Based on Feature Hierarchical Combining Improved Particle Swarm Optimization","20192206986615","","Xu, Bao-Ding (1); Qin, Yu-Hua (2); Yang, Ning (1); Gao, Rui (3); Yuan, Cheng-Cheng (1) ","(1) College of Information Science and Engineering, Ocean University of China, Qingdao; 266100, China (2) College of Information Science and Technology, Qingdao University of Science and Technology, Qingdao; 266061, China (3) China Tobacco Yunnan Industrial Co., Ltd., Technical Research Center, Kunming; 650024, China ","Gao, Rui(gaorui177@163.com) ","Guang Pu Xue Yu Guang Pu Fen Xi/Spectroscopy and Spectral Analysis","Guang Pu Xue Yu Guang Pu Fen Xi","Science Press","39","3","717-722","March 1, 2019","","","2019","Chinese","10000593","","","10.3964/j.issn.1000-0593(2019)03-0717-06","","","","","","GYGFED","Journal article (JA)","In the quantitative modeling of near-infrared spectroscopy data, the high redundancy and high noise of the data severely affect the robustness and accuracy of the modeling. Therefore, this paper presents a feature-based spectroscopy combined with improved Particle Swarm Optimization (PSO) Method of choosing. First, we measure the importance score of each feature through mutual information, and then sort the features according to the importance of the features in descending order. This effectively avoids the problem of losing important information caused by using the principal component reduction method. Secondly, the concept of jump degree is introduced and a method of feature stratification is constructed. Similar features of similar importance are merged into the same feature subset, and the descending ordered feature set is segmented into different feature subsets, avoiding the screening uncertainty caused by artificially setting the score of feature importance score during feature process. Finally, the particle swarm optimization algorithm with fast convergence rate and few control parameters is used as the optimal feature subset optimization method. At the same time, particle swarm optimization is improved in two aspects: The chaotic model is introduced to increase the diversity of the population and improve the global searching ability of PSO, so as to avoid getting into local optimum. The number of features is introduced into the fitness function, and the influence of the number of features on the fitness function is adjusted by the penalty factor in the early iteration to improve the adaptability of the algorithm. The stratified data is collected as a feature subset and then added as a modified particle swarm optimization algorithm to select the high-resolution feature subset. In this paper, the nicotine index as an example of the feature selection process is described, using Nicolet company Antaris II near infrared spectrometer near infrared spectrum data acquisition, spectrum scanning range is 4 000~10 000 cm-1. First, we use the mutual information theory to calculate the importance score of 1 557 features of the whole spectrum on the quantitative modeling of the index to be measured, and take the average of 30 experiments. Secondly, all the features are sorted in descending order of importance scores to calculate the jumping degree of all the features. According to the jumping degree, the critical points of the feature stratification are searched, and the features are divided into different feature layers to construct a feature containing 8 feature subsets set S={S'1, S'2, S'3, S'4, S'5, S'6, S'7, S'8}. Then, the feature subset is in turn {S'1}, {S'1, S'2}, {S'1, S'2, S'3},..., {S'1, S'2, S'3, S'4, S'5, S'6, S'7, S'8} as a candidate for initial particle swarm. With R/(1+RMSEP) as the evaluation criteria of the pros and cons of feature subsets, each iterative experiment 50 times, the ratio of the largest feature subset is the optimal feature subset. In order to verify the effectiveness of this algorithm, we select representative tobacco near-infrared spectral data as a training set and a test set, establish a PLS quantitative model of nicotine and total sugar, and compare with the full-spectrum, stratified characteristic spectrum, particle swarm algorithm selected by the characteristic spectra. The simulation results show that the modeling correlation coefficients R of nicotine and total sugar selected by this algorithm are respectively 0.988 5 and 0.982 2, RMSECV of mutual verification are 0.098 4 and 0.889 3 respectively, RMSEP of prediction root mean square error are 0.901 6 and 0.100 7 respectively, Accuracy are significantly higher than the other three methods. From the selected number of features, the proposed algorithm has the least number of selected features, effectively eliminating the weak correlation and noise and redundant information in the original feature set, minimizing the number of main factors of the model and reducing the complexity of the model, and the model is steadier, more adaptable. © 2019, Peking University Press. All right reserved.","14","Feature extraction","Data acquisition - Information theory - Information use - Infrared devices - Infrared spectrometers - Iterative methods - Mean square error - Near infrared spectroscopy - Nicotine - Particle swarm optimization (PSO) - Reactive power - Set theory - Spectrometers","Global searching ability - Jumping degree - Minimizing the number of - Modified particle swarm optimization algorithms - Mutual information theory - Near infrared spectrometer - Particle swarm algorithm - Particle swarm optimization algorithm","716.1 Information Theory and Signal Processing - 723 Computer Software, Data Handling and Applications - 723.2 Data Processing and Image Processing - 741.3 Optical Devices and Systems - 804.1 Organic Compounds - 903.3 Information Retrieval and Use - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory - 921.6 Numerical Methods - 922.2 Mathematical Statistics",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Preparation of activated carbon from spent catalyst with mercury by microwave-induced CO2 activation","20184906217302","","Liu, Jian (1, 2, 3); Liu, Chenhui (2, 3, 4); Zhang, Libo (1, 2, 3); Liu, Chao (1, 2, 3); Cheng, Song (1, 2, 3); Chandrasekar Srinivasa, Kannan (5) ","(1) Faculty of Metallurgical and Energy Engineering, Kunming University of Science and Technology, Kunming; Yunnan, China (2) Key Laboratory of Unconventional Metallurgy, Ministry of Education, Kunming; Yunnan, China (3) National Local Joint Laboratory of Engineering Application of Microwave Energy and Equipment Technology, Kunming University of Science and Technology, Kunming; Yunnan; 650093, China (4) Key Laboratory of Comprehensive Utilization of Mineral Resources in Ethnic Regions, Yunnan Minzu University, Kunming; Yunnan, China (5) Chemical Engineering Program, The Petroleum Institute, Abu Dhabi, United Arab Emirates ","Liu, Chenhui(liu-chenhui@hotmail.com) ","Asia-Pacific Journal of Chemical Engineering","Asia-Pac. J. Chem. Eng.","John Wiley and Sons Ltd, Southern Gate, Chichester, West Sussex, PO19 8SQ, United Kingdom","14","1","","January/Februaryy 2019","","","2019","English","19322135","19322143","","10.1002/apj.2272","e2272","","","","","","Journal article (JA)","This study reported the regeneration of mercury-loaded porous carbon catalyst utilized in the manufacture of PVC (Polyvinyl chloride) resin using the combined effect of microwave heating and CO2 purging. The porosity, functional, and surface chemistry was featured by means of low-temperature nitrogen adsorption, scanning electron microscopy, Fourier-transform infrared spectroscopy, Raman spectroscopy, and X-ray photoelectron spectroscopy. The result showed that the iodine number, methylene blue adsorption, and yield of FMC were 791.64 mg/g, 270 mg/g, and 84.2%, respectively, under the best conditions. Additionally, the mercury removal rates were above 99.5% at different temperatures. The regenerated samples at different temperatures were characterized to assess their physical binding capability and chemisorption abilities, which further revealed the impact of regeneration temperature on the improvement in the porosity of the regenerated catalyst. The findings revealed the potential of microwave heating for the regeneration of FMCs. © 2018 Curtin University and John Wiley & Sons, Ltd.","42","Catalyst regeneration","Activated carbon - Aromatic compounds - Carbon dioxide - Chlorine compounds - Fourier transform infrared spectroscopy - Gas adsorption - Mercury (metal) - Microwave heating - Microwaves - Polyvinyl chlorides - Porosity - Porous materials - Scanning electron microscopy - Surface chemistry - Temperature - X ray photoelectron spectroscopy","Combined effect - Low-temperature nitrogen - Methylene blue adsorption - Microwave-induced - Physical binding - Physico-chemical adsorption - regeneration - Regeneration temperature",,"Number: 51522405, Acronym: -, Sponsor: -; Number: 51504217, Acronym: -, Sponsor: National Natural Science Foundation of China; ","This work was supported by The National Science Fund for Excellent Young Scholars of China (No. 51522405) and The National Natural Science Foundation of China (CN; No. 51504217).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
