Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Periodic motion for impulsive fractional functional differential equations with piecewise Caputo derivative","20194107522971","","Zhang, Tianwei (1); Xiong, Lianglin (2) ","(1) City College, Kunming University of Science and Technology, Kunming; 650051, China (2) School of Mathematics and Computer Science, Yunnan Minzu University, Kunming; 650500, China ","Zhang, Tianwei(zhang@kmust.edu.cn) ","Applied Mathematics Letters","Appl Math Lett","Elsevier Ltd","101","","","March 2020","","","2020","English","08939659","18735452","","10.1016/j.aml.2019.106072","106072","","","","","AMLEEL","Journal article (JA)","On the basis of some crucial properties for one-parameter and two-parameter Mittag-Leffler functions, the existence, uniqueness and global exponential stability of periodic solution are discussed for a class of semilinear impulsive fractional functional differential equations with piecewise Caputo derivative. Some better result is achieved and it improves and extends some existing research finding. © 2019 Elsevier Ltd","6","Differential equations","Asymptotic stability - Differentiation (calculus) - Functions","Caputo derivatives - Caputo fractional derivatives - Fractional functional differential equations - Global exponential stability - Impulse - Mittag-Leffler functions - Periodic motion - Periodic solution","921 Mathematics - 921.2 Calculus","Number: 11461082, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work is supported by National Nature Science Foundation of China under Grant No. 11461082.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Selective separation and recovery of rare metals by vulcanization-vacuum distillation of cadmium telluride waste","20193107259385","","Zhang, Xiaofeng (1, 2, 3); Huang, Daxin (1, 2, 3); Jiang, Wenlong (1, 2, 3); Zha, Guozheng (1, 2, 3); Deng, Juhai (1, 2, 3); Deng, Pan (1, 2, 3); Kong, Xiangfeng (1, 2, 3); Liu, Dachun (1, 2, 3) ","(1) State Key Laboratory of Complex Nonferrous Metal Resources Clear Utilization, Kunming University of Science and Technology, Kunming; 650093, China (2) National Engineering Laboratory for Vacuum Metallurgy, Kunming University of Science and Technology, Kunming; 650093, China (3) Yunnan Provincial Key Laboratory for Nonferrous Vacuum Metallurgy, Kunming University of Science and Technology, Kunming; 650093, China ","Liu, Dachun(2502395170@qq.com) ","Separation and Purification Technology","Sep. Purif. Technol.","Elsevier B.V.","230","","","2 January 2020","","","2020","English","13835866","18733794","","10.1016/j.seppur.2019.115864","115864","","","","","SPUTFP","Journal article (JA)","Cadmium telluride waste contains a portion of rare metals. In this paper, a new, clean and efficient vulcanization-vacuum distillation process is used to separate the rare metal Te from cadmium telluride. Taking CdTe (99.99%) and S (99.99%) as examples, the feasibility of this process was verified on a laboratory scale. Recovery of cadmium telluride waste was simplified to two-step vulcanization and vacuum distillation process. The effects of temperature and time on vulcanization-vacuum distillation were investigated. The experimental results show that the purity of Te obtained by vacuum distillation was 99.92%, and the purity of cadmium sulfide was up to 99.5%. This method provides theoretical guidance for the recycling of cadmium telluride photovoltaic modules. Compared with the traditional methods, this process has a short refining process, does no generate waste water or waste gas, and is environmentally friendly. The Te and CdS obtained from vulcanization-vacuum distillation can be utilized as raw materials for semiconductor production after subsequent processing. © 2019 Elsevier B.V.","26","Cadmium telluride","Cadmium sulfide - Distillation - II-VI semiconductors - Metal recovery - Petroleum refining - Photovoltaic cells - Recycling - Rubber - Semiconducting tellurium - Sulfur compounds - Vacuum applications - Vulcanization","CdTe - Effects of temperature - Hazardous wastes - Photovoltaic modules - Selective separation - Semiconductor production - Vacuum distillation - Vacuum distillation process","452.3 Industrial Wastes - 513.1 Petroleum Refining, General - 633.1 Vacuum Applications - 712.1.1 Single Element Semiconducting Materials - 802.2 Chemical Reactions - 802.3 Chemical Operations - 804 Chemical Products Generally - 818.1 Natural Rubber - 818.3 Rubber and Elastomer Processing","Number: 2014HA003, Acronym: -, Sponsor: Cultivating Plan Program for the Leader in Science and Technology of Yunnan Province; Number: 2016YFC0400404, Acronym: -, Sponsor: National Basic Research Program of China (973 Program); Number: 2017FB082, Acronym: -, Sponsor: Science and Technology Planning Project of Guangdong Province; Number: 2014RA4018, Acronym: -, Sponsor: Program for Nonferrous Metals Vacuum Metallurgy Innovation Team of Ministry of Science and Technology; Number: 2017YJS066, Acronym: -, Sponsor: Scientific Research Foundation of Hunan Provincial Education Department; Number: KKZ3201552016, Acronym: KUST, Sponsor: Kunming University of Science and Technology; Number: CNMRCUTS1605, Acronym: -, Sponsor: -; Number: U1502271, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work has been founded by the Fund of National Natural Science Foundation of China [grant numbers U1502271 ], the National Key Research and Development Program of China [grant numbers 2016YFC0400404 ], the Cultivating Plan Program for the Leader in Science and Technology of Yunnan Province [grant numbers 2014HA003 ], the Program for Nonferrous Metals Vacuum Metallurgy Innovation Team of Ministry of Science and Technology [grant numbers 2014RA4018 ], Postgraduate project of scientific research foundation of Yunnan Provincial Department of Education [grant numbers 2017YJS066 ], Personal Training Project of Kunming University of Science and Technology [grant numbers KKZ3201552016 ], Personal Training Project of State Key Laboratory of Complex Nonferrous Metal Resources Clean Utilization [grant numbers CNMRCUTS1605 ], Science and technology planning project of Yunnan Province [grant numbers 2017FB082 ]. Appendix A",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Regression analysis of interval-censored failure time data with time-dependent covariates","20194207549747","","Yi, Fengting (1); Tang, Niansheng (1); Sun, Jianguo (2) ","(1) Yunnan Key Laboratory of Statistical Modeling and Data Yunnan University, Kunming; 650091, China (2) Department of Statistics, University of Missouri, Columbia; MO; 65211, United States ","Sun, Jianguo(sunj@missouri.edu) ","Computational Statistics and Data Analysis","Comput. Stat. Data Anal.","Elsevier B.V.","144","","","April 2020","","","2020","English","01679473","","","10.1016/j.csda.2019.106848","106848","","","","","CSDADW","Journal article (JA)","Interval-censored failure time data often occur in many areas and their analysis has recently attracted a great deal of attention. On the other hand, most of the existing literature for them can only deal with time-independent covariates. Sometimes one may face time dependent covariates and furthermore the covariates could also suffer measurement errors. For the situation, one approach is to conduct a joint analysis for which many methods have been developed in the literature under various framework. One drawback of these methods is that they usually assume that there are no more measurements on the covariates after the failure time and it is apparent that this may not be true. In this paper, a new joint analysis approach is proposed that can take into account the extra observations. In particular, for estimation, a MCEM algorithm is developed that is much more stable and converges much faster than the existing algorithms. To assess the finite sample performance of the proposed method, an extensive simulation study is conducted and suggests that it works well for practical situations. Also the method is applied to an AIDS study that motivated this investigation. © 2019 Elsevier B.V.","33","Failure (mechanical)","Regression analysis - Sampling","Covariates - Extensive simulations - Finite sample performance - Interval censoring - Joint analysis - MCEM algorithm - Time independents - Time-dependent covariates","922.2 Mathematical Statistics","Number: 11671349, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The authors wish to thank Professor Ana Colubi, Co-Editor-in-Chief, the Associate Editor and two reviewers for their many helpful and insightful comments and suggestions that greatly improved the paper. The research was partly supported by the National Natural Science Foundation of China Grant No.: 11671349 and the Key Projects of the National Natural Science Foundation of China Grant No.: 11731101 . Appendix A",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Person re-identification by integrating metric learning and support vector machine","20193707417396","","Zhao, Dandan (1, 2); Wang, Hongbin (2); Yin, Hongpeng (1); Yu, Zhengtao (2); Li, Huafeng (2) ","(1) School of Automation, Chongqing University, Chongqing; 40044, China (2) Faculty of Information Engineering and Automation, Kunming University of Science and Technology, Kunming; Yunnan; 650500, China ","Wang, Hongbin(whbin2007@126.com) ","Signal Processing","Signal Process","Elsevier B.V.","166","","","January 2020","","","2020","English","01651684","","","10.1016/j.sigpro.2019.107277","107277","","","","","SPRODR","Journal article (JA)","Person re-identification (PRID) refers to a technology of matching person across non-overlapping camera views. Metric learning is one of the most commonly used methods in PRID. However, most of them do not explore the label information carried by the labeled training samples, which limits the improvement of recognition performance. To this end, we propose a joint learning method by integrating the discriminative metric learning, the support vector machine (SVM) and the identity discriminator into one model, so as to realize joint construction of metric learning and identity discriminator. In this process, the label information carried by the training samples is fully exploited and the latent identify space of pedestrians is constructed by predicting the person's identity. To mitigate the appearance ambiguity caused by the variations in camera views, body poses, illumination and occlusion, we develop an extreme distance regularization term and introduce it into the joint learning framework to refine the solution spaces of the metric learning and discriminator. Finally, we present a similarity measure method by combining the advantages of the metric learning and the identity discriminator. Experimental results on several benchmark datasets show that the proposed method significantly outperforms some state-of-the-art methods. © 2019","78","Support vector machines","Cameras - Sampling","Benchmark datasets - Distance regularizations - Latent identity - Metric learning - Non-overlapping camera views - Person re identifications - Similarity measure - State-of-the-art methods","723 Computer Software, Data Handling and Applications - 742.2 Photographic Equipment","Number: 2016FB105, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: 2016FB109, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: 2016FD039, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: 2017FB094, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: 61302041, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61562053, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61563025, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61966020, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61966021, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: KKSY201403020, Acronym: KUST, Sponsor: Kunming University of Science and Technology; Number: KKSY201403116, Acronym: KUST, Sponsor: Kunming University of Science and Technology; Number: KKSY201503063, Acronym: KUST, Sponsor: Kunming University of Science and Technology; ","This research was supported by the National Natural Science Foundation of China under grant (61966021, 61966020, 61562053, 61302041, 61563025), the Yunnan Natural Science Funds under grant (2016FB105, 2017FB094, 2016FD039, 2016FB109), the Project of Innovative Research Team of Yunnan Province, and Kunming University of Science and Technology to introduce talent fund (KKSY201403116, KKSY201503063, KKSY201403020).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Platelet membrane biomimetic bufalin-loaded hollow MnO2 nanoparticles for MRI-guided chemo-chemodynamic combined therapy of cancer","20194107505975","","Wang, Haijun (1); Bremner, David H. (3); Wu, Kunhua (4); Gong, Xiarong (4); Fan, Qing (5); Xie, Xiaotian (1); Zhang, Hongmei (1); Wu, Junzi (2); Zhu, Li-Min (1) ","(1) College of Chemistry, Chemical Engineering and Biotechnology, Donghua University, Shanghai; 201620, China (2) College of Basic Medicine, Yunnan University of Chinese Medicine, Kunming; 650500, China (3) School of Science, Engineering and Technology, Kydd Building, Abertay University, Dundee DD1 1HG; Scotland, United Kingdom (4) Department of Magnetic Resonance Imaging, The First People's Hospital of Yunnan Province, Kunming; 650032, China (5) Department of Pharmacy, Shandong Cancer Hospital and Institute, Shandong First Medical University and Shandong Academy of Medical Sciences, Jinan; 250117, China ","Zhu, Li-Min(lzhu@dhu.edu.cn) ","Chemical Engineering Journal","Chem. Eng. J.","Elsevier B.V.","382","","","15 February 2020","","","2020","English","13858947","","","10.1016/j.cej.2019.122848","122848","","","","","CMEJAJ","Journal article (JA)","In this study, platelet membrane (PLTM) biomimetic hollow MnO2 nanoparticles were prepared and these were investigated for delivery of bufalin. Additionally, these nanoparticles, in response to the tumor microenvironment, showed rapid drug release and generated the hydroxyl radicals (HO[rad]) by the Fenton reaction between Mn2+ and endogenous H2O2 for use in MRI-guided anti-tumor activity. Firstly, poly(lactic-co-glycolic acid) (PLGA) nanoparticles were used to reduce KMnO4 to HMnO2 nanoparticles followed by acetone etching. After bufalin loading, these NPs were biomimetically cloaked with PLTM to form PLTM-HMnO2@Bu NPs. In vitro release profiles showed that the NPs responded to acid pH and glutathione (GSH) to induce decomposition of MnO2, resulting in rapid release of bufalin and yielding the MRI contrast agent Mn2+. In vivo MRI studies revealed an obvious T1 contrast enhancement at the tumor site because of a combination of the EPR and active targeting effects. The PLTM-HMnO2 NPs led to effective inhibition of tumor growth, attributing to Fenton-like Mn2+ conversion of endogenous H2O2 in the tumor to highly toxic HO[rad] and this anti-tumor efficacy was enhanced when combined with chemotherapy. These results indicate that the PLTM biomimetic HMnO2 nanoparticles are promising drug delivery systems for MRI-monitoring and enhanced targeted treatment of tumors. © 2019 Elsevier B.V.","48","Targeted drug delivery","Acetone - Biomimetics - Chemotherapy - Controlled drug delivery - Etching - Magnetic resonance imaging - Manganese oxide - Nanomagnetics - Nanoparticles - Oxidation - Platelets - Potash - Tumors","Anti-tumor activities - Bufalin - Chemo-chemodynamic therapy - Hydroxyl radicals - Inhibition of tumor growth - Platelet membranes - Poly(lactic-co-glycolic acid) - Tumor microenvironment","461 Bioengineering and Biology - 701.2 Magnetism: Basic Concepts and Phenomena - 761 Nanotechnology - 802.2 Chemical Reactions - 804 Chemical Products Generally - 933 Solid State Physics","Number: -, Acronym: DHU, Sponsor: Donghua University; Number: -, Acronym: -, Sponsor: Higher Education Discipline Innovation Project; Number: B07024, Acronym: MOE, Sponsor: Ministry of Education of the People's Republic of China; Number: -, Acronym: STCSM, Sponsor: Science and Technology Commission of Shanghai Municipality; ","This investigation was supported by grant 16410723700 from the Science and Technology Commission of Shanghai Municipality, the Biomedical Textile Materials "111 Project" of the Ministry of Education of China (No. B07024) and the UK-China Joint Laboratory for Therapeutic Textiles (based at Donghua University).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Mercury resistance and bioremediation mediated by endophytic fungi","20193807456541","","Pietro-Souza, William (1); de Campos Pereira, Felipe (2); Mello, Ivani Souza (3); Stachack, Fernando Ferrari Frutuoso (4); Terezo, Ailton Jose (4); Cunha, Cátia Nunes da (2); White, James Francis (5); Li, Haiyan (6); Soares, Marcos Antônio (2) ","(1) Federal Institute of Education, Science and Technology of Mato Grosso, Lucas Do Rio Verde; Mato Grosso, Brazil (2) Department of Botany and Ecology, Laboratory of Biotechnology and Microbial Ecology, Institute of Biosciences, Federal University of Mato Grosso, Cuiabá; Mato Grosso, Brazil (3) Department of Forest Engineering, Federal University of Mato Grosso, Cuiabá; Mato Grosso, Brazil (4) Fuel Analysis Centre (CEANC), Federal University of Mato Grosso, Cuiabá; Mato Grosso, Brazil (5) Department of Plant Biology, Rutgers University, New Brunswick; NJ, United States (6) Medical School, Kunming University of Science and Technology, Kunming; Yunnan, China ","Soares, Marcos Antônio(drmasoares@gmail.com) ","Chemosphere","Chemosphere","Elsevier Ltd","240","","","February 2020","","","2020","English","00456535","18791298","","10.1016/j.chemosphere.2019.124874","124874","","","","","CMSHAF","Journal article (JA)","The present study proposes the use of endophytic fungi for mercury bioremediation in in vitro and host-associated systems. We examined mercury resistance in 32 strains of endophytic fungi grown in culture medium supplemented with toxic metal concentrations. The residual mercury concentrations were quantified after mycelial growth. Aspergillus sp. A31, Curvularia geniculata P1, Lindgomycetaceae P87, and Westerdykella sp. P71 were selected and further tested for mercury bioremediation and bioaccumulation in vitro, as well as for growth promotion of Aeschynomene fluminensis and Zea mays in the presence or absence of the metal. Aspergillus sp. A31, C. geniculata P1, Lindgomycetaceae P87 and Westerdykella sp. P71 removed up to 100% of mercury from the culture medium in a species-dependent manner and they promoted A. fluminensis and Z. mays growth in substrates containing mercury or not (Dunnett's test, p © 2019 Elsevier Ltd","75","Mercury (metal)","Aspergillus - Bioaccumulation - Biochemistry - Bioremediation - Biotechnology - Histology - Soil pollution control - Tissue","Curvularia geniculata - Lindgomycetaceae - Mercury concentrations - Mercury resistance - Metal bioaccumulation - Phytoextraction - Resistance mechanisms - Westerdykella","454.2 Environmental Impact and Protection - 461 Bioengineering and Biology - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 801.2 Biochemistry","Number: 409062/2018-9, Acronym: CNPq, Sponsor: Conselho Nacional de Desenvolvimento Cient&iacute;fico e Tecnol&oacute;gico; Number: 568258/2014, Acronym: FAPEMAT, Sponsor: Funda&ccedil;&atilde;o de Amparo &agrave; Pesquisa&nbsp;do Estado de&nbsp;Mato Grosso; ","We thank the Instituto Nacional de &Aacute;reas &Uacute;midas (INAU) for providing the logistic support for field collections, and Funda&ccedil;&atilde;o de Amparo &agrave; Pesquisa do Estado de Mato Grosso (FAPEMAT, grant 568258/2014) and Conselho Nacional de Desenvolvimento Cient&iacute;fico e Tecnol&oacute;gico (CNPq, grant 409062/2018-9) for the financial support.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A Brief Review of Image Restoration Techniques Based on Generative Adversarial Models","20193707412874","","Zhang, Cai (1); Du, Fei (1); Zhang, Yungang (1) ","(1) Department of Computer Science, Yunnan Normal University, Kunming; Yunnan; 650500, China ","Zhang, Yungang(yungang.zhang01@gmail.com) ","Lecture Notes in Electrical Engineering","Lect. Notes Electr. Eng.","Springer Verlag","590","","169-175","2020","Advanced Multimedia and Ubiquitous Engineering - MUE/FutureTech 2019","1 of 1","2020","English","18761100","18761119","9789813292437","10.1007/978-981-32-9244-4_24","","13th International Conference on Multimedia and Ubiquitous Engineering, MUE 2019 and 14th International Conference on Future Information Technology, Future Tech 2019","April 24, 2019 - April 26, 2019","Xian, China","230699","","Conference article (CA)","Images are possibly degraded by various reasons, the typical forms of degradation are: blur, noise, low resolution, and etc. Image restoration techniques try to recover the degraded images to the original images with maximum fidelity. Image restoration is a challenging task and also an import research area in image processing. During the decades, researchers have proposed many restoration methods such as inverse filter, Weiner filter, wavelet analysis, support vector machine, and etc. Recently, deep learning has been increasingly popular among researchers and has obtained remarkable results. In this paper, we briefly review the approaches based on generative adversarial networks (GANs) for image restoration. The typical GANs based restoration methods for image super-resolution, image denoising, image inpainting and image deblurring are introduced and discussed. © 2020, Springer Nature Singapore Pte Ltd.","25","Image reconstruction","Deep learning - Deep neural networks - Image denoising - Image enhancement - Inverse problems - Neural networks - Restoration - Support vector machines","Adversarial networks - Degraded images - Image deblurring - Image Inpainting - Image restoration techniques - Image super resolutions - Original images - Restoration methods","723 Computer Software, Data Handling and Applications - 723.2 Data Processing and Image Processing",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Flame-retardancy and thermal properties of a novel phosphorus-modified PCM for thermal energy storage","20193407347568","","Chen, Renjie (1, 3, 4, 5); Huang, X. (2); Zheng, Ruizhi (1, 3, 4); Xie, Delong (1, 3, 4); Mei, Yi (1, 3, 4, 5); Zou, Ruqiang (2) ","(1) Faculty of Chemical Engineering, Kunming University of Science and Technology, Kunming; 650500, China (2) College of Engineering, Peking University, Beijing; 100871, China (3) Yunnan Provincial Key Laboratory of Energy Saving in Phosphorus Chemical Engineering and New Phosphorus Materials, Kunming University of Science and Technology, China (4) The Higher Educational Key Laboratory for Phosphorus Chemical Engineering of Yunnan Province, Kunming University of Science and Technology, China (5) Faculty of Environmental Science and Engineering, Kunming University of Science and Technology, Kunming; 650500, China ","Mei, Yi(meiyi412@knust.edu.cn) ","Chemical Engineering Journal","Chem. Eng. J.","Elsevier B.V.","380","","","15 January 2020","","","2020","English","13858947","","","10.1016/j.cej.2019.122500","122500","","","","","CMEJAJ","Journal article (JA)","Organic phase change materials are flammable, which limits their applications in heat storage and conversion. In the presented study, a phosphorus-grafted hexadecanol was blended with pentaerythritol phosphate (PEPA) to prepare flame-retardant phase change material (FRPCM). The thermal properties of FRPCM were evaluated by means of differential scanning calorimetry (DSC), thermogravimetric analysis (TGA) and cone calorimetry. The flame-retardant mechanism was examined by thermogravimetric analysis-Fourier transform infrared spectrometry (TG-FTIR) and scanning electron microscopy (SEM) tests. The FRPCM maintains a promising heat storage capacity (186.9 J/g) and thermal stability after grafting and blending. The flame retardance analysis reveals that the grafted phosphorus group helps to promote char formation. PEPA extends the time before exposed combustible material ignites. The cone calorimeter test demonstrated that the peak heat release rate and total heat release are further decreased by more than 50%, owing to the synergistic effect between the phosphorus group and PEPA. The SEM results showed that a porous structure is formed during combustion. Self-extinguishment testing indicates that the FRPCM is extinguished in a much shorter time than is hexadecanol. © 2019 Elsevier B.V.","54","Phase change materials","Blending - Calorimeters - Combustion - Differential scanning calorimetry - Flame retardants - Flammable materials - Fourier transform infrared spectroscopy - Grafting (chemical) - Heat storage - Phosphorus - Scanning electron microscopy - Storage (materials) - Thermal energy - Thermodynamic properties - Thermogravimetric analysis","Combustible materials - Flame-retardant mechanisms - Fourier transform infrared spectrometry - Heat storage capacity - Hexadecanol - Peak heat release rates - Pentaerythritol phosphate - Total heat release","521.4 Flame Research - 641.1 Thermodynamics - 694.4 Storage - 801 Chemistry - 802.2 Chemical Reactions - 802.3 Chemical Operations - 803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products Generally - 944.5 Temperature Measuring Instruments - 944.6 Temperature Measurements","Number: 21663015, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 51603096, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The work has been financially supported by the Natural Science Foundation of China (No. 51603096 and No. 21663015).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Learning Influence Diagram Utility Function by Observing Behavior","20193707412868","","Lei, Bai (1) ","(1) Department of Computer Science, Yunnan Normal University, Kunming; 650500, China ","Lei, Bai(baileix@163.com) ","Lecture Notes in Electrical Engineering","Lect. Notes Electr. Eng.","Springer Verlag","590","","164-168","2020","Advanced Multimedia and Ubiquitous Engineering - MUE/FutureTech 2019","1 of 1","2020","English","18761100","18761119","9789813292437","10.1007/978-981-32-9244-4_23","","13th International Conference on Multimedia and Ubiquitous Engineering, MUE 2019 and 14th International Conference on Future Information Technology, Future Tech 2019","April 24, 2019 - April 26, 2019","Xian, China","230699","","Conference article (CA)","This paper considers the task of learning utility functions of certain influence diagram based on the decision maker’s past decisions. We assume that the influence diagram structure and the probability distribution it assigns to random events are known, so that we need only infer the utility function u for its. We also assume that the decision maker is rational. In particular, the decision maker’s past decisions can be viewed as constraints on u. So, if we have a prior probability distribution p(u) over u, we can then condition on these constraints to obtain u. In this paper, an approach for learning utility functions from decision maker’s behavior was proposed. We also show that it is effective. © 2020, Springer Nature Singapore Pte Ltd.","9","Decision making","Probability distributions","Decision makers - Influence diagram - Observing behavior - Utility functions","912.2 Management - 922.1 Probability Theory",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A local feature curve extraction algorithm for dongba hieroglyphs","20191906902743","","Yang, Yuting (1); Kang, Houliang (2) ","(1) Culture and Tourism College, Yunnan Open University, Yunnan, China (2) College of Humanities and Art, Yunnan College of Business Management, Yunnan, China ","Kang, Houliang(kangfu1979110@163.com) ","Advances in Intelligent Systems and Computing","Adv. Intell. Sys. Comput.","Springer Verlag","905","","409-416","2020","The 8th International Conference on Computer Engineering and Networks, CENet 2018","1 of 1","2020","English","21945357","","9783030146795","10.1007/978-3-030-14680-1_45","","8th International Conference on Computer Engineering and Networks, CENet 2018","August 17, 2018 - August 19, 2018","Shanghai, China","225489","","Conference article (CA)","Dongba hieroglyph is a kind of very primitive picture hieroglyphs; they express meaning by using pictures. This makes the same type words have some similarities in morphology and structure, and they are distinguished only by local differences. In this paper, we analyse the basic structural of the single graphemes in Dongba hieroglyphs. By analysing the writing methods and habits, we give a local feature curve extraction algorithm for Dongba Hieroglyphs based on CDPM (Connected Domain Priority Marking Algorithm) and DCE (Discrete Curve Evolution Algorithm). The algorithm can extract local feature curves which can contain one or more glyphic features, and it can also combine redundant curves based on template curves to facilitate the comparison between the local curves and template. Extracting the local feature curves of Dongba hieroglyph is helpful to analysis the local similarities in different hieroglyphs, classify and retrieve hieroglyph. Moreover, it also has very important significance in studying the creation method of Dongba hieroglyph. © Springer Nature Switzerland AG 2020.","14","Evolutionary algorithms","Computer networks - Extraction","Connected domains - Discrete curve evolution - Extraction algorithms - Feature curves - Local feature - Local similarity - Marking algorithm - Morphology and structures","802.3 Chemical Operations","","This research was partially supported by the Scientific Research Fund of Yunnan Education Department (2018JS748).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
