Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"B, N, S, Cl doped graphene quantum dots and their effects on gas-sensing properties of Ag-LaFeO3","20184606071522","Zhang, Yumin (1); Zhao, Jianhong (1); Sun, Hongliang (1); Zhu, Zhongqi (1); Zhang, Jin (1); Liu, Qingju (1) ","(1) School of Materials Science and Engineering, Yunnan Key Laboratory for Micro/nano Materials & Technology, Yunnan University, Kunming; 650091, China ","Zhang, Jin(zhj@ynu.edu.cn) ","Sensors and Actuators, B: Chemical","Sens Actuators, B Chem","","Elsevier B.V.","266","","364-374","1 August 2018","","","2018","English","09254005","","","10.1016/j.snb.2018.03.109","","","","","","SABCEB","Journal article (JA)","P-type Ag-LaFeO3 (AL) is a promising gas-sensing material owing to its large surface area, rich active oxygen lattice, good thermostability, controllable structure and strong reducibility. While the operating temperature of which is high. In this study, B, N, S and Cl doped graphene quantum dots (GQD) were prepared with a simple liquid-phase exfoliation method and with which decorated AL in order to low the operating temperature of AL. The sensors based on the doped GQD operated at room temperature and showed affinity toward different volatile organic compounds (VOCs). B-GQD revealed p-type semiconductor property and reduced the operating temperature of AL markedly form 90 °C to 55 °C when composite with it because of the synergy effect. Undoped GQD and N, S, Cl doped GQD showed n-type semiconductor property and oppositely increased the operating temperature of AL to different extent when composite with AL. That is, the more electrons in the outer layer of the doped element, the higher the temperature of GQD/AL composite rise. Thus the gas-sensing properties of B-GQD/AL composite was further researched, the results showed that the composite possessed high sensitivity, good selectivity, good stability and low operating temperature to low concentration of formaldehyde. © 2018 Elsevier B.V.","71","Semiconductor quantum dots","Chemical detection - Chlorine - Formaldehyde - Gas detectors - Graphene - Ionization of gases - Iron compounds - Lanthanum compounds - Nanocrystals - Silver compounds - Temperature - Volatile organic compounds","Controllable structures - Formaldehyde sensor - Gas sensing material - Gas sensing properties - Low operating temperature - N-type semiconductors - Operating temperature - P-type","641.1 Thermodynamics - 714.2 Semiconductor Devices and Integrated Circuits - 761 Nanotechnology - 801 Chemistry - 802.2 Chemical Reactions - 804 Chemical Products Generally - 804.1 Organic Compounds - 914.1 Accidents and Accident Prevention","Number: 2013FZ003, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: 2017FB086, Acronym: -, Sponsor: Applied Basic Research Key Project of Yunnan; Number: 51562038, Acronym: -, Sponsor: National Natural Science Foundation of China; ","This work was supported by National Natural Science Foundation of China (No. 51562038 and 51402257), the Natural Science Foundation of Yunnan Province, China (No. 2013FZ003), Yunnan Basic Applied Research Project (no. 2017FB086). Y.M. Zhang received her BS in Department of Materials Science and Engineering from Yunnan University in 2011. She received her MS in 2014 and PhD in 2017 in Yunnan University. She devotes to gas sensors for formaldehyde. J.H Zhao received his BS in Department of Materials Science and Engineering from Yunnan University in 2011. He received his MS in Yunnan University in 2015. He devotes to perovskite solar cell. H.L. Sun received his BS in 2000 and MS in 2003 in Kunming University of Science and Technology. He is working on his PhD in Xi&rsquo;an Jiaotong University. Z.Q. Zhu obtained his MS degree in environmental engineering from Kunming University of Science and Technology in 2003. His current research deals with nanostructure functional materials and the applications. J. Zhang received her MS in applied chemistry from Yunnan University in 2002. Her current fields of interest are gas sensor based on semiconductor oxides and thin film. Q.J. Liu is a professor in School of Materials Science and Engineering, Yunnan University. She received her MS in Optoelectronic Science and Engineering from Huazhong University of Science and Technology in 1990 and PhD in Materials Science from Kunming University of Science and Technology in 2003. Her work is devoted to gas sensors, nanostructured functional materials and their applications in entironment engineering.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A Color Multi-Exposure Image Fusion Approach Using Structural Patch Decomposition","20183105632153","Huang, Fan (1); Zhou, Dongming (1); Nie, Rencan (1); Yu, Chuanbo (1) ","(1) Information College, Yunnan University, Kunming, China ","Zhou, Dongming(zhoudm@ynu.edu.cn) ","IEEE Access","IEEE Access","","Institute of Electrical and Electronics Engineers Inc.","6","","42877-42885","July 23, 2018","","","2018","English","","21693536","","10.1109/ACCESS.2018.2859355","8418684","","","","","","Journal article (JA)","A novel color multi-exposure image fusion approach is proposed to solve the problem of the loss of visual details and vivid colors. The proposed method is based on an image patch that is decomposed into three different independent parts: contrast extraction, structure preservation, and intensity adjustment. For structure preservation and intensity adjustment, which are very important, this paper exploits three weight measurements, i.e., local weight, global weight, and saliency weight. Using those weights, the final fused image is better guided by not only the exposure level of a single image but also the relative exposure level between differently exposed images. Then, the three parts are fused, respectively. The desired patch is reconstructed and fed back to the fused image. Unlike the conventional patch algorithms, the proposed approach preserves more details of the input sequence images due to the three weight maps. Experimental results demonstrate that the proposed approach successfully produces pleasing fused images with better color appearance and more texture details than other existing exposure fusion techniques. © 2013 IEEE.","32","Image fusion","Color - Color image processing - Digital cameras - Flow visualization - Weighing","Dynamic range - global weight - Image color analysis - local weight - Multi-exposure images - patch - saliency weight",,"Number: 61365001, Acronym: -, Sponsor: National Natural Science Foundation of China; ","This work was supported by the National Natural Science Foundation of China under Grants 61463052 and 61365001.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"User Profiling in Elderly Healthcare Services in China: Scalper Detection","20182705408880","Xie, Cheng (1); Cai, Hongming (2); Yang, Yun (1); Jiang, Lihong (2); Yang, Po (3) ","(1) School of Software, Yunnan University, Kunming; 650221, China (2) Software School, Shanghai Jiaotong University, Shanghai; 200000, China (3) School of Computing and Mathematics, Liverpool John Moores University, Liverpool; L3 5UA, United Kingdom ","Yang, Yun(yangyan19@hotmail.com) ","IEEE Journal of Biomedical and Health Informatics","IEEE J. Biomedical Health Informat.","","Institute of Electrical and Electronics Engineers Inc.","22","6","1796-1806","November 2018","","","2018","English","21682194","","","10.1109/JBHI.2018.2852495","8401867","","","","","ITIBFX","Journal article (JA)","Driven by the automation technologies and health informatics of Industry 4.0, hospitals in China have deployed a complete automation system/platform for healthcare services accessing. Without much more Internet knowledge, elderlies usually seek the third-party to assist them to get healthcare services from Web or APPs, it consequently results in an unexpected situation that scalpers could grab all healthcare services booking by unrighteous means in order to resell to elderlies for a much higher price. Moreover, it is hard for physicians to identify the scalpers due to the complexity, ad-hoc, and multiscenario nature of healthcare processes. In this paper, a novel method is proposed for the identification and creation of user groups of scalpers in mobile healthcare services. The approach utilizes and extends state of the art data analysis approaches in the event-logs of the mobile system to identify user groups. Based on the user groups, user profiles are extracted by identifying representative eventcases from hierarchical user-event clusters. A comprehensive evaluation is conducted in a selected test-set from the event-logs of a mobile healthcare APP. The result shows its accuracy and effectiveness in scalper detection in mobile healthcare APP. Further, a complete case study is deployed in a real word hospital to ensure its utility, efficacy, and reliability. © 2013 IEEE.","41","Health care","Automation - Hospitals - mHealth","Automation technology - Clustering - Comprehensive evaluation - Elderly Services - Health informatics - Healthcare services - Process mining - User profiling",,"Number: 2018JS008, Acronym: -, Sponsor: Yunnan Provincial Department of Education; Number: -, Acronym: YNU, Sponsor: Yunnan University; Number: 2017HB005, Acronym: -, Sponsor: Yunnan Provincial Department of Education; Number: 61663046, Acronym: -, Sponsor: National Natural Science Foundation of China; Number: 2016FB104, Acronym: -, Sponsor: National Natural Science Foundation of China; Number: 71171132, Acronym: -, Sponsor: National Natural Science Foundation of China; Number: 61373030, Acronym: -, Sponsor: National Natural Science Foundation of China; ","Manuscript received November 27, 2017; revised April 19, 2018 and June 11, 2018; accepted June 28, 2018. Date of publication July 1, 2018; date of current version October 15, 2018. The work has been supported in part by National Natural Science Foundation of China under contract number 61373030, 71171132 and 61663046; Yunnan Applied Fundamental Research Project under the Grant No. 2016FB104; Yunnan Provincial Young academic and technical leaders reserve talents under the Grant No. 2017HB005; Yunnan Provincial Science Research Project of the Department of Education under the Grant No. 2018JS008. (Corresponding author: Yun Yang.) C. Xie and Y. Yang are with the School of Software, Yunnan University, Kunming 650221, China (e-mail:, xiecheng@ynu.edu.cn; yangyan19@hotmail.com).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Test Study on Influence of a Sluice on Navigation of Ships","20184606060932","Zhou, Minzhe (1); Li, Tongchun (2); Jiang, Jinlei (3); Ding, Yuan (1); Liu, Guangyuan (1) ","(1) College of Water Conservancy and Hydropower, Hohai University, 1 Xikang Road, Nanjing, China (2) College of Agricultural Engineering, Hohai University, 1 Xikang Road, Nanjing, China (3) Huaneng Lancang River Hydropower Inc., 1 Shiji chengzhong Road, Yunnan, China ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","","Institute of Physics Publishing","186","5","","October 11, 2018","2018 International Conference of Green Buildings and Environmental Management, GBEM 2018 - Architectural Environment and Equipment Engineering","5 of 6","2018","English","17551307","17551315","","10.1088/1755-1315/186/5/012019","012019","2018 International Conference of Green Buildings and Environmental Management, GBEM 2018","August 23, 2018 - August 25, 2018","Qingdao City, Shandong Province, China","141571","","Conference article (CA)","The navigation influenced by extension project of a sluice was researched in this paper. This sluice connected the inland river and outer river, and the hydraulic characteristics beside it were significant for ships' passages. The test in this paper was conducted for simulating the flow patterns and hydraulic characteristics around this sluice. According to the test results, the flow velocities and flow patterns around approach channels of the inland river and the outer river in various conditions are given in this paper, including the maximum lateral flow velocity and the maximum reserved flow velocity. These data provided scientific bases for safe operation of the sluice and navigation channels. In addition, a guide wall was proposed to effectively reduce the lateral flow velocity. © Published under licence by IOP Publishing Ltd.","6","Flow velocity","Buoyancy - Environmental management - Flow patterns - Hydraulic machinery - Navigation - Rivers - Ships - Velocity","Approach channels - Guide walls - Hydraulic characteristic - Inland rivers - Navigation channels - Safe operation - Scientific basis - Test study","454.1 Environmental Engineering, General - 631 Fluid Flow - 631.1 Fluid Flow, General - 632.2 Hydraulic Equipment and Machinery - 931.2 Physical Properties of Gases, Liquids and Solids","Number: 201501036, Acronym: -, Sponsor: -; ","This research was financially supported by Ministry of Water Resources Special Fund for Scientific Research in the Public Interest (201501036).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Coordinated operations of multiple-reservoir cascaded hydropower plants with cooperation benefit allocation","20182205252850","Shen, Jianjian (1, 2); Cheng, Chuntian (1, 2); Zhang, Xiufei (1); Zhou, Binbin (3) ","(1) Institute of Hydropower and Hydroinformatics, Dalian University of Technology, Dalian; 116024, China (2) Key Laboratory of Ocean Energy Utilization and Energy Conservation of Ministry of Education, Dalian; 116024, China (3) Yunnan Electric Dispatching and Control Center, Kunming; Yunnan; 650000, China ","Shen, Jianjian(shenjj@dlut.edu.cn) ","Energy","Energy","","Elsevier Ltd","153","","509-518","15 June 2018","","","2018","English","03605442","","","10.1016/j.energy.2018.04.056","","","","","","ENEYDS","Journal article (JA)","The coordinated operations of multiple-reservoir cascaded hydropower plants provide opportunities to increase the benefits of the entire river system. However, it is very challenging to fairly allocate the incremental benefits of cooperation among all participant hydropower plants, which is critical to the implementation of operation polices in practice. A methodology that combines POA-DDDP–based multidimensional search algorithm(PDMSA) with game theory is proposed to address this challenge. The PDMSA is developed to determine optimal operation decisions and obtain the multi-yearly average revenue under all possible coalitions of plants. Thus, the cooperation benefit can be accurately calculated based on the differences of generation production revenue among various coalitions. The game-theoretic Shapley method is used to find the appropriate share of each cooperating plant from overall cooperation benefits. The cooperative core based on a set of necessary conditions helps select possibly stable allocation schemes, and their stability is evaluated by the propensity to disrupt(PTD). The proposed methodology is applied to a multiple-reservoir hydropower system on Lancang River, which is one of 14 large hydropower bases in China. This case shows that the method provides the most stable incremental allocation scheme by comparison with several commonly used methods. © 2018 Elsevier Ltd","35","Hydroelectric power plants","Game theory - Hydroelectric power - Resource allocation","Benefit allocation - Coordinated operation - Hydropower plants - Hydropower system - Multidimensional search - Optimal operation - Propensity to disrupt - Shapley","611.1 Hydroelectric Power Plants - 912.2 Management - 922.1 Probability Theory","Number: DUT16QY30, Acronym: -, Sponsor: -; Number: 51579029, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 91547201, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The National Natural Science Foundation of China (No. 51579029 , 91547201 ) and the Fundamental Research Funds supported this research for the Central Universities ( DUT16QY30 ). The authors are very grateful to the anonymous reviewers and editors for their constructive comments.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A method to improve the teaching effect of mobile communication course by establishing propagation loss model","20193407339155","Jing, Yanmei (1); He, Wenxue (2); Li, Huafu (1); He, Qiqi (1) ","(1) Yunnan Normal University Library, Kunming, China (2) Yunnan Normal University, School of Physics and Electronic Information, Kunming, China ","","2018 IEEE 4th International Conference on Computer and Communications, ICCC 2018","IEEE Int. Conf. Comput. Commun., ICCC","IEEE; SIE","Institute of Electrical and Electronics Engineers Inc.","","","2392-2397","December 2018","2018 IEEE 4th International Conference on Computer and Communications, ICCC 2018","1 of 1","2018","English","","","9781538683392","10.1109/CompComm.2018.8780964","8780964","4th IEEE International Conference on Computer and Communications, ICCC 2018","December 7, 2018 - December 10, 2018","Chengdu, China","150224","","Conference article (CA)","In the course of the undergraduate mobile communication, the teaching design of combining theory with practice plays an important role, which not only consolidate the learners' relevant theoretical knowledge, but also enable the learners to experience the difficulties and challenges brought by designing mobile communication systems that conform to the real environment. Firstly, we used MATLAB to simulate the influence of different propagation parameters on propagation loss. Secondly, this paper implemented the measurement scheme through Huawei's E392u-92 terminal, GPS receiver, GENEX Probe software, ENNX Assistant software, SignalLTEMap software, and personal computer, and measured the field strength value of 2.6 GHz mobile communication network of Yunnan Normal University in China. Furthermore, we present a method to calculate the propagation distance based on elevation data, and use the least-square method to correct the propagation loss model (PLM) for different propagation environments. Finally, the three parameters of mean error, root mean square error, and standard deviation are used to evaluate whether the corrected PLM is suitable for real propagation environment. Through the teaching analysis in recent years, we have found that the content of this paper has improved the teaching effect of the mobile communication course and realized the teaching goal of combining theory with practice. © 2018 IEEE.","16","Mobile telecommunication systems","Curricula - Global positioning system - Learning systems - Least squares approximations - MATLAB - Mean square error - Personal computers - Radio broadcasting - Teaching","Mobile communication networks - Mobile communications - Project based learning - Propagation environment - Propagation loss models - Propagation parameters - Root mean square errors - Theoretical connection practice","716.3 Radio Systems and Equipment - 722.4 Digital Computers and Systems - 901.2 Education - 921 Mathematics - 921.6 Numerical Methods - 922.2 Mathematical Statistics",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Automating Robot Motion Planning for Magnetic Resonance Navigation Using Q-Learning","20190906563310","Wang, Xiaoyan (1); An, Zhenzhou (2); Zhou, Yihang (3); Wang, Haifeng (4); Chang, Yuchou (5) ","(1) School of Physics and Electronic Engineering, Yuxi Normal University, Yuxi, Yunnan; 653100, China (2) School of Mathematics and Information Technology, Yuxi Normal University, Yuxi, Yunnan; 653100, China (3) Medical Physics and Research Department, Hong Kong Sanatorium Hospital, 2 Village Road, Happy Valley, Hong Kong SAR, Hong Kong (4) Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen, Guangdong; 518055, China (5) Computer Science and Engineering Technology Department, University of Houston - Downtown, Houston; TX; 77002, United States ","Chang, Yuchou(changy@uhd.edu) ","2018 IEEE International Conference on Cyborg and Bionic Systems, CBS 2018","IEEE Int. Conf. Cyborg Bionic Syst., CBS","","Institute of Electrical and Electronics Engineers Inc.","","","304-307","July 2, 2018","2018 IEEE International Conference on Cyborg and Bionic Systems, CBS 2018","1 of 1","2018","English","","","9781538673553","10.1109/CBS.2018.8612227","8612227","2018 IEEE International Conference on Cyborg and Bionic Systems, CBS 2018","October 25, 2018 - October 27, 2018","Shenzhen, China","144372","","Conference article (CA)","Magnetic resonance navigation (MRN) is promising to drive Micro/Nano robots in blood vessels for some potential clinical applications. It requires real-time processing under constraints of interleaved imaging and steering MR sequence. Efficient and fast motion planning is desired for Micro/Nano robots navigated during MRN. In this paper, a novel navigation method is proposed for guiding tiny robots in blood vessels. An accurate segmentation of blood vessels on MRA images with Bayesian inference is used for extracting exact vessels at first. Then, a reinforcement learning mechanism is designed to navigate robot agents within vascular network. Experimental results demonstrate that the proposed method can simulate the robot navigation on MRA image vessels. The path between starting point and ending point can be automatically identified. © 2018 IEEE.","14","Robot programming","Bayesian networks - Blood vessels - Cyborgs - Electric circuit breakers - Image segmentation - Inference engines - Magnetic resonance - Motion planning - Navigation - Reinforcement learning - Robots","Bayesian inference - Clinical application - Micro/nano robots - Navigation methods - Realtime processing - Robot motion planning - Robot navigation - Vascular network","461.1 Biomedical Engineering - 461.2 Biological Materials and Tissue Engineering - 701.2 Magnetism: Basic Concepts and Phenomena - 723.4 Artificial Intelligence - 723.4.1 Expert Systems - 731.5 Robotics - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory","Number: 61563055, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61871373, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 81729003, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Rcscarch supported by the National Natural Science Foundation of China (No.61563055, No.61871373, No.81729003).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Average intensity and propagation factors of the rectangular Laguerre-Gaussian correlated Schell-model beam propagating through non-Kolmogorov turbulence","20184305991439","Liu, Huilong (1, 2); Xia, Jing (1, 2); Hu, Zonghua (1, 2); Lü, Yanfei (1, 2) ","(1) School of Physics and Astronomy, Yunnan University, Kunming; 650091, China (2) Department of Astronomy, Yunnan University, Key Laboratory of Astroparticle Physics of Yunnan Province, Kunming; 650091, China ","","Journal of Optics (United Kingdom)","J. Opt.","","Institute of Physics Publishing","20","10","","September 14, 2018","","","2018","English","20408978","20408986","","10.1088/2040-8986/aadb52","105602","","","","","","Journal article (JA)","The analytical expressions for the cross-spectral density, average intensity and beam propagation factors of a rectangular Laguerre-Gaussian correlated Schell-model (RLGCSM) beam propagating through isotropic non-Kolmogorov turbulence are derived. The influence of the beam and turbulence parameters on the RLGCSM beam is numerically calculated. It is shown that the evolution behavior of the average intensity depends on the beam parameters including the coherence width, beam order, as well as the propagation distance. The RLGCSM beam propagating in turbulence will exhibit self-splitting and self-combining properties, splitting into (m + 1) ×(n + 1) beam spots and combining into a Gaussian beam during propagation. The RLGCSM beam has advantages over the Gaussian Schell-model beam or Gaussian beam in turbulence for reducing turbulence-induced degradation. © 2018 IOP Publishing Ltd.","48","Gaussian beams","Atmospheric optics - Coherent light - Gaussian distribution - Spectral density - Turbulence - Turbulence models","Analytical expressions - Beam propagation factor - Cross spectral densities - Diffraction theory - Gaussian Schell-model beams - Non-Kolmogorov turbulences - Propagation distances - Turbulence parameters","711 Electromagnetic Waves - 741.1 Light/Optics - 922.1 Probability Theory","Number: 2016FA025, Acronym: -, Sponsor: -; Number: 2016HE010, Acronym: -, Sponsor: Candidate Talents Training Fund of Yunnan Province; Number: 2017YJS109, Acronym: -, Sponsor: -; Number: 61475026, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61765015, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61275135, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61108029, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work is partly supported by the National Natural Science Foundation of China (Nos. 61765015, 61475026, 61275135 and 61108029), the Top Talents Program of Yunnan Province (2016HE010), the Key Program for Basic Research of Yunnan Province of China (2016FA025), the Educational Commission of Yunnan Province of China (2017YJS109), and the Research Innovation Fund for Graduate Students of Yunnan University, Yunnan, China.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Fabrication of Cu2ZnSnS4 Films and Cells Based on Different Sputtering Methods","20184305984232","Xu, Xin (1); Jiang, Zhi (1); Li, Zhishan (1); Lu, Yilei (1); Wang, Shurong (1) ","(1) Yunnan Normal University, Key Laboratory of Rural Energy Engineering in Yunnan, Kunming; 650500, China ","Wang, Shurong(shrw88@aliyun.com) ","Kuei Suan Jen Hsueh Pao/Journal of the Chinese Ceramic Society","Kuei Suan Jen Hsueh Pao","","Chinese Ceramic Society","46","7","1011-1020","July 1, 2018","","","2018","Chinese","04545648","","","10.14062/j.issn.0454-5648.2018.07.18","","","","","","KSYHA5","Journal article (JA)","The different metallic preformed layers were deposited on Mo-coated soda lime glass (SLG) substrateby co-sputtering and separated-sputtering methods, respectively. The two kinds of preformed layers were alloyed at a low temperature and sulfurized at a high temperature sequentially to form the Cu2ZnSnS4(CZTS) films. The structural, morphological, compositional features, purity of phase and chemical information of the CZTS films were investigated. The results show that the morphologies of surfaceand cross sections of the CZTS films based on co-sputtering are better than those based on separated-sputtering. The optical-electrical properties of the films were characterized by ultraviolet-visible spectroscopy and Hall system. After annealing at 200 for 15h, the defect state density of CZTS film decreases and the mobility and diffusion coefficient of carriers in CZTS both improve. It is also indicated that the performance of the CZTS film solar cells based on co-sputtering is better than that based on separated-sputtering, and the performance of the CZTS film solar cells is improved after annealing. The maximum conversion efficiency of the fabricated CZTS film solar cell using separated-sputtering method is 3.22% with an open-circuit voltage of 722mV and a short-circuit current density of 11. 2mA/cm2, and the maximum conversion efficiency of the fabricated CZTS film solar cell with co-sputtering method is 3.88% with an open-circuit voltage of 637mV and a short-circuit current density of 15.0mA/cm2. © 2018, Editorial Department of Journal of the Chinese Ceramic Society. All right reserved.","30","Thin films","Conversion efficiency - Efficiency - Fabrication - Lime - Open circuit voltage - Optical properties - Separation - Solar cells - Sputtering - Temperature - Ultraviolet visible spectroscopy","Chemical information - Co-sputtering method - Compositional features - Cosputtering - Defect state density - Low temperatures - Sputtering methods - Sulfurization","525.5 Energy Conversion Issues - 641.1 Thermodynamics - 702.3 Solar Cells - 741.1 Light/Optics - 802.3 Chemical Operations - 804.2 Inorganic Compounds - 913.1 Production Engineering",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Intelligent monitoring system of Pu’er tea warehouse based on IoT","20191106628637","Zhou, Bing (1); Bai, Xiao-Yi (2); Wang, Dao-Han (2); Wu, Wen-Dou (3); Peng, Ya-Ping (1); Zhang, Yong (4) ","(1) Artificial Intelligence Engineering Research Center, College of Science, Yunnan Agricultural University, 650201, China (2) Yunnan Agricultural University, 650201, China (3) College of Big Data, Yunnan Agricultural University, 650201, China (4) Kunming MengDian Technology Co., Ltd, 650201, China ","","ACM International Conference Proceeding Series","ACM Int. Conf. Proc. Ser.","","Association for Computing Machinery","","","","December 7, 2018","Proceedings of the International Conference on Information Technology and Electrical Engineering, ICITEE 2018","1 of 1","2018","English","","","9781450363525","10.1145/3148453.3306251","3306251","2018 International Conference on Information Technology and Electrical Engineering, ICITEE 2018","December 7, 2018 - December 8, 2018","Guangzhou, China","145655","","Conference article (CA)","The storage of Pu’er tea face a series of problems, including tea deterioration caused by inadequate manual supervision, poor anti-interference ability of traditional remote environmental monitoring system, and the failure access different devices simultaneously. According to the architecture of IoT terminal network, in this paper we designed an intelligent monitoring system of Pu’er tea warehouse, which can access different IoT devices. The system adopts 433MHz wireless communication method to build sensor network on site, and then sets up the heterogeneous network centered on the central gateway.Through the GPRS communication mode, the collected data is uploaded to the cloud server. Cloud server complete data analysis and processing and visualization. The system has been tested in the field, the results show that environmental parameters can be collected accurately and immediately, and the loss rate of date is only 0.08%.As a result, with the realization of timeliness, accuracy and reliability of remote monitoring and control of the Pu’er tea warehouse environment. The storage quality of Pu’er tea will obtain assurance. © 2018 Association for Computing Machinery.","9","Internet of things","Cloud computing - Data handling - Data visualization - Deterioration - Digital storage - Heterogeneous networks - Intelligent control - Monitoring - Warehouses - Wireless sensor networks","CAN bus - Communication mode - Environmental monitoring system - Environmental parameter - Intelligent monitoring systems - Remote monitoring and control - Warehousing - Wireless communications","694.4 Storage - 722 Computer Systems and Equipment - 723 Computer Software, Data Handling and Applications - 951 Materials Science","","The authors wish to thank Professor Zhou Hongjie from the Tea College of Yunnan Agricultural University for his guidance on the topic selection of the thesis. And wish to thank Yunnan Diwei Avenue Tea Co., Ltd. for providing experimental sites.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
