Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Arabidopsis vq18 and vq26 proteins interact with abi5 transcription factor to negatively modulate aba response during seed germination","20184205948886","","Pan, Jinjing (1, 2); Wang, Houping (1); Hu, Yanru (1); Yu, Diqiu (1) ","(1) Key Laboratory of Tropical Plant Resources and Sustainable Use, Xishuangbanna Tropical Botanical Garden, Chinese Academy of Sciences, Kunming; Yunnan; 650223, China (2) University of Chinese Academy of Sciences, Beijing; 100049, China ","Hu, Yanru(huyanru@xtbg.ac.cn) ","Plant Journal","Plant J.","","Blackwell Publishing Ltd","95","3","529-544","August 2018","","","","2018","English","09607412","1365313X","","10.1111/tpj.13969","","","","","","PLJUED","Journal article (JA)","Seed germination and early seedling establishment, critical developmental stages in the life cycle of seed plants, are modulated by diverse endogenous hormones and the surrounding environment. Arabidopsis ABSCISIC ACID-INSENSITIVE5 (ABI5) is a central transcription factor of abscisic acid (ABA) signaling that represses those processes. ABI5 is precisely modulated at post-translational level; however, whether it interacts with other crucial transcriptional regulators remains to be investigated. In this study, VQ18 and VQ26, two members of the recently-identified VQ family, were found to interact with ABI5 in vitro and in vivo. Phenotypic analysis showed that VQ18 and VQ26 are responsive to ABA and negatively mediate ABA signaling redundantly during seed germination. Simultaneously decreasing VQ18 and VQ26 expression levels enhanced ABA signaling to suppress seed germination, whereas overexpressing these two VQ genes resulted in the germinated seeds being less ABA-sensitive. Consistently, the expression levels of several ABI5 targets were modulated by VQ18 and VQ26. The increased ABA signaling of plants in which VQ18 and VQ26 were simultaneously suppressed required ABI5. Additionally, VQ18 and VQ26 acted as negative inter-actors of the ABI5 transcription factor. Our study reveals a previously unidentified regulatory role of VQ proteins, which act antagonistically with ABI5 to maintain the appropriate ABA signaling level to fine-tune seed germination and early seedling establishment. © 2018 The Authors.","78","Seed","Cultivation - Life cycle - Proteins - Signaling - Transcription - Transcription factors","Abscisic acid - Arabidopsis thaliana - Seed germination - Vq18 - Vq26","461.9 Biology - 804.1 Organic Compounds - 821.3 Agricultural Methods - 821.4 Agricultural Products","Number: -, Acronym: -, Sponsor: Youth Innovation Promotion Association; Number: 2017HB067, Acronym: -, Sponsor: -; Number: 2016FB026, Acronym: -, Sponsor: Applied Basic Research Foundation of Yunnan Province; Number: 2014HC017, Acronym: -, Sponsor: Guangdong Innovative and Entrepreneurial Research Team Program; Number: 31670281, Acronym: -, Sponsor: National Natural Science Foundation of China; ","This work was supported by the Natural Science Foundation of China (31670281 to Yanru Hu; 31671274 to Diqiu Yu), the Yunnan Applied Basic Research Projects (2017FA005 and 2016FB026 to Yanru Hu), the Youth Innovation Promotion Association CAS (to Yanru Hu), Candidates of the Young and Middle Aged Academic Leaders of Yunnan Province (2017HB067 to Yanru Hu), and the program for Innovative Research Team of Yunnan Province (2014HC017 to Diqiu Yu). The authors thank Zhixiang Chen (Purdue University) and Arabidopsis Resource Center at Ohio State University for sharing research materials. The authors also thank the Central Laboratory of Xishuangbanna Tropical Botanical Garden, Chinese Academy of Sciences for technical supports.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Global resynchronization-based image watermarking resilient to geometric attacks","20184606062485","","Zhang, Wuyong (1, 2); Chen, Jianhua (1); Zhang, Yufeng (1) ","(1) School of Information, Yunnan University, Kunming; 650500, China (2) School of Electronic Information, Wuhan University, Wuhan; 430072, China ","Chen, Jianhua(chenjh@ynu.edu.cn) ","Computers and Electrical Engineering","Comput Electr Eng","","Elsevier Ltd","67","","182-194","April 2018","","","","2018","English","00457906","","","10.1016/j.compeleceng.2018.02.051","","","","","","CPEEBQ","Journal article (JA)","How to resist geometric attacks effectively and improve the watermark embedding capacity are still challenging tasks. An algorithm with better capabilities to resist cropping and combined attacks, as well as having a larger embedding capacity, is proposed. Feature points from the attacked image are obtained with the Speeded-Up Robust Features (SURF) algorithm. Then, they are matched with a few feature points obtained from the watermarked image. The matching point pairs are used to estimate the affine matrix, and then the geometric attacks are corrected by the inverse affine transform. Some positioning watermarks are embedded in the spatial domain to improve the accuracy of the resynchronization. Finally, the watermark is encoded by the fountain code such that the anti-cropping performance of the algorithm can be improved. The experimental results show that the proposed algorithm not only has a larger embedding capacity but also is resistant to many kinds of attacks. © 2018 Elsevier Ltd","25","Image watermarking","Affine transforms - Geometry - Image coding - Inverse problems - Matrix algebra - Watermarking","Affine matrices - Geometric attacks - Lt coding - Resynchronization - Surf algorithms","723.2 Data Processing and Image Processing - 811.1.1 Papermaking Processes - 921 Mathematics","Number: 61062005, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61561049, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported in part by the National Natural Science Foundation of China under Grant 61062005 and 61561049 .",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Determination of mineral contents of wild Boletus edulis mushroom and its edible safety assessment","20181504997921","","Su, Jiuyan (1, 2); Zhang, Ji (2, 3); Li, Jieqing (1); Li, Tao (4); Liu, Honggao (1); Wang, Yuanzhong (2, 3) ","(1) College of Agronomy and Biotechnology, Yunnan Agricultural University, Kunming, China (2) Institute of Medicinal Plants, Yunnan Academy of Agricultural Sciences, Kunming, China (3) Yunnan Technical Center for Quality of Chinese Materia Medica, Kunming, China (4) College of Resources and Environment, Yuxi Normal University, Yuxi, China ","Liu, Honggao(honggaoliu@126.com) ","Journal of Environmental Science and Health - Part B Pesticides, Food Contaminants, and Agricultural Wastes","J. Environ. Sci. Health Part B Pestic. Food Contamin. Agric. Wastes","","Taylor and Francis Inc., 325 Chestnut St, Suite 800, Philadelphia, PA 19106, United States","53","7","454-463","July 3, 2018","","","","2018","English","03601234","15324109","","10.1080/03601234.2018.1455361","","","","","","JPFCD2","Journal article (JA)","This study aimed to determine the contents of main mineral elements of wild Boletus edulis and to assess its edible safety, which may provide scientific evidence for the utilization of this species. Fourteen mineral contents (Ba, Ca, Cd, Co, Cr, Cu, Fe, Mg, Mn, Na, Ni, Sr, V and Zn) in the caps and stipes of B. edulis as well as the corresponding surface soils collected from nine different geographic regions in Yunnan Province, southwest China were determined. The analyses were performed using inductively coupled plasma atomic emission spectrometer (ICP-AES) after microwave digestion. Measurement data were analyzed using variance and Pearson correlation analysis. Edible safety was evaluated according to the provisionally tolerable weekly intake (PTWI) of heavy metals recommended by United Nations Food and Agriculture Organization and World Health Organization (FAO/WHO). Mineral contents were significantly different with the variance of collection areas. B. edulis showed relative abundant contents of Ca, Fe, Mg and Na, followed by Ba, Cr, Cu, Mn and Zn, and the elements with the lower content less were Cd, Co, Ni, Sr and V. The elements accumulation differed significantly in caps and stipes. Among them, Cd and Zn were bioconcentrated (BCF > 1) while others were bioexcluded (BCF © 2018, © 2018 Taylor & Francis Group, LLC.","72","Minerals","Atomic emission spectroscopy - Cadmium - Chemical contamination - Correlation methods - Geographical distribution - Geographical regions - Inductively coupled plasma - Safety factor - Soils","Bio-concentration factors - Boletus edulis - Correlation analysis - ICP-AES - Safety assessments",,"Number: 2016ZZX106, Acronym: -, Sponsor: -; Number: 31660591, Acronym: -, Sponsor: -; ","This research was supported by National Natural Science Foundation of China (31660591, 21667031), Science Foundation of the Yunnan Province Department of Education (2016ZZX106) and University Key Laboratory of Development and Utilization of Edible Mushroom Resources in Yunnan Province.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Halogen bonding for the design of inhibitors by targeting the S1 pocket of serine proteases","20183305679586","","Jiang, Longguang (1); Zhang, Xu (2); Zhou, Yang (1); Chen, Yayu (1); Luo, Zhipu (3); Li, Jinyu (1); Yuan, Cai (4); Huang, Mingdong (1) ","(1) College of Chemistry, Fuzhou University, Fuzhou; 350116, China (2) Center for Life Science, School of Life Sciences, Yunnan University, Kunming; 650021, China (3) Synchrotron Radiation Research Section, NCI, Argonne National Laboratory, Argonne; IL; 60439, United States (4) College of Biological Science and Engineering, Fuzhou University, Fuzhou; 350116, China ","Jiang, Longguang(jianglg@fzu.edu.cn) ","RSC Advances","RSC Adv.","","Royal Society of Chemistry","8","49","28189-28197","2018","","","","2018","English","","20462069","","10.1039/c8ra03145b","","","","","","RSCACL","Journal article (JA)","Halogen bonding (or X bonding) has attracted increasing interest due to its significant role in molecular recognition in biological systems. Trypsin-like serine proteases have many physiological and pathophysiological functions. There is therefore extensive interest in generating specific inhibitors for pharmacological intervention in their enzymatic activity. We study here if it is possible to use halogenated compounds as the P1 group to bind to the S1 specificity pocket of trypsin-like serine proteases to avoid the low bioavailability of the amidine or guanidine P1 group that is typically used in many inhibitors. We used 4-chlorobenzylamine (ClBA), 4-bromobenzylamine (BrBA) and 4-iodobenzylamine (IBA) as probes to test their binding modes to a trypsin-like serine protease, urokinase-type plasminogen activator (uPA), which has been recognized as a marker for breast cancer and an important target for inhibitor development. The results showed that these compounds inhibited uPA with stronger efficacies compared with their non-halogenated analogues. We also determined the high-resolution crystal structures of uPA in complex with BrBA and IBA, respectively. The structures revealed that BrBA bound to the S1 pocket of uPA via halogen bonds, but IBA did not make halogen bonds with uPA, demonstrating that the iodine may not be the best choice as a target moiety for serine proteases. These results advocate halogen bonding, especially bromine bonding, as an efficient strategy for the future design of novel inhibitors against trypsin-like serine proteases to provide strong potency and promote bioavailability. © 2018 The Royal Society of Chemistry.","59","Enzyme activity","Amino acids - Binding energy - Biochemistry - Crystal structure - Halogenation","Efficient strategy - Enzymatic activities - Halogenated compounds - High resolution crystal structure - Pathophysiological - Specific inhibitors - Trypsin-like serine protease - Urokinase-type plasminogen activator (uPA)","461.9 Biology - 801.2 Biochemistry - 801.4 Physical Chemistry - 802.2 Chemical Reactions - 804.1 Organic Compounds - 933.1.1 Crystal Lattice","Number: 2017T010, Acronym: -, Sponsor: -; Number: 2017YFE0103200, Acronym: -, Sponsor: -; Number: 2018J01729, Acronym: -, Sponsor: Department of Education, Fujian Province; Number: -, Acronym: ESRF, Sponsor: European Synchrotron Radiation Facility; Number: 31370737, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 31670739, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 31400637, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 31570745, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","We are grateful to the Shanghai Synchrotron Radiation Facility and the scientists at beam line BL17U for assistance with X-ray data collection. This work was supported by grants from National Key R&D Program of China (2017YFE0103200), Natural Science Foundation of China (31370737, 31400637, 31570745 and 31670739) and Fujian province (2018J01729), Fuzhou University Testing Fund of Precious Apparatus (2017T010).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Dual Ag electrodes for semitransparent organic light-emitting diodes","20181004883324","","Qian, Min (1, 2, 3, 4); Liu, Quan (5); Li, Wen-Shi (1); Man, Jia-Xiu (6); Zhao, Yong-Biao (4, 6); Lu, Zheng-Hong (4, 6) ","(1) Microelectronics Department, Soochow University, Suzhou; Jiangsu; 215006, China (2) WENZHENG College, Soochow University, Suzhou; Jiangsu; 215104, China (3) Jiangsu Key Laboratory for Carbon-Based Functional Materials & Devices, Institute of Functional Nano & Soft Materials (FUNSOM), Soochow University, Suzhou; Jiangsu; 215123, China (4) Department of Materials Science and Engineering, University of Toronto, Toronto; Ontario; M5S3E4, Canada (5) School of Optoelectronic Information Science and Engineering, Soochow University, Suzhou; Jiangsu; 215006, China (6) Department of Physics, Yunnan University, Kunming; Yunnan; 650091, China ","Qian, Min(qianmin@suda.edu.cn) ","Organic Electronics","Org. Electron","","Elsevier B.V.","57","","98-103","June 2018","","","","2018","English","15661199","","","10.1016/j.orgel.2018.02.028","","","","","","OERLAU","Journal article (JA)","Thick ReO3 film (>30 nm) is found to serve as an active hole-injecting layer as well as a passive buffer layer to suppress point discharge of Ag anode. This buffered Ag electrode enables fabrication of transparent organic light emitting diodes (TOLEDs). The excellent conductivity of ReO3, second only to metal amongst oxide semiconductors, is made possible to use a thick hole-injecting buffer layer. The use of thick ReO3 layer alleviates strong local electric field on a rough electrode surface. For device optical design, the transfer matrix method is used to provide theoretical guidance on electrode fabrication. Based on microcavity theory in TOLEDs, the optical path parameters are also optimized to the thicknesses of different functional organic films. To test the device performance, we fabricated normal fluorescent green Alq3 devices. The data show that TOLEDs with ReO3-buffered Ag electrodes have good photochromic uniformity on both sides of the devices. © 2018 Elsevier B.V.","19","Organic light emitting diodes (OLED)","Buffer layers - Electric discharges - Electrodes - Optical design - Oxide semiconductors - Rhenium compounds - Semiconductor diodes - Silver - Transfer matrix method","Ag electrode - Anti-short circuit layer - Device performance - Electrode fabrication - Local electric field - Rough electrode surface - Transparent OLED - Transparent organic light emitting diodes","547.1 Precious Metals - 701.1 Electricity: Basic Concepts and Phenomena - 714.2 Semiconductor Devices and Integrated Circuits - 741.1 Light/Optics - 921 Mathematics - 933.1 Crystalline Solids","Number: -, Acronym: -, Sponsor: Priority Academic Program Development of Jiangsu Higher Education Institutions; Number: BK20130288, Acronym: -, Sponsor: Natural Science Foundation of Jiangsu Province; Number: -, Acronym: -, Sponsor: Priority Academic Program Development of Jiangsu Higher Education Institutions; Number: 61307036, Acronym: -, Sponsor: National Natural Science Foundation of China; ","This work was supported by the Natural Science Foundation of China (Nos. 61177016 , and 61307036 ). This is also a project funded by the Priority Academic Program Development of Jiangsu Higher Education Institutions ( PAPD ), and by the Natural Science Foundation of Jiangsu Province of China ( BK20130288 ), 2016 Jiangsu Provincial Government Scholarship for Overseas Studies.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Target illusion by shifting a distance","20183805837279","","Yang, Chengfu (1); Huang, Ming (1); Yang, Jingjing (2); Mao, Fuchun (1); Li, Tinghua (3) ","(1) School of Information Science and Engineering, Yunnan University, Kunming; 650091, China (2) Wireless Innovation Lab. of Yunnan University, Kunming; 650091, China (3) Center of China Tobacco Yunnan Industrial Co. Ltd, Kunming; 65023, China ","","Optics Express","Opt. Express","","OSA - The Optical Society","26","19","24280-24293","September 17, 2018","","","","2018","English","","10944087","","10.1364/OE.26.024280","","","","","","","Journal article (JA)","A novel homogeneous illusion device with arbitrary polygonal cross section that acts as either invisible cloak or shifting medium has been proposed and designed based on coordinate transformation method. The material parameters of the device are derived and the effectiveness is verified by full-wave simulation. Results show that whether the illusion device acts as invisible cloak or shifting medium depends on a value of shifting distance which is about 2a (a is circum-radius of the outer polygon).When the shifting distance is larger than 2a, the illusion device acts as an invisible cloak, and otherwise it acts as shifting medium. The stealth effect of all kinds of illusion devices are investigated, including identical-size mapped polygonal devices or non-identical size mapped polygonal devices. The results show that the device is a novel interactive cloak and is different from pre-proposed cloaks. The shifting properties of the device are validated by two examples, including moving the target object virtually and generating illusionary image of a line source. The material parameters of the device are homogeneous, which makes it more practicable in reality. It is hoped that our works may open an avenue for designing novel invisible cloaks, and are helpful for speeding up the potential applications of the illusion devices, such as aircraft or military equipment stealth, target objects camouflage or protection. © 2018 Optical Society of America.","34","Invisibility cloaks","Military applications","Coordinate transformation methods - Full-wave simulations - Invisible cloaks - Line sources - Material parameter - Non-identical - Outer polygon - Target object","404.1 Military Engineering - 951 Materials Science","Number: 61461052, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 11564044, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61863035, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","National Natural Science Foundation of China (61461052, 11564044, 61863035).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on Modal Parameter Identification Method of Power Transformer Winding","20184606054968","","Yu, Hong (1); Kong, Liuyang (2, 3) ","(1) Electrical Research Institute of Yunnan Power Grid Co., Ltd., Kunming; 650051, China (2) North China Electric Power University, Baoding; 10079, China (3) Graduate Workstation of Yunnan Power Grid Co., Ltd., Kunming; 650051, China ","","Chinese Control Conference, CCC","Chinese Control Conf., CCC","Academy of Mathematics and Systems Science (AMSS), CAS; China Society for Industrial and Applied Mathematics; et al.; Huazhong University of Science and Technology; Hubei Association of Automation; Wuhan University of Science and Technology","IEEE Computer Society","2018-July","","5681-5686","October 5, 2018","Proceedings of the 37th Chinese Control Conference, CCC 2018","","1 of 1","2018","English","19341768","21612927","9789881563941","10.23919/ChiCC.2018.8483305","8483305","37th Chinese Control Conference, CCC 2018","July 25, 2018 - July 27, 2018","Wuhan, China","140634","","Conference article (CA)","With the increasing capacity of China's power grid, as power transformer is the core equipment of power system, whose the operation reliability of becomes more and more important. In order to ensure the safe operation of transformer, aiming at the problems of complex transformer winding, the dense modal parameters and the large damping, the modal experiment and vibration characteristic test of the large 110kV entity transformer are carried out. This experiment achieve a study of the method of modal parameter identification of transformer winding which based on EMD(Empirical Mode Decomposition),and compares the recognition results with the existing modal parameters identification results such as Ploymax. The results show that the identification method of transformer winding modal parameters based on empirical mode decomposition has higher recognition accuracy. © 2018 Technical Committee on Control Theory, Chinese Association of Automation.","6","Parameter estimation","Composite beams and girders - Electric power transmission networks - Electric transformer testing - Modal analysis - Power transformers - Signal processing - Transformer windings - Winding","Empirical Mode Decomposition - Identification method - Increasing capacities - Modal parameter identification - Modal parameters identification - Operation reliability - Recognition accuracy - Vibration characteristics","412 Concrete - 691.2 Materials Handling Methods - 704.1 Electric Components - 706.1.1 Electric Power Transmission - 706.2 Electric Power Lines and Equipment - 716.1 Information Theory and Signal Processing - 921 Mathematics",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Active Power Control Strategy of Wind Farms Based on Wind Turbine Regulation Ability Ranking","20184606072755","","Deng, Heming (1); Tang, Liangliang (1); Wu, Xiaogang (2); Qiao, Ying (3); Liu, Fei (1) ","(1) Wuhan NARI Limited Liability Company, State Grid Electric Power Research Institute, Wuhan; Hubei; 430074, China (2) Yunnan Electric Power Dispatching Control Center, Kunming; Yunnan; 650011, China (3) State Key Lab. of Power System, Dept. of Electrical Engineering, Tsinghua University, Haidian District, Beijing; 100084, China ","","Dianwang Jishu/Power System Technology","Dianwang Jishu","","Power System Technology Press","42","8","2577-2584","August 5, 2018","","","","2018","English","10003673","","","10.13335/j.1000-3673.pst.2017.2437","","","","","","DIJIES","Journal article (JA)","Scientific and effective real-time active power control strategy of wind farm can fully exploit potential of active control of wind farms and improve ability of wind farms to participate in power system dispatching. A real-time active power control strategy for wind farms based on regulation ability of wind turbines is proposed. The statistics of real-time output, power regulation rate and so on are selected as evaluation indexes, then entropy decision method and fuzzy theory are used to quantify the active regulation ability of wind turbines. Combined with operation status of turbines and information of ultra short-term forecast, the turbines in wind farms are classified into several types. Finally, according to turbine classification results and the sort table of active power regulation ability, the real-time output of wind turbines is adjusted. A case study is performed based on a wind farm in Northern China, showing validity of the proposed strategy. © 2018, Power System Technology Press. All right reserved.","15","Power control","Decision theory - Electric power system interconnection - Electric utilities - Energy policy - Wind power - Wind turbines","Active power control - Active power regulations - Classification results - Power forecast - Power system dispatching - Real-time operation - Regulation ability - Short-term forecasts","525.6 Energy Policy - 615.8 Wind Power (Before 1993, use code 611 ) - 706.1 Electric Power Systems - 731.3 Specific Variables Control - 961 Systems Science",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study on the Reserved Deformation of Large Section Soft Rock Highway Tunnel Based on Monitoring Measurement","20191306696997","","Zhang, Chengliang (1); Lv, Wenqian (1); Liu, Lei (1); Wang, Chao (1) ","(1) Faculty of Land Resources Engineering, Kunming University of Science and Technology, Kunming, Yunnan; 650093, China ","Zhang, Chengliang(zclky78@163.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","452","2","","December 13, 2018","2018 3rd International Conference on Insulating Materials, Material Application and Electrical Engineering - Materials Processing and Material Application","","2 of 4","2018","English","17578981","1757899X","","10.1088/1757-899X/452/2/022099","022099","2018 3rd International Conference on Insulating Materials, Material Application and Electrical Engineering, IMMAEE 2018","September 15, 2018 - September 16, 2018","Melbourne, VIC, Australia","146105","","Conference article (CA)","Large section soft rock highway tunnel has the construction of large highway engineering. In the process of excavation, large section highway tunnel is prone to large deformation with the poor stability of surrounding rock and complex stress. We determined the deformation of the large section soft rock highway tunnel. Through a comprehensive code comparison, based on the scene early monitoring, the paper guaranteed the quality of the reserved deformation rate of the tunnel, which was optimized and verified in engineering practice based on monitoring and measurement in a certain quality assurance rate. The reserved deformation of rock mass was feasible, fully reflecting the characteristics of information construction methods. It provides reference for identifying similar construction of soft rock highway tunnel with large cross section deformation. © Published under licence by IOP Publishing Ltd.","6","Tunnels","Deformation - Highway engineering - Insulating materials - Quality assurance - Rocks","Code comparisons - Deformation of rock mass - Deformation rates - Engineering practices - Information construction - Large cross-sections - Monitoring and measurements - Monitoring measurements","401.2 Tunnels and Tunneling - 413 Insulating Materials - 913.3 Quality Assurance and Control",,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Physical model test on large deformation mechanism and key treatment techniques of tunnel","20191306701246","","Yang, Zhong-Min (1); Gao, Yong-Tao (1); Wu, Shun-Chuan (1, 2); Zhou, Yu (1) ","(1) Key Laboratory of Ministry of Education for Efficient Mining and Safety of Metal Mine, University of Science and Technology Beijing, Beijing; 100083, China (2) Faculty of Land Resources Engineering, Kunming University of Science and Technology, Kunming; Yunnan; 650093, China ","Gao, Yong-Tao(gaoyongtao@vip.sina.com) ","Yantu Lixue/Rock and Soil Mechanics","Rock Soil Mech","","Academia Sinica","39","12","4482-4492","December 10, 2018","","","","2018","Chinese","10007598","","","10.16285/j.rsm.2018.0542","","","","","","","Journal article (JA)","The large deformation is one of tunnel disasters that cannot be completely avoided. When the tunnel is not properly treated after large deformation, it is likely to cause secondary disasters such as arches multiple replacement or tunnel collapses. With the self-designed excavation device and the internal displacement-measuring device for surrounding rock, a physical model test system was used to investigate the tunnel progressive failure, deformation and stress variation during tunnel excavation and buried depth increasing, thus revealing the key supporting parts to prevent large deformation of tunnels. Furthermore, the failure characteristics of the primary lining during large deformation treatment was also studied, and the supporting measures for large deformation treatment were defined. The results are summarised as follows. During the large deformation of the tunnel, the deformation of the vault and the arch bottom are larger than that of the arch waist and arch foot, and the difference increases gradually with the increase of buried depth. The radial and tangential stresses of the vault of tunnel decrease during the large deformation, while the tangential stress of the arch foot increases sharply. When the deformed arch frame is replaced, there may be tension failure at the lining arch near the replacement position, and shear failure at the lining arch waist. Therefore, it is necessary to retain the temporary steel support when the large deformation is observed, and the bottom horizontal support or the temporary inverted arch should be added. This study is helpful to obtain the key prevention and control location during and after the large deformation, which provides guidance and reference for the prevention and safe treatment of large deformation. © 2018, Science Press. All right reserved.","26","Deformation","Arches - Disasters - Excavation - Linings","Deformation and stress - Deformation mechanism - Displacement measuring - Failure characteristics - Key parts - Physical model test - Prevention and controls - Progressive failure","408.2 Structural Members and Shapes - 951 Materials Science","Number: Z151100000315014, Acronym: -, Sponsor: -; ","收稿日期：2018-04-04 基金项目：科技北京百名领军人才培养工程（No.Z151100000315014）。 This work was supported by the Beijing Training Project for the Leading Talents in S & T (Z151100000315014). 第一作者简介：杨忠民，男，1988 年生，博士研究生，主要从事隧道工程和采矿工程方面的研究工作。E-mail: yangzhongmin2010@163.com 通讯作者：高永涛，男，1962 年生，博士，教授，博士生导师，主要从事岩土工程、采矿工程方面的教学与研究工作。E-mail: gaoyongtao@vip.sina.com",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
