Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Modelling daily mean surface air temperature calculated from different methods and its impact on urban-related warming evaluations over Guangzhou and Shenzhen using the WRF model","20190506448463","","Zhao, Deming (1); Wu, Jian (2) ","(1) CAS Key Laboratory of Regional Climate-Environment for Temperate East Asia, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing; 100029, China (2) Department of Atmospheric Science, Yunnan University, Kunming; 650091, China ","Zhao, Deming(zhaodm@tea.ac.cn) ","Atmosphere","Atmosphere","","MDPI AG, Postfach, Basel, CH-4005, Switzerland","10","2","","January 27, 2019","","","2019","English","","20734433","","10.3390/atmos10020048","48","","","","","","Journal article (JA)","The impacts of urban surface expansion, based on satellite-derived data displaying urban surface expansion in China at different spatial scales from 1980 to 2016, were investigated using nested dynamical downscaling methods with the Weather Research and Forecasting (WRF) regional climate model at a 3.3-km resolution over a city and city cluster scale. Urban-related warming, based on daily mean surface air temperature at 2 m (SAT), calculated from the averages of four time records each day (00, 06, 12, and 18 h UTC, T4) and averages of SAT maximum (Tmax) and minimum (Tmin) (Txn), was evaluated. Differences in urban-related warming contributions calculated using T4 and Txn were small, whereas annual mean SAT and trends calculated using Txn were respectively and significantly larger and smaller than those calculated using T4 over Guangzhou and Shenzhen, excluding the trends over middle-northern Shenzhen. The differences in annual mean SAT calculated using T4 and Txn are attributed to nonlinear or asymmetric variations with time for the diurnal cycle of SAT. Meanwhile, differences in trends between T4 and Txn are interpreted as a strong trend for Tmin and a weak one for Tmax, which mitigated the trend for Txn. The impacts on the evaluations of urban-related warming contributions calculated from different methods were the largest over the areas classified as urban surfaces in both time periods (U2U), especially during intense urban-surface-expansion periods between 2000 and 2016. The subregional performances in the changes in annual mean SAT, trends, and urban-related warming are attributed to urban-surface-expansion, which induced varied changes in the diurnal cycle due to asymmetric warming during the daytime and nighttime over different subregions. © 2018 by the authors.","28","Atmospheric temperature","Climate models - Weather forecasting","Asymmetric warming - Dynamical downscaling - Surface air temperatures - Trend - Urban-related warming","443 Meteorology - 443.1 Atmospheric Properties","Number: XDA05090206, Acronym: -, Sponsor: Chinese Academy of Sciences Key Technology Talent Program; Number: 2011CB952003, Acronym: -, Sponsor: -; Number: 2018YFA0606004, Acronym: -, Sponsor: -; Number: -, Acronym: -, Sponsor: Jiangsu Collaborative Innovation Center for Climate Change; Number: 41675149, Acronym: -, Sponsor: National Natural Science Foundation of China; ","Funding: This research was funded by the National Key R&D Program of China under grant no. 2018YFA0606004; the National Natural Science Foundation of China under grant no. 41775087, 41675149, and 41530532; the Chinese Academy of Sciences Strategic Priority Program under grant no. XDA05090206; the National Key Basic Research Program on Global Change under grant no. 2011CB952003; and the Jiangsu Collaborative Innovation Center for Climatic Change. The authors thank the reviewers for their numerous valuable comments to improve the manuscript.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Bayesian adaptive Lasso for quantile regression models with nonignorably missing response data","20190306386393","","Xu, Dengke (1, 2); Tang, Niansheng (1) ","(1) Department of Statistics, Yunnan University, Kunming, China (2) Department of Statistics, Zhejiang Agriculture and Forestry University, Hangzhou, China ","Xu, Dengke(xudengke1983@163.com) ","Communications in Statistics: Simulation and Computation","Commun. Stat. Simul. Comput.","","Taylor and Francis Inc., 325 Chestnut St, Suite 800, Philadelphia, PA 19106, United States","48","9","2727-2742","October 21, 2019","","","2019","English","03610918","15324141","","10.1080/03610918.2018.1468452","","","","","","","Journal article (JA)","Handling data with the nonignorably missing mechanism is still a challenging problem in statistics. In this paper, we develop a fully Bayesian adaptive Lasso approach for quantile regression models with nonignorably missing response data, where the nonignorable missingness mechanism is specified by a logistic regression model. The proposed method extends the Bayesian Lasso by allowing different penalization parameters for different regression coefficients. Furthermore, a hybrid algorithm that combined the Gibbs sampler and Metropolis-Hastings algorithm is implemented to simulate the parameters from posterior distributions, mainly including regression coefficients, shrinkage coefficients, parameters in the non-ignorable missing models. Finally, some simulation studies and a real example are used to illustrate the proposed methodology. © 2019, © 2019 Taylor & Francis Group, LLC.","27","Regression analysis","Data handling","Adaptive lassos - Gibbs samplers - Logistic Regression modeling - Metropolis-Hastings algorithm - Missing data - Posterior distributions - Regression coefficient - Shrinkage coefficients","723.2 Data Processing and Image Processing - 922.2 Mathematical Statistics",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Photometric analysis for the slow rotating asteroid (103) Hera using convex inversion and Lommel-Seeliger ellipsoid methods","20190606474525","","Wang, Ao (1, 2, 3); Wang, Xiaobin (1, 2, 3); Muinonen, Karri (4, 5); Han, Xianming L. (6) ","(1) Yunnan Observatories, Chinese Academy of Sciences, Kunming; 650216, China (2) Key Laboratory for the Structure and Evolution of Celestial Objects, Chinese Academy of Sciences, Kunming; 650216, China (3) University of Chinese Academy of Sciences, Beijing; 100049, China (4) Department of Physics, University of Helsinki, Gustaf Hällströmin katu 2a, P.O. Box 64, Helsinki; FI-00014 U, Finland (5) Finnish Geospatial Research Institute, Geodeetinrinne 2, Masala; FI-02430, Finland (6) Department of Physics and Astronomy, Butler University, Indianapolis; IN; 46208, United States ","Wang, Xiaobin(wangxb@ynao.ac.cn) ","Planetary and Space Science","Planet. Space Sci.","","Elsevier Ltd","167","","17-22","March 2019","","","2019","English","00320633","","","10.1016/j.pss.2019.01.007","","","","","","PLSSAE","Journal article (JA)","The shapes and rotational states of main-belt asteroids are important for understanding their formation and evolution. Available photometric data of asteroids are biased due to selection effects, including the relative paucity of analyses of slowly rotating objects. In order to get photometric data of slowly rotating asteroids, an international joint observation project has been carried out since 2015 using Chinese and SARA (Southeastern Association for Research in Astronomy) telescopes. In this paper, the photometric data of one of this project targets – (103) Hera were analyzed using the convex inversion method and Lommel-Seeliger ellipsoid model. Combining existing and new photometric data, we re-calculated the shape and spin parameters for (103) Hera. Using a convex shape method, a pair of poles are derived for (103) Hera – (83.0,39.0) and (269.7,56.8) in ecliptic frame. The spin periods corresponding to these poles are very close – 23.74264 h and 23.74267 h respectively. Meanwhile, the same data were analyzed using the Lommel-Seeliger ellipsoid inversion method and a pair of pole solutions – (74.1,39.0) and (263.1,51.0) with a spin period of 23.74262 h and 23.74263 h respectively are derived. Based on the derived shape of (103) Hera, we have fitted the H, G1, G2 phase function using the calibrated data after removing effects of aspheric shape. As a result, we estimated its absolute magnitude H = 8.92 mag with two phase function parameters G1 = 0.13 and G2 = 0.45. © 2019 Elsevier Ltd","35","Photometry","Asteroids - Poles","Convex shapes - Ellipsoid - Ellipsoid method - Formation and evolutions - Inversion methods - Lightcurve inversion - Rotating objects - Rotational state",,"Number: -, Acronym: Butler, Sponsor: Butler University; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 11073051, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 11673063, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Supported by the National Natural Science Foundation of China.This work was funded by the National Natural Science Foundation of China (Grant Nos. 11073051 and 11673063). We would like to thank Dr. Frank H. Levinson for his generous financial support that enabled Butler University joining the SARA telescope consortium and upgrading the Holcomb Observatory. We would like to thank Prof. Alberto Cellino and another anonymous reviewer for their constructive suggestions.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Optimization of glass properties by substituting AgI with Ag2S in chalcogenide system","20193407327319","","Ma, Baochen (1); Jiao, Qing (1); Zhang, Yeting (1); Sun, Xing (2); Yin, Guoliang (2); Zhang, Xianghua (3); Ma, Hongli (3); Liu, Xueyun (1); Dai, Shixun (1) ","(1) Laboratory of Infrared Material and Devices, Advanced Technology Research Institute, Ningbo University, Ningbo; 315211, China (2) Yunnan KIRO-CH Photonics Co., Ltd, Economic and Technological Development Zone, No. 5 Hongwai Road, Kunming, China (3) Laboratory of Glasses and Ceramics, Institute of Chemical Science, UMR CNRS, 6226, University of Rennes 1, Rennes, France ","Jiao, Qing(jiaoqing@nbu.edu.cn) ","Ceramics International","Ceram Int","","Elsevier Ltd","45","17","22694-22698","1 December 2019","","","2019","English","02728842","","","10.1016/j.ceramint.2019.07.305","","","","","","CINNDH","Journal article (JA)","GaSbS–AgI–Ag2S glass system was successfully prepared through the traditional method of vacuum melt quenching. The network structure and physical properties of the system response to the substitution of AgI with Ag2S were investigated by differential scanning calorimeter (DSC), Raman, and electrochemical impedance spectroscopic techniques. The glass transition temperature (Tg), density and hardness of the glass system improved as Ag2S content was increased. The ionic conductivity (room temperature) of the glass system was maintained at the order of ~10−4 S/cm when a high concentration of Ag+ was introduced in the glass matrix. The variation in conductivity originated from structural changes in ionic channels. The optimal glass composition for improving the mechanical and thermal stability and conductivity of solid-state electrolyte materials was inferred from analytical results. © 2019 Elsevier Ltd and Techna Group S.r.l.","23","Glass transition","Chalcogenides - Differential scanning calorimetry - Glass - Silver halides - Solid electrolytes","Chalcogenide glass - Conductive properties - Differential scanning calorimeters - Electrochemical impedance - Ionic channels - Silver doping - Solid-state electrolyte - Spectroscopic technique","802.3 Chemical Operations - 803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products Generally - 804.2 Inorganic Compounds - 812.3 Glass - 944.6 Temperature Measurements","Number: 2018A610140, Acronym: -, Sponsor: Natural Science Foundation of Ningbo; Number: 2016YFB0303802, Acronym: -, Sponsor: National Basic Research Program of China (973 Program); Number: XYL18015, Acronym: -, Sponsor: -; Number: -, Acronym: -, Sponsor: Ningbo University; Number: 61605093, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was financially supported by National Natural Science Foundation of China (Grant no. 61605093 and 51702172 ), Natural Science Foundation of Ningbo City (No. 2018A610140 ), National Key Research and Development Program of China (No. 2016YFB0303803 and 2016YFB0303802 ), Science Research Fund Project of Ningbo University (Grant Nos. XYL18015 ) and sponsored by K. C. Wong Magna Fund in Ningbo University .",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on Real-time Pricing Strategy of Smart Grid Based on Behavioral Economics","20193307319188","","Yan, Leping (1); Li, Yan (1); Xu, Tianqi (1); Wang, Shouda (1); Zhang, Xin (1) ","(1) School of Electrical and Information Engineering, Yunnan Minzu University, Kunming, Yunnan; 650500, China ","Li, Yan(liyan.hust@gmail.com) ","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","","Institute of Physics Publishing","295","4","","July 26, 2019","2019 5th International Conference on Energy Materials and Environment Engineering - Water Conservancy and Civil Engineering","4 of 5","2019","English","17551307","17551315","","10.1088/1755-1315/295/4/042121","042121","2019 5th International Conference on Energy Materials and Environment Engineering, ICEMEE 2019","April 12, 2019 - April 14, 2019","Kuala Lumpur, Malaysia","150130","","Conference article (CA)","With the rapid development of economy and the acceleration of the construction of smart grid, great changes have taken place in China's electricity market. New pricing mechanism has emerged in the electricity market. Real-time pricing (RTP) demand side management has been applied to smart grid, which improves the operation mode of power market, dynamically reflects the process of power resources being absorbed and improves the stability and security of power system. The article obtains from the power companies and users, compares several common pricing mechanisms, reasonably analyses the users' responses under real-time pricing, formulates a more efficient real-time pricing mechanism, presents a modeling method for generating companies directly to users and maximizes their utility, establishes a mufti-layer interactive model of real-time pricing, improves the transparency of electricity prices in the power market, and encourages users to choose their own electricity and actively participate in the regulation of power market. According to elastic price lever, it can give rise to adjust the balance between supply and demand of power market, optimize the daily load curve of users, reduce the peak-valley difference of power supply of power grid companies and improve the stability of power system. © 2019 IOP Publishing Ltd. All rights reserved.","8","Smart power grids","Commerce - Costs - Curve fitting - Electric industry - Electric power system stability - Electric power transmission networks - Electric utilities - Power markets - Water management","Behavioral economics - China's electricities - Daily load curves - Electricity prices - Generating companies - Interactive modeling - Power grid company - Stability of power system","706.1 Electric Power Systems - 706.1.1 Electric Power Transmission - 911 Cost and Value Engineering; Industrial Economics - 921.6 Numerical Methods","Number: 61761049, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by Natural Science Foundation of China (NSFC) under 61761049.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Assessing the antioxidant, cytotoxic, apoptotic and wound healing properties of silver nanoparticles green-synthesized by plant extracts","20191306715596","","Ahn, Eun-Young (1); Jin, Hang (2); Park, Youmie (1) ","(1) College of Pharmacy and Inje Institute of Pharmaceutical Sciences and Research, Inje University, 197 Inje-ro, Gimhae; Gyeongnam; 50834, Korea, Republic of (2) Institute of Medicinal Plants, Yunnan Academy of Agricultural Sciences, 2238 Beijing Road, Kunming; Yunnan Province; 650205, China ","Park, Youmie(youmiep@inje.ac.kr) ","Materials Science and Engineering C","Mater. Sci. Eng. C","","Elsevier Ltd","101","","204-216","August 2019","","","2019","English","09284931","18730191","","10.1016/j.msec.2019.03.095","","","","","","","Journal article (JA)","We synthesized silver nanoparticles using thirty Chinese plant extracts via a green synthetic strategy. UV–visible spectra showed that the silver nanoparticles have an absorbance at 450 nm. Among the thirty extracts, seven extracts (Cratoxylum formosum, Phoebe lanceolata, Scurrula parasitica, Ceratostigma minus, Mucuna birdwoodiana, Myrsine africana and Lindera strychnifolia) exhibited the successful synthesis of silver nanoparticles. These seven extracts showed higher 2,2-diphenyl-1-picrylhydrazyl (DPPH) radical scavenging activity and reducing power than the other extracts. The silver nanoparticles synthesized using these seven extracts were mostly spherical with high colloidal stability. The cytotoxicity of these seven silver nanoparticle samples on human lung cancer cells (A549) was clearly higher than that of the extracts alone. Furthermore, the cytotoxicity was affected by the presence or absence of fetal bovine serum. Moreover, the cytotoxicity of the silver nanoparticles synthesized with Cratoxylum formosum and Mucuna birdwoodiana extracts resulted in apoptotic cell death in A549 cells. The wound healing activity observed by the cell scratch method on mouse fibroblast cells (NIH3T3) suggested that the Lindera strychnifolia extract produced silver nanoparticles with decent activity. These results provide ample and systematic information for researchers on the green synthesis of silver nanoparticles using plant extracts. © 2019 Elsevier B.V.","41","Plant extracts","Antioxidants - Cell culture - Cell death - Cytotoxicity - Mammals - Metal nanoparticles - Silver nanoparticles - Synthesis (chemical)","2 ,2-diphenyl-1-picrylhydrazyl - Anti-oxidant activities - Apoptotic cell death - Green synthesis - Human lung cancer cells - Radical scavenging activity - Synthetic strategies - Wound healing","461.9 Biology - 761 Nanotechnology - 802.2 Chemical Reactions - 803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products Generally","Number: NRF-2015R1D1A1A09059054, Acronym: MOE, Sponsor: Ministry of Education; ","This work was supported by the National Research Foundation of Korea (NRF) through a grant funded by the Korean Government by the Ministry of Education (NRF-2015R1D1A1A09059054). The authors thank Ms. Hye Eom Jung for optimizing the synthetic conditions for the silver nanoparticles.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"CoNi-doped C–N/CNT nanocomposites as cathodic catalysts of neutral Zn–air battery","20191906901008","","Yang, Xiaokun (1); Yi, Qingfeng (1, 2, 3); Sheng, Kuang (1); Wang, Ting (1) ","(1) School of Chemistry and Chemical Engineering, Hunan University of Science and Technology, Xiangtan; Hunan; 411201, China (2) Hunan Provincial Key Lab of Advanced Materials for New Energy Storage and Conversion, Xiangtan; 411201, China (3) The State Key Laboratory of Pressure Hydrometallurgical Technology of Associated Nonferrous Metal Resources, Kunming; Yunnan; 650503, China ","Yi, Qingfeng(yqfyy2001@hnust.edu.cn) ","Ionics","Ionics","","Institute for Ionics","25","10","4817-4830","October 1, 2019","","","2019","English","09477047","18620760","","10.1007/s11581-019-03022-4","","","","","","","Journal article (JA)","A neutral zinc–air battery has unique characteristics. One of the key issues for its normal operation is how to ensure that the cathode catalyst can effectively electrocatalyze oxygen reduction reaction (ORR) in a neutral solution. Here, we report a simple preparation of CoNi-doped C–N/CNT nanocomposite catalysts (CoNi/C–N/CNT) by pyrolysis of a mixture of nickel/cobalt salt, carbon nanotube (CNT), dicyandiamide (DCD), and ethylenediamine. The prepared CoNi/C–N/CNT nanocatalysts are composed of CoNi nanoparticles, hollow tubular C–N nanocomposites obtained from CoNi salts and DCD, and CNT added. Among the synthesized catalysts, the Co3Ni2/C–N/CNT45 has a high and stable ORR current density of 6.2 mA cm−2 in 0.5 mol L−1 KNO3 solution. Neutral Zn–air battery with the carbon paper coated with the CoNi/C–N/CNT nanocomposite as an air electrode and metal Zn as an anode was assembled. For the catalyst Co3Ni2/C–N/CNT45, the neutral Zn–air battery in 0.5 mol L−1 KNO3 solution presents an open-circuit voltage of 1.16 V and a maximum power density of 50.1 mW cm−2. Moreover, the constant discharging current density of 100 and 150 mA cm−2 can last respectively 88 and 28 h until complete consumption of the Zn foil anode. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.","65","Zinc air batteries","Anodes - Carbon nanotubes - Cobalt alloys - Electrolytic reduction - Nanocatalysts - Nanocomposites - Open circuit voltage - Potash - Potassium Nitrate - Yarn - Zinc compounds","Discharging current - Ethylene diamine - Maximum power density - Nanocomposite catalyst - Neutral solution - Non-precious metal catalysts - Normal operations - Oxygen reduction reaction","533.1 Ore Treatment - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 714.1 Electron Tubes - 761 Nanotechnology - 804.2 Inorganic Compounds - 819.4 Fiber Products - 933 Solid State Physics","Number: yy20160012, Acronym: -, Sponsor: -; Number: 21875062, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Funding information Financial support of this work was provided by the National Natural Science Foundation of China (21875062). The authors also received financial support from State Key Laboratory of Pressure Hydrometallurgical Technology of Associated Nonferrous Metal Resources (yy20160012), China.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Role of media composition in biomass and astaxanthin production of Haematococcus pluvialis under two-stage cultivation","20190206346677","","Zhao, Yongteng (1); Yue, Chenchen (1); Geng, Shuxiang (2); Ning, Delu (2); Ma, Ting (2); Yu, Xuya (1) ","(1) Faculty of Life Science and Technology, Kunming University of Science and Technology, Kunming; 650500, China (2) Yunnan Academy of Forestry, Kunming; 650051, China ","Yu, Xuya(xuya_yu@163.com) ","Bioprocess and Biosystems Engineering","Bioprocess Biosyst. Eng.","","Springer Verlag","42","4","593-602","April 9, 2019","","","2019","English","16157591","16157605","","10.1007/s00449-018-02064-8","","","","","","BBEIBV","Journal article (JA)","In the present study, the effects of four different culture media on the growth, astaxanthin production and morphology of Haematococcus pluvialis LUGU were studied under two-step cultivation. The interactions between astaxanthin synthesis and secondary messengers, reactive oxygen species (ROS) and mitogen-activated protein kinases (MAPK) were also investigated. In the first green vegetative cell stage, maximal biomass productivity (86.54 mg L−1 day−1) was obtained in BBM medium. In the induction stage, the highest astaxanthin content (21.5 mg g−1) occurred in BG-11 medium, which was higher than in any other media. The expressions of MAPK and astaxanthin biosynthetic genes in BG-11 were higher than in any other media, whereas the ROS content was lower. Biochemical and physiological analyses suggested that the ROS, MAPK and astaxanthin biosynthetic gene expression was involved in astaxanthin biosynthesis in H. pluvialis under different culture media conditions. This study proposes a two-step cultivation strategy to efficiently produce astaxanthin using microalgae. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.","44","Biosynthesis","Biochemistry - Enzymes - Gene expression","Astaxanthin - Haematococcus pluvialis - Mitogen activated protein kinase - Reactive oxygen species - Two-step cultivation",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A new salt-inclusion single-phased white phosphor Ba7B3SiO13Br:Dy3+ for white light-emitting diodes","20193607394346","","Ju, Haidong (1, 2); Wang, Baoling (1, 2); Yang, Qimei (1) ","(1) Department of Chemical Science and Technology, Kunming University, Kunming; 650214, China (2) Yunnan Engineering Technology Research Center for Plastic Films, Kunming University, Kunming; 650214, China ","Ju, Haidong(hdju1977@hotmail.com) ","Key Engineering Materials","Key Eng Mat","","Trans Tech Publications Ltd","803 KEM","","93-97","2019","Advanced Materials Research IX","1 of 1","2019","English","10139826","","9783035714845","10.4028/www.scientific.net/KEM.803.93","","9th International Conference on Advanced Materials Research, ICAMR 2019","January 24, 2019 - January 27, 2019","Singapore, Singapore","230389","KEMAEY","Conference article (CA)","A series of Ba7B3SiO13Br:Dy3+ phosphors were synthesized by a conventional solid-state reaction method for the first time. The X-ray diffraction patterns confirmed that the samples were pure phase and crystallized in a hexagonal phase with a space group of the P63mc (186). The luminescence spectrum exhibited a strong blue emission band peaked at 478 nm, a strong yellow emission band at 575 nm and a weak emission band at 665 nm, corresponding to the transitions from 4F9/2 to 6H15/2, 6H13/2 and 6H13/2 of Dy3+, respectively. According to the emission spectrum of Ba6.92B3SiO13Br:0.08Dy3+ excited at 349 nm, the chromaticity coordinate was calculated to be (0.317, 0.358) located on the white light region. The concentration quenching mechanism of Dy3+ in Ba7B3SiO13Br was ascribed to the multipolar-multipolar interaction. The current researches suggested that the phosphor can be used as a white phosphor suitable for white light-emitting diodes. © 2019 Trans Tech Publications Ltd, Switzerland.","19","Boron compounds","Barium compounds - Bromine compounds - Dysprosium compounds - Emission spectroscopy - Light - Light emitting diodes - Luminescence - Phosphors - Silicon compounds - Solid state reactions","Chromaticity coordinates - Concentration quenching - Luminescence spectrum - Multipolar interaction - Single-phased - Solid state reaction method - White light emitting diodes - White phosphor","714.2 Semiconductor Devices and Integrated Circuits - 741.1 Light/Optics - 802.2 Chemical Reactions","Number: 21561018, Acronym: -, Sponsor: National Natural Science Foundation of China; Number: 51562019, Acronym: -, Sponsor: National Natural Science Foundation of China; ","The authors would acknowledge the financial support from the National Natural Science Foundation of China (Grant No. 51562019, 21561018).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Gas flow mechanism and pressure analysis in plates in micro scale gas film","20193607402604","","Long, Wei (1); Wu, Mimi (2); Li, Fasha (2); Wang, Jiyao (1); Deng, Wei (3) ","(1) Faculty of Mechanical and Electrical Engineering, Kunming University of Science and Technology, Kunming, China (2) Kunming University of Science and Technology, Kunming, China (3) Yunnan Xiyi industrial Limited by Share Ltd, Kunming, China ","Li, Fasha(lifashe@kmust.edu.cn) ","Industrial Lubrication and Tribology","Ind Lubr Tribol","","Emerald Group Publishing Ltd., Howard House, Wagon Lane, Bingley, BD16 1WA, United Kingdom","","","","2019","","","2019","English","00368792","","","10.1108/ILT-01-2019-0009","","","","","","ILTRA7","Article in Press","Purpose: The purpose of this paper is to develop the micro-electro-mechanical systems (MEMS) technology has created the conditions for the study of microfluidic technology. Microfluidic technology has become a very large branch in the MEMS field over the past decade. For aerostatic thrust bearing, the micro-fluidic gas flow in a small-scale gas film between two parallel plates is the subject of many studies. Because of the thin gas in the film, velocity slip occurs at the interface, which causes the gas flow pattern to change in the lubricating film. So, it is important to clarify the mechanism and pressure characteristics in thin firm gas flow. Design/methodology/approach: First, a new assumption and corresponding models for the flow regime were established by theoretical analysis. Second, computational simulations about pressure distribution and velocity were given by a large-scale atomic/molecular massively parallel simulator (LAMMPS). Third, comparison of the results of LAMMPS simulation and direct simulation Monte Carlo calculation were made to verify the reliability of above results. Findings: The gas flow mechanism and corresponding regulations are significantly different from traditional pneumo dynamics, which can be described by Navier–Stokes equations accurately. Combining theatrical study and computational results, the stratification theory of the gas film was verified. The research shows that when the gas flow rate increased, the pressure of the gas film decreased, the thickness of the continuous flow layer increased, the thickness of the thin layer decreased and the layered pressure in the gas film disappeared. In this case, velocity slippage could be ignored. Originality/value: First, this paper established an analytical model of the gas film support and proposed a film stratification theory. The gas film was divided into the near wall layer, the thin layer and the continuous layer, which was proved by the calculation of LAMMPS flow simulation. The velocity slip boundary conditions theory is feasible. Second, the gas film size of the flat plate is at the micron level, which cannot be observed in its flow regimen, only determined by calculation and simulation. This paper proposes a new model and a new tool to analyze gas flow in gas films. © 2019, Emerald Publishing Limited.","14","Phase interfaces","Computation theory - Flow of gases - Flow patterns - Gases - MEMS - Microfluidics - Monte Carlo methods - Navier Stokes equations - Thin films - Velocity","Aerostatic thrust bearing - Design/methodology/approach - Direct simulation monte carlo calculations - Knudsen numbers - Micro electromechanical system (MEMS) - Microfluidic technologies - Molecular collisions - Velocity slips","631.1 Fluid Flow, General - 631.1.2 Gas Dynamics - 632.5.1 Microfluidics - 704.2 Electric Equipment - 721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 801.4 Physical Chemistry - 921.2 Calculus - 922.2 Mathematical Statistics",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
