Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Microseismic location algorithm for gently inclined strata and its numerical verification","20181905174272","","Wu, Shun-Chuan (1, 2); Chen, Zi-Jian (3); Zhang, Shi-Huai (1); Xu, Miao-Fei (1); Bai, Tian-Yang (1) ","(1) Key Laboratory of Ministry of Education for Efficient Mining and Safety of Metal Mine, University of Science and Technology Beijing, Beijing; 100083, China (2) Faculty of Land Resources Engineering, Kunming University of Science and Technology, Kunming; Yunnan; 650093, China (3) PowerChina Huadong Engineering Corporation Limited, Hangzhou; Zhejiang; 311122, China ","Chen, Zi-Jian(544546336@qq.com) ","Yantu Lixue/Rock and Soil Mechanics","Rock Soil Mech","","Academia Sinica","39","1","297-307","January 10, 2018","","","2018","Chinese","10007598","","","10.16285/j.rsm.2016.0847","","","","","","","Journal article (JA)","The velocity model is significant for precisely locating the earthquake source in inclined strata. This study analyzed the propagation path and propagation regularity of stress waves in inclined strata, according to the fast ray-tracing technique between two points in horizontal layered media. Microseismic location algorithm was developed for inclined strata using grid searching method, which was also compared with traditional location methods based on single velocity model. The particle flow theory was exploratively used to establish the stratum numerical model. Subsequently, the validity of the proposed algorithm was verified by simulating the stress wave propagation through the interaction of particles. Results show that the traditional location algorithm, based on simplified elastic wave propagation at a constant velocity, is imprecise for inclined strata, indicating that the single velocity model cannot satisfy the locating demand for complex media., On the basis of the inclined layered velocity model and a modified computational method for stress wave propagation path, the seismic sources can be located much more accurately. Meanwhile, the location deviation was found to be proportional to the dip angle and stratum number. In addition, the location precision can be also increased by reducing the grid size in the grid searching method, suggesting that reasonable sizes and searching strategies can facilitate the application of grid searching method in practical engineering. The microseismic location method and the proposed verification process can provide important theoretical and technical support for further studies on the positioning and monitoring technology in the complex strata. © 2018, Science Press. All right reserved.","27","Location","Computation theory - Elastic waves - Microseismic monitoring - Online searching - Precision engineering - Ray tracing - Seismology - Velocity - Wave propagation","Inclined strata - Location algorithms - Microseism - Propagation paths - Velocity model","484.1 Earthquake Measurements and Analysis - 721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 741.1 Light/Optics - 903.3 Information Retrieval and Use - 931.1 Mechanics","Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","收稿日期：2016-04-22 基金项目：科技北京百名领军人才培养工程(No. Z151100000315014)；国家自然科学基金项目(No. 51174014, No. 51774020)。 This work was supported by the Beijing Training Project for the Leading Talents in Science & Technology (Z151100000315014) and the National Natural Science Foundation of China (51174014, 51774020). 第一作者简介：吴顺川，男，1969 年生，博士，教授，博士生导师，主要从事岩土工程、采矿工程等方面的教学与研究工作。 E-mail: wushunchuan@ustb.edu.cn 通讯作者：陈子健，男，1992 年生，硕士，工程师，主要从事岩土工程、地下空间工程等方面的设计与研究工作。E-mail: 544546336@qq.com",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Adsorption of palladium(II) from aqueous solution using nanosilica modified with imidazoline groups","20182105220323","","Zhang, Bing (1, 2, 3); Fu, Likang (1, 2, 3); Wang, Shixing (1, 2, 3); Zhang, Libo (1, 2, 3) ","(1) State Key Laboratory of Complex Nonferrous Metal Resources Clean Utilization, Kunming University of Science and Technology, Kunming; Yunnan; 650093, China (2) Faculty of Metallurgical and Energy Engineering, Kunming University of Science and Technology, Kunming; Yunnan; 650093, China (3) National Local Joint Laboratory of Engineering Application of Microwave Energy and Equipment Technology, Kunming; Yunnan; 650093, China ","Wang, Shixing(wsxkm@sina.com) ","Materials Chemistry and Physics","Mater Chem Phys","","Elsevier Ltd","214","","533-539","1 August 2018","","","2018","English","02540584","","","10.1016/j.matchemphys.2018.04.120","","","","","","MCHPDR","Journal article (JA)","Nanosilica was functionalized with imidazoline groups and used as a new sorbent to recycle Pd(II) from aqueous solution. The sorbent was investigated by thermogravimetric analysis (TGA), transmission electron microscopy (TEM), fourier transform infrared (FT-IR) and X-ray photoelectron spectroscopy (XPS). The influence of pH, adsorption time and original Pd(II) concentration on recovery was discussed. The optimal pH value for adsorption was 4. The maximum adsorption quantity of Pd(II) was 69.6 mg/g. The coexisting ions exhibit little interference on the Pd(II) separation. The separation process of Pd(II) matches a pseudo-second-order kinetic model. The separation data obeyed best with the Langmuir isotherm model. The adsorbent exhibited good recyclability for Pd(II). Separation of Pd(II) takes place via chelation and ion-exchange. The adsorbent has wide application prospect to selectively capture Pd(II) from aqueous solutions. © 2018 Elsevier B.V.","30","Palladium compounds","Adsorption - High resolution transmission electron microscopy - Ion exchange - Isotherms - Palladium - Reusability - Separation - Solutions - Thermogravimetric analysis - Transmission electron microscopy - X ray photoelectron spectroscopy","Adsorption quantity - Application prospect - Fourier transform infrared - Influence of pH - Langmuir isotherm models - Nano-silica - Pseudo-second-order kinetic models - Separation process","547.1 Precious Metals - 741.3 Optical Devices and Systems - 801 Chemistry - 802.2 Chemical Reactions - 802.3 Chemical Operations","Number: 51664037, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 51464024, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The authors are grateful for the financial support from the National Natural Science Foundation (No. 51664037 and 51464024 ).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A homochiral porous organic cage with large cavity and pore windows for the efficient gas chromatography separation of enantiomers and positional isomers","20180504689636","","Zhang, Jun-Hui (1); Xie, Sheng-Ming (1); Wang, Bang-Jin (1); He, Pin-Gang (2); Yuan, Li-Ming (1) ","(1) Department of Chemistry, Yunnan Normal University, Kunming, China (2) Department of Chemistry, East China Normal University, Shanghai, China ","Yuan, Li-Ming(yuan_limingpd@126.com) ","Journal of Separation Science","J. Sep. Sci.","","Wiley-VCH Verlag","41","6","1385-1394","March 2018","","","2018","English","16159306","16159314","","10.1002/jssc.201701095","","","","","","JSSCCJ","Journal article (JA)","Porous organic cages composed of discrete cage molecules have attracted considerable recent attention as gas adsorption materials and separation media. In this study, we report a homochiral porous organic cage CC5 with a large cavity and pore windows as a novel stationary phase for high-resolution gas chromatographic separations. The capillary column was prepared by a static coating method. A large number of racemic compounds have been resolved on the coated capillary column, including derivatized amino acids, alcohols, alcohol amines, esters, ethers, ketones, and epoxides. It is interesting that the CC5-coated capillary column exhibits significant chiral recognition complementarity to a commercial β-DEX 120 column and a previously reported homochiral porous organic cage CC3-R-coated column, which could expand the range of the analytes amenable to separation on porous organic cage-based capillary columns. Moreover, the fabricated column also shows excellent selectivity for the separation of positional isomers, including the challenging ethylbenzene and xylene isomers. Experimental results demonstrate an excellent separation performance and stability of the CC5-coated column, making it promising for gas chromatography applications. © 2017 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim","43","Gas chromatography","Chirality - Column chromatography - Gas adsorption - Gases - Isomers - Ketones - Liquid chromatography - Separation - Stereochemistry","Chiral separations - Derivatized amino acids - Gas chromatographic separation - Gas chromatography separations - Homochiral - Positional isomers - Separation performance - Stationary phasis","801 Chemistry - 802.3 Chemical Operations - 804 Chemical Products Generally - 804.1 Organic Compounds - 931.3 Atomic and Molecular Physics","Number: 2016zb007, Acronym: -, Sponsor: -; Number: 21705142, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 21675141, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by the National Natural Science Foundation of China (Nos. 21705142 and 21675141) and Doctoral Research Foundation of Yunnan Normal University (No. 2016zb007).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Adjusted Empirical Likelihood Estimation of Distribution Function and Quantile with Nonignorable Missing Data","20180704791059","","Ding, Xianwen (1, 2); Tang, Niansheng (1) ","(1) Key Laboratory of Statistical Modeling & Data Analysis of Yunnan Province, Yunnan University, Kunming; 650500, China (2) Department of Mathematics, Jiangsu University of Technology, Changzhou; 213001, China ","Ding, Xianwen(dingxianwen@jsut.edu.cn) ","Journal of Systems Science and Complexity","J. Syst. Sci. Complex.","","Springer New York LLC","31","3","820-840","June 1, 2018","","","2018","English","10096124","15597067","","10.1007/s11424-018-6334-6","","","","","","","Journal article (JA)","This paper considers the estimation problem of distribution functions and quantiles with nonignorable missing response data. Three approaches are developed to estimate distribution functions and quantiles, i.e., the Horvtiz-Thompson-type method, regression imputation method and augmented inverse probability weighted approach. The propensity score is specified by a semiparametric exponential tilting model. To estimate the tilting parameter in the propensity score, the authors propose an adjusted empirical likelihood method to deal with the over-identified system. Under some regular conditions, the authors investigate the asymptotic properties of the proposed three estimators for distribution functions and quantiles, and find that these estimators have the same asymptotic variance. The jackknife method is employed to consistently estimate the asymptotic variances. Simulation studies are conducted to investigate the finite sample performance of the proposed methodologies. © 2018, Institute of Systems Science, Academy of Mathematics and Systems Science, CAS and Springer-Verlag GmbH Germany, part of Springer Nature.","36","Distribution functions","Asymptotic analysis - Inverse problems - Probability distributions - Sampling","Asymptotic properties - Asymptotic variance - Distribution estimation - Empirical likelihood - Finite sample performance - Inverse-probability-weighted - Missing data - quantile","921 Mathematics - 922.1 Probability Theory","Number: 2015HC028, Acronym: -, Sponsor: -; Number: -, Acronym: -, Sponsor: Bairen Program of Yunnan Province; Number: BK20160289, Acronym: -, Sponsor: Natural Science Foundation of Jiangsu Province; Number: -, Acronym: YNU, Sponsor: Yunnan University; Number: 11671349, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 11601195, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: JSU, Sponsor: Jiangsu University; ","Key Laboratory of Statistical Modeling & Data Analysis of Yunnan Province, Yunnan University, Kunming 650500, China; Department of Mathematics, Jiangsu University of Technology, Changzhou 213001, China. Email : dingxianwen@jsut.edu.cn. TANG Niansheng Key Laboratory of Statistical Modeling & Data Analysis of Yunnan Province, Yunnan University, Kunming 650500, China. Email : nstang@ynu.edu.cn. ∗This research was supported by the National Natural Science Foundation of China under Grant Nos. 11671349 and 11601195, the Scientific Research Innovation Team of Yunnan Province under Grant No. 2015HC028, and the Natural Science Foundation of Jiangsu Province of China under Grant No. BK20160289. ⋄This paper was recommended for publication by Editor SHAO Jun.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Rapidly Response Load Demand of Large-scale Hydropower Plants Ultra-short Term Scheduling Model","20182005205823","","Cheng, Xiong (1); Cheng, Chuntian (2); Liu, Ji (1); Wu, Xinyu (2); Liu, Shuangquan (3) ","(1) College of Hydraulic & Environmental Engineering, Three Gorges University, Yichang; Hubei Province; 443002, China (2) Dalian University of Technology, Dalian; Liaoning Province; 116024, China (3) Yunnan Electric Power Dispatching and Control Center, Kunming; Yunnan Province; 650011, China ","","Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering","Zhongguo Dianji Gongcheng Xuebao","","Chinese Society for Electrical Engineering","38","4","1016-1025","February 20, 2018","","","2018","Chinese","02588013","","","10.13334/j.0258-8013.pcsee.170422","","","","","","ZDGXER","Journal article (JA)","In view of the low accurate day-ahead load forecasting and inflow forecasting, the water level of hydropower plant is very difficult to reach anticipated target value when the short-term generation scheduling is applied to the real-time scheduling. And spilling water and hydropower crowded problems are very serious. Therefore, this paper presented a rapidly response load demand of large-scale hydropower plants ultra-short term scheduling model. The object is to minimize the deviations of target water level of hydropower plants. The main strategy is to verify the short-term scheduling and rolling correction according to the real-time hydrology and load information. The model was demonstrated using cascade hydropower plants on Lancang River, Jinsha River, Dayingjiang River and Lixianjiang River. The results showed that proposed model can balanced load within a few hours to in the future and close to target water levels. It will be a good decision-making basis for the large-scale hydropower plants ultra-short term scheduling and raise the level of hydropower system refinement scheduling. © 2018 Chin. Soc. for Elec. Eng.","26","Hydroelectric power plants","Decision making - Hydroelectric power - Rivers - Scheduling - Water levels","Cascade hydropower plants - Hydroelectric plant - Hydropower plants - Hydropower system - Real - time scheduling - Short term - Short-term generation scheduling - Short-term scheduling","611.1 Hydroelectric Power Plants - 912.2 Management","Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","基金项目：国家自然科学基金项目(51609124)；高层次人才科研启 动基金(1115057)。 Project Supported by National Natural Science Foundation of China (51609124); Talents of High Level Scientific Research Foundation (1115057).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Remote Sensing Monitoring of Land Cover Change in Myanmar","20190306385965","","Rongfeng, Yang (1, 3); Liang, Hong (1, 3); Xia, Xian (2, 3); Kun, Yang (1, 3) ","(1) Yunnan Normal University, School of Tourism and Geographical Science, Kunming, China (2) School of Information Science and Technology, Yunnan Normal University, Kunming, China (3) Engineering Research Center of GIS Technology in Western China of Ministry of Education of China, Kunming, China ","Kun, Yang(kmdcynu@163.com) ","International Conference on Geoinformatics","Int. Conf. Geoinformatics","","IEEE Computer Society","2018-June","","","December 3, 2018","Proceedings - 2018 26th International Conference on Geoinformatics, Geoinformatics 2018","1 of 1","2018","English","2161024X","21610258","9781538676196","10.1109/GEOINFORMATICS.2018.8557102","8557102","26th International Conference on Geoinformatics, Geoinformatics 2018","June 28, 2018 - June 30, 2018","Kunming, China","143470","","Conference article (CA)","In this paper, we used the remote sensing images of 2009, 2013 and 2017 to construct a three-phase land use/land cover data set; using LUCC quantitative analysis and statistical model, we comprehensively analyze the quantity and distribution location of land use change in Myanmar. The degree of change, the degree of change in the area of a certain type of space, the regional differences in the amount of change in land use, and the patterns and characteristics of mutual changes between land use types. Clarified the regional characteristics of land use changes in the country and provided effective decision support for sustainable land use. © 2018 IEEE.","21","Land use","Decision support systems - Remote sensing - Space optics","Land cover - Regional characteristics - Remote sensing images - Remote sensing monitoring - Space analysis - Statistical modeling - Sustainable land use - The Belt and Road","403 Urban and Regional Planning and Development - 656.1 Space Flight - 723 Computer Software, Data Handling and Applications","Number: 20115303110002, Acronym: AAC&U, Sponsor: Association of American Colleges and Universities; ","This research was financially by the Special joint fund for doctoral disciplines in Colleges and Universities(No. 20115303110002)",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Influence of Cellulose Aging on the Equilibrium Moisture Content Estimation of Oil-paper Insulation","20183205654333","","Wang, Dongyang (1); Zhou, Lijun (1); Liu, Weidi (1); Pan, Gang (1); Guo, Lei (1); Xu, Xiaowei (2) ","(1) College of Electrical Engineering, Southwest Jiaotong University, Chengdu; Sichuan Province; 610031, China (2) Electric Power Research Institute, Yunnan Power Grid Co., Ltd., Kunming; Yunnan Province; 650217, China ","Zhou, Lijun(zhoulijun@swjtu.cn) ","Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering","Zhongguo Dianji Gongcheng Xuebao","","Chinese Society for Electrical Engineering","38","6","1889-1894","March 20, 2018","","","2018","Chinese","02588013","","","10.13334/j.0258-8013.pcsee.170028","","","","","","ZDGXER","Journal article (JA)","Moisture is one of the most important factors, which affects the insulation status of oil-paper insulation. The aging of cellulose has obvious effects on the moisture absorption property of insulation paper. In order to estimate the moisture content in insulation paper accurately, Fessler model which is a widely used relation between equilibrium moisture contents of insulation oil and insulation paper, was optimized in this paper by considering the influence of cellulose aging. First, the effects of cellulose aging on the parameters in Fessler model were analyzed. Then, the Fessler model was optimized based on experimental data by considering the effects of cellulose aging. Finally, the optimized equation was testified by experiments. The results show that: in the studied temperature range, the equilibrium moisture content of insulation paper with different aging status can be calculated effectively based on the optimized equation, and it is the basis of further studies and usage in engineering. © 2018 Chin. Soc. for Elec. Eng.","21","Insulation","Cellulose - Insulating materials - Moisture - Moisture determination - Oil filled transformers","Equilibrium moisture - Equilibrium moisture contents - Insulation oil - Insulation paper - Moisture absorption property - Oil paper insulation - Optimized equations - Temperature range","413 Insulating Materials - 704.2 Electric Equipment - 811.3 Cellulose, Lignin and Derivatives - 944.2 Moisture Measurements","Number: 51577159, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Project Supported by National Natural Science Foundation of China(51577159)．",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Extraction and Spatial-Temporal Analysis of Impervious Surfaces Expansion in Dianchi Lake Basin","20190306386064","","Wang, Qing (1, 2, 3, 4); Xu, Quanli (1, 2, 3, 4); Hong, Liang (1, 2, 3, 4); Peng, Shuangyun (1, 2, 3, 4) ","(1) Yunnan Normal University, School of Tourism and Geographic Science, Kunming, China (2) GIS Technol. Eng. Research Centre for West-China Resources and Environment of Educational Ministry, Kunming, China (3) Center for Geospatial Information Engineering and Technology of Yunnan Province, Kunming, China (4) Key Laboratory of Resources and Environmental Remote Sensing for Universities in Yunnan, Kunming, China ","Wang, Qing(go2happiness@163.com) ","International Conference on Geoinformatics","Int. Conf. Geoinformatics","","IEEE Computer Society","2018-June","","","December 3, 2018","Proceedings - 2018 26th International Conference on Geoinformatics, Geoinformatics 2018","1 of 1","2018","English","2161024X","21610258","9781538676196","10.1109/GEOINFORMATICS.2018.8557049","8557049","26th International Conference on Geoinformatics, Geoinformatics 2018","June 28, 2018 - June 30, 2018","Kunming, China","143470","","Conference article (CA)","With the development of economy, growth of population and urbanization, urban land is increasing and the speed of urban expansion is speeding up. Mastering the spatial-temporal process of urban expansion is of great significance for natural environment and human development. In this paper, taking the Dianchi Lake Basin as an example, based on the TM and OLI image data from 1990 to 2015, every five years as a time node, the decision tree classification method is used to extract and analyze the urban land for each period of image data. The results showed that the area of urban land in Dianchi Lake Basin increased from 1990 to 2015 with 462km2, with an average annual growth rate of 5.9%, of which the fastest expansion rate has occurred from 2010 to 2015. The impervious surface expansion is radiation-like growth centered around the urban area of Kunming, mainly in the eastern and northern parts of Dianchi. © 2018 IEEE.","10","Urban growth","Data mining - Decision trees - Lakes - Population statistics - Trees (mathematics)","Average annual growth rates - Decision tree classification - Dianchi basin - Dianchi Lake basins - Impervious surface - Natural environments - Spatial temporal analysis - Spatial temporals","403.1 Urban Planning and Development - 723.2 Data Processing and Image Processing - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory","Number: 2011XX2005, Acronym: -, Sponsor: Yunnan Provincial Science and Technology Department; Number: 41461038, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Supported by the National Natural Science Foundation of China (No. 41461038, 41561086, 41661082), the Yunnan Provincial Science and Technology Project (No. 2011XX2005).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Simulation and experimental study on the optical performance of a fixed-focus Fresnel lens solar concentrator using polar-axis tracking","20181605028722","","Wang, Hai (1); Huang, Jin (1); Song, Mengjie (2); Hu, Yanxin (1); Wang, Yunfeng (3); Lu, Zijian (1) ","(1) Department of Energy Engineering, School of Materials and Energy, Guangdong University of Technology, Guangzhou; 510006, China (2) Department of Human and Engineered Environmental Studies, Graduate School of Frontier Sciences, University of Tokyo, Tokyo; 277-8563, Japan (3) Solar Energy Research Institute, Yunnan Normal University, Kunming; 650092, China ","Huang, Jin(huangjiner@gdut.edu.cn) ","Energies","Energies","","MDPI AG, Postfach, Basel, CH-4005, Switzerland","11","4","","April 2018","","","2018","English","","19961073","","10.3390/en11040887","887","","","","","","Journal article (JA)","Most sun-tracking systems of solar concentrators are expensive, sensitive to operational costs, and complicated in optical design in which the receiver must be free to rotate about the axis. To overcome the aforementioned problems, this study presents a fixed-focus Fresnel lens solar concentrator (FFFSC) using polar-axis tracking which allows the Fresnel lens to concentrate sunlight to a fixed small heat-receiving area and the receiver remained fixed in location and rotation. Experimental research has been conducted to obtain the optical characteristics of the FFFSC for different solar times, tracking errors, and periodical adjustment errors. It has been found that maximum values of the relative optical efficiency loss (ηre-opt,loss) and minimum value of the optical efficiency (ηopt) of the FFFSC for different solar times are 1.87% and 71.61%, respectively. The mean value and maximum value of the local concentration ratio of the solar flux on the receiver are more than 86.64 and 1319.43, respectively. When the tracking error and periodical adjustment error are within 1°, the ηoptof the FFFSC can reach 70.38% and 68.94%, respectively. The optical characteristics of FFFSC is also verified numerically. Especially, according to the total year simulation of the FFFSC's optical characteristics, maximum value of ηre-opt,lossis 0.116%, which means the proposed the FFFSC can achieve fixed-focus. © 2018 by the authors.","41","Solar concentrators","Concentration (process) - Errors - Optical design - Optical instrument lenses - Optical materials - Solar energy","Experimental research - Fixed focus - Fresnel lens - Optical characteristics - Optical efficiency - Optical performance - Polar axis - Sun tracking systems","657.1 Solar Energy and Phenomena - 741.1 Light/Optics - 741.3 Optical Devices and Systems","Number: 2016CX013, Acronym: -, Sponsor: -; Number: 2016A050503042, Acronym: -, Sponsor: -; Number: 2016201604030020, Acronym: -, Sponsor: -; Number: -, Acronym: -, Sponsor: Guangzhou Science, Technology and Innovation Commission; Number: 51476038, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 201704030009, Acronym: -, Sponsor: Guangzhou Science, Technology and Innovation Commission; ","Acknowledgments: This work was supported by the National Natural Science Foundation of China (no. 51476038); Guangzhou Science and Technology Program of Production and Research Collaborative Innovation Major Project (no. 2016201604030020); Guangdong Province Frontier and Key Technology Innovation Special Fund Project (no. 2016A050503042); Nansha District Science and Technology Program (no. 2016CX013); and Guangzhou Science and Technology Program Production and Research Collaborative Innovation Major Project (no. 201704030009).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Effects of temperature and low-concentration oxygen on pine wood sawdust briquettes pyrolysis: Gas yields and biochar briquettes physical properties","20182005189004","","Liu, Zewei (1); Zhang, Fengxia (2, 3); Yan, Sijia (1, 3); Tian, Lin (3); Wang, Hongliang (4); Liu, Huili (3); Wang, Hua (1, 3); Hu, Jianhang (1, 3) ","(1) State Key Laboratory of Complex Nonferrous Metal Resources Clean Utilization, Kunming University of Science and Technology, Kunming; Yunnan Province; 650093, China (2) Engineering research of Metallurgy Energy Conservation and Emission Reduction, Ministry of Education, Kunming University of Science and Technology, Kunming; Yunnan Province; 650093, China (3) College of Metallurgical and Energy Engineering, Kunming University of Science and Technology, Kunming; Yunnan Province; 650093, China (4) College of Agronomy and Biotechnology, China Agricultural University, Beijing; 100083, China ","Hu, Jianhang(hujh51@126.com) ","Fuel Processing Technology","Fuel Process Technol","","Elsevier B.V.","177","","228-236","August 2018","","","2018","English","03783820","","","10.1016/j.fuproc.2018.05.001","","","","","","FPTEDY","Journal article (JA)","Biochar briquettes have advantages of higher energy volume density and durability, as well as the convenience for storage and transportation. In this paper, the effects of temperature and O2 concentration on gas yields and biochar briquettes physical properties were investigated. The yields of H2 and char decreased with the increase of temperature and O2 concentration. An increase in the temperature and O2 concentration led to an increase in CO2 and CO yields. The CH4 yield reached the highest value of 23.46 g/kg at 800 °C with 4% O2. Higher temperature than 600 °C and O2 concentration than 6% were not good for the volume density and durability rating but were beneficial for the porosity of biochar briquette. The BET surface area and total pore volume of O2-char was higher than those of N2-char produced at the same temperature. Considering comprehensive analysis of temperature requirements, char yield and physical properties, 500 °C and 6% O2 were the optimal oxidative pyrolysis conditions. © 2018 Elsevier B.V.","26","Temperature","Briquets - Durability - Oxygen - Porosity - Pyrolysis","Bio chars - Comprehensive analysis - Effects of temperature - Low concentrations - Oxidative pyrolysis - Storage and transportations - Total pore volume - Volume density",,"Number: · U1602272, Acronym: -, Sponsor: -; Number: 51376085, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This study was funded by the National Natural Science Foundation of China (NSFC) (Grant No. 51376085 ) and NSFC - Yunnan joint fund (Grant No· U1602272 ). Appendix A",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
