Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Improvement of room-temperature TCR and MR in polycrystalline La0.67(Ca0.27Sr0.06)MnO3ceramics by Ag2O doping","20181104894330","","Sun, Tao (1); Jiang, Jun (1); Chen, Qingming (1); Liu, Xiang (1) ","(1) School of Material Science and Engineering, Kunming University of Science and Technology, Kunming; Yunnan; 650093, China ","Liu, Xiang(lxjim@sina.com) ","Ceramics International","Ceram Int","","Elsevier Ltd","44","8","9865-9874","1 June 2018","","","2018","English","02728842","","","10.1016/j.ceramint.2018.02.234","","","","","","CINNDH","Journal article (JA)","Polycrystalline La0.67(Ca0.27Sr0.06)MnO3:mol%Agx(LCSMO:Agx, x = 0, 0.1, 0.2, 0.3, 0.4, and 0.5) ceramics were prepared by conventional sol-gel method. Effects of Ag-doping (x) on structures, surface morphologies, electrical and magnetic transport properties of the as-prepared LCSMO:Agxsamples were evaluated. X-ray diffraction (XRD) showed that all samples crystallized in orthorhombic structures with Pnma space group. As x content increased, main diffraction peak (121) shifted downwards lower angles, giving rise to A site ions (Ca2+or Sr2+) substitution by Ag+. This, in turn, caused slight expansion of the lattice and improved Mn4+ion concentration. Meanwhile, grain size gradually increased and grain boundaries (GBs) reduced, the resistivity decreased and metal-insulator transition temperature (TMI) almost kept constant at room temperature. On the other hand, the magnetoresistance (MR) and temperature coefficient of resistance (TCR) increased during first stages and then decreased as x further rose. An optimum doping molar ratio of x = 0.2 was obtained, with room temperature MR and TCR reaching up to 44.5% and 22.5% K−1, respectively. Curve fitting results indicated that in low temperature ferromagnetic metallic (FM) region, conductive behavior of LCSMO:Agxwas mainly related to electron-electron, electron-phonon, and electron-magnon scattering. In high temperature paramagnetic insulating (PI) region, data followed the small-polaron-hopping model. Conductive behavior in the entire temperature region was fitted with phenomenological equation under percolation approach, and found to depend on segregation of FM and PI phases. These findings suggest promising applications of LCSMO:Agxmaterials in photoelectric (uncooled bolometer or infrared detectors) or magnetic devices (uncooled magnetic sensors) at room temperature. © 2018 Elsevier Ltd and Techna Group S.r.l.","43","Temperature","Calcium compounds - Ceramic materials - Curve fitting - Electrons - Ferromagnetic materials - Ferromagnetism - Frequency modulation - Grain boundaries - Infrared detectors - Lanthanum compounds - Manganese oxide - Metal insulator boundaries - Metal insulator transition - Paramagnetism - Phonons - Segregation (metallography) - Semiconductor insulator boundaries - Silver oxides - Sol-gel process - Sol-gels - Solvents - Strontium compounds - X ray diffraction","Conductive behavior - Ferromagnetic metallic - La0.67(Ca0.27Sr0.06)MnO3:mol%Agx (LCSMO:Agx) - Paramagnetic insulating (PI) - Phase segregations","531.2 Metallography - 641.1 Thermodynamics - 701.2 Magnetism: Basic Concepts and Phenomena - 708.4 Magnetic Materials - 714.2 Semiconductor Devices and Integrated Circuits - 803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products Generally - 812.1 Ceramics - 812.3 Glass - 921.6 Numerical Methods - 944.7 Radiation Measuring Instruments","Number: 2014XT07, Acronym: -, Sponsor: -; Number: 11674135, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by the National Natural Science Foundation of China (Grant no. 11674135 ) and the Collaborative Innovation Center of Rare and Precious Metals Advanced Materials (Grant no. 2014XT07 ).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The optimization design of micro-strip UHF sensor and the applied research of GIS PD detection","20184606070930","","Li, Jie (1, 2); Li, Jiabao (1); Wang, Yingfen (1); Li, Shizhen (1) ","(1) Honghe Power Supply Bureau of Yunnan Power Grid Co., Ltd., Mengzi; 661100, China (2) State Key Laboratory of Power Transmission Equipment, System Security and New Technology, Chongqing University, Chongqing; 400044, China ","","Proceedings of 2018 IEEE International Conference on Mechatronics and Automation, ICMA 2018","Proc. IEEE Int. Conf. Mechatronics Autom., ICMA","","Institute of Electrical and Electronics Engineers Inc.","","","2197-2202","October 5, 2018","Proceedings of 2018 IEEE International Conference on Mechatronics and Automation, ICMA 2018","1 of 1","2018","English","","","9781538660720","10.1109/ICMA.2018.8484688","8484688","15th IEEE International Conference on Mechatronics and Automation, ICMA 2018","August 5, 2018 - August 8, 2018","Changchun, China","140630","","Conference article (CA)","UHF technology is an important method in Gas Insulated Switchgear (GIS) Partial Discharge (PD) detection, which is applied on large scale both at home and abroad. UHF sensor is the key part of UHF PD detection system, whose quality directly decides the performance of the detection system. This paper will employ micro-strip theory to make a targeted design of UHF sensors according to the traits of GIS PD. The author will start from the design of rectangular patch micro-strip sensor, and make a modeling analysis of its operating characteristics, then introduce fractal theory on that basis to design a fractal microstrip sensor suitable for GIS PD detection and conduct simulated analysis on the proposed model. The last step is to develop the material object of the sensor, then put it to detection test on the simulation test platform to verify its detectability and performance. The experimental results show that the fractal micro-strip sensor has wide detection signal band and high sensitivity. It can detect the PD signal precisely, providing a new design idea for GIS PD detection sensors. © 2018 IEEE.","19","Signal detection","Electric switchgear - Fractals - Partial discharges","Gas insulated switchgear(GIS) - Micro-strips - Operating characteristics - Optimization design - Partial discharge detection - Pd detections - Simulation test platforms - UHF sensor","701.1 Electricity: Basic Concepts and Phenomena - 704.2 Electric Equipment - 716.1 Information Theory and Signal Processing - 921 Mathematics","Number: cstc2017jcyjAX0181, Acronym: -, Sponsor: Chongqing Youth Science and Technology Talent Training Project; Number: 51677009, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This research was supported by The National Natural Science Foundation of China (51677009), and the Chongqing Science and Technology Project (cstc2017jcyjAX0181).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Packet-dropout performance and energy optimization of the distributed Kalman consensus filter","20184706088059","","Xie, Ke-Xin (1); Yang, Chun-Xi (1); Liu, Hua (1); Huang, Ling-Yun (2) ","(1) Faculty of Chemical Engineering, Kunming University of Science and Technology, Kunming; Yunnan; 650500, China (2) State Key Laboratory of Complex Nonferrous Metal Resources Clean Utilization(Kunming University of Science and Technology), Kunming; Yunnan; 650093, China ","Yang, Chun-Xi(ycx@kmust.edu.cn) ","Kongzhi Lilun Yu Yingyong/Control Theory and Applications","Kong Zhi Li Lun Yu Ying Yong","","South China University of Technology","35","8","1177-1185","August 1, 2018","","","2018","Chinese","10008152","","","10.7641/CTA.2018.70430","","","","","","KLYYEB","Journal article (JA)","Consider packet loss happens inevitably during data exchange in the practical applications of wireless sensor networks(WSNs), the stability and filtering performance of the distributed Kalman consensus filter(DKF)are discussed under two classes of packet dropout in this paper, including observation packet dropout and communication one. Though the matrix theoretic analysis, the upper limit of packet loss rate is derived for guarantee the convergence of estimation error covariance. Furthermore, consider sensor node has limited energy, an improved distributed Kalman consensus filter(IDKF)with adjustable energy consumption is proposed based on the percolation model. By full use of the characteristics of sensor node redundancy layout, the algorithm obtains longer network lifetime at the cost of less reducing filtering accuracy. So the filter achieves the effective trade-off between the two key indicators, including filtering accuracy and energy consumption. Finally, a simulation example is given to verify the effectiveness of the proposed two algorithms. © 2018, Editorial Department of Control Theory & Applications South China University of Technology. All right reserved.","25","Kalman filters","Covariance matrix - Economic and social effects - Electronic data interchange - Energy utilization - Packet loss - Percolation (solid state) - Sensor nodes - Solvents - Wireless sensor networks","Consensus algorithms - Distributed Kalman filters - Energy optimization - Filtering accuracies - Filtering performance - Kalman consensus filters - Percolation models - Wireless sensor network (WSNs)","525.3 Energy Utilization - 722 Computer Systems and Equipment - 722.3 Data Communication, Equipment and Techniques - 723.2 Data Processing and Image Processing - 803 Chemical Agents and Basic Industrial Chemicals - 921 Mathematics - 971 Social Sciences","Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","收稿日期: 2017−06−26; 录用日期: 2018−03−12. †通信作者. E-mail: ycx@kmust.edu.cn; Tel.: +86 871-65920307. 本文责任编委: 胡跃明. 国家自然科学基金项目(61364002, 61471163)资助. Supported by the National Natural Science Foundation of China (61364002, 61471163).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The Construction of Online Learning Community for Learners' Sense of Belonging","20191406724660","","Gao, Jie (1); Zhao, Bo (1); Tu, Miaomiao (2); Xiong, Ying (2) ","(1) Information Institute Yunnan Normal University, kunming; 650500, China (2) School of Foreign Languages, Yunnan Normal University, kunming; 650500, China ","Zhao, Bo(ykzb63@126.com) ","Proceedings of the IEEE International Conference on Software Engineering and Service Sciences, ICSESS","Proc.IEEE Int. Conf. Software Eng. Serv. Sci., ICSESS","IEEE Beijing Section; The Institute of Electrical and Electronics Engineers","IEEE Computer Society","2018-November","","653-656","July 2, 2018","ICSESS 2018 - Proceedings of 2018 IEEE 9th International Conference on Software Engineering and Service Science","1 of 1","2018","English","23270586","23270594","9781538665640","10.1109/ICSESS.2018.8663792","8663792","9th IEEE International Conference on Software Engineering and Service Science, ICSESS 2018","November 23, 2018 - November 25, 2018","Beijing, China","146017","","Conference article (CA)","The sense of belonging in online learning community is an important index to measure learners' degree of emotional participation. In this paper., the influencing factors on the sense of belonging in online learning community are analyzed and its model for learners' sense of belonging is constructed. Text mining., collaborative filtering., visualization and other technologies will be used to mine learning characteristics of learner in the model. Furthermore., the model will recommend learning resources., guide learning path to learner and so on. © 2018 IEEE.","17","E-learning","Collaborative filtering - Data mining - Learning systems - Model buildings - Social networking (online) - Software engineering","Emotional Participation - Learning community - Learning paths - Learning resource - Online learning community - Sense of belonging - Text mining","723 Computer Software, Data Handling and Applications - 903.1 Information Sources and Analysis","Number: 2016FA024, Acronym: -, Sponsor: Applied Basic Research Key Project of Yunnan; Number: 61562093, Acronym: -, Sponsor: National Social Science Fund Youth Project; ","[Funding) The research is supported by the National Nature Science Fund Project (61562093), and Key Project of Applied Basic Research Program of Yunnan Province (2016FA024)",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Effects of high voltage pulsed electric field on antioxidant activity and extraction of tea polysaccharides for third grade ripe pu'er tea","20182105222388","","Wang, Baijuan (1); Chen, Ting (2); Zhao, Yan (1); Peng, Wen (1); Wang, Jing (1); Xia, Ji-Yuan (1); Jiang, Mingzhong (3) ","(1) Yunnan Agricultural University, Kunming; 650201, China (2) Chong Qing Electromechanical Vocational Institute, Chongqing; 402760, China (3) Yunnan Poice College, Yunming; 650223, China ","Jiang, Mingzhong(jmz4269@sina.com) ","Chemical Engineering Transactions","Chem. Eng. Trans.","","Italian Association of Chemical Engineering - AIDIC","64","","319-324","2018","","","2018","English","","22839216","9788895608563","10.3303/CET1864054","","","","","","","Journal article (JA)","To enhance the antioxidant activity of third grade ripe Pu'er tea, this paper adopts different high-voltage pulsed electric fields (HPEF) to extract the tea polysaccharides and determine their antioxidant activity in each tea sample. The antioxidant activity was measured by four indices, namely the hydroxyl radical (·OH) scavenging effect, the superoxide anion (O2·-) scavenging effect, the DPPH radical scavenging effect, and the total reducibility. Based on the stepwise regression on Matlab, the mathematical model was established to depict the relationship between antioxidant activity, HPEF voltage, and HPEF frequency, and 3D relationship diagrams of the model were drawn to find the best HPEF parameters. It is concluded that the proper HPEF conditions can promote the extraction rate and antioxidant activity of tea polysaccharides in ripe Pu'er tea. The research findings open up a new way to enhance the antioxidant activity of Pu'er tea polysaccharides and shed new light on the extraction and development of natural antioxidants in Pu'er tea. Copyright © 2018, AIDIC Servizi S.r.l.","16","Antioxidants","Electric fields - Extraction - Free radicals - Polysaccharides - Sampled data control systems","Anti-oxidant activities - High-voltage pulsed electric field - Hydroxyl radicals - Natural antioxidants - Scavenging effect - Stepwise regression - Superoxide anions - Tea polysaccharides","701.1 Electricity: Basic Concepts and Phenomena - 731.1 Control Systems - 802.3 Chemical Operations - 803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products Generally - 804.1 Organic Compounds","Number: 201701CA00001, Acronym: -, Sponsor: Applied Basic Research Key Project of Yunnan; Number: 61561054, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by National Natural Science Foundation of China (61561054) and Yunnan Applied Basic Research Project (201701CA00001).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Effects of electric field and temperature on space charge characteristics in double-layered polytetrafluoroethylene films","20183405716562","","Sima, Wenxia (1); Cai, Biao (1); Peng, Qingjun (2); Sun, Potao (1); Jiang, Xiongwei (1) ","(1) State Key Laboratory of Power Transmission Equipment and System Security and New Technology, Chongqing University, Chongqing; 400030, China (2) Electric Power Research Institute of Yunnan Power Grid Corporation, Kunming; 650106, China ","Sima, Wenxia ","IEEE Transactions on Dielectrics and Electrical Insulation","IEEE Trans Dielectr Electr Insul","","Institute of Electrical and Electronics Engineers Inc.","25","4","1518-1525","August 2018","","","2018","English","10709878","","","10.1109/TDEI.2018.007077","8424391","","","","","ITDIES","Journal article (JA)","As the core component of composite insulation for dry-type high-voltage equipment, polytetrafluoroethylene (PTFE) films are subjected to high temperatures and complex electric fields. Therefore, this study explores the effects of electric field and temperature on the space charge characteristics of double-layered PTFE films based on the measurement of space charge distribution in double-layered PTFE films under different DC voltages and temperatures using the pulsed electro-acoustic measurement system. Results show that more charges accumulated in the PTFE sample subjected to a positive electric field during polarization and the space charges dissipated more rapidly during depolarization compared with those subjected to a negative electric field. The existence of a PTFE/PTFE interface increased the density of trap and deepened the trap. The positive charges that accumulated at the PTFE/PTFE interface during polarization gradually held a dominant position with the increase of temperature. Finally, the formation of charge in the PTFE/PTFE interface mainly depended on two factors. When the applied DC voltage was not large, the charge formation was mainly dominated by the Maxwell-Wagner polarization effect. When the voltage increased to a certain threshold, the charge formation was mainly caused by the charge injection and migration characteristics. © 1994-2012 IEEE.","24","Electric insulation","Acoustic measuring instruments - Composite films - Depolarization - Electric fields - Electric space charge - HVDC power transmission - Polarization - Polytetrafluoroethylenes - Temperature","Effects of electric fields - Interface phenomena - Maxwell-Wagner polarization effects - Polytetrafluoroethylene (PTFE) - Polytetrafluoroethylene films - Pulsed electro acoustics - Space-charge characteristics - trapping","641.1 Thermodynamics - 701.1 Electricity: Basic Concepts and Phenomena - 706.1.1 Electric Power Transmission - 815.1.1 Organic Polymers - 941.1 Acoustical Instruments","Number: Xm2017197, Acronym: -, Sponsor: Chongqing Postdoctoral Science Special Foundation; Number: 2017M622962, Acronym: -, Sponsor: -; Number: 2017YFB0902702, Acronym: -, Sponsor: -; Number: 2015CB251003, Acronym: -, Sponsor: -; Number: 51707023, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This paper is supported by the National Basic Research Program (973 Program) (2015CB251003), National Key R&D Program of China (2017YFB0902702), National Natural Science Foundation of China (51707023), China's Postdoctoral Science Fund (2017M622962) and Chongqing Postdoctoral Science Special Foundation (Xm2017197). We are thankful for their support.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Infrared and visible image fusion using modified PCNN and visual saliency detection","20191006602850","","Ding, Zhaisheng (1); Zhou, Dongming (1); Nie, Rencan (1); Hou, Ruichao (1); Liu, Yanyu (1) ","(1) Information College, Yunnan University, Kunming; 650504, China ","Zhou, Dongming(zhoudm@ynu.edu.cn) ","Proceedings of SPIE - The International Society for Optical Engineering","Proc SPIE Int Soc Opt Eng","","SPIE","10836","","","2018","2018 International Conference on Image and Video Processing, and Artificial Intelligence","1 of 1","2018","English","0277786X","1996756X","9781510623101","10.1117/12.2513889","108360E","2018 International Conference on Image and Video Processing, and Artificial Intelligence, IVPAI 2018","August 15, 2018 - August 17, 2018","Shanghai, China","141615","PSISDG","Conference article (CA)","As an important branch of multi-source image fusion, infrared and visible image fusion not only inherits the basic theory and method of image fusion, but also has its own characteristics. Visual saliency detection method reflects the significant information in infrared image, and the feature has the consistent in the object information and background details with the infrared and visible light images. So, this paper proposed a novel framework of infrared and visible image fusion by using visual saliency and non-subsampled shearlet transformation. Comparing the proposed fusion method with some existing algorithms, the experimental results show that the proposed method can not only highlight the object information, but also can preserve the abundant background information effectively in the visible light image. Copyright © 2018 SPIE.","18","Image fusion","Artificial intelligence - Infrared imaging - Light - Video signal processing - Visualization","Background information - Infrared and visible image - Multi-source images - NSST - Object information - Visible image - Visible light images - Visual saliency detections","716.4 Television Systems and Equipment - 723.2 Data Processing and Image Processing - 723.4 Artificial Intelligence - 741.1 Light/Optics - 746 Imaging Techniques",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The efficiency of local governments' fiscal expenditure based on the study of the value of public goods","20190806535848","","Zhang, Qiangjing (1); Yuan, Jialin (1) ","(1) School of Management, Yunnan Minzu University, Kunming, China ","","5th International Conference on Industrial Economics System and Industrial Security Engineering, IEIS 2018 - Proceeding","Int. Conf. Ind. Econ. Syst. Ind. Secur. Eng., IEIS - Proc.","Beijing Logistics Information Research Base; et al.; IEEE Systems Men and Cybernetics Society (SMC); K.C. Wong Education Foundation (Hong Kong); NSFC; Sino-EU Doctoral School for Sustainability Engineering","Institute of Electrical and Electronics Engineers Inc.","","","","December 31, 2018","5th International Conference on Industrial Economics System and Industrial Security Engineering, IEIS 2018 - Proceeding","1 of 1","2018","English","","","9781538669686","10.1109/IEIS.2018.8598135","8598135","5th International Conference on Industrial Economics System and Industrial Security Engineering, IEIS 2018","August 3, 2018 - August 6, 2018","Toronto, ON, Canada","144251","","Conference article (CA)","This paper builds a model based on the value of public goods, empirically analyzing China's eastern, central and western provincial differences in the efficiency of fiscal expenditure as well as the reaction to the macroeconomic environment. In our point of view, China's finance, especially local governments' finance, should focus on limited expenditure to pursue the maximum of effect. In the implementation of the Supply-Side Structural Reform, the governments of all kinds need to realize the optimization of fiscal expenditure structure. © 2018 IEEE.","11","Industrial economics","Efficiency - Security systems","Fiscal expenditures - Local government - Macroeconomic environments - Model-based OPC - Public goods - Supply sides","911.2 Industrial Economics - 913.1 Production Engineering - 914.1 Accidents and Accident Prevention","Number: 71561027, Acronym: -, Sponsor: National Natural Science Foundation of China; Number: 2018YJCX056, Acronym: -, Sponsor: -; ","The accomplishment of this paper is founded by the National Natural Science Foundation (No. 71561027) and the Postgraduate Innovation Foundation of Yunnan Minzu University (No. 2018YJCX056).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Enhancement of plasmon-photon coupling in grating coupled graphene inside a Fabry-Pérot cavity","20182505354654","","Zhao, C.X. (1); Xu, W. (2, 3); Dong, H.M. (4); Yu, Y. (5); Qin, H. (5); Peeters, F.M. (6) ","(1) College of Physics and Information Engineering, Shanxi Normal University, Linfen; 041004, China (2) Key Laboratory of Materials Physics, Institute of Solid State Physics, Chinese Academy of Sciences, Hefei; 230031, China (3) Department of Physics and Astronomy, Yunnan University, Kunming; 650091, China (4) School of Physical Science and Technology, China University of Mining and Technology, Xuzhou; 221116, China (5) Key Laboratory of Nanodevices and Applications, Suzhou Institute of Nano-tech and Nano-bionics, Chinese Academy of Sciences, Suzhou; 215123, China (6) Department of Physics, University of Antwerp, Groenenborgerlaan 171, Antwerpen; B-2020, Belgium ","Xu, W.(wenxu_issp@aliyun.com) ","Solid State Communications","Solid State Commun","","Elsevier Ltd","280","","45-49","October 2018","","","2018","English","00381098","","","10.1016/j.ssc.2018.06.005","","","","","","SSCOA4","Journal article (JA)","We present a theoretical investigation of the plasmon-polariton modes in grating coupled graphene inside a Fabry-Pérot cavity. The cavity or photon modes of the device are determined by the Finite Difference Time Domain (FDTD) simulations and the corresponding plasmon-polariton modes are obtained by applying a many-body self-consistent field theory. We find that in such a device structure, the electric field strength of the incident electromagnetic (EM) field can be significantly enhanced near the edges of the grating strips. Thus, the strong coupling between the EM field and the plasmons in graphene can be achieved and the features of the plasmon-polariton oscillations in the structure can be observed. It is found that the frequencies of the plasmon-polariton modes are in the terahertz (THz) bandwidth and depend sensitively on electron density which can be tuned by applying a gate voltage. Moreover, the coupling between the cavity photons and the plasmons in graphene can be further enhanced by increasing the filling factor of the device. This work can help us to gain an in-depth understanding of the THz plasmonic properties of graphene-based structures. © 2018 Elsevier Ltd","44","Plasmons","Electric fields - Finite difference time domain method - Graphene - Mean field theory - Molecular orbitals - Phonons - Photons - Plasmonics","Coupling enhancements - Electric field strength - Finite-difference time-domain simulation - In-depth understanding - Plasmon-polariton modes - Plasmon-polaritons - Self consistent field theory - Theoretical investigations","701.1 Electricity: Basic Concepts and Phenomena - 761 Nanotechnology - 804 Chemical Products Generally - 921 Mathematics - 922.2 Mathematical Statistics - 931.3 Atomic and Molecular Physics","Number: 2011YQ130018, Acronym: MOST, Sponsor: Ministry of Science and Technology of the People's Republic of China; Number: -, Acronym: -, Sponsor: Yunnan Provincial Science and Technology Department; Number: -, Acronym: CAS, Sponsor: Chinese Academy of Sciences; Number: -, Acronym: CASHIPS, Sponsor: Hefei Institutes of Physical Science, Chinese Academy of Sciences; Number: 11604192, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 11574319, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work is supported by the National Natural Science Foundation of China (Grand No. 11604192 and Grant No. 11574319 ); the Center of Science and Technology of Hefei Academy of Science ; the Ministry of Science and Technology of China (Grant No. 2011YQ130018 ); Department of Science and Technology of Yunnan Province ; Chinese Academy of Sciences .",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study on the total reactive compensation method of offshore wind farm","20184706115228","","Peilei, Feng (1); Hesong, Wu (2); Mingsheng, Zhang (3); Wenkni, Wan (3) ","(1) School of Electrical and Information TechnologyYunnan Minzn University Kunming, China (2) Diqing Grid Bureau, Yunnan Grid Corporation Limited, Diqing StateDiqing, China (3) Kunming University of Science and Technology Oxbridge College Kunming, China ","Hesong, Wu(sci7663571@163.com) ","MATEC Web of Conferences","MATEC Web Conf.","","EDP Sciences","175","","","July 2, 2018","2018 International Forum on Construction, Aviation and Environmental Engineering-Internet of Things, IFCAE-IOT 2018","1 of 1","2018","English","","2261236X","","10.1051/matecconf/201817503005","03005","2018 International Forum on Construction, Aviation and Environmental Engineering-Internet of Things, IFCAE-IOT 2018","May 11, 2018 - May 13, 2018","Guangzhou, China","141840","","Conference article (CA)","Wind power generation is one of the most mature and most developed conditions for power generation in new energy generation technology.Large capacity and long distance offshore wind power is the trend of future wind power development.Wind power generation is one of the most mature and commercialized power generation methods in the field of renewable energy utilization.Due to the rich characteristics of offshore wind resources and the urgent need for offshore wind power development projects all over the world, the transmission and interconnection of large-scale offshore wind farms has become a hot topic in the development and research of wind power.This paper focuses on the analysis of the reactive power compensation methods for offshore wind farms, and provides a reference for the construction of offshore wind farms. © The Authors, published by EDP Sciences 2018.","7","Offshore wind farms","Electric power generation - Electric utilities - Environmental engineering - Internet of things - Offshore oil well production - Reactive power","Hot topics - New energies - Off-shore wind power - Offshore wind resources - Power generation methods - Reactive compensation - Reactive power compensation - Renewable energies","511.1 Oil Field Production Operations - 615.8 Wind Power (Before 1993, use code 611 ) - 723 Computer Software, Data Handling and Applications",,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
