Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Global exponential stability for impulsive BAM neural networks with distributed delays on time scales","20100412665489","","Li, Yongkun (1); Gao, Shan (1) ","(1) Department of Mathematics, Yunnan University, Yunnan, Kunming 650091, China ","Li, Y.(yklie@ynu.edu.cn) ","Neural Processing Letters","Neural Process Letters","","Kluwer Academic Publishers","31","1","65-91","February 2010","","","2010","English","13704621","1573773X","","","10.1007/s11063-009-9127-z","","","","","","NPLEFG","Journal article (JA)","In this paper, by utilizing the time scale calculus theory, topological degree theory and Holder's inequality on time scales, we analyze a class of impulsive BAM neural networks with distributed delays on time scales. Some sufficient conditions are obtained to ensure the existence, uniqueness and the global exponential stability of the equilibrium point. Finally, an example is provided to demonstrate the effectiveness of the results. © 2010 Springer Science+Business Media, LLC.","42","Time measurement","Calculations - Neural networks - Topology","BAM neural network - Distributed delays - Global exponential stability - Impulsive - Time-scales - Topological degree theory","921 Mathematics - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory - 943.3 Special Purpose Instruments",,"","This work is supported by the National Natural Sciences Foundation of People&rsquo;s Republic of China.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Sobolev's spaces on time scales and its applications to a class of second order Hamiltonian systems on time scales","20103213134791","","Zhou, Jianwen (1); Li, Yongkun (1) ","(1) Department of Mathematics, Yunnan University, Kunming, Yunnan 650091, China ","Li, Y.(yklie@ynu.edu.cn) ","Nonlinear Analysis, Theory, Methods and Applications","Nonlinear Anal Theory Methods Appl","","Elsevier Ltd","73","5","1375-1388","September 1, 2010","","","2010","English","0362546X","","","","10.1016/j.na.2010.04.070","","","","","","NOANDD","Journal article (JA)","In this paper, we study the Sobolev's spaces on time scales and their properties. As applications, we present a recent approach via variational methods and the critical point theory to obtain the existence of solutions for a class of second order Hamiltonian systems on time scales. By establishing a proper variational setting, three existence results for systems under consideration are obtained. Finally, three examples are presented to illustrate the feasibility and effectiveness of the existence results. © 2010 Elsevier Ltd. All rights reserved.","19","Hamiltonians","Sobolev spaces - Time measurement","Critical points - Hamiltonian systems - Sobolev - Time-scales - Variational methods","921 Mathematics - 943.3 Special Purpose Instruments",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Existence and stability analysis of discrete-time fuzzy BAM neural networks with delays and impulses","20125215834983","","Wang, Chao (1); Li, Yongkun (1) ","(1) Department of Mathematics, Yunnan University, Kunming, Yunnan 650091, China ","Wang, C. ","World Academy of Science, Engineering and Technology","World Acad. Sci. Eng. Technol.","","WASET - World Academy of Science, Engineering and, No: 235 Eski Edirne Asfalti, Istanbul, 34045, Turkey","55","","1122-1131","July 2011","","","2011","English","2010376X","20103778","","","","","","","","","","Journal article (JA)","In this paper, the discrete-time fuzzy BAM neural network with delays and impulses is studied. Sufficient conditions are obtained for the existence and global stability of a unique equilibrium of this class of fuzzy BAM neural networks with Lipschitzian activation functions without assuming their boundedness, monotonicity or differentiability and subjected to impulsive state displacements at fixed instants of time. Some numerical examples are given to demonstrate the effectiveness of the obtained results.","32","Fuzzy logic","Fuzzy inference - Fuzzy neural networks - Stability","Equilibrium point - Fuzzy bam neural networks - Global asymptotical stability - Global exponential stability - Impulses","721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 723.4 Artificial Intelligence",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Amplification of weak signals via the non-adiabatic regime of stochastic resonance in a bistable dynamical system with time delay","20113014171818","","Du, Lu-Chun (1); Mei, Dong-Cheng (1) ","(1) Department of Physics, Yunnan University, Kunming 650091, China ","Du, L.-C.(dulch@126.com) ","Physica Scripta","Phys Scr","","Institute of Physics Publishing","84","1","","July 2011","","","2011","English","00318949","14024896","","","10.1088/0031-8949/84/01/015003","015003","","","","","PHSTBO","Journal article (JA)","The non-adiabatic regime of stochastic resonance (SR) in a bistable system with time delay, an additive white noise and a periodic signal was investigated. The signal power amplification η was employed to characterize the SR of the system. The simulation results indicate that (i) in the case of intermediate frequency Ω of the periodic signal, the typical behavior of SR is lowered monotonically by increasing the delay time τ; in the case of large Ω, τ weakens the SR behavior and then enhances it, with a non-monotonic behavior as a function of time delay; (ii) time delay induces SR when A is above the threshold, whereas no such resonance exists in the absence of time delay; (iii) time delay induces a transition from bimodal to unimodal configuration of η; (iv) varying the particular form of time delay results in different phenomena. © 2011 The Royal Swedish Academy of Sciences.","45","Time delay","Circuit resonance - Dynamical systems - Magnetic resonance - Stochastic systems - Timing circuits - White noise","Additive white noise - Bistable system - Function of time - Intermediate frequencies - Monotonic behavior - Periodic signal - Signal power amplification - Stochastic resonances","701.2 Magnetism: Basic Concepts and Phenomena - 703.1 Electric Networks - 713 Electronic Circuits - 713.4 Pulse Circuits - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A network-application framework based on application-component","20095012543865","","Gao, Huaiyan (1); Tang, Jiahua (1); Liu, Junhui (1); Liao, Hongzhi (1) ","(1) School of Software, Yunnan University, Kunming, China ","Gao, H.(gaohuaiyan@gmail.com) ","10th ACIS Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing, SNPD 2009, In conjunction with IWEA 2009 and WEACR 2009","ACIS Conf. Softw. Eng., Artif. Intell., Networking Parallel/Distrib. Comput., SNPD, conjunction IWEA WEACR","","IEEE Computer Society","","","181-185","2009","10th ACIS Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing, SNPD 2009, In conjunction with IWEA 2009 and WEACR 2009","","2009","English","","","","9780769536422","10.1109/SNPD.2009.24","5286673","10th ACIS Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing, SNPD 2009, In conjunction with IWEA 2009 and WEACR 2009","May 27, 2009 - May 29, 2009","Daegu, Korea, Republic of","78633","","Conference article (CA)","This paper will describe an application-component framework (ACF), which is made up of application-component designer (ACD), application-component container (ACC), application module configuration file (AMCF), applicationcomponent access controller (ACAC), and applicationcomponent browser (ACB). Application-component framework provides perfect foundation for the development, deployment, authorization, and consumption of applicationcomponent. In the application level, ACF supports distributed network application, rapid development and rapid deployment of application system, and plug-and-play of applicationcomponent. By using ACF, enterprise's complex business system can be conveniently and quickly divided into many small function modules, that is, application-component. Application-component is a visual interface for users, completes a relative independent function, and provides a kind of given service to authorized users through ACB in Internet. In ACD, the developers may make full use of many advantages of C/S development environment to develop and deploy application-component, and the users can achieve B/S effect and convenience through ACB. Since application-component can be developed in ACD which environment is very similar to Delphi, its interactive, interface attractive, and producing efficiency are very outstanding far developing the internet applications. © 2009 IEEE.","7","Software engineering","Access control - Artificial intelligence - C (programming language)","Application components - Application systems - Development environment - Distributed networks - Independent functions - Internet application - Network applications - Producing efficiency","723 Computer Software, Data Handling and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A multi-parameters preconditioned AOR iterative method for linear systems","20084711719899","","Li, Yao-Tang (1); Yang, Shunfeng (1) ","(1) Department of Mathematics, Yunnan University, Kunming, Yunnan 650091, China ","Li, Y.-T.(liyaotang@ynu.edu.cn) ","Applied Mathematics and Computation","Appl. Math. Comput.","","Elsevier Inc.","206","1","465-473","December 1, 2008","","","2008","English","00963003","","","","10.1016/j.amc.2008.09.032","","","","","","AMHCBQ","Journal article (JA)","In order to improve the convergence rates of iterative method solving the linear system Ax = b, a preconditioned AOR iterative method with a multi-parameters preconditioner I + over(S, ∼)α is proposed. Some convergence and comparison results for αi ∈ [0, 1] are given when A is an L-matrix. When A is an H-matrix, the convergence of the corresponding methods is discussed for αi ∈ [0, αi′), where αi > 1. Furthermore, effectiveness of the new preconditioner method is shown by numerical experiments. Numerical experiments show that our methods are superior to the basic AOR iterative methods. © 2008 Elsevier Inc. All rights reserved.","6","Iterative methods","Linear systems - Matrix algebra - Numerical methods","AOR iterative method - Comparison result - Convergence rates - H matrix - L-matrix - Multiparameters - Numerical experiments - Preconditioners","921.1 Algebra - 921.6 Numerical Methods - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Existence of solutions for a class of second-order Hamiltonian systems with impulsive effects","20095112552859","","Zhou, Jianwen (1); Li, Yongkun (1) ","(1) Department of Mathematics, Yunnan University, Kunming, Yunnan 650091, China ","Li, Y.(yklie@ynu.edu.cn) ","Nonlinear Analysis, Theory, Methods and Applications","Nonlinear Anal Theory Methods Appl","","Elsevier Ltd","72","3-4","1594-1603","February 1, 2010","","","2010","English","0362546X","","","","10.1016/j.na.2009.08.041","","","","","","NOANDD","Journal article (JA)","In this paper, a class of second-order Hamiltonian systems with impulsive effects are considered. We establish some sufficient conditions for the existence of solutions for the second-order Hamiltonian systems with impulsive effects {(over(u, ) (t) = ∇ F (t, u (t)),, a.e. t ∈ [0, T] ;; u (0) - u (T) = over(u, ) (0) - over(u, ) (T) = 0,; Δ over(u, )i(tj) = over(u, )i(tj+) - over(u, )i(tj-) = Ii j(ui(tj)),, i = 1, 2, ..., N, j = 1, 2, ..., p,) where t0= 0 12pp + 1= T, u (t) = (u1(t), u2(t), ..., uN(t)) ∈ RN, Ii j: R → R (i = 1, 2, ..., N, j = 1, 2, ..., p) are continuous and F : [0, T] × RN→ R. The solutions are sought by means of some critical point theorems. Finally, two examples are presented to illustrate the feasibility and effectiveness of our results. © 2009 Elsevier Ltd. All rights reserved.","25","Hamiltonians","Mathematical techniques - Nonlinear analysis","Critical points - Critical-point theorems - Existence of Solutions - Hamiltonian systems - Impulse - Impulsive effects - Second order Hamiltonian systems","921 Mathematics - 921.3 Mathematical Transformations - 931 Classical Physics; Quantum Theory; Relativity - 931.2 Physical Properties of Gases, Liquids and Solids",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Nonlinear identification of the external power system dynamic equivalent for the study system","20084011622780","","Hamidreza, Radmanesh (1); Hamed, Shakouri G. (2); Mehdi, Karrari (3) ","(1) Engineering Faculty, Shahed University, Tehran, Iran (2) Industrial Engineering Faculty, University of Tehran, Tehran, Iran (3) Electrical Engineering Faculty, Amirkabir University of Tech., Tehran, Iran ","Hamidreza, R.(radmanesh@shahed.ac.ir) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","306-310","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","","9787900719706","10.1109/CHICC.2008.4605412","4605412","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","Based on the concept of the external power system dynamic equivalent for the study system, in this paper a reduced-order artificial neural network is proposed, which is constructed to model the external part. The mastermind behind the proposed method is to identify the external part as a dynamic-algebraic ANN, and this separation between dynamic equations in the state space form and algebraic equations is useful to solve the prediction problem. To obtain this model, the system should be excited by some disturbances, and according to the measured data on the boundary nodes, identification procedure is accomplished. Therefore, the trained network can be used to predict behavior of the external system in a high degree of accuracy.","27","Algebra","Equations of state - Neural networks - State space methods","Algebraic equations - Dynamic equivalent - High degree of accuracy - Identification procedure - Multimachine systems - Nonlinear identifications - Power system dynamic equivalent - Prediction problem","921 Mathematics - 921.1 Algebra",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Effects of moisture content and temperature on the quality of water hyacinth pellets","20163302709540","","Zhang, Xia (1); Cai, Zongshou (1); Chen, Lihong (1); Zhang, Dezhen (1); Zhang, Zhe (1) ","(1) Department of Mechanical and Electrical Engineering, Yunnan Agricultural University, Kunming; 650201, China ","Cai, Zongshou(1395318154@qq.com) ","BioResources","BioResour.","","North Carolina State University","11","1","1407-1416","2016","","","2016","English","","19302126","","","10.15376/biores.11.1.1407-1416","","","","","","","Journal article (JA)","Moisture content and temperature are two important process parameters that greatly influence the quality of biomass pellet fuels. The moisture content of raw material was varied at five levels (8%, 10%, 12%, 14%, 16%) to test its effect on water hyacinth pellet density and diametric compression strength. The experimental conditions included a compressing force of 6 kN, hammer mill screen size of 2 mm, and temperature of 100 °C. Five temperature conditions (80, 90, 100, 110, and 120 °C) were studied under the same conditions and 12% moisture content. In these conditions, the optimal moisture contents for water hyacinth pellet density and diametric compression strength were 12.2% and 11.5%, respectively, and the optimal temperatures were 100.4 °C and 104.3 °C, respectively.","15","Moisture","Biomass - Compressive strength - Moisture determination - Pelletizing - Temperature - Water quality","Biomass pellet fuels - Diametric compression - Experimental conditions - Optimal temperature - Process parameters - Quality of water - Temperature conditions - Water Hyacinth","445.2 Water Analysis - 641.1 Thermodynamics - 944.2 Moisture Measurements",,"Number: 51265051, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The authors are grateful for the support of the National Natural Science Foundation of China (No. 51265051).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"UAV formation flight based on vision sensor","20084011616721","","Zhong, Yang (1); Ting, Fang (1, 2); Qiongjian, Fan (1); Delin, Luo (3) ","(1) College of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing 210016, China (2) College of Electric Information, Anhui University of Technology, Maanshan, Anhui 243000, China (3) Center for Systems and Control, Xiamen University, Xiamen 361005, China ","Zhong, Y.(YZ.NUAA@163.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","592-597","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","","9787900719706","10.1109/CHICC.2008.4605771","4605771","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","This paper discusses the vision-based UAV formation flight methods, describes the critical section-formation guidance, moving object extracting, object tracking detailedly. At the same time, we propose a real-time video drawing way to apply to flying vehicle object extracting, and introduce the unscented Kalman filtering(UKF) into object tracking to improve the often-used extended Kalman filtering(EKF). The simulation results show their efficiency.","18","Aircraft detection","Extended Kalman filters - Unmanned aerial vehicles (UAV)","Critical sections - Extended Kalman filtering - Formation flight - Formation guidances - Moving objects - Object extracting - Object Tracking - Unscented Kalman filtering","652.1 Aircraft, General - 716.2 Radar Systems and Equipment",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
