Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Study on the beneficiation of an oxidised copper ores in Yunnan Province","20144900298175","","Jiang, Tai Guo (1); Wei, Zhi Cong (1); Zhang, Tie Min (1) ","(1) Kunming University of Science and Technology, Kunming, China ","Wei, Zhi Cong ","Applied Mechanics and Materials","Appl. Mech. Mater.","Chungbuk National University, Korea; Hong Kong Industrial Technology Research Centre; Inha University; Korea Maritime University; National Chengchi University, Taiwan; Queensland University of Technology","Trans Tech Publications Ltd","631-632","","641-645","2014","","Information Technology Applications in Industry III","1 of 1","2014","English","16609336","16627482","","9783038352396","10.4028/www.scientific.net/AMM.631-632.641","","3rd International Conference on Information Technology and Management Innovation, ICITMI 2014","July 19, 2014 - July 20, 2014","Shenzhen, China","114814","","Conference article (CA)","For a refractory oxidised copper ores in Yunnan province, studing the beneficiation of a oxidised copper ores sulfide flotation behavior. The results showed that: When ethylenediamine phosphate was added with the dosage of 120 g/t, the final copper concentrates were gained with the grade of 21.06% and recovery of 83.20%. Compared to the direct sulfide flotation, the concentrate grade was raised by 3.59% and the recovery was increased by 7.33%. © 2014 Trans Tech Publications, Switzerland.","4","Ores","Beneficiation - Concentration (process) - Copper - Copper smelting - Flotation - Oxidation - Sulfur compounds","Concentrate grade - Copper concentrates - Copper ore - Ethylene diamine - Sulfide flotation - Yunnan province","502 Mines and Quarry Equipment and Operations - 504 Mines and Mining, Metal - 505 Mines and Mining, Nonmetallic - 533.1 Ore Treatment - 544.1 Copper - 802.2 Chemical Reactions - 802.3 Chemical Operations - 804.1 Organic Compounds",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Impacts of different root miroirrigation emitters on water distribution of red loam and yellow sand soils in Yunnan","20154501494371","","Yu, Yang (1); Yang, Zhenjie (1); Zhang, Jiansheng (2); Guo, Pan (1); Xue, Xiang (1); Zhang, Xinxing (1); Hu, Hongchao (1); You, Ruiju (1) ","(1) College of Mechanical and Electrical Engineering, Yunnan Agricultural University, Kunming; 650201, China (2) College of Water Resources and Hydraulic Engineering, Yunnan Agricultural University, Kunming; 650201, China ","","Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering","Nongye Gongcheng Xuebao","","Chinese Society of Agricultural Engineering","31","19","84-90","October 1, 2015","","","","2015","Chinese","10026819","","","","10.11975/j.issn.1002-6819.2015.19.012","","","","","","NGOXEO","Journal article (JA)","It is important to explore the effect of different root micro emitters on soil water distribution, which improves the efficiency of root micro irrigation system. The influence of micro emitter type on soil water distribution was studied in this paper. Two different irrigation systems (surface drip irrigation and root micro irrigation), two different irrigation emitter types (flow adjustable irrigation emitter and drip irrigation belt embedded with inner patch) and three different irrigation times (5, 15 and 30 minutes) were applied on the Yunnan red loam and the yellow sand soils. Soil moisture was determined. The results showed that there was a very significant interaction between the emitter type and the soil type, the emitter type and the irrigation time (P 0.05). The flow adjustable irrigation emitter has 8 horizontal drainage holes. The horizontal width of the irrigation water in the 2 soils was both wide (about 25 cm). The drip irrigation belt embedded with inner patch has a downward single hole. The horizontal width of the irrigation water in the 2 soils was both narrow (about 16 cm). Therefore, for the wide root extension of crops, the application of the flow adjustable irrigation emitter should be more suitable, on the contrary, the drip irrigation belt embedded with inner patch are used instead. In the Yunnan red loam, the areas with higher water content for the root micro-irrigation using belt embedded with inner patch were more close to those of crop roots, the areas with higher water content for the surface drip irrigation basically concentrated on the upper part of the soil of the flower pot. Therefore, compared to the surface drip irrigation, water loss due to evaporation in root irrigation greatly reduced. In the Yunnan red loam, the matric potential to the movement of irrigation water played the main role and water was easy to sink; In yellow sand soil, the gravitational potential to the movement of irrigation water played a main role which could cause the deep percolation of water. In the Yunnan red loam, the soil moisture areas corresponding to 70% of the total area mostly had the narrow and low water content when the irrigation time was short. And each section was continuous. The range of the soil moisture section corresponding to 70% of the total area was the widest in the 3 irrigation times. And the uniformity of soil water distribution was also the highest; in the yellow sand soil, with the increase of irrigation time, the range of the soil moisture content section corresponding to 70% of the total area was larger than that in Yunnan red loam. This showed that sections with low and high soil moisture content were in the majority with uneven distribution in Yunnan red loam. And the sections with middle soil moisture content were in the majority with even distribution in yellow sand soil. This paper provides valuble information for increasing water use efficiency in the roots of micro-irrigation system. ©, 2015, Chinese Society of Agricultural Engineering. All right reserved.","16","Irrigation","Crops - Efficiency - Embedded systems - Moisture determination - Sand - Soil moisture - Soils - Solvents - Water - Water content - Water supply - Water supply systems","Gravitational potential - Increasing water-use efficiencies - Microirrigation systems - Soil-water distribution - Surface drip irrigations - Water distributions - Yellow sands - Yunnan red loam","446.1 Water Supply Systems - 483.1 Soils and Soil Mechanics - 803 Chemical Agents and Basic Industrial Chemicals - 821.3 Agricultural Methods - 821.4 Agricultural Products - 913.1 Production Engineering - 944.2 Moisture Measurements",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Chemical and genetic study of Ligularia cyathiceps in Yunnan Province of China","20094512426437","","Nagano, Hajime (1); Torihata, Atsushi (2); Matsushima, Mika (1); Hanai, Ryo (3); Saito, Yoshinori (4); Baba, Makiko (4); Tanio, Yui (4); Okamoto, Yasuko (4); Takashima, Yuriko (4); Ichihara, Mayu (4); Gong, Xun (5); Kuroda, Chiaki (2, 6); Tori, Motoo (4) ","(1) Department of Chemistry, Ochanomizu University, Otsuka, Bunkyo-ku, Tokyo 112-8610, Japan (2) Department of Chemistry, Rikkyo University, Nishi-Ikebukuro, Toshima-ku, Tokyo 171-8501, Japan (3) Department of Life Science, Rikkyo University, Nishi-Ikebukuro, Toshima-ku, Tokyo 171-8501, Japan (4) Faculty of Pharmaceutical Sciences, Tokushima Bunri University, Yamashiro-cho, Tokushima, 770-8514, Japan (5) Kunming Institute of Botany, Chinese Academy of Science, Kunming 650204, China (6) Research Center for Smart Molecules, Rikkyo University, Nishi-Ikebukuro, Toshima-ku, Tokyo 171-8501, Japan ","Hanai, R.(hanai@rikkyo.ne.jp) ","Helvetica Chimica Acta","Helv. Chim. Acta","","Verlag Helvetica Chimica Acta AG","92","10","2071-2081","October 2009","","","","2009","English","0018019X","","","","10.1002/hlca.200900270","","","","","","HCACAV","Journal article (JA)","Root chemicals and evolutionarily neutral DNA regions in L. cyathiceps samples collected in the Zhongdian (Shangrila) County of Yunnan, P. R. China, were examined. Twenty compounds were isolated, including three new ones, 1β,10β-epoxy-6β-(propionyloxy)furanoeremophilan-9-one (6), 1β,10β-epoxy-8α-ethoxyeremophila-6,11-diene (14), and 11αH-6β-isobutyryloxy-1β,10β,7β,8β- diepoxyeremophilan-12,8α-olide (15). The chemical diversity was found to be limited, with cacalol (1) and 6-(acyloxy)furanoeremophilan-9-ones (4 and/or 5) being major components in all the samples. The nuclear ribosomal RNA gene was also found to harbor little variation, although two distinct sequence types were found for the plastid atpB-rbcL intergenic region. © 2009 Verlag Helvetica Chimica Acta AG.","41","Nucleic acids","Biochemistry - Chemistry","Chemical diversity - Genetic studies - Intergenic regions - P. r. chinas - Ribosomal RNA - Yunnan province","801 Chemistry - 801.2 Biochemistry",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Atmospheric deposition of nitrogen and phosphorous in Lake Yangzonghai, Yunnan Province","20174304306427","","Yu, Gongyou (1); Yang, Changliang (2); Liu, Kai (3); Yang, Haiyan (4); Zhang, Jiali (4) ","(1) School of Architecture and Planning, Yunnan University, Kunming; 650091, China (2) School of Ecology and Environmental Science, Yunnan University, Kunming; 650091, China (3) Yunnan Pingzheng Environmental Technology Co. Ltd., Kunming; 650221, China (4) Institute of International Rivers and Eco-security, Yunnan University, Kunming; 650091, China ","Yang, Changliang(YangCL227@163.com) ","Hupo Kexue/Journal of Lake Sciences","Hupo Kexue/J. Lake Sc.","","Science Press","29","5","1134-1142","September 6, 2017","","","","2017","Chinese","10035427","","","","10.18307/2017.0511","","","","","","","Journal article (JA)","Atmospheric deposition is one of the important pathways for nitrogen (N) and phosphorus (P) transported into lakes. To understand the potential impact of N and P from atmospheric depositions on the eutrophication of Lake Yangzonghai, this research investigated the temporal variation and estimated the fluxes of N and P from atmospheric depositions in the lake catchment. The sources and impact factors of the N and P depositions were analyzed by monitoring data from May 2012 to April 2014. Since Lake Yangzonghai is a P-limited lake, this study especially compared the P fluxes from N and P atmospheric deposition with that from non-point sources, and assessed the potential P-impact from atmospheric deposition on the eutrophication lake. The results showed that the average annual deposition flux of total nitrogen was 248 mg/m2, and seasonal deposition fluxes in spring, summer, autumn and winter were 200, 306, 274 and 214 mg/m2, respectively. The peak of N flux occurred in summer because of the increased rainfall. The annual average P deposition flux was 24 mg/m2, and seasonal deposition fluxes in spring, summer, autumn and winter were 18, 31, 19 and 27 mg/m2, respectively. Compared with the non-point P-load source, P-input from atmospheric deposition seemed very small, and would have little effect on the eutrophication of the lake. © 2017 by Journal of Lake Sciences.","48","Deposition","Atmospheric chemistry - Catchments - Eutrophication - Lakes - Meteorological problems - Nitrogen - Phosphorus","Annual average - Atmospheric depositions - Deposition fluxes - Non-point source - Potential impacts - Temporal variation - Total nitrogen - Yunnan province","443.1 Atmospheric Properties - 802.3 Chemical Operations - 804 Chemical Products Generally",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Geochemical characteristics of the Machangqing intrusive and its deep-derived enclaves, Western Yunnan Province","20114614515227","","Guo, Xiao-Dong (1, 2); Niu, Cui-Yi (2, 3); Wang, Zhi-Hua (2); Wang, Shu-Xian (4); Wang, Liang (3) ","(1) Institute of Geology Chinese Academy of Geological Sciences, Beijing 100037, China (2) Gold Geology Institute of CAPF, Langfang 065000, Hebei, China (3) Academy of Earth and Resource, China University of Geosciences, Beijing 100083, China (4) National Research Center of Geoanalysis, Beijing 100037, China ","Guo, X.-D.(Xdguo191@sohu.com) ","Jilin Daxue Xuebao (Diqiu Kexue Ban)/Journal of Jilin University (Earth Science Edition)","Jilin Daxue Xuebao (Diqiu Kexue Ban)","","Jilin University Press","41","SUPPL. 1","141-153","September 2011","","","","2011","Chinese","16715888","","","","","","","","","","JDXDA8","Journal article (JA)","Mafic, deep-derived and dark-colored enclaves have been discovered for the first time in the Machangqing alkali-rich porphyry in Yunnan Province, which supply more credible geologic evidence to study and reveal the property and origin of the alkali-rich magma and to understand geodynamics of the rock and ore-formation. The enclaves are mainly round or sub-round and are featured by mircogranular-fine grained texture, including acicular apatite. Some enclaves contain K-feldspar and quartz phenocrysts from host rocks. The plots of major and trace elements for both enclaves and host rocks show a linear correlation trend. In addition, their REE and trace element patterns are clearly similar, which shows their geochemical similarity and conspicuous non-cognate feature. All of the characteristics indicate the dark-colored enclaves in Machangqing intrusive are generated by mixing of mantle-derived magma and crustal magma. The injection of mixed mantle-derived magma is the key factor to the ore-formation of the magma.","38","Geochemistry","Feldspar - Phosphate minerals - Trace elements","Geochemical characteristic - Granitic porphyry - Machangqing intrusive - Mafic enclaves - Major and trace elements - Mantle derived magmas - Trace element patterns - Western yunnan","481.2 Geochemistry - 482.2 Minerals",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Tectonic reverse of Cenozoic basins and its relationship with the biogas accumulation in north-east of Yunnan Province","20123915472691","","Hou, Yu-Guang (1, 2); He, Sheng (1, 2); Tang, Da-Qing (1, 2) ","(1) Key Laboratory of Tectonics and Petroleum Resources, Ministry of Education, China University of Geosciences, Wuhan 430074, China (2) Faculty of Earth Resources, China University of Geosciences, Wuhan 430074, China ","Hou, Y.-G.(sporthyg@126.com) ","Zhongnan Daxue Xuebao (Ziran Kexue Ban)/Journal of Central South University (Science and Technology)","Zhongnan Daxue Xuebao (Ziran Kexue Ban)","","Central South University of Technology","43","6","2238-2246","June 2012","","","","2012","Chinese","16727207","","","","","","","","","","ZDXZAC","Journal article (JA)","Through tectonic and sedimentary interpretation, using two-dimensional seismic lines combining with geological data and well logs, the tectonic characteristics, evolution and genetic relationship of Qujing, Yuezhou, and Luliang basins locating in the fold zone of north-eastern Yunnan Province were discussed, and the effect of tectonic reverse during the Late Oligocene and the end of Pliocene on the accumulation elements of biogenic gas was analysed. The results show that as a result of tectonic reverse of the Late Oligocene, the over-consumption of the organic matters in Caijiachong Formation by organic maturation and hydrocarbon generation or biogas generation was significantly avoided. It ensured the continuous-effective biogenic gas formation providing to the biogas accumulations since Quaternary. The tectonic reverse in the end of Pliocene made the essential elements for the process of biogas accumulation to be placed effectively in time and space, and controlled forming of the biogas reservoir. The middle fault-dowenwarp belt and its transition region with the fault-fold belt and slope belt are the favorite prospecting areas of biogas reservoirs in the basin.","28","Faulting","Biogas - Petroleum geology - Well logging","Elements of biogas accumulations - Genetic relationships - Hydrocarbon generation - North-eastern yunnan provinces - Organic maturation - Tectonic evolution - Tectonic reverse - Transition regions","481.1 Geology - 484.1 Earthquake Measurements and Analysis - 522 Gas Fuels",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on the architecture and strategies of yunnan rural human resources smart development in the era of big data","20172903962754","","Tian, Jing (1); Xie, Yunli (1) ","(1) School of Education Science and Management, Yunnan Normal University, Kunming; 650500, China ","","2017 3rd International Conference on Information Management, ICIM 2017","Int. Conf. Inf. Manag., ICIM","","Institute of Electrical and Electronics Engineers Inc.","","","383-387","June 15, 2017","2017 3rd International Conference on Information Management, ICIM 2017","","1 of 1","2017","English","","","","9781509063048","10.1109/INFOMAN.2017.7950413","7950413","3rd International Conference on Information Management, ICIM 2017","April 21, 2017 - April 23, 2017","Chengdu, China","128381","","Conference article (CA)","Yunnan is an agricultural province with largely rural population. The rural human resources' qualities determine the results of new rural construction and agriculture economic development. In the era of big data, the construction of education smart cloud platform is conducive to the development of human resources in rural areas of Yunnan. The article has analyzed the current development situations of E-education in rural areas of Yunnan; built a framework of rural human resources development based on smart education; and put forward the countermeasures about the development of smart educating for peasants, which are strengthening the construction of the basic supporting system; improving the smart environment; increasing resources; strengthen the management and service; moving smart teaching, etc. © 2017 IEEE.","12","Big data","Agriculture - Information management - Planning - Rural areas","China Yunnan - Development situations - Economic development - Human resources development - New rural constructions - Smart environment - Strategy - Supporting systems","723.2 Data Processing and Image Processing - 821 Agricultural Equipment and Methods; Vegetation and Pest Control - 912.2 Management",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Alteration abnormity information extraction from ETM data with application in north-western Yunnan, China","20142617865616","","Zhao, Zhifang (1, 2, 3, 4, 5); Zhang, Yujun (5); Chen, Jianping (1, 2); Cheng, Qiuming (3); Lu, Yingxiang (4); Cao, Debing (4) ","(1) China University of Geosciences, 29 Xueyuan Road, Beijing, 100083, China (2) Beijing Key Laboratory of Research and Exploration Information of Land Resources, Beijing 100083, China (3) York University, 4700 Keele St., Toronto, Canada (4) Yunnan Institute of Geology Survey, 87 Dongfeng Lane, Kunming 650051, Yunnan, China (5) China Aero Geophysical Survey, Remote Sensing Center for Land and Resources, 31 Xueyuan Road, Beijing 100083, China ","","Geomathematics and GIS Analysis of Resources, Environment and Hazards - Annual Conference of the International Association for Mathematical Geology, IAMG 2007","Geomathematics GIS Anal. Resour., Environ. Hazards - Annu. Conf. Int. Assoc. Math. Geol., IAMG","China Geological Survey; China University of Geosciences; et al.; International Association for Mathematical Geology; NSFC; York University","CONFERENCE SECRETARIAT,China University of Geosciences, IAMG 2007","","","494-497","2007","Geomathematics and GIS Analysis of Resources, Environment and Hazards - Annual Conference of the International Association for Mathematical Geology, IAMG 2007","","","2007","English","","","","","","","Annual Conference of the International Association for Mathematical Geology: Geomathematics and GIS Analysis of Resources, Environment and Hazards, IAMG 2007","August 26, 2007 - August 31, 2007","Beijing, China","105720","","Conference article (CA)","Regional alteration normality extraction based on ETM data with application was developed in northwest Yunnan, where belongs to Sanjiang area, a famous mineralization belt in China. Through the study on the spectral feature of OH-and Fe2+and Fe3+related to alteration, specific image processing methods were improved and the related operation flow was developed. As interferential factors to alteration, vegetation influence was lessened by the criterion in which the ratios 5/4 more than 1 mean wholly vegetated then were masked in the process, whereas the ratios 5/4 less than or equal to 1 mean semi-vegetated and useful information-bearing then were taken into data process; snow and shadow were lessened by the criterion in which the ratios 7/1 less than 0.8 mean snow and shadow fully covered then were masked also. With interferential factors masked, Principal Component Analysis (PCA) with ETM bands 1, 4, 5 and 7 for alteration related to OH- was conducted, which is on the basis of the principle that OH-has high reflectance in band 5 but high absorption in band 3. Similarly, PCA with bands 1, 3, 4 and 5 for alteration related to Fe2+, Fe3+was conducted, which is on the basis of the fact that Fe2+Fe3+has high reflectance in band 3 but high absorption in bands 1,4 and 5 as well. As the result of PCA, alteration abnormality component was ascertained by the contribution of characteristic bands. Meanwhile, alteration grades were delineated by the standard deviation δ of pixel value of abnormality component. Furthermore, through rational abnormity explanations and alteration type analyses from the view of regional geographic and geological characters, information was obtained that OH--related alteration mainly designates K-feldspar alteration, phyllic alteration and prophilized alteration which is closely related to porphyry type copper deposit. Meanwhile, Fe2+,Fe3+-related alteration designates pyritization which is commonly distributed and mainly related to hydrothermal type or skarn type multi-mineral deposit. Accordingly, the remote sensing alteration models for porphyry type copper deposit and skarn type multi-mineral deposit were set up, by which more potential mineral areas were delineated. By drill verifications conducted in target areas, new mine areas were found. By this way, the study not only reveals that original alteration-related information could be directly extracted from ETM, but also shows that the alteration extraction flow and remote sensing alteration application developed in this study is practical in mineral application, especially with ETM data which are so commonly used and readily available.","9","Principal component analysis","Copper deposits - Data mining - Deposits - Feldspar - Feldspar deposits - Gait analysis - Geographic information systems - Geology - Hazards - Image enhancement - Reflection - Remote sensing - Snow","Characteristic bands - Geological character - Image processing - methods - Northwest Yunnan - Operation flow - Spectral feature - Standard deviation - Western yunnan","443.3 Precipitation - 461.3 Biomechanics, Bionics and Biomimetics - 481.1 Geology - 482.2 Minerals - 504.3 Heavy Metal Mines - 505.1 Nonmetallic Mines - 723.2 Data Processing and Image Processing - 903.3 Information Retrieval and Use - 914.1 Accidents and Accident Prevention - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Main chemical composition and melanoidin composition of roasted coffee beans from different regions of Yunnan","20171003409404","","Liu, Yaling (1); Tan, Chao (1); Gong, Jiashun (1) ","(1) College of Food Science and Technology, Yunnan Agricultural University, Kunming; 650201, China ","Gong, Jiashun(gong199@163.com) ","Shipin Kexue/Food Science","Shipin Kexue/Food Sc.","","Chinese Chamber of Commerce","38","2","176-183","January 25, 2017","","","","2017","Chinese","10026630","","","","10.7506/spkx1002-6630-201702029","","","","","","","Journal article (JA)","The main chemical composition of mildly, moderately, and heavily roasted coffee beans from three major coffeeproducing areas (Pu'er, Nujiang, and Dehong) in Yunnan province was analyzed and melanoidins were extracted from them for analysis by pyrolysis-gas chromatography-mass spectrometry (Py-GC-MS) technique. Results showed that the contents of protein and fat in roasted coffee beans increased with the degree of roasting, and total amino acids decreased. The protein content of heavily roasted coffee beans from Pu'er was the highest (16.3 g/100 g), and the highest amino acid content (9.41%) was detected in raw coffee beans from Pu'er. On the other hand, moderately roasted coffee beans from Dehong had the highest crude fat content (13.85 g/100 g). The dominant minerals were K, Mg, P and Ca. The K content of heavily roasted coffee beans from Pu'er was the highest (2.2 g/100 g). The Py-GC-MS analysis indicated that the melanoidin composition of coffee beans varied significantly depending on geographic origin and roasting degree. However, there were some common characteristics. The contents of caffeine and acid were the highest, followed by esters, amines, phenols, pyrroles, furans, aldehydes, alcohols, ketones. © 2017, China Food Publishing Company. All right reserved.","14","Gas chromatography","Amino acids - Cracking (chemical) - Ketones - Mass spectrometry - Positive ions - Principal component analysis - Proteins","Chemical compositions - Geographic origins - Melanoidins - Protein contents - Pyrolysis-gas chromatography-mass spectrometries - Roasted coffee - Total amino acids - Yunnan province","801 Chemistry - 802.2 Chemical Reactions - 802.3 Chemical Operations - 804.1 Organic Compounds - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Cascading outages analysis of 2015 Yunnan-Guangdong ultra-high voltage transmission system","20101712892020","","Shu, H.C. (1); Sun, S.Y. (1); Liao, L.X. (1); Zhang, M. (1); Dai, Y.T. (1); Wang, Y.N. (1); Song, Q.L. (1) ","(1) Kunming University of Science and Technology, Kunming, 650051, Yunnan, China ","Shu, H. C.(kmshc@sina.com) ","1st International Conference on Sustainable Power Generation and Supply, SUPERGEN '09","Int. Conf. Sustainable Power Gener. Supply, SUPERGEN","","IEEE Computer Society","","","","2009","1st International Conference on Sustainable Power Generation and Supply, SUPERGEN '09","","","2009","English","","","","9781424449347","10.1109/SUPERGEN.2009.5348338","5348338","1st International Conference on Sustainable Power Generation and Supply, SUPERGEN '09","April 6, 2009 - April 7, 2009","Nanjing, China","79815","","Conference article (CA)","Many severe cases of black outs have taken place recently among different countries, which has been the significant factor on power system's safe and stable operation. Taking 2015 Yunnan-Guangdong ultra-high voltage AC/DC transmission system as example, power flow diversion is analyzed when faults occur on the sending Yunnan power system. Action of phase-to-phase resistance three segment protection is obtained by comparing calculating resistance and protection setting, which provides reference that how to prevent the cascading outage of Yunnan power grid in the planning of 2015 Yunnan-Guangdong ultra-high voltage AC/DC transmission system.","7","Outages","Electric load flow - Electric power transmission networks - Surge protection - Transmissions - UHV power transmission","Cascading outages - Protection settings - Segment protection - Stable operation - Transmission systems - Ultra high voltage - Ultra high voltage transmission - Yunnan power grid","602.2 Mechanical Transmissions - 704 Electric Components and Equipment - 706.1 Electric Power Systems - 706.1.1 Electric Power Transmission",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
