Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"BCR speciation analysis of mercury in smelting slag at Yunnan arsenic mining area","20142917961088","","Li, Bin (1, 2); Ning, Ping (1); Gao, Yun Tao (2); Wang, Hong Bin (2) ","(1) Kunming University of Science and Technology, Kunming 650093, China (2) Key Laboratory of Chemistry in Ethnic Medicinal Resources, State Ethnic Affairs Commission and Ministry of Education, Yunnan University of Nationalities, Kunming, Yunnan 650093, China ","","Advanced Materials Research","Adv. Mater. Res.","","Trans Tech Publications Ltd","955-959","","1500-1503","2014","Advances in Environmental Technologies III","","","2014","English","10226680","16628985","9783038351351","10.4028/www.scientific.net/AMR.955-959.1500","","3rd International Conference on Energy and Environmental Protection, ICEEP 2014","April 26, 2014 - April 28, 2014","Xi'an, China","106221","","Conference article (CA)","BCR three-step extraction method was used to evaluate the speciation of mercury in mining area soil. The results showed that the major existent form of mercury in NO.1 and NO.3 area were acid-soluble speciation, the major existent form of mercury in NO.2 and NO.4 area were nitric acid-soluble speciation, and the total content of mercury in entrance area, shade area, sunny area and low-lying area were 419.977 mg/kg, 182.945 mg/kg, 290.313 mg/kg and 798.718 mg/kg, respectively. The bioavailability of mercury in mining area soil was evaluated based on BCR speciation. Acid-soluble speciation, nitric acid-soluble speciation and oxidation speciation were considered to be potential bioavailability. © (2014) Trans Tech Publications, Switzerland.","10","Mercury (metal)","Arsenic - Biochemistry - Fluorescence spectroscopy - Nitric acid - Slags","Atomic fluorescence spectrometry - BCR speciation - Extraction method - Mining areas - Speciation analysis - Total content","549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 741.3 Optical Devices and Systems - 801.2 Biochemistry - 804 Chemical Products Generally - 804.2 Inorganic Compounds",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Extraction removal of copper from Yunnan red soil using EDTA and citric acid","20134416916515","","Chen, Meng Yun (1, 2); Gao, Yun Tao (1, 2); Zhou, Xue Jin (1, 2); Ma, Lin Zhuan (1, 2); Huang, Sheng Li (2); Li, Jian Hong (2); Hu, An Fei (2); Yuan, Ruo Sen (2) ","(1) The Engineering Laboratory of Polylactic Acid-Based Functional Materials of Yunnan, Yunnan University of Nationalities, Kunming, 650500, China (2) Key Laboratory of Ethnic Medicine Resource Chemistry, State Ethnic Affairs Commission and Ministry of Education, Yunnan University of Nationalities, Kunming, 650500, China ","Ma, L. Z. ","Advanced Materials Research","Adv. Mater. Res.","","Trans Tech Publications Ltd, Kreuzstrasse 10, Zurich-Durnten, CH-8635, Switzerland","781-784","","2319-2323","2013","Advances in Chemical Engineering III","","","2013","English","10226680","","9783037858134","10.4028/www.scientific.net/AMR.781-784.2319","","3rd International Conference on Chemical Engineering and Advanced Materials, CEAM 2013","July 6, 2013 - July 7, 2013","Guangzhou, China","100403","","Conference article (CA)","Extraction behaviour of copper from Yunnan red soil by EDTA and citric acid were investigated. The influencing factors of EDTA and citric acid extraction were obtained. The EDTA and citric acid composite extraction for copper was also tested. The result showed that the extraction of copper for the system of low concentration citric acid (0.003 mol/L EDTA+0.05 mol/L) can reach to 64.8%, which is very close to that for the system of high concentration citric acid (0.003 mol/L EDTA+0.1 mol/L citric acid) (64.9%), and is high than that for 0.01 mol/L EDTA (61.1%) and 0.1 mol/L citric acid (61.2%). © (2013) Trans Tech Publications, Switzerland.","8","Citric acid","Chemical engineering - Copper - Extraction - Soils","Acid extraction - EDTA - Low concentrations - Red soils","483.1 Soils and Soil Mechanics - 544.1 Copper - 802.3 Chemical Operations - 805.1 Chemical Engineering - 822 Food Technology",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Modeling of fluid pressure evolution related to sediment loading and thrust faulting in the Lanping basin: Implications for the formation of the Jinding Zn-Pb deposit, Yunnan, China","2006179840982","","Chi, Guoxiang (1); Qing, Hairuo (1); Xue, Chunji (2); Zeng, Rong (3) ","(1) Department of Geology, University of Regina, 3737 Wascana Parkway, Regina, Sask. S4S 0A2, Canada (2) Faculty of Earth Sciences and Resources, China University of Geosciences, Beijing, 100083, China (3) Faculty of Geological Sciences and Resources, Chang'an University, Xi'an, 710054, China ","Chi, G.(guoxiang.chi@uregina.ca) ","Journal of Geochemical Exploration","J. Geochem. Explor.","","Elsevier","89","1-3 SPEC. ISS.","57-60","April/June 2006","","","","2006","English","03756742","","","10.1016/j.gexplo.2005.11.021","","","","","","","Journal article (JA)","The Jinding Zn-Pb deposit occurs in Cretaceous and Paleocene siliciclastic rocks (mainly sandstones) in the Meso-Cenozoic Lanping basin, western Yunnan, China. With a reserve of approximately 200 Mt of ore containing 6.1% Zn and 1.3% Pb, Jinding is the largest sandstone-hosted Zn-Pb deposit in the world. Most previous studies assumed that the mineralizing fluids were derived from within the basin (including meteoric recharge), and the fluid flow was driven by topographic relief under a hydrostatic regime. In contrast, we propose that the mineralizing system was strongly overpressured based on observations of hydraulic fractures and fluid inclusion data. Numerical modeling results indicate that the overpressures could not have been produced by normal sediment compaction. Thrust faulting and input of mantle-derived fluids are likely responsible for the building-up of the high overpressures. The special hydrodynamic regime and potential contribution of mantle-derived fluids to the mineralizing system distinguish Jinding from other known sedimentary basin-related Pb-Zn deposits. © 2006 Elsevier B.V. All rights reserved.","18","Lead zinc deposits","Compaction - Flow of fluids - Geochronology - Hydrodynamics - Hydrostatic pressure - Inclusions - Mathematical models - Sandstone - Sediments","Basinal fluids - Fluid inclusion - Fluid pressure evolution - Sediment loading - Thrust faulting","481.1 Geology - 482.2 Minerals - 504.3 Heavy Metal Mines - 546.1 Lead and Alloys - 546.3 Zinc and Alloys - 631.1.1 Liquid Dynamics","Theoretical (THR); Experimental (EXP)","Number: -, Acronym: NSERC, Sponsor: Natural Sciences and Engineering Research Council of Canada; Number: 40427054, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 40272050, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This study was supported by NSERC (grants to Chi and Qing) and NSFC (grants to Xue: 40272050, 40427054). Dr. Craig M. Bethke and the Board of Trustees of the University of Illinois are thanked for the free use of Basin2™.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Full process dynamic voltage stability of 2015 Yunnan-Guangdong ultra-high voltage AC/DC hybrid transmission system","20101712892018","","Shu, H.C. (1); Sun, S.Y. (1); Song, Q.L. (1); Dai, Y.T. (1); Zhang, M. (1); Wang, Y.N. (1) ","(1) Kunming University of Science and Technology, Kunming, 650051, Yunnan, China ","Shu, H. C.(kmshc@sina.com) ","1st International Conference on Sustainable Power Generation and Supply, SUPERGEN '09","Int. Conf. Sustainable Power Gener. Supply, SUPERGEN","","IEEE Computer Society","","","","2009","1st International Conference on Sustainable Power Generation and Supply, SUPERGEN '09","","","2009","English","","","9781424449347","10.1109/SUPERGEN.2009.5348336","5348336","1st International Conference on Sustainable Power Generation and Supply, SUPERGEN '09","April 6, 2009 - April 7, 2009","Nanjing, China","79815","","Conference article (CA)","Till 2015, a large scale, ultra-high voltage and AC/DC hybrid power transmission configuration, including three ±800kV ultra-high voltage DC systems, will be formed. For such a complex system, dynamic characteristic will become attention focus. Based on the 2015 Yunnan-Guangdong ultra-high voltage AC/DC hybrid system, full-process dynamic voltage stability is analyzed in this article, for which models of on-load tap changer transformer (ULTC), over-excitation limit and under-excitation limit, and under-voltage load-cutting are established. Under serve disturbances, influence of on-load tap changer transformer action on full-process dynamic voltage of the sending system Yunnan power grid is analyzed, which provides reference for the planning of 2015 Yunnan-Guangdong ultra-high voltage AC/DC hybrid system.","12","HVDC power transmission","Electric power transmission networks - Hybrid systems - Power transmission - System stability - UHV power transmission - Voltage control","AC/DC hybrid transmission system - Ac/DC hybrids - Dynamic characteristics - On-load tap changer transformers - Process dynamics - Ultra high voltage - Ultra high voltage DC - Under-excitation limit","602.2 Mechanical Transmissions - 706.1.1 Electric Power Transmission - 731.3 Specific Variables Control - 921 Mathematics - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Yunnan Baima snow mountain nature reserve ecological planning based on the regional ecological risk assessment","20120814782366","","Li, Hui (1); Liu, Dabang (2); Wang, Siqi (2); Yao, Wenjing (2); Yang, Xiao (2); Meng, Fantao (2); Zhang, Mengxiao (2); Li, Guoyan (2) ","(1) College of Urban Construction and Administration, Yunnan University, Kunming, China (2) Kunming University of Science and Technology, Kunming, China ","Li, H.(ydlihui@126.com) ","Advanced Materials Research","Adv. Mater. Res.","Beijing Univ. Technol., Coll. Archit. Civ. Eng.; Zhejiang Univ. Technol., Sch. Civ. Eng. Archit.","Trans Tech Publications, P.O. Box 1254, Clausthal-Zellerfeld, D-38670, Germany","450-451","","1148-1151","2012","Trends in Building Materials Research","","","2012","English","10226680","","9783037853481","10.4028/www.scientific.net/AMR.450-451.1148","","2nd International Conference on Structures and Building Materials, ICSBM 2012","March 9, 2012 - March 11, 2012","Hangzhou, China","88496","","Conference article (CA)","One of the world natural heritage Three Parallel Rivers core region Yunnan Baima snow mountain national nature reserve as the study area, on the basis of full consideration natural and social factors of reserve, we have established the ecology risk evaluation index system and model in the study area, and has put forward type alpine canyon regional ecological risk assessment of the theory and technical route. We have evaluated risk of the area, and obtained distribution of the risk degrees, and replenished alpine canyon type area demonstration for regional ecological risk assessment. Based on the ecological risk assessment, we put forward the ecological planning in the study area. © (2012) Trans Tech Publications, Switzerland.","8","Risk assessment","Building materials - Ecology - Landforms - Snow","Alpine canyon type area - Baima snow mountain nature reserves - Core region - Ecological planning - Ecological risk assessment - Ecological risk assessment model - Nature reserves - Regional ecological risk assessment - Risk degree - Risk evaluation - Social factor - Study areas - Technical route","922.1 Probability Theory - 481.1 Geology - 454.3 Ecology and Ecosystems - 443.3 Precipitation - 415 Metals, Plastics, Wood and Other Structural Materials - 414 Masonry Materials - 413 Insulating Materials - 412 Concrete - 411 Bituminous Materials",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Determination of mineral elements of wild wolfiporia extensa collected from Yunnan by ICP-MS","20163102653948","","Sun, Jing (1, 2, 3); Zhang, Ji (1, 2); Zhao, Yanli (1, 2); Wang, Yuanzhong (1, 2) ","(1) Institute of Medicinal Plants, Yunnan Academy of Agricultural Sciences, Kunming; 650200, China (2) Yunnan Technical Center for Quality of Chinese Materia Medical, Kunming; 650200, China (3) College of Traditional Chinese Medicine, Yunnan University of Traditional Chinese Medicine, Kunming; 650500, China ","Wang, Yuanzhong(yzwang1981@126.com) ","Shipin Kexue/Food Science","Shipin Kexue/Food Sc.","","Chinese Chamber of Commerce","37","14","68-73","July 25, 2016","","","","2016","Chinese","10026630","","","10.7506/spkx1002-6630-201614012","","","","","","","Journal article (JA)","This study was undertaken to investigate the distribution characteristics of mineral elements in wild Wolfiporia extensa. Fifteen elements including Li, Mg, K, Ca, V, Cr, Mn, Fe, Cu, Zn, As, Rb, Sr, Cs, and Pb in the sclerotia of W. extensa collected from 28 regions of Yunnan province were determined by inductively coupled plasma-mass spectrometry (ICP-MS) after microwave digestion. The measurement data were analyzed by SPSS through principle component analysis (PCA), correlation analysis, and cluster analysis (CA). The results showed that the correlation coefficients (r) of the linear regression equations of the anayte elements were all above 0.999 0, the measured values of standard reference materials were in agreement with the certified values, and the relative standard deviations (RSDs) were all below 8%. Hence this method is suitable for the determination of mineral elements of wild W. extensa because of its good precision and accuracy. Our analysis results indicated that wild W. extensa collected from Yunnan contained many kinds of mineral elements. The concentration levels of Ca (925.79 μg/g), K (370.42 μg/g), Mg (115.20 μg/g), and Fe (115.80 μg/g) were the highest, and the levels of toxic elements As and Pb were below the maximum safe limits stipulated in the Standard for Maximum Levels of Contaminants in Foods (GB 2762-2012) and the FAO/WHO standards. The results of PCA indicated that 4 principal components were chosen to examine the dataset which could explain 77.55% of the total variance. V, Fe, Li, As, Cs, Cr, Pb, Sr, Ca, and Mn were inferred to be the characteristic elements in wild W. extensa. The results of correlation analysis and CA were in agreement with PCA. All the tested elements could be grouped into three clusters: Fe, V, Li, Cs, As, and Cr as the first cluster; and Pb, K, Rb, Zn, Mg, and Cu as the second cluster; and Mn, Ca and Sr as the third cluster. The results of CA indicated that there were significant differences in the contents of mineral elements mainly because the mineral element contents of wild W. extensa were greatly influenced by the topography and climate characteristics of Yunnan province. © 2016, China Food Publishing Company. All right reserved.","21","Principal component analysis","Calcium - Cluster analysis - Correlation methods - Drug products - Inductively coupled plasma - Inductively coupled plasma mass spectrometry - Mass spectrometers - Minerals","Distribution characteristics - Inductively coupled plasma mass spectrometries (ICPMS) - Linear regression equation - Mineral element - Principle component analysis - Relative standard deviations - Standard reference material - Wolfiporia extensa","482.2 Minerals - 549.2 Alkaline Earth Metals - 723 Computer Software, Data Handling and Applications - 801 Chemistry - 922.2 Mathematical Statistics - 932.3 Plasma Physics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The characteristics of the mantle fluid metasomatism of the alkali-rich porphyries and its xenoliths in western Yunnan","20071210493019","","Song, Xiang-Feng (1); Liu, Xian-Fan (1); Tao, Zhuan (1); Lu, Qiu-Xia (1); Long, Xun-Rong (1) ","(1) Chengdu University of Technology, Chengdu 610059, China ","Song, X.-F. ","Kuangwu Yanshi","Kuangwu Yanshi","","Kuangwu Yanshi, 1 Erxianqiao Dongsanlu, Chengdu Sichuan, 610059, China","26","4","19-25","December 2006","","","","2006","Chinese","10016872","","","","","","","","","","Journal article (JA)","Xenoliths derived from different depth were found in the alkali-rich porphyries in western Yunnan. The petrographic features and petrochemistry data from the porphyries (host rocks) and its xenoliths were studied. The research showed that the host rocks were rich in SiO2, Al2O3, Na2O and K2O, the xenoliths were rich in CaO,MgO,Fe2O3 and FeO respectively. And amphibolization, saussuritization and silicification were main alteration characters. Cataclastic texture was found in the ultrabasic xenoliths. The texture was filled with microcrystalline siliceous matters, carbonaceous matter, carbonates and phlogolites, and these matters were intergrowth with amphibole resulted from replacement. The mineral assemblages indicates the characters of mantle fluids of obvious metasomatism. It is considered that the silicon-alkali-rich fluids, were mantle fluids. The fluids were consanguineous with alkali-rich magma and originated from enriched mantle, and its function and energy are much powerful than crust fluids. This paper revealed the deep geologic process of large-scale mineralization in studied areas.","21","Mineralogy","Carbonates - Microcrystalline silicon - Petrography - Petrology - Silica","Alkali-rich porphyries - Cataclastic texture - Mantle fluid metasomatism - Petrochemistry - Xenoliths","481.1.2 Petrology (Before 1993, use code 482) - 482.2 Minerals - 804.2 Inorganic Compounds - 933.1 Crystalline Solids","Experimental (EXP)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Level and Risk Assessment of Arsenic in Muti-Media near Mining Area in Yunnan by Using Inductively Coupled Plasma Mass Spectrometry","20192206986400","","Liang, Piao-Piao (1); Wang, Yi-Run (1); Wang, Ru-Ming (1); Fan, Li-Yun (1); Chen, Tian-Tian (1); Bai, Ya-Hong (1); Yu, Qian-Ru (1); Zhou, Shan-Shan (1); Liu, Ying (1, 2) ","(1) College of Life and Environmental Sciences, Minzu University of China, Beijing; 100081, China (2) Beijing Engineering Research Center of Food Environment and Public Health, Minzu University of China, Beijing; 100081, China ","Liu, Ying(liuying4300@163.com) ","Guang Pu Xue Yu Guang Pu Fen Xi/Spectroscopy and Spectral Analysis","Guang Pu Xue Yu Guang Pu Fen Xi","","Science Press","39","3","990-996","March 1, 2019","","","","2019","English","10000593","","","10.3964/j.issn.1000-0593(2019)03-0990-07","","","","","","GYGFED","Journal article (JA)","Arsenic (As) pollution not only affects soil fertility and crops growth, but also exposes to humans through air, soil, water and food, posing a major threat to human health. Mineral exploitation is one of the most important sources of As environmental problems. In this study, the nine villages (S1-S9) in the vicinity of a Pb-Zn mining area in Yunnan province were chosen as study area, and the county town 20 km away from mining was selected as reference area (S10). The samples including 76 cultivated soils, 306 crop/vegetables and 86 human hairs were collected. Microwave digestion was used to pretreat these samples by controlling the three variables of acid dosage, temperature and duration to get the optimal solution of muti-media. The Inductively Coupled Plasma Mass Spectrometry (ICP-MS) were used to determine the contents of As in order to investigate the As pollution level and human health risk in muti-media. The results will provide a reference for policy decision on the prevention and treatment of As pollution caused by mining. Results showed that: (1) after these samples were pretreated by microwave digestion, As detection limits for soil, crops and human hair ranged from 0.01 to 0.12 μg•L-1, and accepted recoveries ranges were 92.43%~112.23% (soil), 97.88%~114.72% (crop/vegetable) and 91.44%~109.65% (hair), respectively, and relative standard deviation was less than 5% with satisfactory results. (2) The mean content of As in soil was 70.66 mg•kg-1, which was 3.84 times higher than that of the background value in Yunnan province. According to GB 15618-1995 of 'soil environmental quality standard' (Grade ) and the single-factor pollution index (Pi), cultivated soil was severely polluted by As. Furthermore, the highest As content was detected in S1, which might be closely related to the mining, smelting and transportation for many years. In crop/vegetables samples, the mean As content of tuber-vegetables was 1.75 mg•kg-1, followed by leafy-vegetables (0.77 mg•kg-1), which was higher than the maize (0.52 mg•kg-1) and root-vegetables (0.51 mg•kg-1). Based on the maximum permissible standard set by China, the excessive rate of As content in crops was 80.64%. (3) The potential health risk assessments of As exposed to multiple pathways among local residents were evaluated by the hazard index (HI), the total carcinogenic risk (TCR), the target hazard quotient (THQ) and carcinogenic risk (CR), respectively. The total non-carcinogenic risk of As for adult and child were 1.13~1.20, which was unacceptable risk. The carcinogenic risk was as high as 10-3, exceeding the general risk acceptable level (10-4) recommended by the United States Environmental Protection Agency (USEPA). Besides, diet was the dominant exposure pathway. The THQs (>1) and CRs (>10-4) of As in vegetables showed that a potential risk did exist, and the TCR of As for child was higher than that for adult. In view of high As risk of vegetables grown in local area, so we suggested that the nonlocal foods were input to avoid health risks of As pollution and those crops whose edible parts are not easy to accumulate As should be largely planted. (4) The contents of As in hair samples in mining area were 0.97 μg•g-1, which was 4.41 times higher than that in S20 km (0.22 μg•g-1) (p-1). The contents of As from male were higher than that from female, and the Group (19~40 years) were higher than Group (≥41 years). It meant that the males in 19~40 years who acted as the major participant in mining and smelting activities were more vulnerable to exposure to As than others. (5) This study provided a powerful basis for the As pollution level in muti-media of the mining area, but also for the assessment of As exposure risk to local human health. © 2019, Peking University Press. All right reserved.","12","Risk assessment","Arsenic - Binary alloys - Chemical contamination - Crops - Environmental Protection Agency - Hazards - Health - Health risks - Inductively coupled plasma - Inductively coupled plasma mass spectrometry - Soils - Vegetables - Water pollution - Zinc alloys","Environmental problems - Environmental quality standards - Inductively coupled plasma mass spectrometries (ICPMS) - Mining areas - Potential health risks - Relative standard deviations - Target hazard quotients - United states environmental protection agencies","453 Water Pollution - 454.2 Environmental Impact and Protection - 461.6 Medicine and Pharmacology - 461.7 Health Care - 483.1 Soils and Soil Mechanics - 546.3 Zinc and Alloys - 801 Chemistry - 804 Chemical Products Generally - 821.4 Agricultural Products - 822.3 Food Products - 914.1 Accidents and Accident Prevention - 932.3 Plasma Physics",,"Number: 21177163, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The National Natural Science Foundation of China (21177163), 111 Project B08044, Special Guidance Fund of Building World First-class Universities (Disciplines) and Characteristic Development of Minzu University of China (2018, 1030101004032001), Special Guidance Fund of Building World First-class Universities (Disciplines) and Characteristic Development for the Central Universities (2018, Master, No: 182116), The Fundamental Research Funds for the Central Universities.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Irrigation system and land use effect on surface water quality in river, at lake Dianchi, Yunnan, China","20132616450282","","Tanaka, Takashi (1, 2); Sato, Takahiro (3, 4); Watanabe, Kazuo (4); Wang, Ying (1); Yang, Dan (2); Inoue, Hiromo (1); Li, Kunzhi (2); Inamura, Tatsuya (1) ","(1) Graduate School of Agriculture, Kyoto University, Oiwake-cho, Sakyo, Kyoto 606-8502, Japan (2) Biotechnology Research Center, Kunming University of Science and Technology, 727 Jingming Road (South), Chenggong New District, Kunming 650500, China (3) Crop and Environmental Sciences Division, International Rice Research Institute, DAPO Box 7777, Metro Manila, Philippines (4) Center for Southeast Asian Studies, Kyoto University, 46 Yoshidashimoadachi-cho, Sakyo, Kyoto 606-8501, Japan ","Tanaka, T.(g.tianzhong@gmail.com) ","Journal of Environmental Sciences (China)","J. Environ. Sci.","","Chinese Academy of Sciences, P.O. Box 2871, Beijing, 100085, China","25","6","1107-1116","June 1, 2013","","","","2013","English","10010742","","","10.1016/S1001-0742(12)60206-X","","","","","","","Journal article (JA)","The surface water samples were collected in river Dahe and its tributaries, which flow into severely eutrophic lake Dianchi, Yunnan Province, China, in order to elucidate factors controlling water quality fluctuations. The temporal and spatial distribution of water quality tendency was observed. The water quality of each river is dependent on the hydrology effect such water gate and circulating irrigation system. We must consider the hydrology effect to accurately understand water quality variations of river in this study field. In river without highly circulating irrigation system or water gate effect, the downstream nitrate nitrogen (NO3-N) concentration increase occurred in area dominated by open field cultivation, whereas the NO3-N concentration was constant or decreased in area dominated by greenhouse land use. This result suggests that greenhouse covers the soil from precipitation, and nitrate load of greenhouse could be less than that of open field cultivation while the rainfall event. In the upper reaches of river, where is dominated by open field cultivation, there were no sharp increase dissolved molybdate reactive phosphorus and total phosphorus concentration, but P load was accumulated in the lower reaches of river, whose predominant land use is greenhouse. Although the P sources is unclear in this study, greenhouse area may have potential of P loads due to its high P content in greenhouse soil. Considering hydrology effect is necessary to determine what the major factor is influencing the water quality variation, especially in area with highly complicated irrigation system in this studying site. © 2013 The Research Centre for Eco-Environmental Sciences, Chinese Academy of Sciences.","34","Greenhouse effect","Eutrophication - Greenhouses - Hydraulic gates - Hydrology - Irrigation - Lakes - Land use - Nitrates - Phosphorus - Precipitation (meteorology) - River pollution - Rivers - Surface waters - Water pollution control - Water quality","Irrigation systems - Molybdate reactive phosphorus - Open field cultivations - Plastic greenhouse - Quality fluctuations - Temporal and spatial distribution - Total phosphorus - Water quality variations","403 Urban and Regional Planning and Development - 443.3 Precipitation - 444.1 Surface Water - 445.2 Water Analysis - 451 Air Pollution - 453 Water Pollution - 453.2 Water Pollution Control - 804 Chemical Products Generally - 804.2 Inorganic Compounds - 821.3 Agricultural Methods - 821.6 Farm Buildings and Other Structures",,"Number: -, Acronym: -, Sponsor: Kyoto University; ","This work was supported by Grant-in-Aid for Scientific Research (A) 21255007. The present study was conducted using Cooperative Research Facilities (Isotope Ratio Mass Spectrometer) of the Center for Ecological Research, Kyoto University. The authors are grateful for their continuous support.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Control and implementation of AVC system in the Yunnan thermal power plant","20114714544770","","Zhou, Yuhua (1); Zhai, Weixiang (2); Ma, Ping (3); Zhang, Shaoquan (2) ","(1) North China Electric Power University's, Postgraduate Workstation of Yunnan Power Grid Company, Kunming, China (2) Electric Power Research Institute of Yunnan Power Grid, Kunming, China (3) School of Control Science and Engineering, North China Electric Power University, Baoding, China ","Zhou, Y.(zhouyuhua563@163.com) ","2011 International Conference on Electronics, Communications and Control, ICECC 2011 - Proceedings","Int. Conf. Electron., Commun. Control, ICECC - Proc.","Ningbo University","IEEE Computer Society","","","2594-2599","2011","2011 International Conference on Electronics, Communications and Control, ICECC 2011 - Proceedings","","","2011","English","","","9781457703218","10.1109/ICECC.2011.6066486","6066486","2011 International Conference on Electronics, Communications and Control, ICECC 2011","September 9, 2011 - September 11, 2011","Ningbo, China","87394","","Conference article (CA)","An Automatic Voltage Control (AVC) system for the thermal power plant is proposed to ensure the safety, efficiency and economy of the grid voltage. The bus bar voltage can be adjusted on the existing platform of plant wide optimal load distribution system to improve the equipment utilization. Through the dynamic identification system impedance, conversion voltage and reactive online, and fix adaptive regulator parameters, carry out fast and zero error output adjustment. Based on the distribution of the strategy of reactive power the bias adjustment algorithms, carry through reactive power coordination control between units, and realize the self-regulation of bus bar voltage. For the actual circumstance, the hardware and software of the system are designed, the technical problems of data acquisition, excitation modification, running mode, locking protection are elaborated too. The system design is novel, construction-save, powerful function, stable and reliable, and it has the very good reference and popularize value. © 2011 IEEE.","15","Electric power system control","Bias voltage - Busbars - Data acquisition - Electric power system economics - Locks (fasteners) - Reactive power - Thermoelectric power plants - Voltage control","Automatic voltage control - bias adjustment - Dynamic identification - Efficiency and economies - Hardware and software - Optimal load distributions - Reactive power coordination - Reactive power distributions","615.4 Thermoelectric Energy - 706.1 Electric Power Systems - 713 Electronic Circuits - 723.2 Data Processing and Image Processing - 731.2 Control System Applications - 731.3 Specific Variables Control",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
