Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Efficient schema extraction from large XML documents","20134416924369","","Zhang, Yin (1); Zhou, Hua (1); Liu, Junhui (1); Liang, Zhihong (1); Duan, Peng (2) ","(1) School of Software, Yunnan University, Key Laboratory of Software Engineering of Yunnan Province, Kunming, China (2) Network and Information Center, Yunnan University, Kunming, China ","","2012 5th International Conference on Biomedical Engineering and Informatics, BMEI 2012","Int. Conf. Biomed. Eng. Informatics, BMEI","","IEEE Computer Society","","","1255-1260","2012","2012 5th International Conference on Biomedical Engineering and Informatics, BMEI 2012","","","2012","English","","","","9781467311816","10.1109/BMEI.2012.6513057","6513057","2012 5th International Conference on Biomedical Engineering and Informatics, BMEI 2012","October 16, 2012 - October 18, 2012","Chongqing, China","100337","","Conference article (CA)","Although the presence of a schema enables many optimizations for operations on XML documents, several studies have shown that many XML documents in practice either do not refer to a schema, or refer to a syntactically incorrect one. It is therefore of utmost importance to provide tools and techniques that can automatically generate XML Schema Definitions from sets of sample documents. While previous work in this area has mostly focused on the method based on regular expressions, we consider its many inadequacies. We provide a theoretically complete algorithm that always infers the correct XSDs when a sufficiently large corpus of XML documents is available. In addition, XTree impressively minimizes the necessary time and main memory to extract the schema. Our approach features several advantages over known techniques: XTree scales to very large documents (beyond 1 GB) both in time and memory consumption; it is able to extract a general, complete, correct, minimal, and readable schema for complex documents; it detects elements appear as a sequence or choice. Experiments confirm these features and properties. © 2012 IEEE.","13","XML","Biomedical engineering - Extraction","Complex documents - Large corpora - Large XML documents - Memory consumption - Regular expressions - Tools and techniques - Xml schema definitions - XML schemas","461.1 Biomedical Engineering - 802.3 Chemical Operations",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"An optimal design approach to mixed H-/H∞ fault detection system","20084011616611","","Tao, Peng (1); Weihua, Gui (2); Ding Steven, X. (3); Qiong, Tang (1); Hao, Li (2) ","(1) Hunan University of Technology, Zhuzhou 412008, China (2) College of Information Science and Engineering, Central South University, Changsha 410083, China (3) Institute for Automatic Control and Complex Systems, University of Duisburg, Duisburg 47048, Germany ","Tao, P.(pandtao@hotmail.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","144-149","2008","Proceedings of the 27th Chinese Control Conference, CCC","","","2008","Chinese","","","","9787900719706","10.1109/CHICC.2008.4605742","4605742","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","An optimal design approach to fault detection with H- index and H∞ norm for linear time invariant systems is proposed. At first a linear full-order observer is constructed and the dynamics of residual generator which involves unknown inputs represented by disturbances, noise, model uncertainty and faults is acquired. The sensitivity of residual to faults is characterized by H- index, and the robustness of residual to unknown inputs is denoted by H∞ norm respectively. By using linear matrix inequality (LMI) method, the existence condition of mixed H -/H∞ fault detection observer gain and its solving approach is derived, which leads to an iterative algorithm for optimal solution. Finally the optimal fault detection system can be achieved with maximal sensitivity to faults and robustness against unknown inputs simultaneously. A numerical example is employed to illustrate the effectiveness of the present approach.","13","Fault detection","Indexing (of information) - Invariance - Iterative methods - Linear matrix inequalities - Linear systems - Optimal systems - Optimization - Robustness (control systems) - Time varying control systems - Uncertainty analysis","Existence conditions - Fault detection systems - Full order observers - Iterative algorithm - Linear time invariant systems - Model uncertainties - Residual generator - Sensitivity","731.1 Control Systems - 903.1 Information Sources and Analysis - 921 Mathematics - 922.1 Probability Theory - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Multi-view approach to inter-organizational business processes modeling","20155301741809","","Dai, Fei (1, 2); Mo, Qi (1); Lin, Leilei (1); Li, Tong (1, 2); Gu, Siya (1); Zhu, Rui (1) ","(1) School of Software, Yunnan University, Kunming; 650091, China (2) Key Laboratory for Software Engineering of Yunnan Province, Yunnan University, Kunming; 650091, China ","Mo, Qi(moqiyueyang@163.com) ","Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS","Jisuanji Jicheng Zhizao Xitong","","CIMS","21","11","3001-3016","November 1, 2015","","","","2015","Chinese","10065911","","","","10.13196/j.cims.2015.11.021","","","","","","JJZXFN","Journal article (JA)","To support the traditional modeling method of internal organizational business processes effectively, a multi-view modeling approach for inter-organizational business processes based on Petri nets was proposed, which described the different aspects of inter-organizational business processes with bottom-up approach from three views of view, internal view, public view and collaboration view. Thus three different process models were obtained which included private processes, public processes and collaboration processes. To demonstrate the effectiveness of proposed method, the purchase process in supply chain was modeled, and the comparison with existed modeling method showed that the proposed could support the individual characteristics of inter-organizational business processes more effectively. © 2015, CIMS. All right reserved.","31","Petri nets","Purchasing - Supply chains - Systems engineering","Bottom up approach - Business Process - Business process model - Collaboration process - Individual characteristics - Interorganizational business process - Multi-view modeling - Traditional models","912 Industrial Engineering and Management - 913 Production Planning and Control; Manufacturing - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Towards an algebraic semantics of software evolution process models","20121915008117","","Dai, Fei (1, 2); Li, Tong (1, 2); Xie, Zhong-Wen (1); Yu, Qian (1, 2); Lu, Ping (1); Yu, Yong (1, 2); Zhao, Na (1, 2) ","(1) School of Software, Yunnan University, Kunming 650091, China (2) Key Laboratory for Software Engineering of Yunnan Province, Yunnan University, Kunming 650091, China ","Dai, F.(feidai@ynu.edu.cn) ","Ruan Jian Xue Bao/Journal of Software","Ruan Jian Xue Bao","","Chinese Academy of Sciences","23","4","846-863","APRIL 2012","","","","2012","Chinese","10009825","","","","10.3724/SP.J.1001.2012.04160","","","","","","RUXUEW","Journal article (JA)","As a number of software evolution process models increased, as modeled by EPMM (software evolution process meta model), verifying the correctness of these models becomes the important. This paper extends EPMM with ACP (algebra of communicating processes) and proposes EPMM-A (software evolution meta model-algebra). In order to discuss behavior verification in the unified framework of EPMM-A, a process term is used to define an algebraic semantics of a software evolution process model. Based on equational reasoning of EPMM-A, behavior verification of a software evolution process model emphasizes algebraic reasoning as opposed to model- based reasoning. This method combines the advantages of both Petri nets and ACP, which can effectively support software evolution process formal verification. © 2012 ISCAS.","33","Algebra","Formal verification - Petri nets - Semantics","ACP (algebra of communicating processes) - Algebraic reasoning - Algebraic semantic - Equational reasoning - Model-based Reasoning - Process verifications - Software Evolution - Software evolution process","723.5 Computer Applications - 921.1 Algebra - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Exploring new property rights system of urban land supply in China","20151800807531","","Zhang, Hong (1) ","(1) Yunnan University of Finance and Economics, Kunming; 650221, China ","Zhang, Hong ","Proceedings of CRIOCM 2005 International Research Symposium on Advancement of Construction Management and Real Estate","Proc. CRIOCM Int. Res. Symp. Adv. Constr. Manag. Real Estate","","Chinese Research Institute of Construction Management","","","394-399","2005","","","1of1","2005","Chinese","","","9623674910","","","","International Research Symposium on Advancement of Construction Management and Real Estate, CRIOCM 2005","October 30, 2005 - November 2, 2005","Hangzhou, China","111890","","Conference article (CA)","The purpose of this study is to explore new property rights system of urban land supply with fast urbanization and marketability reform in China. Methods of documentation, causality, and standard economics were employed. The results indicate that it is necessary to reform the property rights system of urban land, failing to adapt to both fast urbanization and marketability development; and that the access of the reform is to rebuild the property rights system based tenure by adding ground right and land enslaving right and land development right for urban, with improving the tenure and management of urban development as aim and with privatizing use of urban land as emphasis. Meanwhile, it is also important to match reforms of both regulations and administration system together with that of the property rights system. The conclusion is that rebuilding the property rights system for urban is legal base to transfer administration of urban land from only administrative permit into multiple methods used by administrative and economic and legal ways, which is more adaptation to the development of China. Copyright © This Collection, The Hong Kong Polytechnic University, 2005.",,"Laws and legislation","Commerce - Economic and social effects - Project management - Urban growth","Administration system - Land development - Land supply - Multiple methods - Property right - Urban development","403.1 Urban Planning and Development - 912.2 Management - 971 Social Sciences",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on the application model of business intelligence (BI) in E-Business from the perspective of Chinese culture","20133016524810","","Ye, Qiongwei (1); Li, Yaotang (2); Nie, Qiuyun (1) ","(1) Electronic-Business Department, Business School Yunnan University of Finance and Economics, Kunming, Yunnan, China (2) School of Mathematics and Statistics, Yunnan University, Kunming, Yunnan, China ","","Proceedings of 2nd International Conference on Computer Science and Network Technology, ICCSNT 2012","Proc. Int. Conf. Comput. Sci. Netw. Technol., ICCSNT","Dalian Jiaotong University; Harbin Institute of Technology; Heilongjiang University; Liaoning Normal University; Northeast Normal University","IEEE Computer Society","","","907-911","2012","Proceedings of 2nd International Conference on Computer Science and Network Technology, ICCSNT 2012","","","2012","English","","","","9781467329644","10.1109/ICCSNT.2012.6526074","6526074","2nd International Conference on Computer Science and Network Technology, ICCSNT 2012","December 29, 2012 - December 31, 2012","Changchun, China","97797","","Conference article (CA)","This paper firstly elaborates the great significance of business intelligence applied in the E-Business, and then makes an analysis on the present research of business intelligence (BI) both in China and abroad, setting up a 12EC stage model for the application of business intelligence (BI) in E-Business. Base on the analysis of how Chinese culture influences the application of business intelligence (BI), it proposes a research model for the application of business intelligence (BI) from the perspective of Chinese culture. © 2012 IEEE.","19","Electronic commerce","Competitive intelligence - Computer networks - Data mining","Application modeling - Chinese culture - cultural perspective - eBusiness - Electronic business - Research models - Stage models","723.2 Data Processing and Image Processing - 723.5 Computer Applications - 912.2 Management",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"On the (In)Security of Recent Group Key Distribution Protocols","20171903657948","","Liu, Jing (1); Wu, Yunyun (2); Liu, Xuezheng (3); Zhang, Yunchun (1); Xue, Gang (1); Zhou, Wei (1); Yao, Shaowen (1) ","(1) School of Software, Yunnan University, Kunming; 650091, China (2) School of Information Science and Engineering, Yunnan University, Kunming; 650091, China (3) School of Information Science and Technology, Sun Yat-sen University, Guangzhou; 510275, China ","Liu, Jing(liujing@ynu.edu.cn) ","Computer Journal","Comput J","","Oxford University Press","60","4","507-526","March 23, 2017","","","","2017","English","00104620","14602067","","","10.1093/comjnl/bxw061","","","","","","CMPJA6","Journal article (JA)","A typical stateful (resp. stateless) group key distribution (GKD) protocol is composed of a secret assignment algorithm, and stateful join/leave rekeying algorithms (resp. a stateless group rekeying algorithm). Any design flaw in any of these algorithms could lead to attacks on GKD protocols. We show how two recently-proposed stateful GKD protocols based on asymmetric cryptographic primitives suffer from collusion attacks due to security flaws in either secret assignment algorithms or leave rekeying algorithms. A variety of single-user attacks and improvements on stateless group rekeying algorithms of a number of GKD protocols based on Shamir's Secret-Sharing Scheme (SSS) have been put forward. We show the stateless group rekeying algorithms of one improved protocol and its variant (proposed by us) still suffer from attacks. In addition, we prove a lower bound on the size of a user's long-term secret for perfectly secure multi-session stateless GKD protocols. This bound reveals that (i) it is impossible to design an infinite-session stateless GKD protocol that is both perfectly secure and practical; (ii) all the considered SSS-based stateless GKD protocols are bound to be either incorrect or vulnerable to attacks. This work highlights the urgent necessity of adopting the provable security approach in this research field. © 2016 The British Computer Society.","49","Cryptography","Network security","Broadcast encryption - Collusion attack - cryptanalysis - Group key distribution - Key distribution","723 Computer Software, Data Handling and Applications",,"Number: XT412001, Acronym: -, Sponsor: -; Number: xt412011, Acronym: -, Sponsor: -; Number: 2012FD004, Acronym: -, Sponsor: Applied Basic Research Foundation of Yunnan Province; Number: 61363021, Acronym: -, Sponsor: Applied Basic Research Foundation of Yunnan Province; Number: XT412003, Acronym: YNU, Sponsor: Yunnan University; Number: 61363084, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","National Natural Science Foundation of China (61363084) to J.L.; Foundation for Innovation Teams of Yunnan University (xt412011); Foundation for the fourth batch of the middle-aged and youth teachers of Yunnan University (XT412003); Faculty Team Construction Foundation of Yunnan University (XT412001); Applied Foundation Research Program for Youth Researchers of Yunnan Province (2012FD004) to Y.Z; National Natural Science Foundation of China (61363021) to W.Z.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Formal analysis to non-functional requirements of trustworthy software","20154401478237","","Zhang, Xuan (1, 2); Li, Tong (1, 2); Wang, Xu (3); Yu, Qian (1, 2); Yu, Yong (1, 2); Zhu, Rui (1) ","(1) School of Software, Yunnan University, Kunming; 650091, China (2) Key Laboratory of Software Engineering of Yunnan, Kunming; 650091, China (3) School of Economics, Yunnan University, Kunming; 650091, China ","Zhang, Xuan(zhxuan@ynu.edu.cn) ","Ruan Jian Xue Bao/Journal of Software","Ruan Jian Xue Bao","","Chinese Academy of Sciences","26","10","2545-2566","October 1, 2015","","","","2015","Chinese","10009825","","","","10.13328/j.cnki.jos.004813","","","","","","RUXUEW","Journal article (JA)","The trustworthiness of software is determined by both its functional requirements and non-functional requirements. Especially, the non-functional requirements are the determinants of the trustworthy software that show how it achieves the users' desired goals. Considering the importance of trustworthy software and the urgent needs for it, an approach to obtaining process strategies for trustworthy software in the early phase of requirements engineering is proposed. Firstly, the definition of trustworthy software requirements is defined as the combination of the trustworthiness requirements and the quality requirements. Trustworthiness requirements are defined as both functional requirements and trustworthiness concerns. Quality requirements are defined as soft goals. Then, based on fuzzy set theory and information entropy, acquisition method of trustworthiness concerns and soft goals is proposed. On this basis, process strategies for obtaining framework are proposed. Unlike the traditional early-phase requirements engineering which focuses on technical and design decisions, the aim of this study is to make process decisions to support trustworthy software development. In addition, to address the conflict relationships of the non-functional requirements, a reasoning method is developed for solving satisfiability problems of non-functional requirements in trustworthy software. Finally, through analyzing a trustworthy third-party certificate authority software case, feasibility of the proposed approach is described. © Copyright 2015, Institute of Software, the Chinese Academy of Sciences. All rights reserved.","58","Software design","Formal logic - Formal methods - Fuzzy set theory - Requirements engineering","Certificate authority - Functional requirement - Information entropy - Non-functional requirements - Quality requirements - Satisfiability problems - Software process - Trustworthy softwares","721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 723.1 Computer Programming - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A System Dynamic Forewarning Model of Watershed Dual Water Resources Carrying Capacity","20183605771944","SD","Gao, Wei (1); Liu, Yong (2); He, Shuzhuang (1) ","(1) School of Ecology and Environmental Sciences, Yunnan University, Kunming; 650091, China (2) The Key Laboratory of Water and Sediment Sciences (MOE), College of Environmental Sciences and Engineering, Peking University, Beijing; 100871, China ","Liu, Yong(yongliu@pku.edu.cn) ","Beijing Daxue Xuebao (Ziran Kexue Ban)/Acta Scientiarum Naturalium Universitatis Pekinensis","Beijing Daxue Xuebao Ziran Kexue Ban","","Peking University","54","3","673-679","May 20, 2018","","","","2018","Chinese","04798023","","","","10.13209/j.0479-8023.2017.177","","","","","","PCTHAP","Journal article (JA)","The paper defined the concept of dual water carrying capacity based on water balance of different water quality and addressed a new method of determining forewarning classification according to timing of water shortage. A forewarning model of dual water carrying capacity was established based on system dynamics model. Taking the upstream of Niulanjiang watershed as a case study, the dual water carrying capacity was assessed and predicted by the model. Results show that under business as usual scenario, water resources of high quality will reach blue early warning and that of ordinary quality will reach yellow early warning. To meet the requirement of water diversion in the area, only low rate of socioeconomic development can be sustained in the area while environment protection measures has to be made at medium or above level. © 2018 Peking University.","22","Water resources","Flood control - System theory - Water quality - Water supply - Watersheds","Forewarning - Grey waters - Niulanjiang - System Dynamics - Water resources carrying capacities","442.1 Flood Control - 444 Water Resources - 444.1 Surface Water - 445.2 Water Analysis - 446.1 Water Supply Systems - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"An approach for cloud resource risk prediction","20121214883128","","Li, Hao (1); Xin, Miao (2) ","(1) Dept. of Software, Yunnan University, Kunming, China (2) Dept. of Information Science and Engineering, Yunnan University, Kunming, China ","Li, H.(michaelsheen1896@gmail.com) ","Procedia Engineering","Procedia Eng.","Harbin University of Science and Technology; International Science and Engineering Research Center","Elsevier Ltd","29","","3292-3296","2012","2012 International Workshop on Information and Electronics Engineering","","","2012","English","18777058","","","","10.1016/j.proeng.2012.01.482","","2012 International Workshop on Information and Electronics Engineering, IWIEE 2012","March 10, 2012 - March 11, 2012","Harbin, China","89020","","Conference article (CA)","The resource risk management is a key issue in cloud computing, which is directly related to the reliability and security of the cloud computing platform. In the cloud bank model [1], almost all resources come from messes of cloud resource providers, who are distributed on the Internet. This feature caused some special resource risk types that didn't occur in the enterprise private cloud, such as the resource default risk caused by people or machines. Analyzed the features of cloud computing and the cloud bank model, this paper delivers a cloud resource risk prediction model, which is based on mathematical statistics. This method advances the risk management strategy from the accident response to the beforehand prediction. © 2011 Published by Elsevier Ltd.","9","Risks","Cloud computing - Forecasting - Risk management - Statistical methods - Statistics","Cloud bank models - Cloud computing platforms - Default risk - Private clouds - Resource providers - Risk management strategies - Risk prediction models - Risk predictions","722.4 Digital Computers and Systems - 914.1 Accidents and Accident Prevention - 922.2 Mathematical Statistics",,"Number: 2010, Acronym: -, Sponsor: National Aerospace Science Foundation of China; Number: 61063044, Acronym: -, Sponsor: National Aerospace Science Foundation of China; Number: 210KS05, Acronym: -, Sponsor: Bairen Program of Yunnan Province; ","Acknowledgments. The research reported herein was supported by the National Nature Science Foundation of China 2010 (No.61063044) and the Key laboratory in Software Engineering of Yunnan Province under Grant No.210KS05.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
