Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"The Cable Phase Difference Detection of Very High Frequency (VHF) Antenna Array Based on Ad8302","20165003107129","","Yue, Linzhu (1, 2); Dong, Liang (2, 3) ","(1) University of Chinese Academy Sciences, Beijing; 100049, China (2) Yunnan Astronomical Observatory, Chinese Academy of Sciences, Kunming, Yunnan; 650011, China (3) Information College of Yunnan University, Kunming; 650001, China ","","Proceedings - 2016 3rd International Conference on Information Science and Control Engineering, ICISCE 2016","Proc. - Int. Conf. Inf. Sci. Control Eng., ICISCE","Beijing University of Civil Engineering and Architecture; China Jiliang University; et al.; The University of Texas at San Antonio (UTSA); University of Hull; Xiamen University","Institute of Electrical and Electronics Engineers Inc.","","","1428-1432","October 31, 2016","Proceedings - 2016 3rd International Conference on Information Science and Control Engineering, ICISCE 2016","","1of1","2016","English","","","","9781509025350","10.1109/ICISCE.2016.305","7726402","3rd International Conference on Information Science and Control Engineering, ICISCE 2016","July 8, 2016 - July 10, 2016","Beijing, China","124721","","Conference article (CA)","Among the very high frequency antenna measurement methods used in radio astronomical observation, phase measurement technology is one of vital importance in the process of data acceptance and disposal, for it has great priority in antenna pattern and accuracy in tracking radio source at different region. Particularly, affected by the natural environment, cable phase error is produced, thus the traditional measurement method that depends on different environmental experience value to correct phase error is complex and inaccurate. According to the principle of low frequency antenna array phase measurement, this paper suggests a better method, which uses AD8302 to transfer the two calibration source signal phase difference of the receiver and transfer feeder to the corresponding direct voltage, then realizes single channel AD sampling with 12 bits quantization accuracy, finally does the error analysis and correction to achieve phase error correction. Through testing the precision of phase error of the cable given by the system under measuring conditions of low frequency (2MHz), high frequency (300MHz), etc. We can prove the system has a very high reliability, thus could be widely used in related antenna array error correction and cable error measurement. © 2016 IEEE.","6","Antenna arrays","Cables - Directional patterns (antenna) - Error correction - Phase measurement - Quantization (signal) - Radio astronomy - Signal receivers","AD8302 - Antenna array errors - Astronomical observation - Measurement technologies - Natural environments - Phase difference detections - Phase error correction - Quantization accuracy","657.2 Extraterrestrial Physics and Stellar Phenomena - 713.3 Modulators, Demodulators, Limiters, Discriminators, Mixers - 942.2 Electric Variables Measurements",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Metric universalities and systems of renormalization group equations for bimodal maps","2004098040444","","Zhang, Yan-Yang (1); Cao, Ke-Fei (1, 2, 3) ","(1) Department of Physics, School of Mathematics and Physics, Yunnan University, Kunming, Yunnan 650091, China (2) National Astronomical Observatories, Yunnan Observatory, Chinese Academy of Sciences, Kunming, Yunnan 650011, China (3) CCAST (World Laboratory), P.O. Box 8730, Beijing 100080, China ","Cao, K.-F.(kfcao@ynu.edu.cn) ","Chaos, Solitons and Fractals","Chaos Solitons Fractals","","Elsevier Ltd","21","2","457-471","July 2004","","","","2004","English","09600779","","","","10.1016/j.chaos.2003.12.049","","","","","","CSFOEH","Journal article (JA)","For bimodal maps the Feigenbaum's renormalization group (RG) equation is generalized to a system of two independent RG equations, each corresponding to a critical point. A series of numerical solutions to systems of the RG equations are obtained, which explain the metric universalities of period-tripling and period-quadrupling bifurcations. For a special type of period-p-tupling bifurcations, it is found that the 'collision' of the two critical points of bimodal maps leads to a quadratic relation between the two universal scaling factors. © 2004 Elsevier Ltd. All rights rserved.","30","Bifurcation (mathematics)","Convergence of numerical methods - Eigenvalues and eigenfunctions - Iterative methods - Linear equations - Nonlinear programming - Problem solving","Bimodal maps - Metric universalities - Renormalization group (RG) equation","723.4 Artificial Intelligence - 921 Mathematics - 921.1 Algebra - 921.5 Optimization Techniques - 921.6 Numerical Methods","Theoretical (THR)","Number: G2000077308, Acronym: -, Sponsor: -; ","The authors thank Professor Shou-Li Peng for helpful discussion and Mr. Xiao-Zhou Chen for help during the numerical calculation. This work was partly supported by the Special Funds for Major State Basic Research Projects of China (the "973" Program) (G2000077308) and the Cooperation Research Funds of Yunnan Provincial Government.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The load forecasting using the PSO-BP neural network and wavelet transform","20084011616083","","Liu, Mengliang (1); Gao, Rong (2); Wang, Xiuhong (2) ","(1) Shandong Agricultural University, Tai'an 271018, China (2) Ludong University, Yantai 264025, China ","Liu, M.(mlliu@sdau.edu.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","34-37","2008","Proceedings of the 27th Chinese Control Conference, CCC","","","2008","English","","","","9787900719706","10.1109/CHICC.2008.4605163","4605163","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","An integrated BP neural network and particle swarm optimization (PSO) for load forecasting method is presented in this paper. From the signal analysis point of view, load can also be considered as a linear combination of different frequencies. The proposed approach decomposes the historical load into an approximate part and several detail parts through the wavelet transform. Then based on the maximum and minimum loads of the approximate part, the similar coefficients are given. The PSO-BP neural network, trained by low frequencies and the corresponding temperature records, is used to forecast the maximum and minimum load of the forecasting day. The short term load forecasting is forecasted by summing the predicted approximate part and the weighted detail parts. We knew that the PSO has a good capability for searching for optimal value. There are have few parameters to adjust than genetic algorithm (GA). The result demonstrated the accuracy of the proposed load forecasting scheme.","10","Particle swarm optimization (PSO)","Electric power plant loads - Forecasting - Genetic algorithms - Neural networks - Wavelet transforms","BP neural networks - Different frequency - Linear combinations - Load forecasting - Optimal values - Pso-bp neural networks - Short term load forecasting - Similar coefficient","723 Computer Software, Data Handling and Applications - 921.3 Mathematical Transformations",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Mn3O4/activated carbon composites with enhanced electrochemical performances for electrochemical capacitors","20170603330357","","Xiao, Xuechun (1, 2); Wang, Yan (2); Chen, Gang (2); Wang, Lihong (2); Wang, Yude (1) ","(1) Department of Physics, Yunnan University, Kunming; 650091, China (2) School of Materials Science and Engineering, Yunnan University, Kunming; 650091, China ","Wang, Yude(ydwang@ynu.edu.cn) ","Journal of Alloys and Compounds","J Alloys Compd","","Elsevier Ltd","703","","163-173","2017","","","","2017","English","09258388","","","","10.1016/j.jallcom.2017.01.272","","","","","","JALCEU","Journal article (JA)","The natural coconut shell activated carbon (AC) was firstly treated with KOH in advance, and the Mn3O4/AC composites in various AC rations were prepared by the hydrothermal process and subsequent heat treatment. The resulting Mn3O4/AC composites were characterized by means of different techniques including X-ray diffraction (XRD), scanning electron microscopy (SEM), X-ray photoelectron spectroscopy (XPS), and so on. Morphological studies reveal the hierarchical porous structure of Mn3O4/AC composites. Mn3O4/AC nanocomposite with the activated carbon quality percentage of 10% exhibits the highest specific capacitance of 491.2 F g−1 at the current density of 2 A g−1in 6 M KOH aqueous electrolyte measured from the charge–discharge process. The value is nearly 6 times higher than that of the pure Mn3O4nanoparticles as an electrode for supercapacitor. The good performance of the as-prepared Mn3O4/AC composites as electrode materials may be attributed to the synergistic effects of the activated carbon and the Mn3O4. © 2017 Elsevier B.V.","41","X ray photoelectron spectroscopy","Activated carbon - Activated carbon treatment - Carbon carbon composites - Electric discharges - Electrodes - Electrolytes - Manganese oxide - Porosity - Potassium hydroxide - Scanning electron microscopy - Supercapacitor - X ray diffraction","Aqueous electrolyte - Electrochemical capacitor - Electrochemical performance - Hierarchical porous structures - Hydrothermal process - Manganous-manganic oxides - Morphological study - Specific capacitance","415.4 Structural Materials Other Than Metal, Plastics or Wood - 701.1 Electricity: Basic Concepts and Phenomena - 804 Chemical Products Generally - 804.2 Inorganic Compounds - 931.2 Physical Properties of Gases, Liquids and Solids",,"Number: XT412003, Acronym: YNU, Sponsor: Yunnan University; Number: 51262029, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by National Natural Science Foundation of China (Grant No. 51262029) and Program for Excellent Young Talents, Yunnan University (XT412003).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Application of multiple SVM classifier fusion technique in freeway automatic incident detection","20084011616537","","Cai, Zhili (1); Jiang, Guiyan (2) ","(1) Shandong Jiaotong University, Jinan 250023, China (2) College of Transportation, Jilin University, Changchun 130025, China ","Cai, Z.(czl_7333@sina.com.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","581-585","2008","Proceedings of the 27th Chinese Control Conference, CCC","","","2008","Chinese","","","","9787900719706","10.1109/CHICC.2008.4605683","4605683","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","Based on stating the principle of Support Vector Machine (SVM) classifier, this paper analyses the data collected traits by fixed detectors and the traffic characteristics of freeway chiefly. Also, this paper proposes traffic pattern eigenvectors by data of several continuous time intervals for the single traffic parameter, puts forward multiple SVM classifier fusion models and operation flow, as well as analyzing results after simulation.","7","Support vector machines","Continuous time systems - Data fusion - Highway systems","Automatic incident detection - Continuous-time - Operation flow - Paper analysis - SVM classifiers - Traffic characteristics - Traffic parameters - Traffic pattern","406.1 Highway Systems - 723 Computer Software, Data Handling and Applications - 723.2 Data Processing and Image Processing - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Multifunctional landscapes identification and associated development zoning in mountainous area","20190306378772","","Peng, Jian (1); Hu, Xiaoxu (1); Qiu, Sijing (1); Hu, Yi'na (1); Meersmans, Jeroen (2); Liu, Yanxu (3) ","(1) Laboratory for Earth Surface Processes, Ministry of Education, College of Urban and Environmental Sciences, Peking University, Beijing; 100871, China (2) School of Water, Energy and Environment, Cranfield University, Bedford; MK43 0AL, United Kingdom (3) State Key Laboratory of Earth Surface Processes and Resource Ecology, Faculty of Geographical Science, Beijing Normal University, Beijing; 100875, China ","Peng, Jian(jianpeng@urban.pku.edu.cn) ","Science of the Total Environment","Sci. Total Environ.","","Elsevier B.V.","660","","765-775","10 April 2019","","","","2019","English","00489697","18791026","","","10.1016/j.scitotenv.2019.01.023","","","","","","STEVA8","Journal article (JA)","Multifunctional landscape has become a new discipline growth point in landscape ecology. Globally mountainous areas occupy about one fifth of Earth's surface. However, few studies focused on landscape multifunctionality in mountainous areas. Taking Dali Bai Autonomous Prefecture, China, as a case study area, five typical landscape functions (net primary productivity, soil retention, water yield, crop production, and residential support) were quantified and mapped. Hotspots of multiple landscape functions were identified using spatial overlap tools, interaction between each landscape function pair was discussed through Spearman's rank correlation analysis, and development zoning was conducted based on landscape function bundle. The results showed that, about 61% of the study area had at least one kind of landscape function hotspot, with only 2.7% covering three or more kinds of landscape function hotspots. Significant trade-offs or synergies existed between all pairs of landscape functions, except the pair of net primary productivity and residential support. With the application of Self-Organizing Feature Maps (SOFM) method, the study area was divided into four types of development zones (i.e. ecological shelter area, ecological transition area, suburban development area, and urban agglomeration area) which were all corresponding to different landscape function bundles. This study could provide spatial guidance for differentiated sustainable developing in mountainous areas according to local conditions of landscape multifunctionality. © 2019 Elsevier B.V.","72","Self organizing maps","Commerce - Conformal mapping - Cultivation - Economic and social effects - Ecosystems - Housing - Photosynthesis - Phytoplankton - Zoning","Landscape functions - Multifunctional landscape - Net primary productivity - Northwestern Yunnan - Spearman's rank correlation analysis - Suburban development - Trade off - Urban agglomerations","403.1 Urban Planning and Development - 454.3 Ecology and Ecosystems - 471 Marine Science and Oceanography - 741.1 Light/Optics - 821.3 Agricultural Methods - 971 Social Sciences",,"Number: B14001, Acronym: -, Sponsor: -; Number: 41322004, Acronym: -, Sponsor: National Natural Science Foundation of China; ","This research was financially supported by the National Natural Science Foundation of China (No. 41322004 ), and the 111 Project ( B14001 ).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study on Insurance Company Operating Performance Analysis Method with the DEA Model","20180604774949","","Long, Yuening (1); Li, Yan (2) ","(1) Law School, Yunnan Minzu University, Kunming; 650500, China (2) School of Life Sciences, Yunnan University, Kunming; 650500, China ","","Proceedings - 2nd International Conference on Smart City and Systems Engineering, ICSCSE 2017","Proc. - Int. Conf. Smart City Syst. Eng., ICSCSE","Central South University; Communications Research Institute of Changsha University of Science and Technology; Hunan City University; Hunan University; Research Institute of New Energy and Energy-Saving and Emission Reduction; Research Institute of Road and Bridge of Guangdong Academy of Building Research","Institute of Electrical and Electronics Engineers Inc.","","","89-92","November 27, 2017","Proceedings - 2nd International Conference on Smart City and Systems Engineering, ICSCSE 2017","","1 of 1","2017","English","","","","9781538614013","10.1109/ICSCSE.2017.29","8120516","2nd International Conference on Smart City and Systems Engineering, ICSCSE 2017","November 11, 2017 - November 12, 2017","Changsha, China","132993","","Conference article (CA)","Insurance plays a key role in the financial industry, and it is also of great importance for people's socio-economic life. Therefore, in this paper, we demonstrate on the problem of analyzing the operating performance of insurance companies, and it is crucial for modern financial industry development. Firstly, we design an index system for evaluating operating performance of insurance companies, which contains four components: 1) Profitability, 2) Solvency, 3) Capital adequacy and 4) Management ability. Secondly, we utilize the DEA model to solve this problem, and the DEA model is designed to calculate efficiency scores of Decision Making Units to obtain a weighted sum of either several inputs or several outputs without using the priori information. Because the performance of the DEA model greatly relies on input and output variables choosing, we propose a two stages DEA model to evaluate the operating performance of insurance companies. Finally, experimental results demonstrate that the proposed method is able to analyze the operating performance of insurance company with high accuracy. © 2017 IEEE.","15","Insurance","Behavioral research - Decision making - Smart city - Systems engineering","Capital adequacies - DEA models - Decision making unit - Financial industry - Insurance companies - Management ability - Operating performance - Priori information","912.2 Management - 961 Systems Science - 971 Social Sciences",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Transfer Learning with Ensemble of Multiple Feature Representations","20184406029370","","Zhao, Hang (1); Liu, Qing (1); Yang, Yun (1) ","(1) Yunnan University, School of Software, Kunming, China ","","Proceedings - 2018 IEEE/ACIS 16th International Conference on Software Engineering Research, Management and Application, SERA 2018","Proc. - IEEE/ACIS Int. Conf. Softw. Eng. Res., Manag. Appl., SERA","IEEE Computer Society; International Association for Computer and Information Sciences (ACIS)","Institute of Electrical and Electronics Engineers Inc.","","","54-61","September 28, 2018","Proceedings - 2018 IEEE/ACIS 16th International Conference on Software Engineering Research, Management and Application, SERA 2018","","1 of 1","2018","English","","","","9781538658864","10.1109/SERA.2018.8477189","8477189","16th IEEE/ACIS International Conference on Software Engineering Research, Management and Application, SERA 2018","June 13, 2018 - June 15, 2018","Kunming, China","140242","","Conference article (CA)","Supervised learning algorithms are to discover the hidden patterns of the statistics, assuming that the training data and the test data are from the same distribution. There are two challenges in the traditional supervised machine learning. One is that the test data distribution always differs largely from the training data distribution in the real world, while another is that there is usually very few labeled data to train a machine learning model. In such cases, transfer learning, which emphasizes the transfer of the previous knowledge from different but related domains and tasks, is recommended to deal with these problems. Traditional transfer learning methods care more about the data itself rather than the task. In fact, there is no one universal feature representation can perfectly benefit the model training work. But different feature representations can discover some independent latent knowledge from the original data. In this paper, we propose an instance-based transfer learning method, which is a weighted ensemble transfer learning framework with multiple feature representations. In our work, mutual information is applied as the smart weighting schema to measure the weight of each feature representation. Extensive experiments have been conducted on three facial expression recognition data sets: JAFFE, KDEF and FERG-DB. The experimental results demonstrate that our approach achieves better performance than the traditional transfer learning method and the non-transfer learning method. © 2018 IEEE.","29","Learning algorithms","Application programs - Artificial intelligence - Engineering research - Human computer interaction - Supervised learning","Ensemble learning - Facial expression recognition - Machine learning models - Multiple features - Mutual informations - Supervised machine learning - Transfer learning - Transfer learning methods","723 Computer Software, Data Handling and Applications - 723.4 Artificial Intelligence - 901.3 Engineering Research",,"Number: 61402397, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61663046, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Natural Science Foundation of China (NSFC) under the Grant No. 61402397 and 61663046; Yunnan Applied Fundamental Research Project under the grant No 2016FB104; Yunnan Provincial Young Academic and Technical Leaders Reserve Talents under the Grant No. 2017HB005 Yunnan Provincial Innovation Team under the Grant No. 2017HC012 Program for Yunnan High Level Overseas Talent Recruitment.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Face detection method using PCNN and skin color model","20124215573735","","Zhou, Dongming (1); Cai, Hong (1) ","(1) Information College, Yunnan University, Kunming 650091, China ","Zhou, D.(zhoudm@ynu.edu.cn) ","Advanced Materials Research","Adv. Mater. Res.","Control Science and Engineering of Shandong University; Shandong Institute of Automation; Jinan University and Shandong Institute of Materials Sciences","Trans Tech Publications, P.O. Box 1254, Clausthal-Zellerfeld, D-38670, Germany","562-564","","1377-1381","2012","Materials Engineering and Automatic Control","","","2012","English","10226680","","","9783037854587","10.4028/www.scientific.net/AMR.562-564.1377","","2012 International Conference on Materials Engineering and Automatic Control, ICMEAC 2012","April 27, 2012 - April 29, 2012","Jinan, China","92998","","Conference article (CA)","This paper presented a face detection method for the color image using pulse coupled neural network (PCNN) and skin color model. The color image which is processed well through light compensation is converted from RGB to YCbCr color space, then the skin area are divided into sub-block, and skin color segmentation is made for the image in YCbCr space. Finally, we use PCNN to extract all sub-block ignition time sequence, and calculate various sub-block difference degrees between target face and the tested image, if the difference degree is the smallest, then the target face himself is the same person. Experimental results show that the proposed method has higher accuracy and robustness, can obtain satisfactory detection effect. © (2012) Trans Tech Publications, Switzerland.","10","Face recognition","Automation - Control - Image segmentation - Neural networks - Process control","Color images - Detection effect - Difference degree - Face detection methods - Ignition time - Light compensation - PCNN - Pulse coupled neural network - Skin color models - Skin-color segmentation - Sub-blocks - Ycbcr color spaces","716 Telecommunication; Radar, Radio and Television - 723.4 Artificial Intelligence - 731 Automatic Control Principles and Applications - 741.1 Light/Optics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Correlation between cobb angle and spinous process angle measured from ultrasound data","20180704802494","","Zhang, Junhua (1); Li, Hongjian (2); Yu, Bo (3) ","(1) Department of Electronic Engineering, Yunnan University, Kunming, China (2) Department of Orthopedics, First People's Hospital of Yunnan Province, Kunming, China (3) Department of Ultrasound, First People's Hospital of Yunnan Province, Kunming, China ","","ACM International Conference Proceeding Series","ACM Int. Conf. Proc. Ser.","Seoul National University","Association for Computing Machinery","","","9-13","November 12, 2017","Proceedings of the 2017 4th International Conference on Biomedical and Bioinformatics Engineering, ICBBE 2017","","1 of 1","2017","English","","","","9781450354844","10.1145/3168776.3168783","","4th International Conference on Biomedical and Bioinformatics Engineering, ICBBE 2017","November 12, 2017 - November 14, 2017","Seoul, Korea, Republic of","133812","","Conference article (CA)","The correlation between the Cobb angle and spinous process angle (SPA) measured from ultrasound data was analyzed in this study. The three-dimensional (3D) spine model was reconstructed by using a freehand 3D ultrasound imaging system. With non-planar volume rendering, the Cobb angle and SPA were measured by manually detecting anatomical landmarks of the spine. A thoracic spinal phantom set in 24 different poses was used in the experiment. For each spinal curve, the Cobb angle and SPA were measured twice by three observers, respectively. Results showed that the correlation coefficients between these two measurements were 0.92 and 0.78 for the curves with two-dimensional (2D) and 3D deformity, respectively. Results indicate that the SPA has high correlation with the Cobb angle measured from ultrasound data, especially for the curves with 2D deformity. Therefore, SPA may be used as an alternative parameter to the Cobb angle for scoliosis assessment in an ultrasound imaging system. © 2017 Association for Computing Machinery.","22","Radiology","Bioinformatics - Deformation - Imaging systems - Ultrasonic imaging - Volume rendering","Cobb angles - Correlation coefficient - Freehand 3D ultrasound - Scoliosis - Spinous process angle - Threedimensional (3-d) - Two Dimensional (2 D) - Ultrasound imaging systems","461.6 Medicine and Pharmacology - 461.8.2 Bioinformatics - 723.2 Data Processing and Image Processing - 746 Imaging Techniques",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
