Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Abstract type,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Reversible watermarking of svg graphics","20091712050452","Wu, Dan (1); Wang, Guozhao (1); Gao, Xingliang (2) ","(1) Department of Mathematics, Zhejiang University, Hangzhou, 310027, China (2) College of Foreign Languages, Shandong Agricultural University, Taian, 271000, China ","Wu, D.(linlin-52@yahoo.com.cn) ","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","Proc. - WRI Int. Conf. Commun. Mob. Comput., CMC","","IEEE Computer Society","3","","385-390","2009","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","","","2009","English","","","9780769535012","10.1109/CMC.2009.86","4797282","2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","January 6, 2009 - January 8, 2009","Kunming, Yunnan, China","75846","","Conference article (CA)","Reversible watermarking is suitable for hiding data in 2D vector graphics, especially in Scalable Vector Graphics (SVG) medical images, because it can remove the distortions induced by watermark embedding after extracting the hidden bits. This paper proposes a novel reversible watermarking scheme based on the difference expansion and difference shifting. Since the 'path data' in SVG files includes a sequence of line segments and Be´zier segments, we embed the watermark into the vertex coordinates of 'path data' by modifying the differences between the adjacent vertex coordinates. The scheme can keep the Be´zier segments C° continuous by unchanging their start points and end points, and need record neither the location map nor the original least significant bit (LSB) of difference. Our experiment results show that the proposed scheme achieves good performance of the imperceptibility and high-capacity data embedding. © 2009 IEEE.","","7","Watermarking","Digital watermarking - Embeddings - Medical imaging - Mobile computing","Adjacent vertices - Difference expansion - Difference shifting - Least significant bits - Reversible watermarking - Scalable vector graphics - Vertex coordinates - Watermark embedding","746 Imaging Techniques - 811.1.1 Papermaking Processes",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on the contribution of northwestern strategic energy to Chinese sustained development of economy","20125015797542","Niu, Feiliang (1) ","(1) School of Economics, Yunnan University, Kunming, Yunnan Province, 650091, China ","Niu, F.(niufeiliang@yahoo.com.cn) ","World Automation Congress Proceedings","World Autom. Congress Proc.","","IEEE Computer Society","","","","2012","2012 World Automation Congress, WAC 2012","","","2012","English","21544824","21544832","9781467344975","","6321244","2012 World Automation Congress, WAC 2012","June 24, 2012 - June 28, 2012","Puerto Vallarta, Mexico","94214","","Conference article (CA)","Energy sources are the important brace of economy increase. The storage of energy sources is rich in northwestern area, while the output is bigger than the consumption in that area, which exploitation and using are directly related to economy development and National security. We comprise the coefficient of elasticity of energy production and the coefficient of elasticity of energy consumption between northwestern area and our country, and get a Conclusion that the trend of energy contribution increases in that area. To the policy strategy, first, we should reduce the consumption and use frugally energy; second, we should improve the extent and depth of the energy sources; third, we should develop new energy and sustained energy and keep human beings and resources harmonizing with environment, which will hasten the Chinese sustained development of economy. © 2012 TSI Press.","","9","Economic and social effects","Elasticity - Energy utilization - National security - Public policy","Energy contribution - Energy productions - Energy source - Human being - New energies - Policy strategies","404.1 Military Engineering - 525.3 Energy Utilization - 971 Social Sciences",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A parallel programming pattern based on directed acyclic graph","20131116115711","Meng, Zheng (1); Lin, Ying (1); Kang, Yan (1); Yu, Qian (1) ","(1) School of Software, Yunnan University, Kunming 650091, China ","Lin, Y.(linying_yn@126.com) ","Applied Mechanics and Materials","Appl. Mech. Mater.","","Trans Tech Publications, P.O. Box 1254, Clausthal-Zellerfeld, D-38670, Germany","303-306","","2165-2169","2013","Sensors, Measurement and Intelligent Materials","","","2013","English","16609336","16627482","9783037856529","10.4028/www.scientific.net/AMM.303-306.2165","","2012 International Conference on Sensors, Measurement and Intelligent Materials, ICSMIM 2012","December 26, 2012 - December 27, 2012","Guilin, China","95893","","Conference article (CA)","With the development of computer technology, multi-core programming is now becoming hot issues. Based on directed acyclic graph, this paper gives definition of a number of executable operations and establishes a parallel programming pattern. Using verticies to represent tasks and edges to represent communication between vertex, this parallel programming pattern let the programmers easily to identify the available concurrency and expose it for use in the algorithm design. The proposed pattern can be used for large-scale static data batch processing in multi-core environments and can bring lots of convenience when deal with complex issues. © (2013) Trans Tech Publications, Switzerland.","","5","Parallel programming","Batch data processing - Graph theory - Intelligent materials - Multicore programming - Sensors","Algorithm design - Computer technology - Directed acyclic graph (DAG) - Multi core - Static datum","415 Metals, Plastics, Wood and Other Structural Materials - 723.1 Computer Programming - 723.2 Data Processing and Image Processing - 801 Chemistry - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Existence and exponential stability of almost periodic solution for neutral delay BAM neural networks with time-varying delays in leakage terms","20133816767476","Li, Yongkun (1); Li, Youqin (1) ","(1) Department of Mathematics, Yunnan University, Kunming, Yunnan 650091, China ","Li, Y.(leeyk@ynu.edu.cn) ","Journal of the Franklin Institute","J Franklin Inst","","Elsevier Ltd","350","9","2808-2825","November 2013","","","","2013","English","00160032","","","10.1016/j.jfranklin.2013.07.005","","","","","","JFINAB","Journal article (JA)","This paper is concerned with a class of neutral delay BAM neural networks with time-varying delays in leakage terms. Some sufficient conditions are established to ensure the existence and exponential stability for such class of neural networks by employing the exponential dichotomy of linear differential equations, fixed point theorems and differential inequality techniques. An example is provided to show the effectiveness of the theoretical results. The results of this paper are completely new and complementary to the previously known results. © 2013 The Franklin Institute.","","44","Time varying networks","Differential equations - Fixed point arithmetic - Neural networks - Time delay - Time varying control systems","Almost periodic solutions - BAM neural network - Differential inequality techniques - Fixed point theorems - Leakage terms - Linear differential equation - Neutral delays - Time varying- delays","703.1 Electric Networks - 713 Electronic Circuits - 731.1 Control Systems - 921.2 Calculus - 921.6 Numerical Methods",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The application of polling in intelligent transportation system","20143518112588","Wang, Meng Yao (1); Ding, Hong Wei (1); Liu, Qian Lin (1); Yang, Zhi Jun (1) ","(1) School of Informatics, Yunnan University, China ","","Applied Mechanics and Materials","Appl. Mech. Mater.","","Trans Tech Publications Ltd","602-605","","853-856","2014","Advanced Manufacturing and Information Engineering, Intelligent Instrumentation and Industry Development","","","2014","English","16609336","16627482","9783038351948","10.4028/www.scientific.net/AMM.602-605.853","","2nd International Conference on Precision Mechanical Instruments and Measurement Technology, ICPMIMT 2014","May 30, 2014 - May 31, 2014","Chongqing, China","107117","","Conference article (CA)","This paper presents a new use of polling system[1] in the intelligent traffic light control system[2]. vehicle arrival rate is measured in this system.Through the relationship between arrival rate and waiting time in polling system, achieved an technology that different arrival rate correspond to different length of time[3] of traffic light.With the intelligent control, we can well solve the problem of traffic jams during different periods. © (2014) Trans Tech Publications, Switzerland.","","10","Street traffic control","Control systems - Intelligent systems - Traffic congestion - Voting machines","Intelligent traffics - Intelligent transportation - Polling system - Probability generating functions - Waiting-time","432.4 Highway Traffic Control - 601.1 Mechanical Devices - 723.4 Artificial Intelligence - 731.1 Control Systems",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Concentration and cavitation in the Euler equations for nonisentropic fluids with the flux approximation","20152200901959","Yang, Hanchun (1); Liu, Jinjing (1) ","(1) Department of Mathematics, Yunnan University, Kunming; 650091, China ","Yang, Hanchun ","Nonlinear Analysis, Theory, Methods and Applications","Nonlinear Anal Theory Methods Appl","","Elsevier Ltd","123-124","","158-177","June 1, 2015","","","","2015","English","0362546X","","","10.1016/j.na.2015.05.002","10515","","","","","NOANDD","Journal article (JA)","Abstract In this paper, by introducing a two-parameter flux approximation including pressure in the Euler equations for nonisentropic compressible fluids, we analyze the phenomena of concentration and cavitation in Riemann solutions. It is rigorously proved that, as the double parameter flux perturbation vanishes, any Riemann solution containing two shock waves and a possibly one-contact-discontinuity tends to a delta shock solution to the transport equations, and the intermediate density between the two shocks tends to a weighted δ-measure which forms the delta shock wave; any Riemann solution containing two rarefaction waves and a possibly one-contact-discontinuity tends to a two-contact-discontinuity solution to the transport equations, and the nonvacuum intermediate state in between tends to a vacuum state. Some numerical results are also given to present the processes of concentration and cavitation as the flux perturbation decreases. © 2015 Elsevier Ltd.","","33","Transport properties","Cavitation - Computational fluid dynamics - Computer simulation - Euler equations - Shock waves - Vacuum","Compressible fluids - Contact discontinuities - Delta-shocks - Intermediate densities - Intermediate state - Nonisentropic - Riemann problem - Transport equation","631.1.1 Liquid Dynamics - 633 Vacuum Technology - 723.5 Computer Applications - 921 Mathematics - 931 Classical Physics; Quantum Theory; Relativity - 931.2 Physical Properties of Gases, Liquids and Solids",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Empirical likelihood inference for mean functionals with nonignorably missing response data","20132316398668","Zhao, Hui (1); Zhao, Pu-Ying (1); Tang, Nian-Sheng (1) ","(1) Department of Statistics, Yunnan University, Kunming 650091, China ","Tang, N.-S.(nstang@ynu.edu.cn) ","Computational Statistics and Data Analysis","Comput. Stat. Data Anal.","","Elsevier B.V.","66","","101-116","2013","","","","2013","English","01679473","","","10.1016/j.csda.2013.03.023","","","","","","CSDADW","Journal article (JA)","An empirical likelihood (EL) approach to inference on mean functionals with nonignorably missing response data is developed. The nonignorably missing mechanism is specified by an exponential tilting model. Several maximum EL estimators (MELEs) for the response mean functional are proposed under different scenarios. We systematically investigate asymptotic properties of the proposed MELEs for the response mean functional. With the use of auxiliary information, MELEs are statistically more efficient. Confidence intervals (CIs) for the response mean are constructed on the basis of the EL method and the normal approximation (NA) method. Simulation studies are presentedto evaluate the finite sample performance of our proposed MELEs and CIs. A real earnings data from the New York Social Indicators Survey is used to illustrate our proposed EL method. Empirical results show that our proposed EL method is robust. © 2013 Elsevier B.V. All rights reserved.","","18","Earnings","Sampling","Empirical likelihood - Exponential tilting - Imputation - Missing data - Response mean functional","911.2 Industrial Economics",,"Number: 20115301110004, Acronym: -, Sponsor: -; Number: 11225103, Acronym: -, Sponsor: China National Funds for Distinguished Young Scientists; ","The authors thank three anonymous referees for their helpful comments and suggestions which have substantially improved the readability and the presentation of this paper. The research was supported by grants from the National Science Fund for Distinguished Young Scholars of China (No. 11225103 ), and the Research Fund for the Doctoral Program of Higher Education of China (No. 20115301110004 ). Appendix",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A simple and efficient video image clustering algorithm for person specific query and image retrieval","20101812902965","Hossain, Md. Shafaeat (1); Rahman, Khandaker A. (1); Hasanuzzaman, Md. (2); Phoha, Vir V. (1) ","(1) Louisiana Tech. University, Ruston, LA 71270, United States (2) University of Dhaka, Dhaka, Bangladesh ","Hossain, Md. S.(msh040@latech.edu) ","1st International Conference on Internet Multimedia Computing and Service, ICIMCS 2009","Int. Conf. Internet Multimedia Comput. Serv., ICIMCS","ACM SIGMM Beijing Chapter; National Science Foundation of China","Association for Computing Machinery (ACM)","","","85-89","2009","1st International Conference on Internet Multimedia Computing and Service, ICIMCS 2009","","","2009","English","","","9781605588407","10.1145/1734605.1734628","","1st International Conference on Internet Multimedia Computing and Service, ICIMCS 2009","November 23, 2009 - November 25, 2009","Kunming, Yunnan, China","80025","","Conference article (CA)","Video image clustering is the backbone of person specific query and image retrieval from a video sequence. This paper presents a video image clustering algorithm based on the human face. Clustering in different video streams has been achieved in unsupervised manner where no prior knowledge about the input video clip is required. For face detection, multi-resolution based template matching and skin color segmentation strategies have been employed. In order to evaluate the performance of the proposed method, 11 video clips of various durations were used. Experimental results demonstrate that the performance of the method with respect to precision and recall rate are quite satisfactory and in worst case video image sequences the figures are about 83% and 79%, respectively. Copyright 2009 ACM.","","13","Clustering algorithms","Color matching - Face recognition - Image retrieval - Image segmentation - Template matching - Video cameras","Face images - Multi-resolution template - Precision and recall - Prior knowledge - Skin-color segmentation - Video image - Video image sequences - Video sequences","716.4 Television Systems and Equipment - 723 Computer Software, Data Handling and Applications - 903.1 Information Sources and Analysis",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study on a new type of discrete random contention system based on binary tree conflict resolution","20144300127004","Nan, Jing (1); Guo, Yingying (1); Ding, Hongwei (1); Guo, Jia (1); Zhao, Yifan (1); Liu, Qianlin (1) ","(1) School of Information, Yunnan University, China ","Nan, Jing ","WIT Transactions on Information and Communication Technologies","WIT Trans. Inf. Commun. Tecnol.","WIT Transactions on Information and Communication Technologies","WITPress","55","","145-160","March 1, 2014","","","1 of 1","2014","English","17433517","","9781845648756","10.2495/CECNet130191","","3rd International Workshop on Communication Technology, IWCT 2013","November 20, 2013 - November 22, 2013","Xianning, Hubei, China","108098","","Journal article (JA)","The paper mainly introduces the new discrete random multiple access system and the improved binary-tree conflict resolution algorithm, puts forward a new random contention system based on the improved binary-tree conflict resolution algorithm. This paper obtains the expression of the throughput for the new discrete random multiple access protocol and the new random contention system based on the improved binary-tree conflict resolution algorithm by using complicated mathematical modeling and rigorous mathematical derivation. Computer simulations show that the new random contention system based on the improved binary-tree conflict resolution algorithm is effective to further improve the system performance. © 2013 WIT Press.","","16",,,,,,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Global asymptotical stability of a unique almost periodic solution for enterprise clusters based on ecology theory with time-varying delays and feedback controls","20113614311108","Li, Yongkun (1); Zhang, Tianwei (1) ","(1) Department of Mathematics, Yunnan University, Kunming, Yunnan 650091, China ","Li, Y.(yklie@ynu.edu.cn) ","Communications in Nonlinear Science and Numerical Simulation","Comm. Nonlinear Sci. Numer. Simul.","","Elsevier B.V.","17","2","904-913","February 2012","","","","2012","English","10075704","","","10.1016/j.cnsns.2011.05.036","","","","","","","Journal article (JA)","This paper is concerned with some dynamic behavior of enterprises cluster constituted by n satellite enterprises and a dominant enterprise. We present a model involving time-varying delays and feedback controls based on ecology theory, which effectively describe the competition and cooperation of enterprises cluster in real economic environments. Applying the comparison theorem of differential equations and constructing a suitable Lyapunov functional, sufficient conditions which guarantee the existence of a unique globally asymptotically stable nonnegative almost periodic solution of the system are obtained. Finally, we present an example to explain the economical significance of mathematical results. © 2011 Elsevier B.V.","","25","Time varying control systems","Cascade control systems - Competition - Convergence of numerical methods - Differential equations - Ecology - Feedback control - Lyapunov functions - Time delay","Almost periodic solutions - Competition and cooperation - Delay - Enterprise cluster - Global asymptotical stability - Globally asymptotically stable - Lyapunov functionals - Time varying- delays","454.3 Ecology and Ecosystems - 713 Electronic Circuits - 731.1 Control Systems - 911.2 Industrial Economics - 921 Mathematics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
