Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"A study on the equity of health resources and equalization development in Yunnan Province from 2009 to 2013","20163702808562","","Dai, Jing (1); Wang, Wen-Yan (1); Li, Wei (1) ","(1) Faculty of Management and Economics, Kunming University of Science and Technology, Yunnan; 650093, China ","","2016 13th International Conference on Service Systems and Service Management, ICSSSM 2016","Int. Conf. Serv. Syst. Serv. Manag., ICSSSM","Institute of Electrical and Electronic Engineers (IEEE) Systems; Kunming University of Science and Technology; South China University of Technology; The Chinese University of Hong Kong; Tsinghua University","Institute of Electrical and Electronics Engineers Inc.","","","","August 9, 2016","2016 13th International Conference on Service Systems and Service Management, ICSSSM 2016","1of1","2016","English","","","","9781509028429","10.1109/ICSSSM.2016.7538605","7538605","13th International Conference on Service Systems and Service Management, ICSSSM 2016","June 24, 2016 - June 26, 2016","Kunming, China","123297","","Conference article (CA)","Appropriate heath resource allocation is the primary condition for protecting all society members to obtain effective and equity health service, and meanwhile, it is the main approach to reduce the health discrepancies among residents in Yunnan Province. This paper collects the medical resource data of 16 cities and prefectures in Yunnan from 2009-2013. This paper measures the discrepancies of medical service among different areas by using Theil Index Analysis, and finds that the total difference of basic health service among east, middle, west and south areas decrease gradually. However, the equity of health institutions and hospital beds is significantly better than health workers. Through Theil Index composition analysis, we find that in aspects of health institutes and health workers, the key element for the inequality of health institutions is the imbalance within middle area, however, for the hospital beds inequity, the main factor is the inequality between areas. Therefore, to facilitate the equity of medical resources, it is necessary to have clear development strategy, optimize the structure of health input, set reasonable layout of health institutions, strengthen the health infrastructure, and improve the quality of health workers. © 2016 IEEE.","13","Health","Equalizers - Hospital beds - Hospitals","Composition analysis - Development strategies - Health Resources - Health services - Key elements - Medical services - Theil indices - Yunnan province","461.6 Medicine and Pharmacology - 462.2 Hospitals, Equipment and Supplies - 713.5 Electronic Circuits Other Than Amplifiers, Oscillators, Modulators, Limiters, Discriminators or Mixers",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Market reform of Yunnan electricity in southwestern China: Practice, challenges and implications","20193007224632","","Liu, Shuangquan (1, 2); Yang, Q. (1); Cai, Huaxiang (1); Yan, Minghui (1); Zhang, Maolin (1); Wu, Dianning (1); Xie, Mengfei (1) ","(1) Kunming Power Exchange Center Co. Ltd., 73 Tuodong Rd., Kunming; Yunnan; 650011, China (2) Belfer Center for Science and International Affairs, J. F. Kennedy School of Government, Harvard University, Cambridge; MA, United States ","Liu, Shuangquan(dr.shuangquan.liu@gmail.com) ","Renewable and Sustainable Energy Reviews","Renewable Sustainable Energy Rev","","Elsevier Ltd","113","","","October 2019","","","2019","English","13640321","18790690","","","10.1016/j.rser.2019.109265","109265","","","","","RSERFH","Journal article (JA)","This paper reviews the electricity market reforms improving resource allocation and renewable energy integration in Yunnan. Given the predominance of hydropower and the importance of energy exports in Yunnan, the province presents a challenging case study of electricity market reforms. The experience of and lessons from Yunnan provide a reference for other provinces in China engaged in the growing adoption of renewable energy. The main contributions of this paper lie in the extension of the existing understanding of electricity reforms in Yunnan and China. Based on extensive data previously unreported in the literature, this paper shows how the Yunnan electricity market functions in practice and indicates where the practice is deficient in terms of the theory of how electricity markets should function. Finally, this paper suggests how market reforms should be adopted toward a scientifically designed electricity market. © 2019 Elsevier Ltd","157","Commerce","Electric industry - Hydroelectric power - Power markets","Electricity market reforms - Electricity reform - Energy exports - Hydropower - Reform - Renewable energies - Renewable energy integrations - Yunnan","611.1 Hydroelectric Power Plants",,"Number: 030101JY00003, Acronym: -, Sponsor: -; Number: 201808530042, Acronym: CSC, Sponsor: China Scholarship Council; Number: -, Acronym: JFKU, Sponsor: John F. Kennedy University; Number: -, Acronym: BCSIA, Sponsor: Belfer Center for Science and International Affairs, Harvard University; ","S. Liu acknowledges the China Scholarship Council [Grant No. 201808530042 ] for the financial support and the John F. Kennedy School of Government at Harvard University for his ENRP fellowship at the Belfer Center for Science and International Affairs. He would also like to thank Prof. William W. Hogan, Henry Lee, Louisa C. Lund, and Michael Davidson for their discussions and suggestions. The authors acknowledge the support of the Science & Technology Fund of Kunming Power Exchange Center Co., Ltd. [Grant No. 030101JY00003 ]. The authors would also like to thank the editors (Paul Leahy and Aoife M. Foley) and referees for their valuable comments, as well as Louisa C. Lund and Kaveri Iychettira for the linguistic assistance during the preparation of this manuscript. Appendix A",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Survey on e-commerce development in areas inhabited by ethnic minorities of Qujing City, Yunnan Province, based on computer data analysis","20170603319338","","Tao, Yanlin (1) ","(1) School of Computer Science and Engineering of Qujing Normal University, Qujing; 655011, China ","Tao, Yanlin(401004120@qq.com) ","RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao","Rev. Iberica Sist. Tecnol. Inf.","","Associacao Iberica de Sistemas e Tecnologias de Informacao","2016","E11","239-247","2016","","","2016","English","16469895","","","","","","","","","","","Journal article (JA)","Through issuing questionnaires in areas inhabited by ethnic minorities of Qujing city, Yunnan Province, and then sorting out and analyzing data with computer technologies, this paper finds that problems like poor infrastructure, residents' low awareness of e-commerce and lack of e-commerce talents hinder e-commerce development in these areas. Based on the realities of these places, the paper puts forward solutions to the problems.","16","Electronic commerce","Commerce - Data handling - Information analysis - Surveying - Surveys","Computer technology - E-commerce development - eBusiness - Ethnic minorities - Qujing - Sorting outs - Yunnan province","405.3 Surveying - 723.2 Data Processing and Image Processing - 723.5 Computer Applications - 903.1 Information Sources and Analysis",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The forewarning mechanism system research of the host country's risk - Take SME of Yunnan investing directly in the GMS countries for example","20110313604133","","Chai, Zhengmeng (1); Hu, Xiaolian (1) ","(1) Kunming University of Science and Technology, Management and Economy College, Kunming, China ","Chai, Z.(chaizhengmeng@yahoo.com.cn) ","2010 International Conference on E-Product E-Service and E-Entertainment, ICEEE2010","Int. Conf. E-Prod. E-Serv. E-Entertain., ICEEE","","IEEE Computer Society","","","","2010","2010 International Conference on E-Product E-Service and E-Entertainment, ICEEE2010","","2010","English","","","","9781424471614","10.1109/ICEEE.2010.5660499","5660499","","","","","","Conference article (CA)","In recent years, the GMS countries are becoming the hot point of the direct investment. The total volume of investment from Yunnan grows increasingly. But in the meanwhile, the risk of the host country is hindering the investing countries' positivity. The article takes the SME of Yunnan for example, focusing on two sides, one is the forewarning system, another is the management system, and combining the FAHP method, establishing a whole risk forewarning mechanism system at last, this mechanism will manage the risk more effective, it is important to help the SME of Yunnan to frame the FDI strategy and reduce the risk. ©2010 IEEE.","15","Investments",,"Direct investments - Host countries - Hot point - Management systems - Mechanism systems - SME of Yunnan","911.2 Industrial Economics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Seismic hazard analysis of the Sichuan-Yunnan region, western China","20132116359785","","Wang, Fan (1); Shen, Zheng-Kang (2); Wang, Min (1); Wang, Yan-Zhao (1); Tao, Wei (1) ","(1) State Key Laboratory of Earthquake Dynamics, Institute of Geology, China Earthquake Administration, Beijing 100029, China (2) Department of Geophysics, Peking University, Beijing 100871, China ","Shen, Z.-K.(zhengkangshen@pku.edu.cn) ","Dizhen Dizhi","Dizhen Dizhi","","State Seismology Administration","35","1","101-112","March 2013","","","2013","Chinese","02534967","","","","10.3969/j.issn.0253-4967.2013.01.009","","","","","","","Journal article (JA)","As the southeastern margin of the Tibetan plateau, the Sichuan-Yunnan region is carved by ample tectonic active faults. Many strong earthquakes have taken place in the past, and some of which resulted in massive damages and great losses of human lives. In this study we attempt to estimate the seismic hazard potential using two different approaches. Our first approach follows Kagan and Jackson (1994) and uses earthquake catalog data to estimate the mid-to long-term spatial probability of strong earthquakes, based on the assumption that earthquake likelihood is proportional to the intensity and quantity of past events. A retrospective test shows that the model offers reasonable 'forecasts' statistically over the last 37 years, based on the catalog data of previous 470 years for model constraints. Our second approach is to use secular geodetic strain rate deduced from GPS velocity data to constrain earthquake probability model, assuming that likelihood of strong earthquakes is spatially proportional to the geodetic strain rate. A retrospective test of the model with earthquake occurrence of the past 30 years shows that the model 'forecasted' poorly, but did reasonably well when comparing with the catalog data of the past 500 years, suggesting that the geodetic strain rate obtained at the decade scale may still be a good indicator of long-term earthquake activity in the region, but only at a time scale of hundreds of years.","34","Earthquakes","Faulting - Geodesy - Hazards - Seismic response - Strain rate","Earthquake activity - Earthquake catalogs - Earthquake occurrences - Probability modeling - Seismic hazard analysis - Seismic hazards - Sichuan-Yunnan region - Strong earthquakes","405.3 Surveying - 484 Seismology - 914.1 Accidents and Accident Prevention",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Analysis of the Temporal and Spatial Distribution of New Cases of Leprosy in Yunnan Province, 2011-2016","20190306386101","","Feng-Zhi, W.U. (1, 2); Jun, H.E. (3, 4); Mai-Hong, Zheng (5); Wen-Ying, H.U. (5); Hong-Chao, Li (2); Li-Hui, Zhuang (1, 2); Guo-Xian, H.U. (1, 2); Zhi-Kun, Zhang (1, 2) ","(1) Geographical Information Technology Teaching and Experimental Base and Innovation Service Center, Wenshan University, Wenshan, China (2) College of Environment and Resources, Wenshan University, Wenshan, China (3) Leprosy Control Station of the Center for Disease Control and Prevention of Yunnan Province, Kunming, China (4) Leprosy Research Center Yunnan Province, Kunming, China (5) College of Tourism and Geography Sciences, Yunnan Normal University, Kunming, China ","Feng-Zhi, W.U.(fengzhiwu2011@126.com) ","International Conference on Geoinformatics","Int. Conf. Geoinformatics","","IEEE Computer Society","2018-June","","","December 3, 2018","Proceedings - 2018 26th International Conference on Geoinformatics, Geoinformatics 2018","1 of 1","2018","English","2161024X","21610258","","9781538676196","10.1109/GEOINFORMATICS.2018.8557087","8557087","26th International Conference on Geoinformatics, Geoinformatics 2018","June 28, 2018 - June 30, 2018","Kunming, China","143470","","Conference article (CA)","We aim to analyze the temporal and spatial distribution characteristics of new cases of leprosy in Yunnan province during 2011 to 2016, and provide the basis for the prevention and control of regional leprosy. Based on the statistical data of new cases of leprosy in Yunnan province, which was provided by the center for disease control and prevention of Yunnan province, the temporal and spatial distribution characteristics of new cases were analyzed by the methods of exploratory data analysis and GIS spatial analysis. On the spatial scale of autonomous prefecture or prefectural-Level city, new cases are mainly concentrated in Wenshan, Honghe, Kunming and Pu-er. On the county scale, the distribution of new cases shows the characteristics of the small number of cases but widely distributed and the counties with a large number of cases are spatially adjacent. And on the time scale, the number of new cases showed a downward trend. During 2011 to 2016, the temporal and spatial distribution characteristics of new cases of leprosy in Yunnan province are typical, and targeted measures should be taken in the follow-up prevention and control. © 2018 IEEE.","6","Spatial distribution","Disease control - Diseases - Spatial variables measurement","Geographic information technologies - Leprosy - New case - Spatial and temporal distribution - Spatial cluster - Yunnan province","921 Mathematics - 943.2 Mechanical Variables Measurements",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The applicable technical analysis of the small towns domestic sewage treatment in Yunnan province","20134316888062","","Liang, Dong Hua (1); Xu, Bing Feng (1); Wang, Xun (2) ","(1) Kunming University of Science and Technology, Architecture and Civil Engineering, Kunming, 450500, China (2) Ministry of Housing and Urban-Rural Development, Yunnan Province, Kunming, 4650228, China ","","Applied Mechanics and Materials","Appl. Mech. Mater.","National Chin-Yi University of Technology; National Cheng Kung University; National Sun Yan-Sen University; National Chi Nan University, ChienKuo Technology University; Control Engineering and Information Science Research Association; et al","Trans Tech Publications Ltd, Kreuzstrasse 10, Zurich-Durnten, CH-8635, Switzerland","368-370","1","356-359","2013","Frontiers of Green Building, Materials and Civil Engineering III","","2013","English","16609336","16627482","","9783037857922","10.4028/www.scientific.net/AMM.368-370.356","","3rd International Conference on Green Building, Materials and Civil Engineering, GBMCE 2013","August 21, 2013 - August 23, 2013","Taiwan","100293","","Conference article (CA)","This paper summarized the actual situation and problems of domestic sewage treatment in small towns in Yunnan province, and recommended four suitable sewage treatment technologies combining with its domestic sewage treatment process for water treatment, project investment, land allocation and operating cost analysis. © (2013) Trans Tech Publications, Switzerland.","9","Civil engineering","Sewage treatment","Domestic sewage treatment - Land allocation - Small towns - Technical analysis - Treatment technologies - Yunnan province","409 Civil Engineering, General - 452.2 Sewage Treatment",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Decomposing industrial energy-Related CO2emissions in Yunnan province, China: Switching to low-carbon economic growth","20160601897342","","Deng, Mingxiang (1); Li, Wei (1); Hu, Yan (1) ","(1) State Key Laboratory of Water Environment Simulation, School of Environment, Beijing Normal University, Beijing; 100875, China ","Li, Wei(weili@bnu.edu.cn) ","Energies","Energies","","MDPI AG, Postfach, Basel, CH-4005, Switzerland","9","1","","2016","","","2016","English","","19961073","","","10.3390/en9010023","23","","","","","","Journal article (JA)","As a less-developed province that has been chosen to be part of a low-carbon pilot project, Yunnan faces the challenge of maintaining rapid economic growth while reducing CO2emissions. Understanding the drivers behind CO2emission changes can help decouple economic growth from CO2emissions. However, previous studies on the drivers of CO2emissions in less-developed regions that focus on both production and final demand have been seldom conducted. In this study, a structural decomposition analysis-logarithmic mean Divisia index (SDA-LMDI) model was developed to find the drivers behind the CO2emission changes during 1997-2012 in Yunnan, based on times series energy consumption and input-output data. The results demonstrated that the sharp rise in exports of high-carbon products from the metal processing and electricity sectors increased CO2emissions, during 2002-2007. Although increased investments in the construction sector also increased CO2emissions, during 2007-2012, the carbon intensity of Yunnan's economy decreased substantially because the province vigorously developed hydropower and improved energy efficiency in energy-intensive sectors. Construction investments not only carbonized the GDP composition, but also formed a carbon-intensive production structure because of high-carbon supply chains. To further mitigate CO2emissions in Yunnan, measures should promote the development and application of clean energy and the formation of consumption-based economic growth. © 2016 by the authors.","51","Carbon dioxide","Carbon - Construction industry - Decomposition - Economic analysis - Energy efficiency - Energy utilization - Industrial emissions - Investments - Supply chains - Truck drivers","CO2 emissions - Less-developed regions - Low carbon - Structural decomposition analysis - Yunnan province","405 Construction Equipment and Methods; Surveying - 451.1 Air Pollution Sources - 525.2 Energy Conservation - 525.3 Energy Utilization - 802.2 Chemical Reactions - 804 Chemical Products Generally - 804.2 Inorganic Compounds - 911.2 Industrial Economics - 912 Industrial Engineering and Management - 912.4 Personnel - 913 Production Planning and Control; Manufacturing",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Temporal and spatial variation analysis of water requirement of tobacco in middle of Yunnan province based on irrigation requirement index","20162002391978","","Fu, Na (1); Li, Chuang (1); Liu, Yanwei (1); Yang, Qiliang (1); Liu, Xiaogang (1) ","(1) Faculty of Modern Agricultural Engineering, Kunming University of Science and Technology, Kunming; 650500, China ","Liu, Yanwei(liu-xiaocao@sohu.com) ","Nongye Jixie Xuebao/Transactions of the Chinese Society for Agricultural Machinery","Nongye Jixie Xuebao","","Chinese Society of Agricultural Machinery","47","4","155-161","April 25, 2016","","","2016","Chinese","10001298","","","","10.6041/j.issn.1000-1298.2016.04.021","","","","","","NUYCA3","Journal article (JA)","Spatio-temporal variation of crop water requirement and net irrigation requirement can provide theoretical basis for irrigation scheduling in different areas. The research was based on ground meteorological data from four national meteorological sites and crop coefficient at different growth stages of tobacco in the middle of Yunnan Province. The reference crop evapotranspiration, net irrigation requirement and net irrigation requirement index in the middle of Yunnan Province within 58 years (1956-2013) were calculated using the Penman-Monteith equation recommended by Food and Agriculture Organization in 1998. The water demand variation characteristics of tobacco during the growing season were analyzed. The spatial analysis of water demand, net irrigation requirement and net irrigation requirement index of tobacco was done by using the ordinary Kringing method of GIS. The results showed that as the change of tobacco's growing season, its net irrigation requirement index was gradually decreased. And the years with net irrigation requirement index which was larger than zero could be accounted for about 54% in the middle of Yunnan Province. It was indicated that tobacco needed artificial irrigation in normal years. The most positive and negative correlation factors for net irrigation requirement of tobacco was precipitation. Besides, the reference crop evapotranspiration, net irrigation requirement and net irrigation requirement index increased with latitude in the middle of Yunnan Province. © 2016, Chinese Society of Agricultural Machinery. All right reserved.","23","Irrigation","Climate change - Crops - Evapotranspiration - Spatial variables measurement - Tobacco","Food and agriculture organizations - Irrigation requirements - Penman-Monteith equations - Reference crop evapotranspirations - Spatio-temporal variation - Temporal and spatial distribution - Temporal and spatial variation - Yunnan province","443.1 Atmospheric Properties - 821.3 Agricultural Methods - 821.4 Agricultural Products - 943.2 Mechanical Variables Measurements",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Application of ICP-MS to identify the botanic source of characteristic honey in South Yunnan","20160101768255","","Wei, Yue (1, 2); Chen, Fang (1, 2); Wang, Yong (1, 2); Chen, Lan-Zhen (1, 2); Zhang, Xue-Wen (3); Wang, Yan-Hui (3); Wu, Li-Ming (1, 2); Zhou, Qun (4) ","(1) Institute of Apiculture Research, Chinese Academy of Agricultural Sciences, Beijing; 100093, China (2) Risk Assessment Laboratory for Bee Products Quality and Safety of Ministry of Agriculture (Beijing), Beijing; 100093, China (3) Yunnan Province Academy of Agricultural Sciences, Kunming; 650231, China (4) Department of Chemistry, Tsinghua University, Beijing; 100084, China ","Wu, Li-Ming(apiswu@126.com) ","Guang Pu Xue Yu Guang Pu Fen Xi/Spectroscopy and Spectral Analysis","Guang Pu Xue Yu Guang Pu Fen Xi","","Science Press","36","1","262-267","January 1, 2016","","","2016","Chinese","10000593","","","","10.3964/j.issn.1000-0593(2016)01-0262-06","","","","","","GYGFED","Journal article (JA)","By adopting inductively coupled plasma mass spectrometry (ICP-MS) combined with chemometric analysis technology, 23 kinds of minerals in four kinds of characteristic honey derived from Yunnan province were analyzed. The result showed that 21 kinds of mineral elements, namely Na, Mg, K, Ca, V, Cr, Mn, Fe, Co, Ni, Cu, Zn, As, Se, Sr, Mo, Cd, Sb, Ba, Tl and Pb, have significant differences among different varieties of honey. The results of principal component analysis (PCA) showed that the cumulative variance contribution rate of the first four main components reached 77.74%, seven kinds of elements (Mg, Ca, Mn, Co, Sr, Cd, Ba) from the first main component contained most of the honey information. Through the stepwise discriminant analysis, seven kinds of elements (Mg, K, Ca, Cr, Mn, Sr, Pb) were filtered out and used to establish the discriminant function model, and the correct classification rates of the proposed model reached 90% and 86.7%, respectively, which showed elements contents could be effectively indicators to discriminate the four kinds characteristic honey in southern Yunnan Province. In view of all the honey samples were harvested from apiaries located at south Yunnan Province where have similar climate, soil and other environment conditions, the differences of the mineral elements contents for the honey samples mainly due to their corresponding nectariferous plant. Therefore, it is feasible to identify honey botanical source through the differences of mineral elements. © 2016, Science Press. All right reserved.","15","Principal component analysis","Discriminant analysis - Food products - Inductively coupled plasma mass spectrometry - Mass spectrometers - Minerals","Botanical source - Chemometrices - Honey - ICP-MS - Yunnan","482.2 Minerals - 801 Chemistry - 822.3 Food Products - 922 Statistical Methods - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
