Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article or Paper number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Link to ProQuest Dissertations,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Resolution to IPv4 upgrading to IPv6 of Yunnan university campus network","20071010470901","","Wang, Sha (1); Li, Han-Bin (2); Zhang, Xue-Jie (1, 2); Deng, Shi-Kun (3) ","(1) Dept. of Computer Science and Engineering, Yunnan University, Kunming 650091, China (2) High Performance Computing Center, Yunnan University, Kunming 650091, China (3) Network and Information Center, Yunnan University, Kunming 650091, China ","Wang, S. ","Tongxin Xuebao/Journal on Communications","Tongxin Xuebao","","Editorial Board of Journal on Communications, No.1 Binhe Road, Hepingli, Dongcheng District, Beijing, 1000013, China","27","SUPPL.","20-23","November 2006","","","2006","Chinese","1000436X","","","","","","","","","","","Journal article (JA)","","The goal of project of Yunnan University campus network upgrading to IPv6 was to build IPv6 experimental network and start research on IPv6. In order to achieve this target, how to implement the project in steps and how to avoid risks was researched based on our analysis of current structure and features of Yunnan University campus network. Finally, an implementation of this project was proposed the implementation can be a good reference to other universities because it can upgrade network smoothly and guarantee IPv4./IPv6 compatible in upgrading process.","8","Computer networks","Internet - Network protocols - Quality of service - Routers - Servers","Campus network - Internet protocol version 4 (IPv4) - Internet protocol version 6 (IPv6)","716 Telecommunication; Radar, Radio and Television - 722.3 Data Communication, Equipment and Techniques - 723 Computer Software, Data Handling and Applications","Applications (APP)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Mechanism research on influencing factors of collaborative innovation: Effectiveness of Yunnan University Research Team","20125015794380","","Yang, Wencai (1); Shang, Ru (1); Du, Qian (1); Ruan, Jianwen (1); Tang, Xiuying (1) ","(1) College of Engineering Technology, Yunnan Agricultural University, Kunming, China ","Yang, W.(yangwencai2005@126.com) ","Proceeding of 2012 International Conference on Information Management, Innovation Management and Industrial Engineering, ICIII 2012","Proc. Int. Conf. Inf. Manage., Innov. Manage. Ind. Eng., ICIII","","IEEE Computer Society","3","","34-37","2012","Proceeding of 2012 International Conference on Information Management, Innovation Management and Industrial Engineering, ICIII 2012","","2012","English","","","","9781467319324","","","2012 International Conference on Information Management, Innovation Management and Industrial Engineering, ICIII 2012","October 20, 2012 - October 21, 2012","Sanya, China","94227","","Conference article (CA)","","This paper first proposes the conceptual model of research team collaborative innovation effectiveness's influencing mechanism; then demonstrates it by regression model, combining with 142 valid data. The results show that: Circled digit oneresults expectation has no significant effect on any dimensions of collaborative effectiveness; Circled digit twoself-efficacy, research values, communication methods, communication frequency, collaborative thinking, collaborative behavior, coordination, interaction mechanism and the wish of interaction all have effects on different dimensions of innovation effectiveness; and the influencing coefficient above the 0.05 level is between 0.179-0.567; Finally, make conclusions depending on the influencing coefficient. ©2012 IEEE.","6","Information management","Regression analysis","Collaborative behavior - Collaborative innovation - Communication frequency - Empirical research - Influence mechanism - Influencing mechanisms - Interaction mechanisms - University research","922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Reproduction of traditional architectural form-design of engineering teaching group as an example, Yunnan University","20114814555180","","Cao, Ying (1); Yang, Jinpeng (2) ","(1) School of Mechanics and Civil Engineering, China University of Mining and Technology (Beijing), D 11, Xuyuan Road, Haidian District, Beijing 100083, China (2) China Architecture Design and Research Group, No. 19, Chegongzhuang Avenue, Beijing 100044, China ","Cao, Y.(cao3521@vip.sina.com) ","Advanced Materials Research","Adv. Mater. Res.","","Trans Tech Publications, P.O. Box 1254, Clausthal-Zellerfeld, D-38670, Germany","368-373","","3529-3534","2012","Advances in Civil Engineering and Architecture Innovation","","2012","English","10226680","","","9783037852781","10.4028/www.scientific.net/AMR.368-373.3529","","4th International Conference on Technology of Architecture and Structure, ICTAS 2011","September 22, 2011 - September 24, 2011","Xi'an, China","87430","","Conference article (CA)","","This paper aims to discuss design methods to reproduce traditional architectures through typology research by engineering teaching group of Yunnan University and points out that the so-called reproduction of traditional architectural form is to present its type and the architectural form created in the design must be a new form based on the corresponding realistic conditions.","1","Technical presentations","Architecture - Civil engineering - Design - Innovation","Component - Design method - Form - New forms - Realistic conditions - Tradition - Traditional architecture - Type","402 Buildings and Towers - 408 Structural Design - 409 Civil Engineering, General - 903.2 Information Dissemination - 912 Industrial Engineering and Management",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Analysis of Current Situation and Influencing Factors of Teaching Informationization in Colleges and Universities—Taking a University in Yunnan Province as an Example","20191706823676","","Liao, Wenyuan (1); Duan, Jingli (2) ","(1) Faculty of Civil Engineering, Southwest Forestry University, Kunming; 650224, China (2) Faculty of Foreign Language, Southwest Forestry University, Kunming; 650224, China ","Duan, Jingli(lwy065@126.com) ","Advances in Intelligent Systems and Computing","Adv. Intell. Sys. Comput.","","Springer Verlag","929","","522-528","2019","Application of Intelligent Systems in Multi-modal Information Analytics","1 of 1","2019","English","21945357","","","9783030157388","10.1007/978-3-030-15740-1_71","","International Conference on Intelligent Systems Applications in Multi-modal Information Analytics, 2019","February 19, 2019 - February 20, 2019","Shenyang, China","225009","","Conference article (CA)","","This paper first expounds the meaning of teaching informationization in colleges and universities. On this basis, it analyzes the influencing factors of information-based teaching in colleges and universities, focusing on discussing issues existing in the process of teacher informationization and student informationization and their causes, and put forward some opinions and suggestions on how to improve the level of information-based teaching in colleges and universities. © 2019, Springer Nature Switzerland AG.","10","Students","Intelligent systems - Personnel training","Colleges and universities - Current situation - Informationization - Teacher training - Yunnan province","723.4 Artificial Intelligence - 912.4 Personnel",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research initiative on bilingual teaching mode of sino-foreign project of international hotel management -A case study of international hotel management teaching in yunnan open university","20152901038644","","Yan, Zeng (1) ","(1) Culture and Tourism Department, Yunnan Open University, Kunming, Yunnan, China ","Yan, Zeng(171908@sina.com) ","Proceedings of the 2013 International Conference on Advanced Information Engineering and Education Science, ICAIEES 2013","Proc. Int. Conf. Adv. Inf. Eng. Educ. Sci., ICAIEES","","Atlantis Press","","","238-241","2013","","1of1","2013","English","","","","9789078677949","","","2013 International Conference on Advanced Information Engineering and Education Science, ICAIEES 2013","December 19, 2013 - December 20, 2013","Beijing, China","111667","","Conference article (CA)","","This paper focuses on a sample of international hotel management class in Yunnan Open University, to analyze the essentialness and significance of initializing bilingual teaching there. This paper also tries to figure out the obstacles facing and effective modes can be used in teaching process, which bases on the experiences have got in Sino-foreign cooperation and knowledge about current strategies using in foreign countries, and also comply with the aims and features of bilingual teaching. © 2013. The authors - Published by Atlantis Press..","16","Hotels","Engineering - Industrial engineering","Bilingual teachings - Foreign countries - Hotel managements - Obstacle - Open universities - Research initiatives - Significance - Sino-foreign cooperation","402.2 Public Buildings - 912.1 Industrial Engineering",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Data from stream sediment survey mapped at three scales based quantitative assessment of platium anomalies in eastern Yunnan province, southwestern China using Universal Kriging","20142617865504","","Chen, Yongqing (1); Huang, Jingning (1) ","(1) School of Earth and Mineral Resources, China University of Geosciences, Beijing 100083, China ","","Geomathematics and GIS Analysis of Resources, Environment and Hazards - Annual Conference of the International Association for Mathematical Geology, IAMG 2007","Geomathematics GIS Anal. Resour., Environ. Hazards - Annu. Conf. Int. Assoc. Math. Geol., IAMG","China Geological Survey; China University of Geosciences; et al.; International Association for Mathematical Geology; NSFC; York University","CONFERENCE SECRETARIAT,China University of Geosciences, IAMG 2007","","","32-35","2007","Geomathematics and GIS Analysis of Resources, Environment and Hazards - Annual Conference of the International Association for Mathematical Geology, IAMG 2007","","2007","English","","","","","","","Annual Conference of the International Association for Mathematical Geology: Geomathematics and GIS Analysis of Resources, Environment and Hazards, IAMG 2007","August 26, 2007 - August 31, 2007","Beijing, China","105720","","Conference article (CA)","","Many variables of geosciences for mineral assessment usually are regionalized ones that are of both structural and random components. Spatial heterogeneity of geological and/or mineral body is defined as spatial variability which can be effectively characterized by spatial geostatistics (Pan, 2001). In this paper Universal Kriging is used for studying the variability of Pt concentration and for delineating as well as assessing Pt anomalies based on data from the stream sediment survey mapped at three scales in eastern Yunnan Province, southwestern China. The results indicate that there are differences between the variability and controlling factors of Pt concentration at large scale and middle-small scale. The former is controlled by strata and lithology; the latter is controlled by multi-trends of faults. The telescoped Pt anomalies at three scales are the best target areas for searching for Pt deposits.","6","Surveys","Hazards - Interpolation - Lithology","Controlling factors - Eastern Yunnan - Quantitative assessments - Random components - Spatial heterogeneity - Spatial variability - Stream sediments - Universal kriging","481.1 Geology - 914.1 Accidents and Accident Prevention - 921.6 Numerical Methods",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Quantitative delineation and assessment of platium, copper and gold anomalies in eastern Yunnan province, southwestern China using universal kriging","20142617865641","","Huang, Jingning (1) ","(1) School of Earth and Mineral Resources, China University of Geosciences, Beijing, 100083, China ","Huang, J.(hjn82@126.com) ","Geomathematics and GIS Analysis of Resources, Environment and Hazards - Annual Conference of the International Association for Mathematical Geology, IAMG 2007","Geomathematics GIS Anal. Resour., Environ. Hazards - Annu. Conf. Int. Assoc. Math. Geol., IAMG","China Geological Survey; China University of Geosciences; et al.; International Association for Mathematical Geology; NSFC; York University","CONFERENCE SECRETARIAT,China University of Geosciences, IAMG 2007","","","599-602","2007","Geomathematics and GIS Analysis of Resources, Environment and Hazards - Annual Conference of the International Association for Mathematical Geology, IAMG 2007","","2007","English","","","","","","","Annual Conference of the International Association for Mathematical Geology: Geomathematics and GIS Analysis of Resources, Environment and Hazards, IAMG 2007","August 26, 2007 - August 31, 2007","Beijing, China","105720","","Conference article (CA)","","The PGE-Cu-Au bearing formation in the eastern Yunnan province includes both the ore-bearing the Permian Emeishan basalt and the ore-bearing black shale such as the Protreozoic Kunyang group, the upper Sinian-lower Cambrian, and Trassic. Geostatistics, combined with factor analysis is applied to characterize the variability of Pt, Cu and Au, analyze the geological factors controlling spatial distribution of them, and eventually delineate and assess the anomalies of Pt, Cu and Au.","6","Geology","Copper - Hazards - Statistical methods","Black shales - Eastern Yunnan - Emeishan basalts - Geo-statistics - Geological factors - Lower cambrians - Permian - Universal kriging","481.1 Geology - 544.1 Copper - 914.1 Accidents and Accident Prevention - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Ambidextrous development model of university continuing education in Yunnan Province based on CRM","20140917403311","","Zuo, Hong-Wu (1); Li, Ze-Jian (2); Pan, Ming (1) ","(1) Faculty of Adult Education, Kunming University of Science and Technology, Kunming 650093, China (2) Institute of Technology, Kunming University of Science and Technology, Kunming, China ","Zuo, H.-W.(zhw_1975@163.com) ","Lecture Notes in Electrical Engineering","Lect. Notes Electr. Eng.","","Springer Verlag","269 LNEE","","859-868","2014","Frontier and Future Development of Information Technology in Medicine and Education, ITME 2013","","2014","English","18761100","18761119","","9789400776173","10.1007/978-94-007-7618-0_84","","5th International Symposium on IT in Medicine and Education, ITME 2013","July 19, 2013 - July 21, 2013","Xining, China","102717","","Conference article (CA)","","Based on the analysis of current situation of continuing education and novel opportunities for its development, the paper proposed, from the perspective of Customer Relationship Management (CRM), an ambidextrous development model of university's continuing education, i.e., a model which can help to achieve both exploration and exploitation in the development of university continuing education. Specifically, on the basis of rational allocation of current educational resources, not only to remain the current development of continuing education, but to shift in accordance with the changing of external environment. The paper employed the theory of CRM to analyze the characteristics of different levels of learners in university's continuing education, to accurately grasp the learning objectives and needs of them, and proposed the tactics of establishing ambidextrous model of the development of university's continuing education in Yunnan in agreement with the current situation of Yunnan universities. © Springer Science+Business Media Dordrecht 2014.","7","Public relations","Electrical engineering - Mathematical techniques","Continuing education - Current situation - Customer relationship management - Development model - Educational resource - Exploration and exploitation - External environments - Learning objectives","709 Electrical Engineering, General",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Analysis of Precipitation Characteristics and Its Causes in Central Yunnan City","20193307312564","","He, Ping (1); Li, Jinxiao (2, 3); Fu, Yongmei (1); Liu, Shuhua (4) ","(1) College of Geography and Tourism Management, Chuxiong Normal University, Chuxiong; 675000, China (2) State Key Laboratory of Numerical Modeling for Atmospheric Sciences and Geophysical Fluid Dynamics (LASG), Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing; 100029, China (3) University of Chinese Academy of Sciences, Beijing; 100049, China (4) Department of Atmospheric and Oceanic Sciences, School of Physics, Peking University, Beijing; 100871, China ","Liu, Shuhua(lshuhua@pku.edu.cn) ","Beijing Daxue Xuebao (Ziran Kexue Ban)/Acta Scientiarum Naturalium Universitatis Pekinensis","Beijing Daxue Xuebao Ziran Kexue Ban","","Peking University","55","4","626-634","July 20, 2019","","","2019","Chinese","04798023","","","","10.13209/j.0479-8023.2019.040","","","","","","PCTHAP","Journal article (JA)","","Basing on the nearly 50-year precipitation data of 4 major city (Kunming, Qujing, Yuxi, Chuxiong) in urban agglomeration of central Yunnan, this paper analyzes the variation of precipitation in annual, seasonal, and monthly time scale by using methods including the statistical analysis, the wavelet analysis, accumulative leveling method, and the grey relational analysis. The result shows that the average precipitation in past 50 years is 928.1 mm. The trend of precipitation is declining, and a mutation appears in 2009. Besides, precipitation has a dry and wet season in these region, and the wet season is between May and October but the dry season is between November and April of next year, There are more precipitation in the rainy season and less precipitation in dry season. The maximum of precipitation (184.0 mm) appears in July, but the minimum of precipitation (13.8 mm) appears in December. According to the wavelet analysis, the change of annual precipitation is about 22 years, the summer precipitation has a 19-day increase-decrease cycle with more precipitation and smaller variation, and the winter precipitation has a 20-day increase-decrease cycle with less precipitation and larger variation. The grey relational analysis show that the temperature and the specific humidity are dominant natural factors, and the population and the city size are dominant human factors. Besides, the natural factors play greater role than the artificial factors. © 2019 Peking University.","25","Factor analysis","Drought - Human engineering - Wavelet analysis","Annual precipitation - Central Yunnan city - Grey relational analysis - Natural factors - Precipitation characteristics - Summer precipitation - Urban agglomerations - Winter precipitation","444 Water Resources - 461.4 Ergonomics and Human Factors Engineering - 921 Mathematics - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study on Spatial Structure Identification of Urban Agglomeration in Central Yunnan Province Based on Fractal Theory","20190306385984","","Yang, Wenzheng (1, 2); Ma, Jiashen (1); Pan, Yujun (1); Li, Meilin (2) ","(1) Yunnan Normal University, School of Tourism and Geographical Sciences, Kunming, Yunnan, China (2) School of Information Science and Technology, Yunnan Normal University, Kunming, Yunnan, China ","Pan, Yujun(yang121@yeah.net) ","International Conference on Geoinformatics","Int. Conf. Geoinformatics","","IEEE Computer Society","2018-June","","","December 3, 2018","Proceedings - 2018 26th International Conference on Geoinformatics, Geoinformatics 2018","1 of 1","2018","English","2161024X","21610258","","9781538676196","10.1109/GEOINFORMATICS.2018.8557121","8557121","26th International Conference on Geoinformatics, Geoinformatics 2018","June 28, 2018 - June 30, 2018","Kunming, China","143470","","Conference article (CA)","","This paper took urban agglomeration in the middle of Yunnan Province as a research object, using fractal theory and fractal dimension methods, including aggregation dimension, grid dimension and correlation dimension. ArcGIS and the big data platform of Baidu-Map API were also used to calculate fractal dimension, in order to identify the spatial structure of urban system. There are some findings discovered in this study. Firstly, the density of urban agglomeration in the middle of Yunnan Province is decreasing while taking Kunming as the center. The urban system has a large number of blanks in the coverage of the region, and the potential spatial development of urban agglomeration is huge. Secondly, the capacity dimension is much larger than the information dimension, which shows that the topography of Yunnan High-mountain and Flat-dam restricts the spatial distribution of the urban agglomeration in central Yunnan Province, and the urban agglomeration is still in the primary stage of development. Thirdly, the cow-crow dimension is generally low, showing that the urban agglomeration in central Yunnan Province is limited by natural factors such as topography and water system. The level of traffic correlation needs to be improved. This study provides a reference for the healthy and orderly development of the urban agglomeration in central Yunnan Province, from the degree of aggregation, equilibrium and correlation to identify the spatial structure of urban agglomeration. © 2018 IEEE.","23","Fractal dimension","Agglomeration - Geographic information systems","ArcGIS - Cow-crow dimension - Fractal theory - Spatial structure - Yunnan province","802.3 Chemical Operations - 903.3 Information Retrieval and Use - 921 Mathematics",,"Number: 2018T111003，No. 2017M623080, Acronym: -, Sponsor: China Postdoctoral Science Foundation; Number: 71764036, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This research is partial funded by National Natural Science Foundation of China (No.71764036, No.41671148), China Postdoctoral Science Foundation funded project (No. 2018T111003，No. 2017M623080).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
