Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Abstract type,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Network security technology research in the process of art e-commerce transactions","20143418083862","Li, Yan Li (1) ","(1) Yunnan Arts University, No.1577 Yuhua Road, Chenggong District, Kunming 650500,Yunnan Province, China ","Li, Y. L.(99eve@163.com) ","Advanced Materials Research","Adv. Mater. Res.","Computer Science and Electronic Technology; Inst. of Mechatronics Eng., Tianjin Univ. of Technol. and Educ.; Trans Tech Publications inc.","Trans Tech Publications Ltd","989-994","","4533-4537","2014","Materials Science, Computer and Information Technology","","","2014","English","10226680","16628985","9783038351733","10.4028/www.scientific.net/AMR.989-994.4533","","4th International Conference on Materials Science and Information Technology, MSIT 2014","June 14, 2014 - June 15, 2014","Tianjin, China","106909","","Conference article (CA)","This paper expounds the concept of art electronic commerce, analyzes the connotation of art e-commerce, and introduces some related security technology from security problems in e-commerce transactions so as to effectively eliminate safety troubles in e-commerce activities, guide and promote healthy and rapid development of art electronic commerce in our country. © (2014) Trans Tech Publications, Switzerland.","","7","Network security","Arts computing - Electronic commerce - Networks (circuits)","E-commerce transactions - Network security technology - Security problems - Security technology","703.1 Electric Networks - 723 Computer Software, Data Handling and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Optimized control of geometric quantum discord","20161102093001","Hu, Juju (1); Ke, Qiang (1) ","(1) Department of Physics, Jiangxi Normal University, Nanchang, Jiangxi, China ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","2379-2382","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279684","7279684","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","We investigate the geometric quantum discord of coupling superconducting qubits in Fock state. In the non-Markovian noisy channel, the geometric quantum discord exhibits typical sudden change. The quantum correlation effect between qubits can be enhanced greatly and the initial disappearance time of entanglement can be delayed under certain circumstance through linearly modulating the coupling coefficient between qubits by a proper control function. © 2015 IEEE.","","16","Quantum entanglement","Automation - Electrodynamics - Geometry - Quantum computers - Quantum electronics","Control functions - Coupling coefficient - Linear modulations - Quantum correlation effects - Quantum discords - Quantum electrodynamics - Sudden change - Superconducting qubits","701 Electricity and Magnetism - 722 Computer Systems and Equipment - 731 Automatic Control Principles and Applications - 921 Mathematics - 931.4 Quantum Theory; Quantum Mechanics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Optimal controller design in longitudinal channel based on dynamic inversion of an underwater high-speed vehicle","20161102092974","Meng, Hao (1); Zhang, Tongyue (1); Zhao, Dan (1) ","(1) College of Automation, Harbin Engineering University, Harbin, Heilongjiang Province, China ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","1467-1472","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279517","7279517","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","Supercavitation is an emerging technology that enables underwater vehicles to reach unprecedented speed. The surface of underwater high-speed vehicle is surrounded by water vapor cavity while sailing in the water. When the tail of the underwater high-speed vehicle interacts with the cavity wall, the nonlinear planing force is produced. We analyze the forces acting on the underwater high-speed vehicle, and the longitudinal channel mathematical model of the underwater high-speed vehicle is established. In order to deal with the nonlinearity of the model, we adopt dynamic inversion to decouple the model to linear model. Finally, the optimal controller in longitudinal channel is designed to realize the depth control of the underwater high-speed vehicle. The simulation results show that the optimal controller based on dynamic inversion can effectively control the depth of the underwater high-speed vehicle. © 2015 IEEE.","","12","Controllers","Automation - Feedback linearization - Longitudinal control - Speed - Vehicles","Dynamic inversion - Emerging technologies - Linear modeling - Longitudinal channels - Optimal controller - Optimal controls - Underwater high speed vehicle - Underwater vehicles","731 Automatic Control Principles and Applications - 731.3 Specific Variables Control - 732.1 Control Equipment",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The effect of temperature field to EMC characteristics of high frequency digital signal Circuit","20161102093146","Li, Bing (1); Chen, Meiyuan (1); Lei, Mingzhu (1); Zhang, Lanyong (1) ","(1) College of Automation, Harbin Engineering University, Harbin, Heilongjiang; 150001, China ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","1853-1858","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279590","7279590","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","As the great enhancement of integration level and work frequency of high frequency digital signal Circuit, the distributed parameter and stray parameter of stand-alone devices is more and more important. The imperfect characteristics of component and the inherent characteristics of all semiconductor materials determine that the temperature plays an important role on the performance of frequency digital signal circuit. Therefore, this project study the effect of the temperature changing, including outside temperature and components temperature, to EMC characteristics of high frequency digital signal Circuit. © 2015 IEEE.","","10","Digital devices","Automation - Electromagnetic compatibility - Semiconductor materials - Temperature - Timing circuits","Components temperature - Distributed parameter - Effect of temperature - High frequency digital signals - Inherent characteristics - Temperature changing - Temperature modeling - Vector fitting","641.1 Thermodynamics - 711.1 Electromagnetic Waves in Different Media - 712.1 Semiconducting Materials - 713.4 Pulse Circuits - 731 Automatic Control Principles and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Gesture-based human-machine interaction for assistance systems","20161102093035","Kopinski, Thomas (1); Geisler, Stefan (1); Handmann, Uwe (1) ","(1) Computer Science Institute, University Ruhr West, Lützowstrasse 5, Bottrop; 46236, Germany ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","510-517","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279341","7279341","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","This contribution demonstrates the efficient embedding of a single depth-camera into the automotive environment making mid-air gesture interaction for mobile applications viable in such a scenario. In this setting a new human-machine interface is implemented to give an idea of future improvements in automation processes in industrial applications. Our system is based on a data-driven approach by learning hand poses as well as gestures from a large database in order to apply them on mobile devices. We register any movement in a nearby driver area and crop data efficiently with the means of PCA transforming it into so-called feature vectors which present the input for our multi-layer perceptrons (MLPs). After MLP classification, the interpretation of user input is sent via WiFi to a tablet PC mounted into the car interior visualizing an infotainment system which the user is able to interact with. We demonstrate that by this setup hand gestures as well as hand poses are easily and efficiently interpretable insofar as that they become an intuitive and supplementary means of interaction for automotive HMI in mobile scenarios realizable in real-time. © 2015 IEEE.","","21","Principal component analysis","Automation - Database systems - Gesture recognition - Human computer interaction - Man machine systems - Metadata - Mobile telecommunication systems - Personal computers - Three dimensional displays","Automotive environment - Data-driven approach - Human machine interaction - Human Machine Interface - Infotainment systems - Multi-layer perceptrons (MLPs) - Vehicle dynamics - Wrist","722.4 Digital Computers and Systems - 723.3 Database Systems - 731 Automatic Control Principles and Applications - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"An improved algorithm for triangle to triangle intersection test","20161102093142","Ye, Xiufen (1); Huang, Le (1); Wang, Lin (1); Xing, Huiming (1) ","(1) College of Automation, Harbin Engineering University, Harbin, Heilongjiang Province, China ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","2689-2694","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279740","7279740","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","The triangle-to-triangle intersection test is a basic component of all collision detection data structures and algorithms. There are many algorithms that have been put forward in this area until now. Among these algorithms, there is one proposed by YU Hai-yan based on projection theory which can simplify the three-dimensional test into the two-dimensional test and certificate its robustness theoretically. However, the long calculation time can not satisfy the real-time performance. In this paper, an improved algorithm is proposed firstly. Then, the GPU parallel computing is adopted to accelerate our algorithm. Finally, some experiments were carried to validate the improved algorithm. Through the experiments, it shows that the improved algorithm is up to 13 times faster than the original algorithm on average when the triangles' number increases to 2 million and the acceleration times will also increase when much more triangles are detected at the same time and however the algorithm is also stable. © 2015 IEEE.","","14","Computation theory","Automation","Calculation time - Collision detection - GPU parallel computing - Intersection test - Original algorithms - Projection theory - Real time performance - Two-dimensional tests","721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 731 Automatic Control Principles and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Power line recognition and tracking method for UAVs inspection","20161102093108","Tian, Feng (1); Wang, Yaping (1); Zhu, Linlin (1) ","(1) Department of Automation, Shenyang Aerospace University, Shenyang, Liaoning Province, China ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","2136-2141","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279641","7279641","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","Automatic power line recognition is a challenging task for an unmanned aerial vehicles (UAVs) power line inspection system. In this paper we proposed a power line recognition and tracking method for sequence aerial images. First, the power lines are enhanced by a kind of double-side filters; then, the Hough transform with parallel constraint is used for power lines recognition; finally, in the sequence image, the state of power lines are estimated, and the power lines are tracked with those estimation. The tracking could reduce the computation time and made the recognition robust. Our experiments on real image data captured from UAV demonstrate our method is effective for power line recognition in sequence image. © 2015 IEEE.","","11","Aircraft detection","Antennas - Automation - Feature extraction - Hough transforms - Image enhancement - Inspection - Unmanned aerial vehicles (UAV)","Computation time - Object Tracking - Power line inspections - Power lines - Real image data - Sequence images - State of power - Tracking method","652.1 Aircraft, General - 716.2 Radar Systems and Equipment - 731 Automatic Control Principles and Applications - 921.3 Mathematical Transformations",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Discrete time integral sliding-mode control for systems with matched and unmatched uncertainties","20161102093069","Ma, Jun (1); Ni, Shihong (1); Xie, Wujie (1); Dong, Wenhan (1) ","(1) Engineering Institute, Air Force Engineering University, Xi'an; 710038, China ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","2930-2936","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279789","7279789","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","A new chattering-free integral sliding-mode control method is proposed for discrete-time linear systems with unmatched uncertainties. Based on the linear matrix inequality (LMI) technique, a new sliding-mode switching function is proposed. The effect of unmatched uncertainties is minimized, and the Lyapunov stability is proved. Then the sliding mode controller is proposed. The saturation function is introduced to ensure that the system states move in a small neighborhood of the sliding surface as quasi-sliding motion. The boundary layer thickness of the saturation function is chosen to make sure the controller is chattering-free with strong robustness. The theoretical analysis and simulation results show the effectiveness of the proposed integral sliding-mode control scheme. © 2015 IEEE.","","18","Sliding mode control","Automation - Boundary layer flow - Boundary layers - Controllers - Discrete time control systems - Linear matrix inequalities - Linear systems - Robustness (control systems)","Analysis and simulation - Boundary layer thickness - Discrete systems - Discrete time linear systems - Integral sliding mode control - Linear matrix inequality techniques - Sliding mode controller - Unmatched uncertainty","631.1 Fluid Flow, General - 731 Automatic Control Principles and Applications - 731.1 Control Systems - 732.1 Control Equipment - 921.1 Algebra - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Control of entanglement and non-classical effects in circuit QED","20161102093018","Ji, Yinghua (1) ","(1) Department of Physics, Jiangxi Normal University, Nanchang, Jiangxi, China ","Ji, Yinghua(jxsdjyh@aliyun.com) ","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","2009-2012","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279618","7279618","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","Through manipulating the external capacitor or external classical microwave impulse, the coupling between superconducting qubits and cavity can be manipulated, the entanglement effect between field modes can be enhanced and the decoherence effect can be effectively suppressed. Further investigations indicate that, the time evolution of the quantum entanglement between field modes is always accompanied by the synchronous changes of certain non-classical effect. Once entanglement sudden death occurs, the non-classical effects disappear. © 2015 IEEE.","","10","Quantum entanglement","Automation - Quantum optics - Timing circuits","Classical effects - concurrence - Decoherence effects - Entangled coherent state - Entanglement sudden death - Quantum state - Superconducting qubits - Time evolutions","713.4 Pulse Circuits - 731 Automatic Control Principles and Applications - 931.4 Quantum Theory; Quantum Mechanics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"An implementation of cloud robotic platform for real time face recognition","20161102092634","Tian, Shuqing (1); Lee, Suk Gyu (1) ","(1) Department of Robot Engineering, Yeungnam University, Gyeongsan; 712-749, Korea, Republic of ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","1509-1514","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279524","7279524","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","In this paper, we present our work on designing and implementing a cloud-based robot system, the RC-Cloud Robot System, which connects cloud computing infrastructure for accessing distributed computing resources and big data and executing multitask like face detection, face recognition and etc. We have deployed one application, 'real-time face recognition application' in the RC-Cloud robot system. The experimental results show that the RC-Cloud robot system is capable of executing computation-intensive tasks for robot client efficiently and sharing information among all the clients in the system. © 2015 IEEE.","","14","Face recognition","Automation - Big data - Distributed computer systems - Robotics - Robots","Cloud computing infrastructures - Cloud robotics - Computation-intensive task - Distributed computing resources - Real-time face recognition - Robot system - Robotic platforms - Sharing information","722.4 Digital Computers and Systems - 723.2 Data Processing and Image Processing - 731 Automatic Control Principles and Applications - 731.5 Robotics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
