Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Compare and analysis of security strategy in WAP and I-mode network","20084311653830","","Yan, Jin (1); Tong, Li (2) ","(1) Information School, Yunnan University, Kunming, Yunnan, 650091, China (2) Software School, Yunnan University, Kunming, Yunnan, 650091, China ","Yan, J.(Jin_catherine@hotmail.com) ","Proceedings of the International Symposium on Electronic Commerce and Security, ISECS 2008","Proc. Int. Symp. Electron. Commer. Secur., ISECS","'Peoples' Friendship University of Russia'; et al.; Guangdong University of Business Studies; IEEE Comput. Soc. Tech. Committee on Electronic Commerce (TCEC); IEEE Computer Society; IEEE System, Man, and Cybernetics Society","IEEE Computer Society","","","268-271","2008","Proceedings of the International Symposium on Electronic Commerce and Security, ISECS 2008","","2008","English","","","","9780769532585","10.1109/ISECS.2008.96","4606069","International Symposium on Electronic Commerce and Security, ISECS 2008","August 3, 2008 - August 5, 2008","Guangzhou, China","73811","","Conference article (CA)","This paper presents the security strategy used by WAP and I-Mode. It includes security transport protocol, the type of certificate, the performance of gateway, smartcard and authenticate scheme. It will first be illustrated from the architecture, and then discussed application situation. All of these schemes of WAP will be compared with the similar adopted technology of I-Mode. Through comparing, deficiencies of both WAP and I-Mode were uncovered. Methods to resolve these security problems were proposed at the end of this paper. The overall results derived from this work show WAP has more detailed, more general and more secure security scheme than I-Mode. © 2008 IEEE.","7","Gateways (computer networks)","Electronic commerce - Smart cards","Adopted technology - Security problems - Security scheme - Security strategies - Transport protocols","722.4 Digital Computers and Systems - 723.5 Computer Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Acetone sensing performances based on nanoporous TiO2synthesized by a facile hydrothermal method","20164102897177","","Chen, Nan (1); Li, Yuxiu (2); Deng, Dongyang (2); Liu, Xu (2); Xing, Xinxin (2); Xiao, Xuechun (2, 3); Wang, Yude (1, 3) ","(1) Department of Physics, Yunnan University, Kunming; 650091, China (2) School of Materials Science and Engineering, Yunnan University, Kunming; 650091, China (3) Yunnan Province Key Lab of Micro-Nano Materials and Technology, Yunnan University, Kunming; 650091, China ","Wang, Yude ","Sensors and Actuators, B: Chemical","Sens Actuators, B Chem","","Elsevier B.V.","238","","491-500","January 1, 2017","","","2017","English","09254005","","","","10.1016/j.snb.2016.07.094","","","","","","SABCEB","Journal article (JA)","Nanoporous titanium dioxide was synthesized by a hydrothermal method without using of surfactant or template. The structure, morphology, surface chemical states and specific surface area were characterized by X-ray diffraction (XRD), transmission electron microscopy (TEM), X-ray photoelectron spectroscopy (XPS), and N2adsorption-desorption isotherms, respectively. The as-synthesized products are anatase-TiO2with small grain size (about 12.27 nm) and high surface area (147.17 m2g−1). The as-synthesized porous TiO2powder was used to fabricate indirect-heating gas sensor whose gas-sensing characteristics toward acetone were investigated. At its optimal operation temperature, the sensor possesses a good sensitivity, selectivity, linear dependence, low detection limitation, and response/recovery, repeatability as well as long-term stability. Especially for the high sensitivity and fast response/recovery, its response reaches 25.97 for 500 ppm acetone, which is several times higher that of the reported TiO2-based sensors. The response and recovery times are only 13 and 8 s, respectively. Those values demonstrate the potential of using as-synthesized TiO2for acetone gas detection, particularly in the dynamic monitoring. Apart from these, the mechanism related to the advanced properties was also investigated and presented. © 2016 Elsevier B.V.","53","X ray photoelectron spectroscopy","Acetone - Chemical sensors - Gas detectors - Gases - High resolution transmission electron microscopy - Mesoporous materials - Surface active agents - Titanium dioxide - Transmission electron microscopy - X ray diffraction","Dynamic monitoring - Gas response - Gas sensing characteristics - Hydrothermal methods - Long term stability - Nanoporous tio2 - Surface chemical state - Surfactant-free","741.3 Optical Devices and Systems - 801 Chemistry - 803 Chemical Agents and Basic Industrial Chemicals - 804.1 Organic Compounds - 804.2 Inorganic Compounds - 914.1 Accidents and Accident Prevention",,"Number: 51262029, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by National Natural Science Foundation of China (No. 51262029 ). Appendix A",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The xylene sensing performance of WO3decorated anatase TiO2nanoparticles as a sensing material for a gas sensor at a low operating temperature","20162402494013","","Chen, Nan (1); Deng, Dongyang (2); Li, Yuxiu (2); Xing, Xinxin (2); Liu, Xu (2); Xiao, Xuechun (2, 3); Wang, Yude (1, 3) ","(1) Department of Physics, Yunnan University, Kunming; 650091, China (2) School of Materials Science and Engineering, Yunnan University, Kunming; 650091, China (3) Yunnan Province Key Lab of Micro-Nano Materials and Technology, Yunnan University, Kunming; 650091, China ","Wang, Yude(ydwang@ynu.edu.cn) ","RSC Advances","RSC Adv.","","Royal Society of Chemistry","6","55","49692-49701","2016","","","2016","English","","20462069","","","10.1039/c6ra09195d","","","","","","RSCACL","Journal article (JA)","Here, pristine and WO3decorated TiO2nanoparticles were synthesized by a one-step hydrothermal method without the use of a surfactant or template and used to fabricate gas sensors. Various techniques were employed for the characterization of the structure and morphology of the as-prepared products. The gas-sensing characteristics of the fabricated sensors were investigated for various concentrations of xylene at different temperatures. At a low operation temperature of 160 °C, the sensors possess an excellent gas response, selectivity, linear dependence, low detection limitation, and repeatability as well as long-term stability. In particular, for the high gas response of the 10.0 mol% WO3decorated TiO2nanoparticles based sensor, its response reaches 92.53 for 10 ppm xylene, which is much higher than that of the pristine TiO2based sensor. And the detection limit is 1 ppm. Those values demonstrate the potential of using WO3decorated TiO2nanoparticles for xylene gas detection, particularly with low concentration xylene. Apart from this, the mechanism related to the advanced properties was also investigated and presented. © 2016 The Royal Society of Chemistry.","66","Titanium dioxide","Chemical sensors - Gas detectors - Gases - Nanoparticles - Synthesis (chemical) - Tungsten compounds - Xylene","Anatase TiO2 nanoparticles - Gas sensing characteristics - Hydrothermal methods - Long term stability - Low operating temperature - Operation temperature - Sensing performance - Structure and morphology","761 Nanotechnology - 801 Chemistry - 802.2 Chemical Reactions - 804.1 Organic Compounds - 804.2 Inorganic Compounds - 914.1 Accidents and Accident Prevention - 933 Solid State Physics",,"Number: 51262029, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by National Natural Science Foundation of China (Grant No. 51262029) and Program for Excellent Young Talents, Yunnan University.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Kunming cut flowers e-commerce logistics development strategies","20152801017548","","Kuang, Yulan (1); Luo, Xia (2); Yu, Ying (3) ","(1) Information College, Yunnan University of Finance and Economics, Kunming, China (2) Business Administration College, Yunnan University of Finance and Economics, Kunming, China (3) Information College, Yunnan Normal University, Kunming, China ","","Proceedings - 2014 International Conference on Management of e-Commerce and e-Government, ICMeCG 2014","Proc. - Int. Conf. Manag. e-Commer. e-Gov., ICMeCG","Beijing Jiaotong University, International Center for Informatics Research; Central University of Finance and Economics; Jiangxi University of Finance and Economics; Shanghai Finance University; Shanghai University of International Business and Economics","Institute of Electrical and Electronics Engineers Inc.","","","301-306","February 20, 2014","Proceedings - 2014 International Conference on Management of e-Commerce and e-Government, ICMeCG 2014","1of1","2014","English","","","","9781479965434","10.1109/ICMeCG.2014.68","7046937","8th International Conference on Management of e-Commerce and e-Government, ICMeCG 2014","October 31, 2014 - November 2, 2014","Shanghai, China","112577","","Conference article (CA)","Kunming is China's largest production base for fresh cut flowers and the most influential distribution center, cut flower production in 2012 reached 5.55 billion. With the rapid development of e-commerce, cut flowers sales model is facing new challenges, and logistics is the main restriction for e-commerce development of flower market. Analysis of existing problems in flower e-commerce logistics indicates the use of different package format for fresh cut flower boxes can prevent damage in the transportation and distribution of flowers and achieve better preservation of the cut flowers. The use of the Lancang-Mekong waterway routes to send flowers to Thailand and other countries. It will take only six hours from China Xishuangbanna Guanlei port starting off down the river to reach Chiang Saen Port in Thailand, which will be able to shorten the logistics time, reduce the logistics costs and promote the development of e-commerce in Kunming cut flowers transaction. © 2014 IEEE.","10","Electronic commerce","Commerce - Government data processing - Logistics - Plants (botany)","Cut flowers - Distribution centers - E-commerce development - Existing problems - Kunnming - Logistics costs - Logistics development - Xishuangbanna","723.2 Data Processing and Image Processing - 723.5 Computer Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Application of portable XRF technology for hand specimen scale geochemical imaging and identification of sequences of mineralization","20130415941108","","Yuan, Zhao-Xian (1, 2); Xu, De-Yi (1, 3); Chen, Zhi-Jun (1, 2); Cheng, Qiu-Ming (1, 2, 4) ","(1) State Key Laboratory of Geological Processes and Mineral Resources, China University of Geosciences, Wuhan 430074, China (2) Faculty of Earth Resources, China University of Geosciences, Wuhan 430074, China (3) School of Economics and Management, China University of Geosciences, Wuhan 430074, China (4) Department of Earth and Space Science and Engineering, York University, Toronto M3J1P3, Canada ","Yuan, Z.-X.(sdyzx86@126.com) ","Jilin Daxue Xuebao (Diqiu Kexue Ban)/Journal of Jilin University (Earth Science Edition)","Jilin Daxue Xuebao (Diqiu Kexue Ban)","","Jilin University Press","42","SUPPL.2","216-223","November 2012","","","2012","Chinese","16715888","","","","","","","","","","JDXDA8","Journal article (JA)","Portable X-ray fluorescence spectrum (PXRF) was used to hand specimen collected from Jin-ding Pb/Zn mineral deposit in Yunnan, Southwestern China. Geochemical images were created based on the concentration values analyzed using PXRF on polished sample surfaces. We carried out multiple principle component analysis (PCA) to the two-element geochemical images of hand specimen, and obtained three principle components which are Zn, Pb, and Zn+Pb, respectively. Through analyzing the corresponding related elemental associations and their spatial distributions of principle components and combined with the observation of replacement of Ca by Zn and Pb, we consider that the metalloenic sequence represented by the hand specimen is that earlier Zn mineralization was followed by later Pb mineralization, and the two episodes of mineralization were superimposed at the crossing area. This conclusion is in agreement with the observation of mineral assemblages under microscope. The study has demonstrated that PXRF is convenient, effective and practical for identifying mineralization on hand specimen, and can provide supports for rapidly identifying mineralization and analyzing geological (elemental) evolution processes.","18","Mineralogy","Analytical geochemistry - Geochemistry - Image analysis - Mineral resources - Palmprint recognition - Principal component analysis - X ray spectrometers","Concentration values - Hand specimen - Mineral assemblage - Portable x-ray fluorescence - Portable XRF - Principle component - Principle component analysis - Sequences of mineralization","481.2 Geochemistry - 482 Mineralogy - 723.5 Computer Applications - 741.3 Optical Devices and Systems - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on applied-information technology in reformation system of the physical examination mode of school infirmaries","20142917962483","","Hu, Lan Fen (1); Zhao, Yan (1); Zhang, Dan Dan (2); Yu, Yan Yan (2); Yang, Jun (2) ","(1) School infirmary, Yunnan University, Kunming, 650091, China (2) School of Information Science and Engineering, Yunnan University, Kunming, 650091, China ","","Advanced Materials Research","Adv. Mater. Res.","Beijing Gireida Education Research Center; ISER Association; VIP-Information Conference Center","Trans Tech Publications Ltd","977","","442-446","2014","Material Science, Engineering Research, Management and Information Technologies","","2014","English","10226680","16628985","","9783038351610","10.4028/www.scientific.net/AMR.977.442","","4th International Conference on Engineering Materials, Energy, Management and Control, MEMC 2014","June 21, 2014 - June 22, 2014","Wuhan, China","106252","","Conference article (CA)","After years of efforts and exploration of medical personnel, our physical examination work of school infirmaries has gradually embarked on a scientific and standardized track. But there are still a series of problems, for instance, the limited level of professional quality of medical examiners, the low degree of social service and the under-utilization of medical resource, and the inferior degree of information construction. This article expounds the exploration of physical examination and its specific working way from three respects: reform the working way and adjust medical personnel structure, improve social service level with applied-information technology and the utilization of medical resource, accelerate the information construction with the application of information technology. By grasping the key factors and applying our new methods and information technology, we have achieved good examination results. © (2014) Trans Tech Publications, Switzerland.","11","Information technology","Medical problems","Application of information technologies - Information construction - Low degree - Medical personnel - Medical resources - Physical examination mode - Social service","461.7 Health Care - 903 Information Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A new glottal flow pulses extraction approach based on jointly parametric and nonparametric estimation","20140417229020","","Chen, Yiqiao (1); Gowdy, John N. (1) ","(1) Clemson University, Clemson, SC, United States ","","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","IEEE Int. Conf. Signal Process., Commun. Comput., ICSPCC","'IEEE Xi'an'; IEEE Hong Kong Section","IEEE Computer Society","","","","2013","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","","2013","English","","","","9781479910274","10.1109/ICSPCC.2013.6664146","6664146","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","August 5, 2013 - August 8, 2013","Kunming, Yunnan, China","101981","","Conference article (CA)","Linear prediction (LP) and complex cepstrum (CC) approaches have been shown to be effective for extracting glottal flow pulses (GFPs). This paper proposes a new approach, which first employs an odd-order LP analysis to find parameters of an all-pole model by least-squares (LS) methods and then uses deconvolution to obtain coarse GFPs by inverse filtering. Then, CC-based phase decomposition is used to obtain a refined estimate by further suppressing the remaining minimum-phase information from results after the inverse filtering. We demonstrate the effectiveness of this new approach by applying it to both synthetic and real speech voiced utterances. © 2013 IEEE.","12","Signal processing","Information filtering - Least squares approximations - Speech recognition","All-pole modeling - Complex cepstrum - Glottal flow - Least Square - Least squares methods - Linear prediction - Non-parametric estimations - Phase decompositions","716.1 Information Theory and Signal Processing - 751.5 Speech - 903.1 Information Sources and Analysis - 921.6 Numerical Methods",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Aircraft navigation model based on fuzzy mathematics","20140417228881","","Yang, Qi-Wei (1); Li, Wen-Bo (1); Zhao, Tian-Hao (1); Yang, Run (1) ","(1) Tianjin University, Tianjin, China ","","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","IEEE Int. Conf. Signal Process., Commun. Comput., ICSPCC","'IEEE Xi'an'; IEEE Hong Kong Section","IEEE Computer Society","","","","2013","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","","2013","English","","","","9781479910274","10.1109/ICSPCC.2013.6664007","6664007","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","August 5, 2013 - August 8, 2013","Kunming, Yunnan, China","101981","","Conference article (CA)","The properly combination of spectrum technology and navigation technology is an important research field. Through the collection and display of image, data processing, analyzing and so on, we provide enough accurate navigation information and realize the route sensing location at the situation that there is no ground control point or only a few. Begin with the spectral features of images, this paper analyze and discuss multispectral image navigation method based on fuzzy mathematics. Then a new multispectral navigation method-membership function method has been proposed. The dolly experiment shows that the above method is practicable. © 2013 IEEE.","11","Air navigation","Data handling - Image analysis - Membership functions - Navigation - Rock mechanics","Aircraft navigation - Fuzzy mathematics - Ground control points - Multi-spectral - Multispectral images - Navigation in formation - Navigation methods - Navigation technology","431.5 Air Navigation and Traffic Control - 483.1 Soils and Soil Mechanics - 723.2 Data Processing and Image Processing - 921 Mathematics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Applying RFID and GPS tracker for signal processing in a cargo security system","20140417228927","","Zhang, Ruijian (1) ","(1) Purdue University, Calumet, IA, United States ","Zhang, R.(Zhang45@purdue.edu) ","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","IEEE Int. Conf. Signal Process., Commun. Comput., ICSPCC","'IEEE Xi'an'; IEEE Hong Kong Section","IEEE Computer Society","","","","2013","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","","2013","English","","","","9781479910274","10.1109/ICSPCC.2013.6664053","6664053","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","August 5, 2013 - August 8, 2013","Kunming, Yunnan, China","101981","","Conference article (CA)","In order to enhance United States border security, a system is proposed to allow tracking of shipments from origin to destination. This paper is about developing a centralized, internet based security tool which utilizes RFID and GPS technology to identify drivers and track the load integrity. The system will accomplish the security testing in real-time using the internet and the U.S. Customs' database (ACE). A central database and the interfaces and communication between the database and ACE will be established. After the vehicle is loaded, all openings of the tanker are sealed with disposable RFID tag seals. Then a RFID reader and GPS tracker wirelessly connected with the databases will serve as signal processing and testing grounds for the implementation of security measures that can help prevent future terrorist attacks and help in ensuring that the goods and products are not compromised while in transit. The system with the automatic signal processing and communications through the networks will reduce the labor work of security check to its minimum. This technology's two main focuses are private companies and the U.S. government. It can be used by a company to expedite the shipment and receiving process, streamline the billing and invoicing process, and to automate potential federal government container tracking requirements. The government can utilize this technology for validating shipping containers, verification of load integrity, identification of late or lost shipments, and interaction with the U.S. Customs and Border Protection's ACE database for border control. © 2013 IEEE.","12","Signal processing","Containers - Database systems - Global positioning system - Radio frequency identification (RFID) - Security systems - Ships","Automated commercial environment (ACE) - Automatic signals - Cargo transportation - Container tracking - Customs and Border protections - Federal governments - Shipping containers - Terrorist attacks","716.1 Information Theory and Signal Processing - 716.3 Radio Systems and Equipment - 723.3 Database Systems - 914.1 Accidents and Accident Prevention",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study of the application and mechanism of benzohydroxamic acid in the flotation of cassiterite","20130615999982","","Sun, Wei (1); Ke, Li-Fang (1); Sun, Lei (1) ","(1) School of Minerals Processing and Bio-Engineering, Central South University, Changsha, Hunan 410083, China ","Sun, W.(sunmenghu@126.com) ","Zhongguo Kuangye Daxue Xuebao/Journal of China University of Mining and Technology","Zhongguo Kuangye Daxue Xuebao","","China University of Mining and Technology","42","1","62-68","January 2013","","","2013","Chinese","10001964","","","","","","","","","","ZKDXER","Journal article (JA)","The bench-scale flotation tests were employed to investigate the flotation behaviors of the finely disseminated tin-polymetallic sulfide ores in Yunnan using benzohydroxamic acid(BHA) as collector, and the interaction mechanism between BHA and cassiterite was investigated through molecular dynamicssimulations (MDS). The results show that for the raw ore containing Sn of 0.55%, with the closed circuit test of one roughing, one scavenging and four cleaning, a high-tin concentrate with grade of 40.15% and recovery of 65.07% was obtained using CMC and sodium silicate as combined depressant and, BHA as collector. The main adsorption component of BHA onto cassiterite was hydroxamic acid, and the adsorption energy of the collector onto the perfect cleavage plain of cassiterite(100) was much smaller than that onto calcite, which indicates that BHA has a higher power towards cassiterite than towards calcite.","17","Ore treatment","Calcite - Flotation - Molecular dynamics - Silicates - Sodium compounds - Sulfur compounds - Tin compounds","Adsorption energies - Benzohydroxamic acid - Cassiterite - Fine-disseminated - Flotation behavior - Interaction mechanisms - Molecular dynamics simulations - Polymetallic sulfide ores","482.2 Minerals - 533.1 Ore Treatment - 801.4 Physical Chemistry - 802.3 Chemical Operations",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
