Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Mathematical model of coupled Thermo-Hydro-Mechanical (THM) processes and its application in geo-hazards","20121114861510","Liu, X.L. (1); Wang, S.J. (1); Wang, E.Z. (1) ","(1) Hydraulics and Engineering Department, Tsinghua University, Beijing, China ","Liu, X.L. ","Water-Rock Interaction - Proceedings of the 12th International Symposium on Water-Rock Interaction, WRI-12","Water-Rock Interact. - Proc. Int. Symp. Water-Rock Interact., WRI","China Geological Survey; China University of Geosciences; et al.; International Association of GeoChemistry (IAGC); National Natural Science Foundation of China; United States Geological Survey","Taylor and Francis - Balkema","2","","1329-1332","2007","Water-Rock Interaction - Proceedings of the 12th International Symposium on Water-Rock Interaction, WRI-12","","2007","English","","","","9780415451383","","","12th International Symposium on Water-Rock Interaction, WRI-12","July 31, 2007 - August 4, 2007","Kunming, China","88962","","Conference article (CA)","Coupled Thermo-Hydro-Mechanical (THM) mathematical models were established to represent the basic physics of geo-engineering processes, which can include the effects of heat, water and mechanics. This model was applied to the extreme slopes near the Nuozhadu hydropower project, which lies on the Lancang river of Yunnan province in China, by thorough geological investigation, coupled THM method was adopted to predict the deformation of the slopes. This study provides a theoretical basis for reasonable selection of countermeasures against slope disasters and for predicting the high slope behaviour after impounding of the reservoir. © 2007 Taylor & Francis Group, London.","5","Reservoirs (water)",,"Coupled thermo-hydro-mechanical (THM) - Engineering process - Geological investigation - Hydropower projects - ITS applications - Lancang River - Slope disaster - Yunnan province","441.2 Reservoirs",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Studies of the innovative English teaching models in universities","20172503799650","Zhang, Min (1); Zhu, Haijiao (2) ","(1) School of Foreign Languages, Yunnan Agricultural University, Kunming, Yunnan, China (2) Trade Union, Yunnan Agricultural University, Kunming, Yunnan, China ","Zhang, Min ","Agro Food Industry Hi-Tech","Agro Food Ind. Hi-Tech","","TeknoScienze, Viale Brianza,22, Milano, 20127, Italy","28","1","3051-3053","January-February 2017","","","2017","English","17226996","20354606","","","","","","","","","","Journal article (JA)","In order to improve the overall effect of English teaching in universities and train unique talented personnel of practical ability and innovative ability to a certain extent, the English teaching models in universities shall be innovated. The 'IAIT' model is proposed in this paper based on the perspective of digital literacy, namely the teaching model in which Information, Ability, Innovation and Thinking are combined. The model is featured with knowledge fusion and technology integration, which is helpful for the realization of leapfrog development of English teaching, and it is of extensive significance as reference for the training of unique talented personnel in English-related majors of universities.","8","Teaching","Education - Personnel training - Societies and institutions","Digital literacies - English teaching - Innovative models - Perspective - Universities","901.1.1 Societies and Institutions - 912.4 Personnel",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The feasibility study on structural insulated panels in rural settlements of LuGu Lake","20112013986393","Wang, Lili (1); Yang, Zheng (1) ","(1) School of Urban Design, Wuhan University, Wuhan 430072, China ","Wang, L.(Evawang2007@yahoo.com.cn) ","Advanced Materials Research","Adv. Mater. Res.","International Science and Education Researcher Association (ISER); Yellow River Conservancy Technical Institute; Beijing Gireida Education Co.Ltd.; Beijing Gireida Education Research Center","Trans Tech Publications, P.O. Box 1254, Clausthal-Zellerfeld, D-38670, Germany","225-226","","762-765","2011","Advanced Research on Automation, Communication, Architectonics and Materials","","2011","English","10226680","","","9783037851036","10.4028/www.scientific.net/AMR.225-226.762","","2011 International Conference on Automation, Communication, Architectonics and Materials, ACAM2011","June 18, 2011 - June 19, 2011","Wuhan, China","84812","","Conference article (CA)","Rural settlements of LuGuLake in Yunnan province have an original architectural characteristics - Wooden houses which are shaped by the climate and topographic conditions, local materials, and the social living style. But because of the typical well-dry type construction of the wooden houses which need more massive lumbers to be constructed, it leads to the disappearance of the luxuriant forest. The other building materials such as tamped earth, bricks and stones, reinforce concrete replace the wood materials. The research's goal is to solve the ecology problem which was brought by wood rooms built by lumbers and the compatible problem between the new houses built by modern materials and vernacular architecture in LuGu Lake. © (2011) Trans Tech Publications.","4","Lakes","Architecture - Building materials - Construction equipment - Houses - Lumber","Feasibility studies - LuGu lake - Rural settlement - Structural insulated panels - Topographic conditions - Vernacular architecture - Wood materials - Wooden house - Yunnan province","415 Metals, Plastics, Wood and Other Structural Materials - 414 Masonry Materials - 413 Insulating Materials - 412 Concrete - 821.4 Agricultural Products - 411 Bituminous Materials - 405.1 Construction Equipment - 402.3 Residences - 402 Buildings and Towers - 407 Maritime and Port Structures; Rivers and Other Waterways",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Debris flow density determined by grain composition","20175004537971","Wang, Baoliang (1, 2); Li, Yong (2, 3); Liu, Daochuan (3, 4); Liu, Jingjing (3, 5) ","(1) School of Civil Engineering, Southwest Jiaotong University, Chengdu; 610031, China (2) Key Laboratory of Mountain Hazards and Surface Process, Chinese Academy of Sciences, Chengdu; 610041, China (3) Institute of Mountain Hazards and Environment, Chinese Academy of Science, Chengdu; 610041, China (4) University of Chinese Academy of Sciences, Beijing; 100049, China (5) State Key Laboratory of Hydraulics and Mountain River Engineering, Sichuan University, Chengdu; 610065, China ","Li, Yong(ylie@imde.ac.cn) ","Landslides","Landslides","","Springer Verlag","15","6","1205-1213","June 1, 2018","","","2018","English","1612510X","16125118","","","10.1007/s10346-017-0912-x","","","","","","","Journal article (JA)","Density is one of the most important parameters of debris flows. Because observing an active debris flow is very difficult, finding a method to estimate debris flow density is urgently needed for disaster mitigation engineering. This paper proposes an effective empirical equation in terms of grain size distribution (GSD) parameters based on observations in Jiangjia Gully, Yunnan Province, China. We found that the GSD follows P(D) = KD-μexp(− D/Dc), with μ and Dc representing the fine and coarse grains, respectively. In particular, μ is associated with some characteristic porosity of soil in the natural state and increases with increased porosity. Dc characterizes the grain size range of the flow and increases with the grain concentration. Studies show that flow density is related to both parameters in power law. Here, we propose an empirical equation for estimating flow density: ρ = 1.26μ-0.132 + 0.049Dc0.443, which provides not only an estimation of the density for a flow, but also describes the variation in density with the GSD of material composition; this provides important information related to the design of debris flow engineering structures. © 2017, Springer-Verlag GmbH Germany.","45","Debris","Grain size and shape - Porosity - Size distribution","Debris flows - Disaster mitigation - Empirical equations - Grain composition - Grain size distribution - Jiangjia Gully - Material compositions - Yunnan province","922.2 Mathematical Statistics - 931.2 Physical Properties of Gases, Liquids and Solids",,"Number: -, Acronym: -, Sponsor: Haixi Institute, Chinese Academy of Sciences; Number: KJ-2015-18, Acronym: -, Sponsor: -; Number: Y3R1340340, Acronym: CAS, Sponsor: Chinese Academy of Sciences; Number: 41471011, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: Y5R2040040, Acronym: -, Sponsor: -; Number: SKHL1516, Acronym: -, Sponsor: -; ","Funding This study was supported by the National Natural Science Foundation of China (Grant No. 41471011), the West Light Foundation of The Chinese Academy of Sciences (Grant No. Y5R2040040), the Open Research Fund of the State Key Laboratory of Hydraulics and Mountain River Engineering (Grant No. SKHL1516), the Key Laboratory of Mountain Hazards and Surface Process, CAS (Grant No. Y3R1340340), and Scientific Project of Department of Land and Resources of Sichuan Province (Grant No. KJ-2015-18). The authors express sincere thanks to the Dongchuan Debris Flow Observation and Research Station, Institute of Mountain Hazards and Environment, Chinese Academy of Sciences for supporting this research.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Development and implementation of integrated operation management system for provincial and prefectural power plant","20113814343797","Li, Gang (1); Ying, Xiaocheng (1); Cheng, Chuntian (1); Cai, Huaxiang (2); Li, Xiufeng (2); Jiang, Yan (2) ","(1) Dalian University of Technology, Dalian 116024, China (2) Yunnan Electric Power Dispatching and Communication Bureau, Kunming 650011, China ","Li, G.(glee@dlut.edu.cn) ","Dianli Xitong Zidonghua/Automation of Electric Power Systems","Dianli Xitong Zidonghue","","Automation of Electric Power Systems Press","35","16","79-81+93","August 25, 2011","","","2011","Chinese","10001026","","","","","","","","","","DXZIE9","Journal article (JA)","In view of the significant influence of the provincial power plant scheduling mode on the safe operation of the prefectural grid, a management mode of joint scheduling by provincial and prefectural power grids is proposed. Furthermore, a province-prefecture integrated power plant scheduling management system is designed and developed using the currently popular system architecture and programming techniques. The overall structure design is described along with the functional module design, the management process design as well as the relationship with the other systems available and ways of implementation. The system is successfully operating in Yunnan power grid and has realized the joint management of 65 power plants in 16 prefectural power grids. © 2011 State Grid Electric Power Research Institute Press.","9","Electric power transmission networks","Integration - Power plants - Scheduling","Functional module design - Integrated Operations - Management process - Operation management system - Programming technique - Scheduling management system - System architectures - Yunnan power grid","706.1.1 Electric Power Transmission - 912.2 Management - 921.2 Calculus",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"China's small hydropower and its dispatching management","20144500162819","Cheng, Chuntian (1); Liu, Benxi (1); Chau, Kwok-Wing (2); Li, Gang (1); Liao, Shengli (1) ","(1) Institute of Hydropower and Hydroinformatics, Dalian University of Technology, Dalian; 116024, China (2) Department of Civil and Environmental Engineering, Hong Kong Polytechnic University, Hong Kong, Hong Kong ","Cheng, Chuntian ","Renewable and Sustainable Energy Reviews","Renewable Sustainable Energy Rev","","Elsevier Ltd","42","","43-55","February 2015","","","2015","English","13640321","18790690","","","10.1016/j.rser.2014.09.044","","","","","","RSERFH","Journal article (JA)","With a huge energy demand, the small hydropower (SHP) has undertaken a rapid development in the past six decades in China. Especially in the recent three decades, the increasing environmental pressure has promoted its development rate and the significance of its management and operation. The number of SHP stations in China has exceeded 45,000 with a total installed capacity of more than 68 GW, ranked the first in the world. SHP provides approximately 5% of China's gross electricity generation and is the major backbone for rural electrification. However, how to manage and operate SHP effectively is still a difficult problem in China. In this paper, the current status of SHP in China is investigated. A special emphasis is given to their dispatching management. The southwestern province of Yunnan, ranked second in exploitable potential and first in established capacity of SHP in China, is taken as a typical example for the management and operation of SHP. The difficulties and challenges of management and operation of SHP in Yunnan province are depicted. A case system for the SHP management in Yunnan is introduced in details. It is believed that the system should be beneficial for regions with rich SHP resources in China and elsewhere as well. © 2014 Elsevier Ltd. All rights reserved.","64","Hydroelectric power","Rural areas","China's small hydropowers - Electricity generation - Environmental pressures - Installed capacity - Large-scale - Rural electrification - Small hydro power - Yunnan","611.1 Hydroelectric Power Plants",,"Number: 2012AA050205, Acronym: -, Sponsor: National High-tech Research and Development Program; Number: f4-ZZAD, Acronym: -, Sponsor: Hong Kong Polytechnic University; Number: 51025934, Acronym: -, Sponsor: National Natural Science Foundation of China; ","This research was supported by the National High Technology Research and Development Program of China ("863" Project) (Grant no. 2012AA050205 ), National Natural Science Foundation of China (No. 51025934 ) and the Central Research Grant of Hong Kong Polytechnic University ( f4-ZZAD ).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on urban's planning and construction of ecological corridor around city in Guizhou areas, southwest of China","20134416915944","Zhao, Long (1, 2); Tang, Wen (3); Zhang, Ye Chao (4); Zhang, Qi (1) ","(1) Kunming University of Science and Technology, Yunnan, Kunming, 650504, China (2) Minxi Vocational and Technical College, Department of Environmental Art Design, Fujian, Longyan,364021, China (3) Kunming University of Science and Technology, Institute of Architecture and Engineering, Yunnan, Kunming, 650504, China (4) China Urban Construction Design and Research Institute Liaoning Branch, Institute of Landscape Design, 116025 Liaoning, Dalian, China ","","Advanced Materials Research","Adv. Mater. Res.","National Chin-Yi University of Technology; National Cheng Kung University; National Sun Yan-Sen University; National Chi Nan University; ChienKuo Technology University; et al","Trans Tech Publications Ltd, Kreuzstrasse 10, Zurich-Durnten, CH-8635, Switzerland","779","","1276-1280","2013","Materials, Transportation and Environmental Engineering","","2013","English","10226680","","","9783037858042","10.4028/www.scientific.net/AMR.779-780.1276","","2013 International Conference on Materials, Transportation and Environmental Engineering, CMTEE 2013","August 21, 2013 - August 23, 2013","Taichung, Taiwan","100402","","Conference article (CA)","This paper studies the planning and construction of ecological corridor around the city in Guizhou areas, eastern Yunnan-Guizhou plateau, and southwest of China. It is proposed by solving urban environment problems in the process of urbanization and disastrous weather such as drought, glazed frost and hail, etc. Based on the view of Environment Science, Ecology and urban planning, this paper researches on the construction of ecological corridor in some of cities in Guizhou area. Analyze and discuss ecological influences and benefits of constructing ecological corridor to the city of Guizhou and the disastrous weather. On the above, it provides theoretical supplement and reference to planning practice. © (2013) Trans Tech Publications, Switzerland.","5","Ecology","Materials handling - Precipitation (meteorology) - Urban planning","Ecological corridor around the city - Ecological restoration - Environment science - Guizhou - Paper research - Urban environments - Yunnan-Guizhou plateau","403.1 Urban Planning and Development - 443.3 Precipitation - 454.3 Ecology and Ecosystems - 691 Bulk Handling and Unit Loads",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on Reinforcement Design Based on a T-beam Bridge","20190206363752","Shi, Jingxian (1); Duan, Jiahong (2); Cheng, Yingjie (3) ","(1) Oxbridge College, Kunming University of Science and Technology, KunMing; 650106, China (2) School of Architecture and Planning, Yunnan University, Kunming; 650500, China (3) Yunnan Aerospace Engineering Geophysical Detecting Co.Ltd, Kunming; 650217, China ","Shi, Jingxian(sara_shivip@163.com) ","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","","Institute of Physics Publishing","199","3","","December 19, 2018","2018 1st International Conference on Environment Prevention and Pollution Control Technology, EPPCT 2018 - Industrialization and Technology Impacts on the Environment","3 of 5","2018","English","17551307","17551315","","","10.1088/1755-1315/199/3/032039","032039","2018 1st International Conference on Environment Prevention and Pollution Control Technology, EPPCT 2018","November 9, 2018 - November 11, 2018","Tokyo, Japan","143764","","Conference article (CA)","A concrete simply supported T-beam bridge in a rural highway in a county of Yunnan, China, has been found to have a large number of cracks in the T beam when it is tested. Most of them belong to the non structural cracks. The vertical cracks in the middle part of the 1# bent beam of the substructure were seriously damaged and the bearing capacity was low. The bridge was assessed as the IV bridge, and its cracks and other diseases were disposed after research. After the reinforcement is completed, the test shows that the bearing capacity of the bridge has been restored and improved, and the measures adopted are also effective, which can provide some reference for the reinforcement of the same type of bridge. © Published under licence by IOP Publishing Ltd.","8","Pollution control","Bearing capacity - Bridges - Reinforcement","Bent beams - Non-structural - Reinforcement design - Rural highways - Simply supported - T beams - Vertical crack - Yunnan , China","401.1 Bridges - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Environmental protection and landscape design of freeway through a tropical rainforest region","20130615985781","Liu, Li (1); Xu, Jin-Zhi (2) ","(1) School of Civil Engineering, Xi'an University of Architecture and Technology, No.13, Yanta Road, Xi'an 710055, China (2) Key Laboratory for Special Area Highway Engineering, Ministry of Education, Chang'an University, Middle Section of S.2nd Ring Road, Xi'an 710064, China ","Liu, L.(liuli-highway@126.com) ","CICTP 2012: Multimodal Transportation Systems - Convenient, Safe, Cost-Effective, Efficient - Proceedings of the 12th COTA International Conference of Transportation Professionals","CICTP: Multimodal Transp. Syst. - Convenient, Safe, Cost-Eff., Effic. - Proc. COTA Int. Conf. Transp. Prof.","Transp. Dev. Inst. (T DI) Am. Soc. Civ. Eng.; Transp. Res. Board (TRB) U.S. Natl. Acad.","American Society of Civil Engineers (ASCE)","","","2744-2753","2012","CICTP 2012: Multimodal Transportation Systems - Convenient, Safe, Cost-Effective, Efficient - Proceedings of the 12th COTA International Conference of Transportation Professionals","","2012","English","","","","9780784412442","10.1061/9780784412442.279","","12th COTA International Conference of Transportation Professionals: Multimodal Transportation Systems - Convenient, Safe, Cost-Effective, Efficient, CICTP 2012","August 3, 2012 - August 6, 2012","Beijing, China","95265","","Conference article (CA)","Simao-Xiaomengyang (Sixiao) Freeway through the rainforest in Yunnan province is a national ecological highway demonstration project in China. Following the principles of nature, harmony, and balance, with equal importance attached to functionality and safety, and minimal damage to the zoological environment, engineers succeeded in making Sixiao road an environmentally friendly expressway. The impact of freeway construction on ecology and the environment is discussed alongside the features of the Sixiao Freeway. Based on these, environmental protection measures and landscape designs with Yunnan-style in Sixiao freeway are proposed and analyzed, providing a valuable reference for future road construction and environmental protection in tropical rainforest regions. © 2012 American Society of Civil Engineering.","14","Highway planning","Cost effectiveness - Ecology - Environmental protection - Multimodal transportation - Roads and streets","Demonstration project - Freeway construction - Landscape design - Minimal damage - Tropical rain forest - Yunnan province","406.2 Roads and Streets - 432 Highway Transportation - 432.1 Highway Transportation, General - 433 Railroad Transportation - 454.2 Environmental Impact and Protection - 454.3 Ecology and Ecosystems - 911.2 Industrial Economics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Universal form of renormalizable knots in symbolic dynamics of bimodal maps","20134316886353","Gao, Wen (1); Xu, Chuan-Yun (2); Peng, Shou-Li (2); Cao, Ke-Fei (2) ","(1) School of Statistics and Mathematics, Yunnan University of Finance and Economics, Kunming, Yunnan 650221, China (2) Center for Nonlinear Complex Systems, Department of Physics, Yunnan University, Kunming, Yunnan 650091, China ","Cao, K.-F.(kfcao163@163.com) ","International Journal of Bifurcation and Chaos","Int. J. Bifurcation Chaos","","World Scientific Publishing Co. Pte Ltd","23","9","","September 2013","","","2013","English","02181274","","","","10.1142/S0218127413501605","1350160","","","","","","Journal article (JA)","A general relation between knot theory and symbolic dynamics is studied for bimodal maps in this paper. When symbolic sequences of maps are expressed as knots, it is easy to see that the knot of a renormalizable sequence is composed of a bunch of periodic flows. In this setting, the generation of renormalizable knots can be simply operated in geometry and explicitly calculated in algebra. In this paper we provide a universal form of renormalizable knots, which can be decomposed into a sequence of elementary templates; especially, it is independent of the traditional *-products of symbolic dynamics. We present some examples and list the elementary templates of period not bigger than 6. © World Scientific Publishing Company.","33","Dynamics","Bifurcation (mathematics) - Mathematical techniques","Bimodal maps - elementary template - General relations - Knot theory - Periodic flow - Renormalizable knot - Symbolic Dynamics - Symbolic sequence","921 Mathematics - 931.1 Mechanics",,"Number: 20050673001, Acronym: -, Sponsor: -; Number: YC2011D07, Acronym: YUFE, Sponsor: Yunnan University of Finance and Economics; Number: 10565004, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by the Scientific Research Fund of Yunnan University of Finance and Economics (Grant No. YC2011D07), the National Natural Science Foundation of China (NSFC) (Grant No. 10565004), and the Specialized Research Fund for the Doctoral Program of Higher Education of China (SRFDP) (Grant No. 20050673001).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
