Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Soil-water characteristics and shear strength in constant water content triaxial tests on Yunnan red clay","20134917049002","","Ma, Shao-Kun (1); Huang, Mao-Song (2); Hu, Ping (3); Yang, Chao (2) ","(1) College of Civil Engineering and Architecture, Guangxi University, Nanning 530004, China (2) Department of Geotechnical Engineering, Tongji University, Shanghai 200092, China (3) School of Civil Engineering and Architecture, University of Jinan, Jinan 250022, China ","Ma, S.-K.(mashaokun@sina.com) ","Journal of Central South University","J. Cent. South Univ.","","Central South University of Technology","20","5","1412-1419","2013","","","","2013","English","20952899","21622388","","","10.1007/s11771-013-1629-1","","","","","","","Journal article (JA)","The shear strength parameters for geotechnical designs are obtained mainly from consolidated drained (CD) or consolidated undrained (CU) triaxial tests. However, during construction, the excess pore-air pressure generally dissipates instantaneously while the excess pore-water pressure dissipates with time. This condition needs to be simulated in a constant water content (CW) triaxial test. The study on Yunnan red clay is carried out to investigate the soil-water characteristics and the shear strength characteristics under the constant water content condition. Osmotic technique is used to obtain the soil-water characteristic curve. A series of CW triaxial tests are conducted on statically compacted specimens. The experimental results show that the soil-water characteristic curve has a low air entry value of 7 kPa due to large pores in non-uniform pore size distribution, and a high residual value exceeding 10 MPa. In addition, the initial degree of saturation and net confining stress play an important role in affecting the shear characteristics under the constant water content condition. Finally, a new semi-empirical shear strength model in terms of degree of saturation is proposed and then applied to Yunnan red clay. Simulation result shows that the model is capable of capturing some key features of soils. The model can be used in whole engineering practice range, covering both unsaturated and saturated soils. © 2013 Central South University Press and Springer-Verlag Berlin Heidelberg.","31","Shear strength","Pore size - Soil moisture - Supersaturation","Consolidated undrained - Engineering practices - Excess pore water pressure - Red clay - Shear strength parameters - Soil water characteristics - Soil-water characteristic curve - Strength characteristics","483.1 Soils and Soil Mechanics - 801.4 Physical Chemistry - 951 Materials Science",,"Number: 10-046-14-1, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Foundation item: Project(51068002) supported by the National Natural Science Foundation of China; Project(10-046-14-1) supported by Guangxi Key Laboratory of Geomechanics and Geotechnical Engineering, China Received date: 2012−03−06; Accepted date: 2012−08−24 Corresponding author: MA Shao-kun, Professor, PhD; Tel: +86−13471031572; E-mail: mashaokun@sina.com",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Estimation of SO2emission factors from copper smelting industry in Yunnan Province, China","20135117106094","","Zhang, Yan (1); Tang, Xiao-Long (1); Yi, Hong-Hong (1); Ma, Jie-Yun (1) ","(1) College of Environmental Science and Engineering, Kunming University of Science and Technology, Kunming 650500, China ","Tang, X.-L.(txl-km@163.com) ","Journal of Central South University","J. Cent. South Univ.","","Central South University of Technology","20","3","742-748","March 2013","","","","2013","English","20952899","21622388","","","10.1007/s11771-013-1543-6","","","","","","","Journal article (JA)","Copper smelting is a significant source of SO2emission. It is important to quantify SO2emissions from combustion sources for regulatory and control purposes in relation to air quality. The characteristics of SO2emissions from copper smelting industry in Yunnan Province, China, were examined. Analysis based on the present situation, material balance and measuring method were used to confirm SO2emission factors of copper smelting industry. Results show that SO2emission factors for Isa system, side blown-continuous converting system (SB-CC), blast furnace-continuous converting systems (B-CC) and blast furnace-converter blowing (B-C) are 11.69-18.64, 62.44-101.4, 19.43-37.88 and 45.48-81.03 kg/t(blister copper), respectively. The comprehensive emission factor based on all smelting plants is found to be in the range of 23-39.99 kg-SO2/t(blister copper) for Yunnan Province, China. The results are compared with those for discharge coefficients of industrial pollutants in the First National General Survey of Pollution Sources and the emission factor of the total amount of major pollutants. It is observed that there are some differences among emission factors. © 2013 Central South University Press and Springer-Verlag Berlin Heidelberg.","23","Copper smelting","Air quality - Blast furnaces - Industrial emissions - Quality control","Combustion sources - Converting systems - Discharge coefficients - Industrial pollutants - Material balance - Measuring method - Present situation - Smelting industry","451.1 Air Pollution Sources - 451.2 Air Pollution Control - 532.2 Blast Furnaces - 533.2 Metal Refining - 913.3 Quality Assurance and Control",,"Number: -, Acronym: -, Sponsor: Sichuan Provincial Bureau of Environmental Protection; ","Foundation item: Projects(KKK0201022137, KKK0201122183) supported by the Special Research Foundation of Yunnan Provincial Environmental Protection Bureau, China Received date: 2011–12–18; Accepted date: 2012–04–24 Corresponding author: TANG Xiao-long, Professor; Tel: +86–871–5170905; E-mail: txl-km@163.com",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Late miocene samara of Fraxinus (oleaceae) from the Lincang in Yunnan province and its paleophytogeographical significance","20130415941117","","Wang, Lei (1); Xie, San-Ping (1, 2); Liu, Ke-Nan (1); Wen, Wen-Wen (1); Zhang, Li-Rui (3); Sun, Bai-Nian (1) ","(1) School of Earth Sciences, Lanzhou University, Lanzhou 730000, China (2) State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing 210008, China (3) School of Life Science, Lanzhou University, Lanzhou 730000, China ","Xie, S.-P.(hai3p@163.com) ","Jilin Daxue Xuebao (Diqiu Kexue Ban)/Journal of Jilin University (Earth Science Edition)","Jilin Daxue Xuebao (Diqiu Kexue Ban)","","Jilin University Press","42","SUPPL.2","331-342","November 2012","","","","2012","Chinese","16715888","","","","","","","","","","JDXDA8","Journal article (JA)","The genus Fraxinus was one of well represented fossil records in the Northern Hemisphere in the Paleogene and Neogene. Fraxinus cf. honshuensis is first-time recognized and described in Lincang area, Yunnan Province, China. Furthermore, morphological parameters of 12 fossil species and 9 extent species of Fraxinus samaras were measured in order to obtain the evolutionary trend of the winged-fruit through the geologic time. The influence of the wind dispersal on the morphological variation of the winged-fruits was assessed for this genus. The result suggests that, during Late Oligocene to Middle Miocene, Fraxinus samaras reached their maximum capability for wind dispersal, which is in accordance with the geographic extension in fossil record. Macrofossil records indicated that this genus might firstly migrated from the higher latitudes to the lower latitudes through the Beringia or the North Atlantic Bridge before Middle Miocene and finally spread into the subtropical and tropical zones of the Northern Hemisphere at present.","57","Tectonics","Fruits - Stratigraphy","Fraxinus - Late Miocene - Morphological characters - Paleophyto geography - Samara","481.1 Geology - 821.4 Agricultural Products",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Stability analysis based on a highway slope in Yunnan","20133616699548","","Huang, Wei Hui (1); Li, Ke Gang (1, 2); Liang, Jiang Bo (1) ","(1) Kunming University of Science and Technology, Kunming 650093, China (2) Key Lab. for the Exploitation of Southwestern Resources, Environmental Disaster Control Engineering, Ministry of Education, Chongqing University, Chongqing, 400044, China ","","Applied Mechanics and Materials","Appl. Mech. Mater.","","Trans Tech Publications Ltd, Kreuzstrasse 10, Zurich-Durnten, CH-8635, Switzerland","353-354","","50-54","2013","Advances in Civil and Industrial Engineering","","","2013","English","16609336","16627482","","9783037857755","10.4028/www.scientific.net/AMM.353-356.50","","3rd International Conference on Civil Engineering, Architecture and Building Materials, CEABM 2013","May 24, 2013 - May 26, 2013","Jinan, China","99140","","Conference article (CA)","This paper analyses the stability of a highway slope in Yunnan by using the FLAC3D numerical software. To simulate the stability coefficient only considering the gravity loads and also taking into account the action of groundwater and then in comparison with the result calculated by the limit equilibrium method consider the influence of groundwater, the results show that the slope in a state of instability with the effect of groundwater. Then use anchorage to upgrade the slope, and the slope in a stable state after reinforcement. The simulation results have certain reference significance to the slope management. © (2013) Trans Tech Publications, Switzerland.","7","Slope stability","Civil engineering - Convergence of numerical methods - Groundwater","FLAC3D - Highway slopes - Limit equilibrium methods - Numerical software - Paper analysis - Slope management - Stability analysis - Stability coefficient","406.2 Roads and Streets - 409 Civil Engineering, General - 444.2 Groundwater - 921.6 Numerical Methods",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Microbial community diversity in douchi from Yunnan province using high-throughput sequencing technology","20150400457803","","Li, Xiao-Ran (1); Liu, Xiao-Feng (1); Zhang, Hai-Yan (1); Luo, Yi-Yong (1); Liu, Chen-Jian (1) ","(1) Faculty of Life Science and Technology, Kunming University of Science and Technology, Kunming, China ","Liu, Chen-Jian ","Modern Food Science and Technology","Mod. Food Sci. Technol.","","South China University of Technology","30","12","61-67","December 15, 2014","","","","2014","Chinese","16739078","","","","10.13982/j.mfst.1673-9078.2014.12.011","","","","","","","Journal article (JA)","Douchi is a traditional fermented food with a unique flavor. Studying microbial diversity within douchi is important to improve the quality and food safety related to consumption of douchi. In this study, two kinds of douchi samples were collected from Jinghong (JH) and Menghai (MH) regions of Xishuangbanna Dai autonomous prefecture in the Yunnan Province. After DNA extraction, the bacterial 16S ribosomal DNA (rDNA) and fungal internal transcribed spacer (ITS) region were amplified and bar-coded pyrosequencing was carried out. The diversity of bacterial and fungal communities in the two samples was analyzed and compared based on the sequencing data. The results indicated that the predominant bacterium in the JH sample was Leuconostoc mesenteroides, followed by L. fallax. The most abundant bacterium in the MH sample was Staphylococcus gallinarum, followed by Tetragenococcus halophilus. The results for both samples showed a small number of sequences, which showed high similarity with those of salt-tolerant Candida etchellsii and bacteriocin-producing C. versatilis, both of which were the dominant fungi in both samples. In conclusion, the douchi from Xishuangbanna showed high microbial diversity and the predominant microorganisms were salt tolerant. ©, 2014, South China University of Technology. All right reserved.","18","Bacteria","Fungi - Gene encoding - Microorganisms","Diversity - Dou-chi - High-throughput sequencing - Internal transcribed spacers - Leuconostoc mesenteroides - Microbial communities - Tetragenococcus halophilus - Traditional fermented foods","461.8.1 Genetic Engineering - 461.9 Biology",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Comparative study on mineralization-related granite of Pulang porphyry copper deposit in northwestern Yunnan and global adakite: The preliminary results of big data research","20190306388707","","Liu, Xuelong (1); Li, Wenchang (1, 2); Zhang, Na (1); Zhu, Jun (1); Luo, Ying (1); Yang, Fucheng (1); Zhang, Changzhen (1); Wang, Shuaishuai (1) ","(1) Kunming University of Science and Technology, Kunming; 650093, China (2) Chengdu Center of China Geological Survey, Chengdu; 610081, China ","","Yanshi Xuebao/Acta Petrologica Sinica","Yanshi Xuebao/Acta Petrol. Sin.","","Science Press","34","2","289-302","2018","","","","2018","Chinese","10000569","20958927","","","","","","","","","","Journal article (JA)","The Geza arc is an important part of the Yidun Island arc in Sanjiang tectonic-magmatic rock belt. It is located at the southern tip of the Yidun island arc belt. It is an important copper-lead-zinc polymetallic metallogenic belt and Indosinian porphyry copper belt in the western region of China. Pulang porphyry copper deposit is a typical representative of the Indosinian porphyry copper deposits. Based on the previous studies, the big data analysis technique was used to make a contrastive study of the ore-forming related granite in Pulang porphyry copper deposit and the global adakite. As a result, 506 element combinations and 127765 overlap ratios were obtained. The result shows that the geochemical data of the Pulang porphyry are basically overlapped with the global adakite, and have similar characteristics with the global adakite. However, the Cu, Mo, Pb and Zn metallogenic elements are significantly higher than those of the global adakite, and although the ratios of REE and Ga to the major element are in the range of the global adakite, they show the phenomenon of an end member in the global adakite. In addition, the adakite associated with porphyry copper deposits are distributed partially in the global adakite, and some or most of the data are out of the distribution range of the global adakite, and with characteristics of low Sr/Cu, Ta/Cu, Al/Mo, Mn/Zn, Mn/Cu, Mn/Mo and Hf, K, Ti, P, Co, Th, Ca/Cu. The farther the data points deviate from the global adakite range, the stronger the alteration and mineralization are, and the closer the relationship with copper and molybdenum mineralization is. The geochemical data mining results can be used as a prospecting indicator, which can provide a new scientific basis for the geological prospecting of the deep and periphery of the Pulang copper deposit. © Yanshi Xuebao/Acta Petrologica Sinica. All rights reserved.","40","Copper deposits","Big data - Data mining - Deposits - Economic geology - Geochemistry - Granite - Mineralogy - Ore analysis","Adakites - Comparative studies - Geochemical data - Geological prospecting - Northwestern Yunnan - Porphyry copper deposits - Pulang - Western region of chinas","481.1 Geology - 481.2 Geochemistry - 482 Mineralogy - 504.3 Heavy Metal Mines - 723.2 Data Processing and Image Processing - 801 Chemistry",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Studies on the differences of county economic development level and the water resources coordination in central yunnan economic zone","20134416931686","","Lede, Niu (1); Liran, Xiong (1); Honglian, Hua (1); Caiping, He (1) ","(1) School of Tourism and Geography Science, Yunnan Normal University, Kunming, Yunnan, 650500, China ","Liran, X. ","Proceedings - 2013 4th International Conference on Digital Manufacturing and Automation, ICDMA 2013","Proc. - Int. Conf. Digit. Manuf. Autom., ICDMA","Central South University; Tsinghua University","IEEE Computer Society","","","1235-1239","2013","Proceedings - 2013 4th International Conference on Digital Manufacturing and Automation, ICDMA 2013","","","2013","English","","","","9780769550169","10.1109/ICDMA.2013.293","6598217","2013 4th International Conference on Digital Manufacturing and Automation, ICDMA 2013","June 29, 2013 - June 30, 2013","Qindao, Shandong, China","100316","","Conference article (CA)","42 counties in Central Yunnan Economic Zone was regard as research unit in this paper. Principal Component Analysis and the evaluation models of the coordination degree have been used to analyze spatial pattern and time variation characteristics, which include both the county economic development level and the coordination degree of county economic development level and water resource in Central Yunnan Economic Zone. The result shows: (1)From 1999 to 2009, the difference of county economic development level has enlarged as if waves. The spatial structure in this region evolved from pole nucleus type to Pole-axis type gradually. At the same time, The difference of coordination has been gradually enlarged.(2)For the coordinated development of all regions, some measures should be taken such as strengthening the radiation effect of growth poles, optimizing the regional spatial structure and promoting the coordinated development of industrial structure. © 2013 IEEE.","15","Economic and social effects","Economics - Manufacture - Poles - Principal component analysis - Water resources","Coordination degree - county economy - Economic development - Economic zones - Evaluation models - Industrial structures - Spatial patterns - Spatial structure","408.2 Structural Members and Shapes - 444 Water Resources - 537.1 Heat Treatment Processes - 922.2 Mathematical Statistics - 971 Social Sciences",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Characteristics of S-Os isotopes and its constraints on the mineralization for the Jinbaoshan Pt-Pd deposit, western Yunnan, China","20190306388881","","Lu, Yiguan (1); He, Wenyan (1) ","(1) State Key Laboratory of Geological Processes and Mineral Resources, China University of Geosciences, Beijing; 100083, China ","","Yanshi Xuebao/Acta Petrologica Sinica","Yanshi Xuebao/Acta Petrol. Sin.","","Science Press","34","5","1258-1270","2018","","","","2018","Chinese","10000569","20958927","","","","","","","","","","Journal article (JA)","Jinbaoshan Pt-Pd deposit is located in the western margin of Yangtze block, adjacent to the northern part of Ailaoshan orogenic belt. It is the only large magmatic PGE deposit in the Sanjiang region. Previous studies show that whether there is a process of crustal contamination of Jinbaoshan intrusion is still an issue of debate, which constrain the understanding of sulfide saturation and ore genesis. It was suggested that most sulfides from the disseminated ores have S S values varying from 1‰ to 2‰ (mantle value), indicating there is no obvious crustal contamination. Combined with published data, this paper reports the S isotopes of the ores with an unusual sulfide assemblage (violarite-pyrite-chalcopyrite), and establishes the relationship among R factor (silicate magma/sulfide ratio), PGE contents and δ34S values by mass balance calculation. Generally, the PGE-rich ores have relatively high R factor (2000-10000) and PGE contents (Ir100: 2429 × 10-9 ∼ 10738 × 10-9), together with mantle-like δ34 S values (1‰∼2‰), in contrast, PGE-poor ores (IrlOO: 449 × 10-9-2017 × 10-9) have low R factors (500 ∼ 2000) and show crustal S isotopic features (δ34S: 4. 4‰-6. 7‰). Besides, compared with sulfide-rich Ni-Cu deposits, Jinbaoshan Pt-Pd deposit has low γOs (21. 9 ∼ 60.5), which is the result of the sulfide droplet mixed with large amounts of magma, consistent with high R factors. It is suggested that the -yOs values of ores cannot reflect crustal contamination degree of the intrusion directly. Thus, it needs to be particularly careful when we apply S-Os isotopes to study magmatic Ni-Cu-PGE deposits. Although the δ34S and γOs values of ores are good indicators to evaluate crustal contamination degree, they are also affected by the deposit type (PGE deposit or Ni-Cu deposit) and ore type (PGE-rich ore or PGE-poor ore). The ores have mantle-like S-Os isotopes cannot exclude that the magma did not experience massive crustal contamination. We also need to consider Sr-Nd isotopes and trace element data to study the degree of crustal contamination comprehensively. © Yanshi Xuebao/Acta Petrologica Sinica. All rights reserved.","107","Deposits","Binary alloys - Contamination - Copper compounds - Copper deposits - Isotopes - Neodymium alloys - Pyrites - Silicates - Strontium alloys - Sulfur compounds - Trace elements","Crustal contamination - Isotopic feature - Jinbaoshan - Mass-balance calculations - Os isotopes - R factor - Sulfide droplets - Western yunnan","504.3 Heavy Metal Mines - 547.2 Rare Earth Metals - 549.2 Alkaline Earth Metals",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"REE characteristics of the Datie bauxite deposit in Qiubei County, Northwest Yunnan Province","20140217179396","","Wang, Xing-Jun (1); Wang, Gen-Hou (1); Zhou, Jie (1); Cui, Yin-Liang (2); Zhang, Dao-Hong (2); Li, Wei-Qing (3); Fan, Liang-Jun (3) ","(1) Earth Science and Resource Institute, China University of Geosciences, Beijing 100083, China (2) Yunnan Nonferrous Metals Geological Bureau, Kunming, Yunnan 650051, China (3) Southwest Nonferrous Kunming Exploration Surveying and Designing Institute Inc., Kunming, Yunnan 650051, China ","Wang, G.-H.(wgh@cugb.edu.cn) ","Acta Geoscientica Sinica","Acta Geoscientica Sin.","","Science Press, 16 Donghuangchenggen North Street, Beijing, 100717, China","34","SUPPL.1","127-134","June 2013","","","","2013","Chinese","10063021","","","","10.3975/cagsb.2013.s1.19","","","","","","","Journal article (JA)","With the aluminum-bearing rock series of the Datie bauxite deposit in Qiubei County as the study object, the authors studied REE characteristics of aluminum-bearing rock series and underlying limestone and basalt by means of ICP-MS analysis. The results show that the REE patterns of aluminum-bearing rock series in the Datie bauxite deposit are right-oblique curves, which are similar to REE pattern curves of the underlying Maping Formation and Huanglong Formation limestone but are quite different from the REE pattern curves of the Emeishan basalt. The limestone has fairly obvious Ce negative anomalies and Eu negative anomalies, some bauxite and ferrallitic rocks have obvious Ce positive anomalies and fairly obvious Eu negative, whereas most bauxite, ferrallitic rocks and aluminous claystone have no obvous Ce and Eu anomalies. REE characteristics of the aluminum-bearing rock series suggest that the ore-forming materials were derived from the underlying limestone instead of from the basalt, that the ore-forming materials of the bauxite were sourced from the weathering crust with small transport distance, and that the mineralization had no evident relationship with the hydration of the sea water.","16","Bauxite deposits","Aluminum - Basalt - Inductively coupled plasma mass spectrometry - Limestone - Ores - Rocks - Weathering","Bauxite - Datie - Northwest Yunnan - Ore-forming materials - Qiubei - REE - Transport distances - Weathering crust","541.1 Aluminum - 505 Mines and Mining, Nonmetallic - 504 Mines and Mining, Metal - 801 Chemistry - 502 Mines and Quarry Equipment and Operations - 421 Strength of Building Materials; Mechanical Properties - 414 Masonry Materials - 481.1 Geology",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Analysis on the emergency-type groundwater source fields of Qujing City in Yunnan","20130215885007","","Zhang, Xiao-Ling (1); Li, Feng (1); Liu, Hong-Zhan (2) ","(1) Faculty of Land Resource Engineering, Kunming University of Science and Technology, China (2) Yunnan Geotechnical Engineering Investigation Design Research Institute, China ","Zhang, X.-L.(79270107@qq.com) ","Advanced Materials Research","Adv. Mater. Res.","","Trans Tech Publications, P.O. Box 1254, Clausthal-Zellerfeld, D-38670, Germany","610-613","","2653-2657","2013","Progress in Environmental Science and Engineering","","","2013","English","10226680","","","9783037855508","10.4028/www.scientific.net/AMR.610-613.2653","","2nd International Conference on Energy, Environment and Sustainable Development, EESD 2012","October 12, 2012 - October 14, 2012","Jilin, China","94737","","Conference article (CA)","Water resources in Qujing urban areas mainly come from the meteoric water. Its natural recharge capacity is limited and the surface drainages have been severely polluted. In general, the amount of the water resources can satisfy the needs of the social development, but its water quality becomes worse and the vulnerability of water supply-security is high. Considering the factors of groundwater recharge capacity, protective layer, water quality, groundwater vulnerability, environmental engineering geologic problems and others, it is concluded that karst groundwater in the eastern margin of Qujing basin is a good water source for emergency. The water-rich blocks such as Jiancaoba and Yuezhou with pressure resistance, rich groundwater recharge capacity, large depth, low groundwater vulnerability, class two water quality, convenience of mining conditions, and not easy to lead to collapse environment engineering geological problems, may become the emergency-type groundwater source fields. © (2013) Trans Tech Publications, Switzerland.","7","Recharging (underground waters)","Environmental engineering - Groundwater resources - Water quality - Water resources - Water supply","Environment engineering - Ground water recharge - Groundwater sources - Groundwater vulnerability - Karst groundwater - Meteoric waters - Mining conditions - Natural recharge - Pressure resistance - Protective layers - Qujing basin - Social development - Surface drainage - Urban areas - Water source - Yunnan","444 Water Resources - 444.2 Groundwater - 446.1 Water Supply Systems - 453.2 Water Pollution Control - 454 Environmental Engineering",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
