Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Design of starting controller for spark ignition engines based on adaptive feedback linearization","20084011616528","Shigehiro, Sugihira (1); Hiromitsu, Ohmori (2) ","(1) School of Integrated Design Engineering, Keio University, Kanagawa, Japan (2) Department of System Design Engineering, Keio University, Kanagawa, Japan ","Shigehiro, S.(sugihira@contr.sd.keio.ac.jp) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","566-571","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605670","4605670","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","In this paper we designed the starting control law of a V6 spark ignition (SI) engine model as the benchmark problem. The method of adaptive feedback linearization was applied to the control of the throttle butterfly to robustify the exact cancellation of nonlinear terms. By the simulation result we showed the effectiveness of the proposal method.","6","Feedback linearization","Engines - Starting","Adaptive feedback linearization - Bench-mark problems - Nonlinear terms - SI Engines - Spark ignition engine modeling - Starting control","731.1 Control Systems",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study on properties of TiO2 photocatalysts doped with Co","20143118012482","Duan, Ping (1); Luo, Yu-Ping (1); Liu, Jian-Mei (1); Zhu, Zhong-Qi (1); Liu, Qing-Ju (1) ","(1) Yunnan Key Laboratory of Nano-materials and Technology, Yunnan University, Kunming 650091, China ","Liu, Q.-J.(qjliu@ynu.edu.cn) ","Gongneng Cailiao/Journal of Functional Materials","Gongneng Cailiao","","Journal of Functional Materials","45","12","12074-12078","20140630","","","2014","Chinese","10019731","","","10.3969/j.issn.1001-9731.2014.12.014","","","","","","GOCAEA","Journal article (JA)","Co doped TiO2 powder (Co-TiO2) were synthesized by sol-gel method. The obtained samples were characterized by XRD, FT-Raman, UV-Vis, PL, respectively. The results show that Co-doping can decrease the phase transition temperature, broaden the absorption spectrum to the visible light region, and inhibit the recombination of photoelectron-hole pairs. The experiments of photocatalytic degradation of methylene blue (MB) indicate that the photocatalytic activity of the Co-TiO2 powder prepared at n(Co):n(Ti)=0.002 and the calcinated temperature of 400°C was the best. Under the fluorescent light irradiation, the degradation rate of the Co-TiO2 sample to methyl blue reaches 90.56%, which was obviously higher than 44.95% of P25 TiO2 photocatalyst which made in Degussa, German.","28","Titanium dioxide","Absorption spectroscopy - Aromatic compounds - Degradation - Photocatalysts - Sol-gel process","Calcinated temperature - Co-doping - Fluorescent light - Nano-TiO - Photo catalytic degradation - Photo-catalytic - Photocatalytic activities - Visible light region","741 Light, Optics and Optical Devices - 801 Chemistry - 802.2 Chemical Reactions - 803 Chemical Agents and Basic Industrial Chemicals - 804.1 Organic Compounds - 804.2 Inorganic Compounds - 813.1 Coating Techniques",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Synthesis and properties of (Yb, N)-TiO2 photocatalyst for degradation of methylene blue (MB) under visible light irradiation","20151600765168","Zhang, Jin (1); Xu, Liu-Jun (1); Zhu, Zhong-Qi (1); Liu, Qing-Ju (1) ","(1) Yunnan Key Laboratory for Micro/nano Materials & Technology, Yunnan University, Kunming, China ","Liu, Qing-Ju ","Gongneng Cailiao/Journal of Functional Materials","Gongneng Cailiao","","Journal of Functional Materials","46","4","04118-04122","February 28, 2015","","","2015","Chinese","10019731","","","10.3969/j.issn.1001-9731.2015.04.023","","","","","","GOCAEA","Journal article (JA)","Ytterbium and nitrogen co-doped TiO2 photocatalysts which could degrade methyl blue (MB) under visible light irradiation were prepared by sol-gel method combined with microwave chemical synthesis. Samples were characterized by XRD, XPS, UV-Vis-DRS and PL. The results show that Yb, N co-doped narrowed the band gap and inhibited the recombination of photogenerated electron-hole pairs. The band-gap energy absorption edge shifted to longer wavelength, thus the photocatalytic activity is improved. Results of degradation revealed that the (Yb, N)-TiO2 has shown much more photocatalytic activity than the P25 when the preparation condition is as follows: sintered temperature T=650, pH=1.5, m(H2NCONH2)=10 g, n(Yb):n(Ti)=0.005. ©, 2015, Journal of Functional Materials. All right reserved.","27","Ytterbium","Aromatic compounds - Energy gap - Irradiation - Light - Microwave irradiation - Photocatalysis - Photocatalysts - Photodegradation - Sintering - Sol-gel process - Sol-gels - Titanium dioxide","Absorption edges - Co-doping - Methylene Blue - Photocatalytic activities - Photogenerated electrons - Preparation conditions - Sintered temperature - Visible-light irradiation","536.1 Powder Metallurgy Operations - 547.2 Rare Earth Metals - 711 Electromagnetic Waves - 741.1 Light/Optics - 804 Chemical Products Generally - 813.1 Coating Techniques - 931.3 Atomic and Molecular Physics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A simple approach for 3D reconstruction of the spine from biplanar radiography","20142517836973","Zhang, Junhua (1); Shi, Xinling (1); Lv, Liang (2); Guo, Fei (2); Zhang, Yufeng (1) ","(1) Yunnan University, China (2) First People's Hospital of Yunnan Province, China ","","Proceedings of SPIE - The International Society for Optical Engineering","Proc SPIE Int Soc Opt Eng","Computer Science and Information Technology; International Association of","SPIE","9159","","","2014","Sixth International Conference on Digital Image Processing, ICDIP 2014","","2014","English","0277786X","1996756X","9781628411867","10.1117/12.2064067","91590E","6th International Conference on Digital Image Processing, ICDIP 2014","April 5, 2014 - April 6, 2014","Athens, Greece","105517","PSISDG","Conference article (CA)","This paper proposed a simple approach for 3D spinal reconstruction from biplanar radiography. The proposed reconstruction consisted in reconstructing the 3D central curve of the spine based on the epipolar geometry and automatically aligning vertebrae under the constraint of this curve. The vertebral orientations were adjusted by matching the projections of the 3D pedicles with the 2D pedicles in biplanar radiographs. The user interaction time was within one minute for a thoracic spine. Sixteen pairs of radiographs of a thoracic spinal model were used to evaluate the precision and accuracy. The precision was within 3.1 mm for the location and 3.5° for the orientation. The accuracy was within 3.5 mm for the location and 3.9° for the orientation. These results demonstrate that this approach can be a promising tool to obtain the 3D spinal geometry with acceptable user interactions in scoliotic clinics. © 2014 Copyright SPIE.","12","Image reconstruction","Geometry - Radiography","3D reconstruction - Biplanar radiographies - Epipolar geometry - scoliosis - spine","746 Imaging Techniques - 921 Mathematics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study on properties of TiO2 photocatalysts doped with S","20150300425761","Duan, Ping (1); Liu, Jian-Mei (1); Luo, Yu-Ping (1); Zhu, Zhong-Qi (1); Liu, Qing-Ju (1) ","(1) Yunnan Key Laboratory of Nano-materials and Technology, Yunnan University, Kunming, China ","Liu, Qing-Ju ","Gongneng Cailiao/Journal of Functional Materials","Gongneng Cailiao","","Journal of Functional Materials","45","22","22036-22040","November 30, 2014","","","2014","Chinese","10019731","","","10.3969/j.issn.1001-9731.2014.22.008","","","","","","GOCAEA","Journal article (JA)","S doped TiO2 powder (S-TiO2) were synthesized by sol-gel method. The obtained samples were characterized by XRD, nano-series sizer, FT-Raman, UV-Vis, PL, respectively. The results show that S-doping can inhibit the TiO2 phase transition anatase to rutile, reduce the reunion between the particles, broaden the absorption spectrum to the visible light region, and inhibit the recombination of photoelectron-hole pairs. The experiments of photocatalytic degradation of methylene blue (MB) indicate that the photocatalytic activity of the S-TiO2 powder prepared at n(S):n(Ti)=0.14(molar ratio) and the calcinated temperature of 450 was the best. Under the fluorescent light irradiation, the degradation rate of the S-TiO2 sample to methyl blue reaches 74.12% for 3 h, which was obviously higher than 31.89% of P25 TiO2 photocatalyst which made in Degussa, German.","26","Titanium dioxide","Absorption spectroscopy - Aromatic compounds - Degradation - Light - Oxide minerals - Photocatalysts - Photoelectron spectroscopy - Sol-gel process - Sol-gels","Calcinated temperature - Degradation rate - Fluorescent light - Nano-TiO - Photo catalytic degradation - Photo-catalytic - Photocatalytic activities - Visible light region","741 Light, Optics and Optical Devices - 741.1 Light/Optics - 801 Chemistry - 802.2 Chemical Reactions - 804 Chemical Products Generally - 813.1 Coating Techniques",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Delay-dependent exponential stabilization of nonlinear delay systems subject to impulsive disturbance of input","20084011615923","Jiang, Haibo (1); Zhou, Caigen (2); Yu, Jianjiang (2); Xu, Chunming (1) ","(1) School of Mathematical Sciences, Yancheng Teachers University, Yancheng 224051, China (2) School of Information Science and Technology, Yancheng Teachers University, Yancheng 224002, China ","Jiang, H.(yctcjhb@gmail.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","294-298","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605077","4605077","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","The problem of delay-dependent exponential stabilization of nonlinear delay systems subject to impulsive disturbance of input is investigated by employing Lyapunov functions. The nonlinear delay system is represented by the well-known T-S fuzzy model. The so-called parallel distributed compensation (PDC) idea is employed to design the state feedback controller. Sufficient conditions, which are dependent of time delays, for global exponential stability of the closed-loop system are derived in terms of linear matrix inequalities (LMIs), which can be easily solved by LMI method. Simulation results show the effectiveness of the proposed controller design methodology.","18","Controllers","Closed loop systems - Fuzzy control - Linear matrix inequalities - Lyapunov functions - Nonlinear systems - Robustness (control systems) - Stabilization - State feedback - System stability","Controller designs - Delay dependent - Exponential stabilization - Global exponential stability - Impulsive disturbances - Parallel distributed compensation - State feedback controller - T-S fuzzy models","731 Automatic Control Principles and Applications - 731.1 Control Systems - 732.1 Control Equipment - 921 Mathematics - 921.1 Algebra - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Stochastic linear quadratic optimal control with partial information and its application to mean-variance hedging problems","20084011616727","Wang, Guangchen (1); Wu, Zhen (2) ","(1) School of Mathematical Sciences, Shandong Normal University, Jinan 250014, China (2) School of Mathematics and System Sciences, Shandong University, Jinan 250100, China ","Wu, Z.(wuzhen@sdu.edu.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","601-605","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605892","4605892","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","This paper is concerned with a stochastic linear quadratic (LQ) optimal control with partial information where the control system is a non-Markov process. We solved this problem explicitly by completion of squares method. An optimal control is denoted by the corresponding optimal state equation, a Riccati differential equation and a backward stochastic differential equation (BSDE) with the dynamics similar to the optimal state equation. And then the general result is applied to a partial information mean-variance hedging problem, where an optimal mean-variance portfolio strategy is denoted by the sum of a replicating portfolio strategy for a contingent claim and a Merton's portfolio strategy with partial information. By filtering for SDEs, an explicitly observable optimal portfolio strategy for a partial information mean-variance hedging problem is presented, and some numerical simulations on the problem are given to furthermore support our theoretical results.","11","Financial markets","Differential equations - Equations of state - Filtration - Information filtering - Markov processes - Quadratic programming - Stochastic systems","Backward stochastic differential equations - LQ optimal control - Mean variance - Partial information - Portfolio strategies","802.3 Chemical Operations - 903.1 Information Sources and Analysis - 921.2 Calculus - 922.1 Probability Theory - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Stochastic discrete-time nash games for wireless networks","20084011616636","Shulan, Kong (1); Huanshui, Zhang (2) ","(1) School of Mathematics Science, Qufu Normal University, Qufu 273165, China (2) School of Control Science and Engineering, Shandong University, Jinan 250061, China ","Shulan, K.(shulank@163.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","344-348","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605746","4605746","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","Stochastic linear-quadratic Gaussian nonzero-sum Nash games with constrained state information is proposed for joint control of power and rate in wireless networks. When each player(node) is constrained to use a linear Kalman-like state estimator to solve one's optimal strategy, state estimators of two players are investigated according to information structure: the current output and a one-step delayed control input of the player. To model the loop delay in distributed wireless networks, an optimal power and rate control scheme that minimizes the energy of the difference between the actual and desired Signal-toInterference-plus-Noise-Ratio (SNR) levels and the two players' control sequence is obtained for the congestion levels and the information structure. Algorithms for computing Nash-optimal feedback gains are given. The optimal controllers of two players for the closed-loop Nash equilibrium solution are interrelated and cannot be determined separately. The fact exactly demonstrates a cooperative and influential relationship between players.","15","Power control","Computation theory - Game theory - Signal to noise ratio - State estimation - Stochastic systems - Wireless networks","Control sequences - Distributed wireless networks - Information structures - Linear quadratic Gaussian - Nash equilibria - Optimal controller - Optimal feedback gains - Optimal strategies","716.1 Information Theory and Signal Processing - 716.3 Radio Systems and Equipment - 721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 731.1 Control Systems - 731.3 Specific Variables Control - 922.1 Probability Theory",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Efficient channel assignment and routing algorithm in WLAN Mesh networks","20084011616193","Liu, Xiaozhu (1); Zhu, Rongbo (2) ","(1) School of Automation, Wuhan University of Technology, Wuhan 430070, China (2) College of Computer Science, South-Central University for Nationalities, Wuhan 430074, China ","Liu, X.(lxz_h@163.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","211-215","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605278","4605278","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","Interference has the strongest effect on the available bandwidth of wireless local area network (WLAN) mesh networks. To mitigate the co-channel interference and improve capacity in multi-channel and multi-interface WLAN mesh networks, an efficient system model based on objective optimization is proposed in this paper, which takes channel assignment, number of network interface cards (NICs) and broadcast routing in consideration. In order to appropriately assign channel, a linear programming formulation is introduced to achieve this objective. Simulation results prove the effectiveness of our approach and demonstrate that the proposed scheme can get better performance than other approach in all cases.","10","MESH networking","Bandwidth - Linear programming - Mesh generation - Routing algorithms - Wireless local area networks (WLAN) - Wireless mesh networks (WMN)","Available bandwidth - Channel Assignment - Linear programming formulation - Multi-channel and multi-interfaces - Network interface cards - Objective optimization - Routing - Wireless lans","716.1 Information Theory and Signal Processing - 722 Computer Systems and Equipment - 723 Computer Software, Data Handling and Applications - 723.5 Computer Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Inverse dynamic simulation of the limited-DOF parallel mechanism","20084011616182","Feng, Zhiyou (1, 2); Jin, Guoguang (1, 2); Zhang, Ce (3); Yang, Tingli (4) ","(1) Tianjin Polytechnic University, Tianjin 300160, China (2) Advanced Mechatronics Equipment Technology Tianjin Area Major Laboratory, Tianjin 300160, China (3) Tianjin University, Tianjin 300072, China (4) Jinling Petrochemical Corporation, Nanjing 210096, China ","Feng, Z.(fengzhiyou2@sina.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","336-340","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","9787900719706","10.1109/CHICC.2008.4605267","4605267","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","Due to the advantages of simple mechanical structure, low manufacturing cost, simple control algorithm, the limited-DOF mechanism has caught most attention from researchers. Out of the number of its DOF is less than six, the limbs must transmit actuation and constraint force at the same time. So both the required actuation and constraint force analysis are necessary in the dynamic control and optimization design of mechanism. In this paper, inverse dynamics equations of 2UPS-2RPS, as an example, are modeled by using the Newton-Euler Formulation, through solving which the required actuation and constraint forces can be obtained when the motion of moving platform and working load are given. A computational example is provided.","11","Dynamics","Manufacture - Mechanisms","Actuation force - Constraint forces - Inverse dynamic simulations - Inverse dynamics - Manufacturing cost - Mechanical structures - Newton Euler formulation - Parallel mechanisms","537.1 Heat Treatment Processes - 601.3 Mechanisms",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Fuzzy sliding mode controller design for spacecraft attitude tracking in terms of quaternion","20084011616579","Mohammad, Ataei (1); Ehsan, Shafiei S. (2) ","(1) Electronic Department, Engineering Faculty, University of Isfahan, Isfahan, Iran (2) Electrical and Robotic Engineering Faculty, Shahrood University of Technology, Shahrood, Iran ","Mohammad, A.(mataei1971@yahoo.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","753-757","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605497","4605497","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","In this paper a fuzzy sliding mode control (FSMC) for spacecraft attitude tracking in terms of quaternion is designed. For this purpose, at first, the spacecraft dynamic and kinematic equations based on quaternion are described. Then, the design procedure of related variable structure controller is presented. To prove the system stability in sliding mode and also to guarantee the convergence of quaternion vectors to desired state, a lemma is presented which is proved by using Lyapunov direct method. In continuation, in order to improve the controller performance, tuning of the sliding mode gain is accomplished by using fuzzy logic approach. Finally, the proposed controller design is simulated on an assumed case study with uncertain parameters and external disturbances. The simulation results are provided to show the effectiveness of the method and its robustness to parameter uncertainties and disturbances.","18","Controllers","Computer circuits - Design - Fuzzy logic - Fuzzy systems - Navigation - Sliding mode control - Spacecraft - System stability - Tracking (position) - Uncertainty analysis","Controller performance - Fuzzy sliding mode control - Fuzzy sliding mode controller - Lyapunov direct method - Lyapunov stability - Parameter uncertainty - Quaternion - Spacecraft attitude tracking","655.1 Spacecraft, General - 721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 721.3 Computer Circuits - 731.1 Control Systems - 732.1 Control Equipment - 922.1 Probability Theory - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A novel taylor series based approach for control computation in NN-ANARX structure based control of nonlinear systems","20084011616691","Belikov, J. (1); Vassiljeva, K. (2); Petlenkov, E. (2); Nõmm, S. (1) ","(1) Institute of Cybernetics, Tallinn University of Technology, Akadeemia tee 21, 12618, Tallinn, Estonia (2) Department of Computer Control, Tallinn University of Technology, Tallinn, Estonia ","Belikov, J.(jbelikov@cc.ioc.ee) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","474-478","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605837","4605837","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","This paper presents an alternative approach for control computation in a closed loop of discrete-time nonlinear system and NN-ANARX based dynamic output feedback. Proposed technique is based on an application of Taylor series expansion for computation of control directly from neural network based model. Two modifications of the algorithm are proposed for both single-input single-output and multi-input multi-output nonlinear systems. The effectiveness of the proposed approach is demonstrated on numerical examples.","9","Discrete time control systems","Linearization - MIMO systems - Neural networks - Nonlinear control systems - Taylor series","Control of nonlinear system - Discrete-time nonlinear systems - Dynamic output feedback - Multi-input multi-output nonlinear systems - Network-based modeling - Single input single output - Structure-based - Taylor series expansions","731.1 Control Systems - 921 Mathematics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The extended nearest neighbor classification","20084011616522","Zeng, Yong (1); Wang, Bing (2); Zhao, Lian (1); Yang, Yupu (1) ","(1) Department of Automation, Shanghai Jiao Tong University, Shanghai 200240, China (2) School of Information and Electrical Engineering, Panzhihua University, Panzhihua 61700, China ","Zeng, Y.(zeng_yong@sjtu.edu.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","559-563","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605575","4605575","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","The k-nearest neighbor classification rule (k-NNR) is among the most popular and successful pattern classification techniques. However, it usually suffers from the existing outliers, and in the small training samples situation, it performed poor. In this paper, a variant of the k-NNR, the extended nearest neighbor classification based on the local mean vector and the class mean vector has been proposed. The proposed classification method overcomes the influence of the existing outliers and performs obviously well than the traditional k-NNR in terms of the classification error rate on the unknown patterns.","18","Vectors","Motion compensation - Nearest neighbor search - Statistics","Class mean - Classification error rate - Classification methods - K-nearest neighbor classification rule (k-NNR) - Local mean - Nearest neighbor classification - Pattern classification techniques - Small training","921.1 Algebra - 921.5 Optimization Techniques - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"External cost of photovoltaic oriented silicon production: A case in China","20172003667849","Wang, Zanxin (1); Wei, Wei (1) ","(1) School of Development Study, Yunnan University, Kunming; 650091, China ","Wang, Zanxin(wzxkm@hotmail.com) ","Energy Policy","Energy Policy","","Elsevier Ltd","107","","437-447","2017","","","2017","English","03014215","","","10.1016/j.enpol.2017.05.019","","","","","","ENPYAC","Journal article (JA)","The rapidly increasing demand for silicon panels has resulted in severe pollution from its manufacture in the underdeveloped regions of China, where environmental control usually concedes to economic development. The study aimed to estimate the external costs of silicon production to inform policy on the sustainable exploitation of solar energy. Specifically, the study estimated the cost of health damage and agricultural loss resulting from the pollution of silicon production. The data was collected from a silicon industrial zone in Southwest China. The cost of agricultural loss was estimated using a production function method, while the cost of health damage was estimated using dose-response functions, in which the air pollutant concentration was estimated based on a Gaussian dispersion model. The results show that the annual external cost of agricultural loss is CNY 0.76–4.13 million and that of health damage is CNY 26.53–44.63 million, or a total external cost is CNY 27.29–48.76 million. The average external cost is CNY 447.35 (CNY 321.1–473.82) per ton of metallurgical silicon. This information has implication for making policies on the control of pollution and the sustainable development of solar energy industry. © 2017","77","Cost benefit analysis","Agriculture - Air pollution - Atmospheric movements - Cost estimating - Economics - Environmental management - Health - Pollution control - Silicon - Solar energy - Sustainable development","Air pollutant concentrations - Dose-response functions - External costs - Gaussian dispersion models - Health damage - Oriented silicon - Solar energy industries - Sustainable exploitation","443.1 Atmospheric Properties - 451 Air Pollution - 454.1 Environmental Engineering, General - 461.6 Medicine and Pharmacology - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 657.1 Solar Energy and Phenomena - 821 Agricultural Equipment and Methods; Vegetation and Pest Control - 911 Cost and Value Engineering; Industrial Economics - 971 Social Sciences",,"Number: KH600721, Acronym: -, Sponsor: -; Number: WX173602, Acronym: NCET, Sponsor: Program for New Century Excellent Talents in University; Number: 71463065, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The study was supported by the Economy and Environment Program for Southeast Asia (EEPSEA) (KH600721), the National Natural Science Foundation of China (71463065), and the Program for Excellent Young Talents of Yunnan University (WX173602).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Recognition techniques and feature extraction for space targets based on RCS","20084011615931","Zhao, Anjun (1, 2); Niu, Wei (2); Guo, Lei (2) ","(1) Department of Info-control, Xi'an University of Architecture and Technology, Xi'an 710055, China (2) Department of Automatic Contor, Northwestern Polytechnical University, Xi'an 710072, China ","Zhao, A.(zhao_anjun@163.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","426-429","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","9787900719706","10.1109/CHICC.2008.4604950","4604950","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","Radar recognition of space targets has gained popularity for space surveillance and peaceful uses of outer space. RCS of Space Object is nonstationary time-series, feature extracting and identification from RCS is difficult using commonly methods. Considering the changing regular of RCS reflecting figure of space target, this paper presents a novel method of space target recognition for attitude characteristics. The method makes use of CWT and fuzzy Decision to extract feature of RCS and classificate. The result shows that 90% of recognition rate is achieved when this method is applied to practical data.","7","Radar target recognition","Radar cross section - Space surveillance - Space-based radar","Feature extracting - Fuzzy decision - Non-stationary time series - Peaceful use - Radar recognition - Space objects - Space targets - Target recognition","656.2 Space Research - 716.2 Radar Systems and Equipment",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
