Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Improving metabolic flux estimation of metabolic networks by QPSO with penalty function","20150800546693","Long, Haixia (1); Wu, Shulei (1); Fu, Haiyan (1) ","(1) School of Information Science Technology, Hainan Normal University, HaiKou, HaiNan; 571158, China ","Wu, Shulei(wushulei@netease.com) ","Proceedings - 2014 10th International Conference on Computational Intelligence and Security, CIS 2014","Proc. - Int. Conf. Comput. Intell. Secur., CIS","Aviation Key Laboratory of Science and Technology on Airborne and Missileborne Computer; Beijing Normal University; Guangdong University of Technology; IEEE CPS; Shenzhen University; Xidian University","Institute of Electrical and Electronics Engineers Inc.","","","52-57","January 20, 2015","","1of1","2015","English","","","","9781479974344","10.1109/CIS.2014.49","7016852","10th International Conference on Computational Intelligence and Security, CIS 2014","November 15, 2014 - November 16, 2014","Kunming, Yunnan, China","110202","","Conference article (CA)","Metabolic flux estimation through 13C trace experiment is crucial for metabolic system to quantify the intracellular metabolic fluxes. In essence, it corresponds to a constrained optimization problem, objective function of which is non-linear and non-differentiable and exist multiple local minima making this problem a special difficulty. In this paper, we propose Quantum-behaved particle swarm optimization (QPSO) with penalty function to solve 13C-based metabolic flux estimation problem. The stoichiometric constraints are transformed to an unconstrained one, by penalizing the constraints and building a single objective function, which in turn is minimized using QPSO algorithm for flux quantification. The proposed algorithm is applied to estimate the central metabolic fluxes of Corynebacterium glutamicum and compared with conventional optimization technique. Experimental results illustrated that our algorithm is capable of achieving fast convergence to good near-optima. © 2014 IEEE.","18","Metabolism","Constrained optimization - Particle swarm optimization (PSO)","Constrained optimi-zation problems - Metabolic flux - Metabolic network - Penalty function - Quantum-behaved particle swarm optimization","723 Computer Software, Data Handling and Applications - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Cooperative advertising analysis within a supply chain based on game theory","20150800546639","Zhang, Hong (1) ","(1) Management Department, City College, Dongguan University of Technology, Dongguan, Guangdong, China ","Zhang, Hong(zhanghong401@sina.com) ","Proceedings - 2014 10th International Conference on Computational Intelligence and Security, CIS 2014","Proc. - Int. Conf. Comput. Intell. Secur., CIS","Aviation Key Laboratory of Science and Technology on Airborne and Missileborne Computer; Beijing Normal University; Guangdong University of Technology; IEEE CPS; Shenzhen University; Xidian University","Institute of Electrical and Electronics Engineers Inc.","","","741-745","January 20, 2015","","1of1","2015","English","","","","9781479974344","10.1109/CIS.2014.151","7016997","10th International Conference on Computational Intelligence and Security, CIS 2014","November 15, 2014 - November 16, 2014","Kunming, Yunnan, China","110202","","Conference article (CA)","This paper presents two types of three-stage game theory model for studying a cooperative advertising problem in one manufacturer and two retailers. The manufacturer and one retailer invest in national advertising and local advertising, respectively. Meanwhile, the manufacturer agrees to share part of the local advertising cost with the retailer. But another retailer refuses to take part incooperative advertising. The manufacturer and retailer who put invest in cooperative advertising could choose cooperative or non-cooperative attitude, but another retailer always chooses non-cooperative attitude. We select four decision variables including local advertising effort, two retailers' marginal profit, the price of product and discuss two three-stage dynamic game models according to the player's attitude whether cooperative or not. Cooperative and noncooperative equilibrium are discussed respectively. © 2014 IEEE.","10","Game theory","Computation theory - Manufacture - Sales - Supply chains","Cooperative advertisings - Decision variables - Dynamic game - National advertising - Non-cooperative - Three-stage games","721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 912 Industrial Engineering and Management - 913 Production Planning and Control; Manufacturing - 913.4 Manufacturing - 922.1 Probability Theory",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Review on the study of crustal structure and geodynamic models for the southeast margin of the Tibetan Plateau","20154901646891","Wang, Su (1, 2); Xu, Xiao-Ya (1, 2); Hu, Jia-Fu (1) ","(1) Department of Geophysics, Yunnan University, Kunming; 650091, China (2) Kunming Southern Geophysical Technology Development,Inc., Kunming; 650091, China ","Hu, Jia-Fu(jfhu@ynu.edu.cn) ","Acta Geophysica Sinica","Acta Geophys. Sin.","","Science Press","58","11","4235-4253","November 1, 2015","","","2015","Chinese","00015733","","","","10.6038/cjg20151129","","","","","","","Journal article (JA)","The convergence between the Indian plate and the Eurasian plates has resulted in the shortening of crust at least 1500 km and thickening of crust to twice of the normal (about 70 km) beneath the collision zone over the last 45 Ma. To model the mechanism of the surface deformation, several models, including lateral extrusion of rigid blocks along large strike-slip faults and lower crust flow have been proposed. The crustal-flow model, in which the middle/lower crust in central Tibet is partially molten and flows from central Tibet through Sichuan into Yunnan, is gradually accepted by seismologists. Therefore, the study of the deformational characteristics in crust and mantle and the geodynamic model beneath Sichuan and Yunnan (southeastern margin of the Tibetan Plateau) remains one of focused issues in the earth sciences of the world for many years. Although the fine crustal structures have been obtained in the region during the past several decades, the mechanisms for plateau deformation and expansion are still enigmatic due to the resolution limitations of methods and/or data. The aim of this paper is to select the previous results, analyze their discrepancies and conclude the reliable evidence for the lower crustal-flow model. The lower crustal flow model on the evolution of the Tibetan plateau yields surface velocity and deformation field consistent with observations of GPS, thus being very popular in the earth science community. A scientific problem in deep geophysics is searching for evidence on the existence of the lower crustal flow. In this paper, GPS observations, focal mechanism solutions, and Pms phase splitting in Sichuan and Yunnan are combined to explore the reasonability of crustal deformation models. On the other hand, based on the analysis of tomography, receiver function inversion, and magnetotelluric profiles, this paper discusses whether there exits the deep evidence on lower crustal flow beneath Sichuan and Yunnan, as well as the distribution scale of lower crustal flow if it is really present. The geodynamic implications are also investigated in relation to surface geological features, GPS velocities, Pms phase splitting, and focal mechanism. We observe a conspicuous sharper clockwise rotation around the eastern Himalayan syntaxis, and suggest that the deformation between the upper and lower crust within Sichuan and Yunnan is coupled. Resistivity imaging by magnetotelluric measurements have mapped two zones of high electrical conductivity at depth 20~40 km beneath southeast Tibet, only along the Xianshuihe-Xiaojiang fault and Jiali-Nujiang fault, respectively. However, the crustal velocity structure obtained by inversion of receiver functions and surface waves shows that intra-crust low-velocity zone (IC-LVZ) is locally distributed in western Sichuan, and not found in the Sichuan basin. Additionally, by analysis of the polarity of the converted phases at intra-crust interfaces, we suggest that a wide-spread IC-LVZ is present in Yunnan. According to the distribution features of the negative polarity at intra-crust interface and crustal structure from joint inversion of receiver functions of surface waves, it is concluded that an IC-LVZ from eastern Tibet on a large scale may exist beneath Sichuan and Yunnan, and has reached the southern Yunnan, but has a complex geometric shape. In Yunnan, this zone appears to be constrained in a certain area by the Xiaojiang and Jinshajiang-Red River faults. This conclusion is not quite consistent with previous suggestion that the lower-crustal flow reaches only the Lijiang-Jinhe fault, and that the lower crustal flow is only bounded within two arc-like channels. © 2015, Science Press. All right reserved.","81","Geodynamics","Deformation - Global positioning system - Integrated circuits - Magnetotellurics - Plates (structural components) - Strike-slip faults - Surface waves - Velocity","Complex geometric shapes - Crustal structure - Crustal velocity structure - Geodynamic modeling - High electrical conductivity - Lower crustal flows - Magnetotelluric measurement - Sichuan","408.2 Structural Members and Shapes - 481.3 Geophysics - 484.1 Earthquake Measurements and Analysis - 714.2 Semiconductor Devices and Integrated Circuits",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"N-gram index structure study for semantic based mathematical formula","20150800546578","Xu, Yuexia (1); Su, Wei (1); Cheng, Ming (1); Qu, Zhiyi (1); Li, Hui (1) ","(1) College of Information Science and Engineering, Lanzhou University, Lanzhou, China ","","Proceedings - 2014 10th International Conference on Computational Intelligence and Security, CIS 2014","Proc. - Int. Conf. Comput. Intell. Secur., CIS","Aviation Key Laboratory of Science and Technology on Airborne and Missileborne Computer; Beijing Normal University; Guangdong University of Technology; IEEE CPS; Shenzhen University; Xidian University","Institute of Electrical and Electronics Engineers Inc.","","","293-298","January 20, 2015","","1of1","2015","English","","","","9781479974344","10.1109/CIS.2014.174","7016903","10th International Conference on Computational Intelligence and Security, CIS 2014","November 15, 2014 - November 16, 2014","Kunming, Yunnan, China","110202","","Conference article (CA)","Recently mathematical formula retrieval has become a hot and difficult problem in the field of information science research. The paper presents an N-grams division method of mathematical formula, determines the granularities of division by experiments, and proposes calculating method of a sub-formula weight based on the complexity of formula, the length of N-grams and depth. In addition, this paper considers the impact that operators made on weights of sub-formulas and gives a method of calculating the weight that sub-formula shares in the whole formula. Experiments show that the methods of N-grams division and index construction have great help for sub-formula matching and weighting computation. The methods can also improve the recall and precision of sub-formulas. The quick and feasible semantic based method can greatly enhance the semantic search capabilities of mathematical search. © 2014 IEEE.","19","Semantics","Search engines","Formula search - Math searches - MathML - N-grams - Sub-formula weight","723 Computer Software, Data Handling and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Integrating preferred weights with decomposition based multi-objective evolutionary algorithm","20150800546585","Li, Zhenhua (1); Liu, Hai-Lin (1) ","(1) School of Applied Mathematics, Guangdong University of Technology, China ","Liu, Hai-Lin(hlliu@gdut.edu.cn) ","Proceedings - 2014 10th International Conference on Computational Intelligence and Security, CIS 2014","Proc. - Int. Conf. Comput. Intell. Secur., CIS","Aviation Key Laboratory of Science and Technology on Airborne and Missileborne Computer; Beijing Normal University; Guangdong University of Technology; IEEE CPS; Shenzhen University; Xidian University","Institute of Electrical and Electronics Engineers Inc.","","","58-63","January 20, 2015","","1of1","2015","English","","","","9781479974344","10.1109/CIS.2014.117","7016853","10th International Conference on Computational Intelligence and Security, CIS 2014","November 15, 2014 - November 16, 2014","Kunming, Yunnan, China","110202","","Conference article (CA)","Incorporating decision maker's preference with multi objective optimization problems keeps an active research area. In this paper, we suggest an algorithm to integrate decision maker's preference into multiobjective evolutionary optimization algorithm based on decomposition technique (MOEA/D). Decomposition techniques require a set of evenly distributed weight vectors to generate a diverse set of solutions on the Pareto front. This newly proposed algorithm incorporates preferred weights generated by desirability functions. A set of evenly distributed weights in desirability space are mapped into objective space to represent decision maker's preference. The solutions corresponding to these preferred weights consist preferred population. Further, a second population associated with evenly distributed weights in objective space is utilized to boost the search for promising areas and present to the decision maker a global perspective of view. Experimental results show the algorithm could be able to find a set of trade-offs on the Pareto front. © 2014 IEEE.","16","Evolutionary algorithms","Decision making - Decomposition - Economic and social effects - Multiobjective optimization","Decision maker's preferences - Decomposition technique - Desirability function - Evolutionary multiobjective optimization - Multi objective evolutionary algorithms - Multi-objective evolutionary optimizations - Multi-objective optimization problem - Preference","802.2 Chemical Reactions - 912.2 Management - 921.5 Optimization Techniques - 971 Social Sciences",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A countermeasure for des with both rotating masks and secured S-boxes","20150800546373","Zhuang, Zeleng (1); Chen, Jiachao (1); Zhang, Haosheng (1) ","(1) School of Micro-Electronics, Shanghai Jiao Tong University, Shanghai, China ","","Proceedings - 2014 10th International Conference on Computational Intelligence and Security, CIS 2014","Proc. - Int. Conf. Comput. Intell. Secur., CIS","Aviation Key Laboratory of Science and Technology on Airborne and Missileborne Computer; Beijing Normal University; Guangdong University of Technology; IEEE CPS; Shenzhen University; Xidian University","Institute of Electrical and Electronics Engineers Inc.","","","410-414","January 20, 2015","","1of1","2015","English","","","","9781479974344","10.1109/CIS.2014.43","7016928","10th International Conference on Computational Intelligence and Security, CIS 2014","November 15, 2014 - November 16, 2014","Kunming, Yunnan, China","110202","","Conference article (CA)","As is known, masking and hiding are two quite effective ways to perform protection against the side channel attacks. However, since recent years the effectiveness of side channel attack has been highly improved, the traditional way of masking has been invalidated, especially when it comes to High-Order DPA attacks, which presents a real practical threat according to the recent results. In this article, we present a countermeasure for DES with Rotating Masks and Secured S-boxes and we have implemented it in hardware. A mixed protection scheme is introduced. We use a method of rotating the masks after each computing round to protect the linear parts of the DES algorithm, while using a hiding technique to protect the non-linear part such as the S-boxes. In this way we are able to perform an intermedia level of protection between First-Order DPA and Second-Order DPA, meanwhile keeping the circuit being less area consuming compared with other masking schemes. © 2014 IEEE.","8","Side channel attack","Consumer protection","Data encryption standard - DES algorithms - Differential power attacks - Masking schemes - Power analysis - Protection schemes - Second orders - Secured sboxs","902.3 Legal Aspects",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The application of GIS spatial analysis method in biomass and carbon storage jatropha curcas","20143017973871","Xu, Xin Hui (1); Zhao, Xiao Qing (2) ","(1) Yunnan University, School of Resource Environment and Earth Science, Institute of Geography, Kunming, Yunnan province, 650091, China (2) Yunnan University, School of Resource Environment and Earth Science, Institute of Geography, Kunming, Yunnan province, 650091, China ","","Applied Mechanics and Materials","Appl. Mech. Mater.","Advanced Science and Engineering Technology Institute; Changchun Polytechnic University; Huazhong University of Science and Technology; Taichung University of science and technology; Ttp trans tech publications inc.","Trans Tech Publications Ltd","529","","184-187","2014","Mechanical Automation and Materials Engineering II","","2014","English","16609336","16627482","","9783038350941","10.4028/www.scientific.net/AMM.529.184","","3rd International Conference on Mechanical Automation and Materials Engineering, ICMAME 2014","June 28, 2014 - June 29, 2014","Wuhan, China","106353","","Conference article (CA)","It has become the international geosphere biosphere program, the world climate research programme and one of the core tasks of global change human factors plan that the global carbon cycle and curb greenhouse gas concentrations continue to rise, therefore, the existing biomass and carbon storage quantity of ecosystem research has important practical significance. We analyzed Jatropha curcas L biomass in Yunnan Simao district, basing on GPS location positioning, combining ARCGIS spatial analysis technology, selecting ecological factor such as altitude, slope, land use. Studies have shown that the Jatropha curcas L biomass under different land use types have significant differences by using the background data of these factors, with the help of space analysis method, combining with the measured data validation, respectively, it is: the most IS plantation, the second is cultivated land, the third is weeds, and the least is shrubbery. The research results can provide based data for Jatropha curcas L biomass and carbon storage calculation, also provide information for the decision-making department industry. © (2014) Trans Tech Publications, Switzerland.","5","Biomass","Carbon - Climate change - Forestry - Geographic information systems - Land use - Research","Biomass and carbon storages - Different land use types - Ecological factors - Ecosystem research - Global carbon cycle - Jatropha curcas l - Reserves estimations - Simao area","403 Urban and Regional Planning and Development - 451 Air Pollution - 723.3 Database Systems - 804 Chemical Products Generally - 821.0 Woodlands and Forestry - 821.5 Agricultural Wastes - 901.3 Engineering Research",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Spatial pattern analysis of rural settlements in Karst mountains: an example from Guangnan","20134817030775","Xie, Xian-Qi (1); Gan, Shu (1); Yu, Li (1); Ren, Peng-Fei (1); Chen, Ying-Yue (1) ","(1) Faculty of Land Resource Engineering, Kunming University of Science and Technology, Kunming 650031, China ","Xie, X.-Q.(85348620@qq.com) ","Diqiu Kexue - Zhongguo Dizhi Daxue Xuebao/Earth Science - Journal of China University of Geosciences","Diqiu Kexue Zhongguo Dizhi Daxue Xuebao","","China University of Geosciences","38","SUPPL.1","183-190","September 2013","","","2013","Chinese","10002383","","","","10.3799/dqkx.2013.S1.019","","","","","","DIKEEL","Journal article (JA)","This paper presents the spatial distribution characteristics of rural settlements of Karst Mountain in Guangnan county, Yunnan Province that are gained by combining landscape pattern analysis and GIS spatial analysis. Our in-depth exploration of the influence of natural factors on the spatial distribution of rural settlements in the Karst Mountain, such as the elevation, slope, roads and rivers, shall offer theoretical support for the spatial pattern optimization and intensive land use in karst's rural settlements. The research results show that: (1) The distribution of rural settlements in Guangnan is low in density and highly scattered. Diverse natural conditions in Karst Mountain lead to obvious spatial heterogeneity rural settlements. (2) Areas with an elevation of 1100m to 1500 m are the best locations of rural settlements. (3) The number of rural settlements and slopes show a normal distribution relationship, and the area of rural settlements is proportional to the slope l. (4) The farther away from the river, the smaller the number of rural settlements. However, a certain amount of rural settlements exist in some areas where the distance between settlements and rivers are beyond 5 000 m due to Karst landform.","12","Rural areas","Environmental geology - Geographic information systems - Land use - Landforms - Normal distribution - Remote sensing - Rivers - Spatial distribution - Spatial variables measurement","Distribution characteristics - Karst mountain - Landscape pattern analysis - Natural conditions - Rural settlement - Spatial analysis - Spatial heterogeneity - Spatial pattern analysis","403 Urban and Regional Planning and Development - 481.1 Geology - 903.3 Information Retrieval and Use - 921 Mathematics - 922.1 Probability Theory - 943.2 Mechanical Variables Measurements",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Wireless location on CPN correction environmental factors","20150800546623","Lin, Zhifeng (1); Wen, Jiechang (1); Chen, Qiling (1) ","(1) School of Applied Mathematics, Guangdong University of Technology, Guangzhou, China ","","Proceedings - 2014 10th International Conference on Computational Intelligence and Security, CIS 2014","Proc. - Int. Conf. Comput. Intell. Secur., CIS","Aviation Key Laboratory of Science and Technology on Airborne and Missileborne Computer; Beijing Normal University; Guangdong University of Technology; IEEE CPS; Shenzhen University; Xidian University","Institute of Electrical and Electronics Engineers Inc.","","","129-133","January 20, 2015","","1of1","2015","English","","","","9781479974344","10.1109/CIS.2014.26","7016867","10th International Conference on Computational Intelligence and Security, CIS 2014","November 15, 2014 - November 16, 2014","Kunming, Yunnan, China","110202","","Conference article (CA)","This paper propose a method to deal with the complex nonlinear characteristics, which was caused by the uncertainty of the unknown. As the received signal strength is low in Non line-of-sight environment, the proposed algorithm can be used to process and predict the unknown nodes position by maximum likelihood estimation method. Furthermore, experimental results show that the mobile target tracking error can be less than 1m when we use the method mentioned above, thus meeting the requirements of smart space mobile targeting. © 2014 IEEE.","15","Maximum likelihood estimation","Target tracking - Wireless sensor networks","Counter propagation networks - Environmental factors - Maximum likelihood estimate - Maximum likelihood estimation method - Non-line-of-sight environments - Nonlinear characteristics - Received signal strength - Received signal strength indicator (RSSI)","716.3 Radio Systems and Equipment - 922 Statistical Methods",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"High sensitive and selective acetone gas sensor using molecular imprinting technique based on Ag-LaFeO3","20161002062407","Du, Teng-Fei (1); Zhang, Yu-Min (1); Zhang, Jin (1); Zhu, Zhong Qi (1); Liu, Qing-Ju (1) ","(1) Yunnan Key Laboratory for Micro/nano Materials and Technology, Yunnan University, Kunming, China ","","Materials Science Forum","Mater. Sci. Forum","","Trans Tech Publications Ltd","852","","760-765","2016","Functional Materials Research","1 of 1","2016","English","02555476","","","9783038357551","10.4028/www.scientific.net/MSF.852.760","","China Functional Material Technology and Industry Forum, CFMTIF 2015","October 30, 2015 - November 1, 2015","Hunan, China","166579","MSFOEP","Conference article (CA)","A new acetone gas sensor was developed using molecular imprinting technique (MIT) in semiconductor oxide to recognize small organic molecules. The molecular imprinting nanoparticles (MINs) were characterized by X-ray diffraction (XRD), and transmission electron microscopy (TEM), respectively. The experimental results indicate that the sensors based on the molecular imprinting technique (MIT) show excellent gas sensing properties to acetone vapor, and the properties of the sensor with x = 5:100 (x=acetone: N,N’-Methylenebisacrylamide, molar ratio) are the best. At the optimal operating temperature of 200°C, the response of the sensor (x =5:100) to 2.5 ppm acetone is 14.7, the response and recovery times are 80 s and 35 s, respectively. © 2016 Trans Tech Publications, Switzerland.","18","Acetone","Biosynthesis - Chemical sensors - Functional materials - Gas detectors - Gas sensing electrodes - High resolution transmission electron microscopy - Molecular modeling - Nanoparticles - Polymerization - Transmission electron microscopy - X ray diffraction","Acetone gas sensors - Gas sensing properties - Methylene bisacrylamide - Molecular imprinting - Molecular imprinting techniques - Operating temperature - Semiconductor oxides - Small organic molecules","741.3 Optical Devices and Systems - 761 Nanotechnology - 801 Chemistry - 801.2 Biochemistry - 804.1 Organic Compounds - 815.2 Polymerization - 914.1 Accidents and Accident Prevention - 931.3 Atomic and Molecular Physics - 933 Solid State Physics - 951 Materials Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
